(np.float64(178.37103153872079), np.float64(467.5891819137714))
(np.float64(175.4688990988598), np.float64(467.6946387497717))
(np.float64(176.26603073039985), np.float64(466.5940152179982))
(np.float64(179.71226669697327), np.float64(467.83963887651754))
(np.float64(178.5269299492143), np.float64(467.5514245190523))
(np.float64(178.62545889456183), np.float64(467.5593573228882))
(np.float64(176.47790594380584), np.float64(464.7471897569675))
(np.float64(180.1557942451848), np.float64(467.0714871596595))
(np.float64(179.55812055795172), np.float64(466.50909742871386))
(np.float64(178.16484574583816), np.float64(466.42541183314205))
(np.float64(175.57903940021146), np.float64(467.42672180033264))
(np.float64(176.3200279485698), np.float64(465.04079010580745))
(np.float64(178.8421716672531), np.float64(465.9792236479633))
(np.float64(181.19737312236185), np.float64(467.8139170525023))
(np.float64(182.6558714111928), np.float64(466.2300487960795))
(np.float64(185.57388855781377), np.float64(467.6615473394797))
(np.float64(185.24650248530014), np.float64(467.8874797624959))
(np.float64(185.26483839548254), np.float64(467.644249111921))
(np.float64(185.60624281318047), np.float64(467.7779859784402))
(np.float64(185.2066541743876), np.float64(467.57697476565284))
(np.float64(185.71467124274534), np.float64(467.54603240640654))
(np.float64(185.5896234562924), np.float64(467.68964361065395))
(np.float64(185.81214615502296), np.float64(467.6059018327199))
(np.float64(189.77329227845865), np.float64(467.1557490638235))
(np.float64(192.5197369757299), np.float64(467.28862131593684))
(np.float64(189.96298147401623), np.float64(467.4634265182231))
(np.float64(190.30140273014297), np.float64(467.6813044392593))
(np.float64(191.03528734870557), np.float64(468.0052035653743))
(np.float64(181.0176477384251), np.float64(465.6035597192061))
(np.float64(221.62032920461442), np.float64(460.5181536070267))
(np.float64(221.89400519150573), np.float64(460.55061664761814))
(np.float64(222.01402330341347), np.float64(460.5405065500404))
(np.float64(222.11563441557547), np.float64(460.5747109407738))
(np.float64(222.20425798147164), np.float64(460.55493305291316))
(np.float64(221.33470566001077), np.float64(460.25564755829726))
(np.float64(222.3304959115515), np.float64(460.31113360897416))
(np.float64(221.74733611588985), np.float64(460.8333733160421))
(np.float64(221.63494383532142), np.float64(460.24417926579355))
(np.float64(221.81201480366602), np.float64(460.2415853619689))
(np.float64(222.0539309134472), np.float64(460.2938799879034))
(np.float64(222.3266979940326), np.float64(460.32508180419865))
(np.float64(221.41559259884275), np.float64(460.25766218380096))
(np.float64(221.9204477413535), np.float64(460.8065112386027))
(np.float64(222.77186563090197), np.float64(460.551915751066))
(np.float64(222.94272475698796), np.float64(460.5508211950481))
(np.float64(222.7928320289632), np.float64(460.6335664179089))
(np.float64(223.2889117695754), np.float64(460.3279310438217))
(np.float64(222.44778990539916), np.float64(460.56919931182))
(np.float64(222.57745938156393), np.float64(460.56227603287664))
(np.float64(222.6605892833601), np.float64(460.5357481404769))
(np.float64(223.26197783467728), np.float64(460.33439843957524))
(np.float64(222.6356292113615), np.float64(460.508051873168))
(np.float64(222.79080008067643), np.float64(460.56559036789605))
(np.float64(222.54728983039905), np.float64(460.5971783091317))
(np.float64(223.07525619564493), np.float64(460.5283722511111))
(np.float64(223.08707267109978), np.float64(460.4586149717867))
(np.float64(222.65362839967972), np.float64(460.30134090839806))
(np.float64(222.8839009030539), np.float64(460.1344048729711))
(np.float64(223.16099872623047), np.float64(460.4418366886365))
(np.float64(223.0739132961239), np.float64(460.5732620783021))
(np.float64(223.08210801751744), np.float64(460.4976691062911))
(np.float64(222.82540232730065), np.float64(460.32876256699683))
(np.float64(185.7540585117158), np.float64(467.5960644650464))
(np.float64(185.82746439919282), np.float64(467.701243177152))
(np.float64(184.37800038235707), np.float64(467.0685659799502))
(np.float64(186.07184419641766), np.float64(467.9378835216938))
(np.float64(221.89363639262857), np.float64(460.2537464490381))
(np.float64(185.99252209532008), np.float64(467.82052287383544))
(np.float64(162.62857364328244), np.float64(472.547752923009))
(np.float64(162.8642914351653), np.float64(472.67569143054016))
(np.float64(162.6729338885198), np.float64(472.66573097076827))
(np.float64(162.8109170310767), np.float64(472.7179394140513))
(np.float64(162.99294103591933), np.float64(472.6112928089938))
(np.float64(162.90615539578144), np.float64(472.60420625574807))
(np.float64(162.69958173121185), np.float64(472.53471473656595))
(np.float64(162.60748413886492), np.float64(472.58516698108))
(np.float64(162.89958845239462), np.float64(472.56448859968583))
(np.float64(174.9756775061692), np.float64(470.71987703881473))
(np.float64(174.4443595272695), np.float64(471.5491929823655))
(np.float64(174.49513239948107), np.float64(470.9688373204459))
(np.float64(174.91633799269303), np.float64(471.6512856646817))
(np.float64(177.75654256477165), np.float64(470.2441060226606))
(np.float64(176.88747729364067), np.float64(469.8610007493583))
(np.float64(177.19248991455726), np.float64(470.100762033115))
(np.float64(178.16061660933192), np.float64(471.6592918631678))
(np.float64(175.7485154004872), np.float64(470.8559906555463))
(np.float64(176.06752642681053), np.float64(470.4668803545883))
(np.float64(176.01984803204243), np.float64(470.5599813743681))
(np.float64(178.84146892073954), np.float64(468.9911828391464))
(np.float64(175.62611388032062), np.float64(468.5157242502482))
(np.float64(179.6806829833096), np.float64(468.69104291203575))
(np.float64(178.25067098308247), np.float64(469.04527148239475))
(np.float64(179.96895764910437), np.float64(470.29317255683407))
(np.float64(177.20976728354097), np.float64(468.46179342670325))
(np.float64(178.0375128628213), np.float64(468.09595438065173))
(np.float64(175.58740525676177), np.float64(468.4259977478878))
(np.float64(179.3197376003416), np.float64(469.1756326193651))
(np.float64(176.72049913850103), np.float64(469.73005936436067))
(np.float64(180.10580370514674), np.float64(467.9807138744673))
(np.float64(175.8922450086292), np.float64(468.2943423560024))
(np.float64(176.89322583989286), np.float64(468.57551991827705))
(np.float64(176.49066548323682), np.float64(470.2437064430442))
(np.float64(174.0590810477198), np.float64(471.35405946266775))
(np.float64(178.5013129054432), np.float64(468.7929321378465))
(np.float64(174.56571707092584), np.float64(471.0463387957269))
(np.float64(178.63498992668787), np.float64(470.5241468466902))
(np.float64(175.79735949099322), np.float64(470.78727629538133))
(np.float64(176.40475303120746), np.float64(470.5081920260381))
(np.float64(175.93355776490546), np.float64(470.7016634690877))
(np.float64(175.94280686615107), np.float64(470.749551507038))
(np.float64(174.49586791655716), np.float64(470.99292379534))
(np.float64(176.08267526971719), np.float64(471.03703197862643))
(np.float64(175.013768343929), np.float64(471.32044653218964))
(np.float64(173.86635251249828), np.float64(471.35948551503526))
(np.float64(174.01892705160827), np.float64(471.4329642848218))
(np.float64(174.18077236562272), np.float64(471.334525516557))
(np.float64(174.33203434832984), np.float64(471.07638750998365))
(np.float64(175.3217037869528), np.float64(470.99843821220014))
(np.float64(174.27186811504927), np.float64(470.8917325762672))
(np.float64(174.9305737679583), np.float64(471.74488711353405))
(np.float64(175.46412309274768), np.float64(470.8582251619636))
(np.float64(174.852643462129), np.float64(470.9224297816359))
(np.float64(175.55177550561393), np.float64(470.9361475503943))
(np.float64(175.27634429963425), np.float64(471.0954430878375))
(np.float64(175.55664202090105), np.float64(470.9714720125423))
(np.float64(175.182309949683), np.float64(470.87686352366944))
(np.float64(175.00311149559798), np.float64(470.8321575164318))
(np.float64(175.02905191025783), np.float64(470.61819054223577))
(np.float64(174.95401338987796), np.float64(470.9999004081324))
(np.float64(175.0965786893984), np.float64(470.89194645712007))
(np.float64(179.37864069314722), np.float64(474.3442605650632))
(np.float64(169.62844598130226), np.float64(473.07427400473705))
(np.float64(164.79182404043715), np.float64(473.4875722361157))
(np.float64(164.24280458250968), np.float64(473.3576700732733))
(np.float64(177.76668479389468), np.float64(472.1427810750245))
(np.float64(177.5146014869405), np.float64(472.04596583757973))
(np.float64(177.2330825853914), np.float64(472.3120142841408))
(np.float64(178.3374170904943), np.float64(472.51971144024515))
(np.float64(178.63642090792968), np.float64(472.43813968325736))
(np.float64(177.43702246768603), np.float64(472.0810951463302))
(np.float64(177.90134805303094), np.float64(472.32852814049113))
(np.float64(177.32990694130126), np.float64(472.2026145615991))
(np.float64(175.01527041476), np.float64(472.1698556999718))
(np.float64(174.97427131959003), np.float64(472.32522295707486))
(np.float64(177.52705915573821), np.float64(473.8502616760133))
(np.float64(174.46408255122253), np.float64(472.7898736234772))
(np.float64(178.18109196912496), np.float64(474.0585346558584))
(np.float64(175.00436856744534), np.float64(472.1903694737186))
(np.float64(177.5360490401001), np.float64(473.5868457397093))
(np.float64(177.45695355871234), np.float64(473.2189517041277))
(np.float64(177.5517267201296), np.float64(473.80994122625145))
(np.float64(177.6447212549135), np.float64(473.9504025213089))
(np.float64(177.67214380064772), np.float64(473.44976350756633))
(np.float64(176.80516370830085), np.float64(473.8944453145705))
(np.float64(175.57745548966724), np.float64(473.4566900592693))
(np.float64(176.17223288334924), np.float64(473.72257650426167))
(np.float64(176.9557900461195), np.float64(474.14281862084323))
(np.float64(175.01492415647857), np.float64(473.3016324415149))
(np.float64(174.97362284389928), np.float64(473.25520932679547))
(np.float64(174.56780415698105), np.float64(473.00372762688596))
(np.float64(173.5372247452517), np.float64(472.75119428046713))
(np.float64(174.11592167573554), np.float64(475.5086287120678))
(np.float64(177.09274290991763), np.float64(475.7289463536191))
(np.float64(174.5403497076348), np.float64(475.67708361064075))
(np.float64(173.11936677774307), np.float64(472.4770011492371))
(np.float64(174.92247579775102), np.float64(475.7132414747716))
(np.float64(169.3905278801949), np.float64(472.5927917819449))
(np.float64(172.75651203266267), np.float64(471.9030686402243))
(np.float64(179.5586447135757), np.float64(475.14550848013585))
(np.float64(173.58514224375958), np.float64(472.07195693691824))
(np.float64(178.86858092637866), np.float64(477.1434429147462))
(np.float64(173.05213181265884), np.float64(475.8110850251719))
(np.float64(176.2071650896618), np.float64(476.4035924407318))
(np.float64(176.30893034483424), np.float64(476.09316459615))
(np.float64(175.85341085126967), np.float64(476.27605472495526))
(np.float64(178.91334135393444), np.float64(477.3576268001271))
(np.float64(175.23187464580437), np.float64(476.2975640840671))
