(np.float64(251.33920867172816), np.float64(290.08061080832186))
(np.float64(251.94580063357296), np.float64(290.75295917629035))
(np.float64(247.51997035588195), np.float64(292.4160715914794))
(np.float64(251.53135947406108), np.float64(290.6840800266513))
(np.float64(251.59035498333498), np.float64(293.33630841255234))
(np.float64(246.8753251817336), np.float64(294.0436996035854))
(np.float64(246.8993933395874), np.float64(292.4393767861068))
(np.float64(249.36813907325217), np.float64(293.4070557014308))
(np.float64(248.5425889482866), np.float64(293.5101550601342))
(np.float64(250.72722846642904), np.float64(292.3025462533632))
(np.float64(251.01429148834148), np.float64(291.6356721200457))
(np.float64(251.72440045666855), np.float64(294.31992523927835))
(np.float64(250.11025967984028), np.float64(294.07733847370827))
(np.float64(246.5542066094141), np.float64(292.9448740891642))
(np.float64(247.159354585825), np.float64(292.5629211906181))
(np.float64(245.65435920299015), np.float64(293.2141111119535))
(np.float64(252.9904512742005), np.float64(293.8212183047906))
(np.float64(242.69384851949334), np.float64(292.736587775856))
(np.float64(251.66484958173157), np.float64(290.70426961545064))
(np.float64(250.49357955474076), np.float64(291.85547890818316))
(np.float64(250.65853408427574), np.float64(291.60875234508177))
(np.float64(252.0571699177306), np.float64(291.03629530485244))
(np.float64(251.05369991080119), np.float64(292.9651626486164))
(np.float64(251.54119411071895), np.float64(291.4059280844859))
(np.float64(251.730448619502), np.float64(291.15833508877864))
(np.float64(246.9465968212807), np.float64(292.27668703408597))
(np.float64(248.2020128109066), np.float64(293.3184572099577))
(np.float64(252.65506276894922), np.float64(290.68513464289276))
(np.float64(251.0175453104712), np.float64(291.24875626451313))
(np.float64(251.6471507035417), np.float64(293.9769161105412))
(np.float64(247.98619750082426), np.float64(293.42253318414777))
(np.float64(249.5045800920689), np.float64(293.20150947517294))
(np.float64(249.8564065890896), np.float64(294.1075039769727))
(np.float64(248.86553157521558), np.float64(292.97049918496856))
(np.float64(252.1038521914274), np.float64(290.7181635677325))
(np.float64(251.3414793769812), np.float64(290.6288390692511))
(np.float64(205.306824484532), np.float64(298.76944988090276))
(np.float64(216.65675288940193), np.float64(301.0006640215595))
(np.float64(218.28833107346944), np.float64(300.63255471117236))
(np.float64(218.24799970018617), np.float64(300.8706921004677))
(np.float64(221.27330264141173), np.float64(297.70012404513665))
(np.float64(209.2942272845742), np.float64(299.347769826205))
(np.float64(215.1005806374714), np.float64(301.0207585185351))
(np.float64(219.3514707269704), np.float64(300.9484641238127))
(np.float64(215.1921637839867), np.float64(300.83157135925626))
(np.float64(218.6973567674286), np.float64(299.41157753295096))
(np.float64(212.22540571345206), np.float64(299.38227531074745))
(np.float64(220.19693963231728), np.float64(298.1165333974507))
(np.float64(217.1094672921375), np.float64(300.0985075568091))
(np.float64(216.58526243266363), np.float64(297.97251624989093))
(np.float64(215.34662618495614), np.float64(300.53263453467105))
(np.float64(215.18135296602892), np.float64(301.15832584626526))
(np.float64(214.5765143159792), np.float64(301.89573350882125))
(np.float64(212.20917214758256), np.float64(298.1532442972225))
(np.float64(218.38659265264343), np.float64(300.7205689545848))
