(np.float64(391.2958455046731), np.float64(391.28996635922164))
(np.float64(392.11501837406365), np.float64(390.95951983657875))
(np.float64(392.13717699642143), np.float64(390.99362986276213))
(np.float64(392.8867340933426), np.float64(391.2192625859126))
(np.float64(392.83951500661556), np.float64(391.21918149422066))
(np.float64(393.14525915665894), np.float64(391.17225013217217))
(np.float64(393.0610136685987), np.float64(391.16726826590815))
(np.float64(393.0047301401555), np.float64(391.1751387661117))
(np.float64(392.94065536702846), np.float64(391.18369818205764))
(np.float64(392.74776696694863), np.float64(391.07732727662886))
(np.float64(392.6367214004644), np.float64(391.15458099194046))
(np.float64(392.7303803627475), np.float64(391.00048968654687))
(np.float64(392.4463443698651), np.float64(391.06587940856576))
(np.float64(392.95751625511053), np.float64(390.9393384296752))
(np.float64(392.9591175045697), np.float64(390.91514571133195))
(np.float64(392.44340594272535), np.float64(390.92601993749804))
(np.float64(392.6192989046994), np.float64(390.8993517407137))
(np.float64(392.4671559313626), np.float64(390.83318352633273))
(np.float64(392.19207618532295), np.float64(391.08602742120496))
(np.float64(393.07207850178526), np.float64(391.22200509723154))
(np.float64(393.01495299527267), np.float64(391.2354136508859))
(np.float64(392.95070656681804), np.float64(391.2489935395308))
(np.float64(392.88476213772407), np.float64(391.2564911876501))
(np.float64(393.86758044802406), np.float64(391.25424068108214))
(np.float64(393.8138672414029), np.float64(390.870561584058))
(np.float64(393.5955436828352), np.float64(390.7619921119559))
(np.float64(393.6141597900032), np.float64(390.8199772170544))
(np.float64(393.54620300559685), np.float64(390.78335177265507))
(np.float64(393.55750832962974), np.float64(390.8192519979344))
(np.float64(394.03258075231605), np.float64(391.14417664910025))
(np.float64(393.0642315991658), np.float64(391.3018074432043))
(np.float64(393.48976169295145), np.float64(391.129210383441))
(np.float64(393.3247516788709), np.float64(391.27279564804365))
(np.float64(393.2424098310813), np.float64(391.2414451030387))
(np.float64(393.21718273967537), np.float64(391.2623792444802))
(np.float64(392.976672643086), np.float64(390.75625981420444))
(np.float64(393.91598898481124), np.float64(391.1025793385293))
