(np.float64(189.2916889773355), np.float64(207.27765866467718))
(np.float64(189.7043574054468), np.float64(207.23381715062914))
(np.float64(186.96420864420685), np.float64(208.16596105632135))
(np.float64(186.82157658982993), np.float64(207.98343584013102))
(np.float64(188.8666578977352), np.float64(208.66617733871257))
(np.float64(206.6854177376984), np.float64(203.94653790825126))
(np.float64(204.9083883639), np.float64(204.86823644040237))
(np.float64(206.95991420238406), np.float64(206.92568817671855))
(np.float64(207.79576156644347), np.float64(207.01536595133703))
(np.float64(207.4745484969935), np.float64(206.38944063748113))
(np.float64(204.2685649706183), np.float64(205.2011222593166))
(np.float64(206.65086039888072), np.float64(206.17939673144943))
(np.float64(202.7229968567022), np.float64(204.99979807381067))
(np.float64(200.93465903786958), np.float64(204.4930685770398))
(np.float64(204.09758984713906), np.float64(205.29530201677827))
(np.float64(204.5288586039874), np.float64(205.58909115531816))
(np.float64(206.33384109454514), np.float64(206.13576188606476))
(np.float64(213.6853656734177), np.float64(203.694382020022))
(np.float64(209.112349967008), np.float64(203.06483594394723))
(np.float64(207.73065183305627), np.float64(207.15384080297656))
(np.float64(208.87354827442934), np.float64(202.53476894921096))
(np.float64(201.61971152978413), np.float64(204.90977678072517))
(np.float64(202.53712049012674), np.float64(204.9220655659975))
(np.float64(195.73743814570284), np.float64(203.03461953110238))
(np.float64(191.1006774524645), np.float64(203.14934348684548))
(np.float64(212.56941513081173), np.float64(203.40372697233525))
(np.float64(208.9965112288902), np.float64(203.05157484625929))
(np.float64(210.6471894494432), np.float64(203.05808345453352))
(np.float64(190.45464481776332), np.float64(203.71250346764708))
(np.float64(198.8295479540057), np.float64(204.1483480984517))
(np.float64(194.77323368850404), np.float64(203.68715031385864))
(np.float64(196.5521044558294), np.float64(206.01244172614238))
(np.float64(190.79289979362818), np.float64(203.17441269849735))
(np.float64(192.98190143781406), np.float64(201.96791875097546))
(np.float64(191.70344652874905), np.float64(203.29816231711416))
(np.float64(193.8719044977903), np.float64(204.42826510310474))
(np.float64(192.29391520027718), np.float64(203.36971197737128))
(np.float64(209.3508503091241), np.float64(203.00867334128444))
(np.float64(205.00339560077347), np.float64(204.76866457029323))
(np.float64(196.24224820701718), np.float64(203.92515218669794))
(np.float64(220.62676665779983), np.float64(212.77846963462468))
(np.float64(204.51297008266545), np.float64(214.10117543104184))
(np.float64(204.89438007529384), np.float64(213.95193793006723))
