(np.float64(121.8013694336927), np.float64(340.21670245514576))
(np.float64(122.37260663969323), np.float64(338.9302082203437))
(np.float64(122.42989617240947), np.float64(338.2040469693607))
(np.float64(121.86159236526265), np.float64(337.9762183462287))
(np.float64(122.45849447045728), np.float64(338.13500224237214))
(np.float64(124.25405238986878), np.float64(338.3464638590533))
(np.float64(122.867692686681), np.float64(338.1113342563625))
(np.float64(122.7041346339416), np.float64(337.88670008830496))
(np.float64(124.79533868850697), np.float64(340.0710842618296))
(np.float64(124.59831495548464), np.float64(336.19362271723946))
(np.float64(122.71702733628366), np.float64(338.23484799391))
(np.float64(121.58201230198495), np.float64(338.1882804535554))
(np.float64(121.2486080629738), np.float64(338.1260327618624))
(np.float64(124.35678116893612), np.float64(341.9594916999423))
(np.float64(122.69344328114461), np.float64(344.8699222142499))
(np.float64(122.9673916625016), np.float64(342.6279789397386))
(np.float64(122.5907398169008), np.float64(341.7751294357202))
(np.float64(122.49088045605353), np.float64(341.907100770051))
(np.float64(121.54534845751513), np.float64(346.2003356002111))
(np.float64(121.21987434794318), np.float64(346.5821277699302))
(np.float64(121.73547840847479), np.float64(348.748017280107))
(np.float64(119.04457669428947), np.float64(348.2532470502767))
(np.float64(117.99074093304131), np.float64(348.0385615843004))
(np.float64(117.02008691695917), np.float64(347.9538331301786))
(np.float64(115.957104700882), np.float64(347.6220029578157))
(np.float64(117.87239065203718), np.float64(346.7865895614789))
(np.float64(117.57085604551828), np.float64(347.78688879163957))
(np.float64(121.2919588361632), np.float64(348.69793346338963))
(np.float64(118.63898081253143), np.float64(347.8818932843358))
(np.float64(118.8476153813859), np.float64(347.6360451539524))
(np.float64(118.81741236608927), np.float64(347.43506982029527))
(np.float64(119.36026020806332), np.float64(347.9860691988825))
(np.float64(121.4456829458177), np.float64(347.77373096767553))
(np.float64(122.58179484034547), np.float64(348.86306245107403))
(np.float64(119.56718914714843), np.float64(346.01894845560986))
(np.float64(120.99724328095432), np.float64(346.21355130351924))
(np.float64(122.71232016570501), np.float64(346.1387354905219))
(np.float64(116.62392098140447), np.float64(347.8895752978702))
(np.float64(118.41513272659085), np.float64(345.1544747787945))
(np.float64(120.21313942197298), np.float64(344.9096732039679))
(np.float64(123.27734969079349), np.float64(345.38756563453506))
(np.float64(123.6444592339784), np.float64(345.57128001371996))
(np.float64(123.39742848893997), np.float64(346.2144221604082))
(np.float64(124.42423789883524), np.float64(348.15336535899564))
(np.float64(124.04305296541294), np.float64(348.2261417583689))
(np.float64(123.78392051965174), np.float64(347.9892000169752))
(np.float64(117.82967240273129), np.float64(346.6688710313772))
(np.float64(123.39324009890355), np.float64(346.6578231671742))
(np.float64(118.6730647987633), np.float64(347.30081313057605))
(np.float64(123.67883763511936), np.float64(348.18225533479773))
(np.float64(117.93491809974455), np.float64(346.33157704870706))
(np.float64(122.202575273752), np.float64(346.5785964025138))
(np.float64(116.25305600107393), np.float64(352.05045466878306))
(np.float64(116.03760272768177), np.float64(352.9286639327124))
(np.float64(115.76831712927134), np.float64(353.94839189584366))
(np.float64(115.85256053665213), np.float64(354.6538140375708))
