(np.float64(183.98176734517483), np.float64(254.2004601468646))
(np.float64(167.52178826558543), np.float64(260.9677089156168))
(np.float64(173.20441471110848), np.float64(259.87363181066064))
(np.float64(173.56582581752977), np.float64(261.33153303313117))
(np.float64(172.75020725378587), np.float64(260.91199274150466))
(np.float64(173.94105933929376), np.float64(261.41463147151876))
(np.float64(173.74821896802678), np.float64(261.08163783338546))
(np.float64(173.7377188635478), np.float64(260.13849570032994))
(np.float64(173.7188421523748), np.float64(259.0771776388216))
(np.float64(173.8595511468891), np.float64(259.29139964578343))
(np.float64(169.09132466515544), np.float64(258.21407155096364))
(np.float64(170.9380015416602), np.float64(261.6134189658782))
(np.float64(169.7423401593032), np.float64(260.68707220704533))
(np.float64(171.5914238515872), np.float64(260.346053703581))
(np.float64(172.25083658574744), np.float64(261.0265771201438))
(np.float64(168.70881867925831), np.float64(259.9660464601759))
(np.float64(172.30611879143976), np.float64(259.8642028105629))
(np.float64(167.43904276769027), np.float64(261.22733511837055))
(np.float64(172.86645501708722), np.float64(259.59603185867144))
(np.float64(178.67446510398926), np.float64(260.49225675102565))
(np.float64(181.9635771450529), np.float64(260.97169834805817))
(np.float64(178.93805174546404), np.float64(260.08409923592774))
(np.float64(178.76144008516667), np.float64(260.1527748684492))
(np.float64(179.68392085363334), np.float64(258.75700673050517))
(np.float64(178.18504368287338), np.float64(258.9158834760261))
(np.float64(180.9537654273376), np.float64(258.749427505838))
(np.float64(179.6430294331647), np.float64(258.54024924452904))
(np.float64(180.18860087302681), np.float64(258.836349011429))
(np.float64(177.27788653364598), np.float64(259.60877470893274))
(np.float64(179.7293767453634), np.float64(258.89186481996774))
(np.float64(185.8946093752654), np.float64(262.43848244414227))
(np.float64(185.83365994286208), np.float64(260.7260467650251))
(np.float64(186.74102949387577), np.float64(260.0938504815591))
(np.float64(183.2001608111588), np.float64(261.3791552503341))
(np.float64(182.50355002034144), np.float64(259.32072120150644))
(np.float64(188.79958695885344), np.float64(261.92374099125715))
(np.float64(187.63588554478488), np.float64(261.7812130095885))
(np.float64(189.54269796468103), np.float64(261.45712921502155))
(np.float64(189.80928597357521), np.float64(261.3639478914382))
(np.float64(189.8376141312168), np.float64(261.85173902360407))
(np.float64(176.26259103501778), np.float64(259.90103346906426))
(np.float64(175.15253815339588), np.float64(260.3380779296313))
(np.float64(175.39660238223345), np.float64(260.42288123296026))
(np.float64(174.76648306351436), np.float64(261.1029483420904))
(np.float64(175.7173845794709), np.float64(259.303728370833))
(np.float64(176.99281766117184), np.float64(259.1464086706407))
(np.float64(175.60124761188328), np.float64(259.3168330427694))
(np.float64(174.7728372583191), np.float64(259.4121404474772))
(np.float64(174.82916933575322), np.float64(259.60123960590295))
(np.float64(175.82801193113892), np.float64(260.9146167668306))
(np.float64(182.4496178231319), np.float64(261.14765537964473))
(np.float64(156.36760051349768), np.float64(268.40053998702984))
(np.float64(158.19105779899428), np.float64(268.08485603111063))
(np.float64(152.22222418075228), np.float64(270.37276987052314))
(np.float64(152.1044660239477), np.float64(270.4037996851574))
(np.float64(151.56241386511525), np.float64(270.4002654086244))
(np.float64(151.9129936936403), np.float64(270.20647735645554))
(np.float64(152.116697593194), np.float64(270.2698795441415))
(np.float64(152.27006313394673), np.float64(270.21314445110613))
(np.float64(151.97486954465433), np.float64(270.2732547282329))
(np.float64(152.17129387113786), np.float64(270.36222079901))
(np.float64(151.89628469451537), np.float64(270.2860738822602))
(np.float64(151.7984031845244), np.float64(270.33886457358597))
(np.float64(151.85899907629963), np.float64(270.3552599439476))
(np.float64(151.99577404276388), np.float64(269.88266156447804))
(np.float64(151.52009822558074), np.float64(270.1587365320493))
(np.float64(151.57711206943154), np.float64(270.270019424279))
(np.float64(151.69577115663594), np.float64(270.14574840669314))
(np.float64(152.2617033460166), np.float64(270.3243000087765))
(np.float64(151.54721075138207), np.float64(270.1115798950977))
(np.float64(151.74291620615736), np.float64(269.91668928683646))
(np.float64(152.48763140905928), np.float64(270.14956977691037))
(np.float64(153.27256614919278), np.float64(270.2153331388991))
(np.float64(153.22809892280605), np.float64(270.17683804008874))
(np.float64(152.40151765214478), np.float64(270.40704953470583))
(np.float64(152.83957962531622), np.float64(270.46311583340673))
(np.float64(152.7257026128441), np.float64(270.3138978477714))
(np.float64(153.0608312076633), np.float64(269.9932433590316))
(np.float64(152.88753821706993), np.float64(269.86414150694037))
(np.float64(153.27256614919278), np.float64(270.2153331388991))
(np.float64(153.11536489208865), np.float64(270.26880486710235))
(np.float64(152.75513317915798), np.float64(270.0893730747089))
(np.float64(152.55535758579532), np.float64(270.14669496128545))
(np.float64(153.4886559344067), np.float64(269.8807342125408))
(np.float64(153.438566042342), np.float64(270.0099569748902))
(np.float64(153.02152560500755), np.float64(270.2416838174629))
(np.float64(153.91318713289704), np.float64(269.6776362523402))
(np.float64(153.70079435265686), np.float64(269.95172017039073))
(np.float64(153.76071402647221), np.float64(270.2719978676138))
(np.float64(155.39853855725568), np.float64(270.4228895663733))
(np.float64(154.85770896582682), np.float64(270.41748248388427))
(np.float64(155.9339001461952), np.float64(270.4618028510356))
(np.float64(155.29836206752483), np.float64(269.80630937301675))
(np.float64(155.82488756833934), np.float64(269.9114465695682))
(np.float64(155.71872308184052), np.float64(270.0147230814946))
(np.float64(155.68071980563693), np.float64(269.9945126440083))
(np.float64(156.08409301096088), np.float64(270.1326176739027))
(np.float64(156.45807084798895), np.float64(270.1106232191967))
(np.float64(156.80649111375942), np.float64(270.27773962000197))
(np.float64(154.29277827258312), np.float64(270.13646413526754))
(np.float64(158.05619704953486), np.float64(269.8151308520957))
(np.float64(156.17320865547174), np.float64(268.7490303201869))
(np.float64(157.1504530224709), np.float64(269.10768475144454))
(np.float64(157.07587120929173), np.float64(269.4027888117666))
(np.float64(155.769263959263), np.float64(269.30976742912094))
(np.float64(155.1943618252869), np.float64(269.22705160048497))
(np.float64(154.3237154178358), np.float64(269.6337897079412))
(np.float64(158.17959139638276), np.float64(270.0436197240261))
(np.float64(156.11619983990326), np.float64(268.50986195124335))
(np.float64(154.66622848620992), np.float64(270.10994497022637))
(np.float64(156.33092938667997), np.float64(268.63910410771666))
(np.float64(149.5787236119733), np.float64(270.9442252647198))
(np.float64(148.9746116361554), np.float64(271.08222465722935))
(np.float64(149.28095831373642), np.float64(271.0389321787846))
(np.float64(149.5558093593868), np.float64(271.01900853194815))
(np.float64(149.79707456603285), np.float64(271.07560404787523))
(np.float64(149.76196186153734), np.float64(271.0446367186888))
(np.float64(149.58319514661045), np.float64(271.0066959888714))
(np.float64(153.66853892914477), np.float64(270.8796387625765))
(np.float64(153.75278996565936), np.float64(270.68667102135566))
(np.float64(153.25935527761072), np.float64(272.0261110398892))
(np.float64(153.52560656465184), np.float64(270.63404457403533))
(np.float64(153.22281783388843), np.float64(270.66392134724146))
(np.float64(153.23100822054798), np.float64(270.69612668837453))
(np.float64(152.92284737154574), np.float64(270.6883891591499))
(np.float64(152.01662305633147), np.float64(270.54966436569975))
(np.float64(152.40124022938696), np.float64(270.54749719327015))
(np.float64(152.42819393066415), np.float64(270.6321098280897))
(np.float64(152.50329573811084), np.float64(270.48923778249406))
(np.float64(152.6998121342756), np.float64(270.5605887741682))
(np.float64(152.73898006588414), np.float64(270.6581102002477))
(np.float64(153.57722436253323), np.float64(270.8511170327489))
(np.float64(153.3094243629733), np.float64(270.9310413798974))
(np.float64(152.69877942807122), np.float64(270.97407343158767))
(np.float64(152.5503377944421), np.float64(270.9165798463853))
(np.float64(151.8118406758089), np.float64(270.90234861812206))
(np.float64(153.14418426138212), np.float64(271.2903810904985))
(np.float64(153.4340520273525), np.float64(271.3927713514428))
(np.float64(153.56563121240194), np.float64(271.6149517382458))
(np.float64(153.61851943310987), np.float64(272.0171225288943))
(np.float64(153.3862319735903), np.float64(271.773453268026))
(np.float64(152.92370096668475), np.float64(271.5880569332167))
(np.float64(152.52523346259923), np.float64(271.593966505405))
(np.float64(152.4716386808145), np.float64(271.70100335665416))
(np.float64(151.9770039659679), np.float64(271.699168672279))
