(np.float64(122.08402611531702), np.float64(284.2462684980768))
(np.float64(122.81475418309833), np.float64(286.10835950037927))
(np.float64(122.55109766576946), np.float64(284.8304871669746))
(np.float64(125.89132935748576), np.float64(283.26402313913474))
(np.float64(122.83261049870211), np.float64(285.1355562931731))
(np.float64(124.63740174093937), np.float64(284.7859373430601))
(np.float64(124.55775401487759), np.float64(285.7640346013656))
(np.float64(125.8704969892861), np.float64(284.99847751561117))
(np.float64(125.53881207779827), np.float64(283.03829083926104))
(np.float64(115.9815621175305), np.float64(287.78451598085934))
(np.float64(122.30578728858609), np.float64(289.4414394878308))
(np.float64(115.53952727713494), np.float64(288.3662344438086))
(np.float64(115.61507365454443), np.float64(290.35607740638255))
(np.float64(116.85831078525051), np.float64(290.1297495856134))
(np.float64(117.51721670270301), np.float64(290.93744065378365))
(np.float64(119.7336330901069), np.float64(289.6445605391689))
(np.float64(120.01302277201215), np.float64(289.83761785700676))
(np.float64(121.31589140365051), np.float64(289.50574580545714))
(np.float64(121.84647559936526), np.float64(289.52547520799556))
(np.float64(122.71347025641165), np.float64(288.04471946191165))
(np.float64(123.07777245470322), np.float64(289.3337265088473))
(np.float64(124.035658261895), np.float64(289.3502049103103))
(np.float64(116.11943602488354), np.float64(288.34064516653194))
(np.float64(122.96981807127374), np.float64(290.51510021392227))
(np.float64(119.14069951740363), np.float64(292.5003204652138))
(np.float64(120.07618465088521), np.float64(292.47402112047683))
(np.float64(123.15787480730471), np.float64(290.40406793017104))
(np.float64(123.34529052339258), np.float64(292.65580984471234))
(np.float64(124.14062428209468), np.float64(293.0265307560644))
(np.float64(125.09273796209322), np.float64(293.04286267126656))
(np.float64(124.4641505371377), np.float64(286.8728793640016))
(np.float64(121.7526453285306), np.float64(291.8488650867756))
(np.float64(123.93114340043678), np.float64(286.9667580276508))
(np.float64(124.83832985245057), np.float64(287.86698386770786))
(np.float64(124.96192775824055), np.float64(288.0919840999082))
(np.float64(123.5607519460696), np.float64(288.35865831008306))
(np.float64(123.31894299083011), np.float64(289.0201913615463))
