(np.float64(406.8900433050019), np.float64(389.4065420601102))
(np.float64(406.94431135714115), np.float64(389.37390071476955))
(np.float64(407.5294994599138), np.float64(389.4784919060515))
(np.float64(407.25799291896413), np.float64(389.26192605828675))
(np.float64(407.3679430123406), np.float64(389.1938743105732))
(np.float64(407.4741003898888), np.float64(389.2398605119855))
(np.float64(407.6253337633701), np.float64(389.12642511413173))
(np.float64(407.8708868854678), np.float64(389.45397991189543))
(np.float64(407.50711941952824), np.float64(389.0893884536444))
(np.float64(407.39419153966105), np.float64(389.47648291696476))
(np.float64(407.9143170709175), np.float64(389.41391849494215))
(np.float64(407.46698380267696), np.float64(389.43748708604915))
(np.float64(408.1086055889699), np.float64(389.31088507627123))
(np.float64(407.6385474091689), np.float64(389.34634875188374))
(np.float64(407.93089862896073), np.float64(389.2754076429518))
(np.float64(406.91653457722805), np.float64(389.457536249251))
(np.float64(406.9761442311117), np.float64(389.34623044771047))
(np.float64(406.84797023698695), np.float64(389.45523543916863))
(np.float64(407.6550994910519), np.float64(389.2087820908214))
(np.float64(407.16065585112733), np.float64(389.32610407164225))
(np.float64(407.053899760601), np.float64(389.30946306254714))
(np.float64(407.7257450221092), np.float64(389.1397978492627))
(np.float64(407.7934753601931), np.float64(389.0754984407984))
(np.float64(408.1154586245603), np.float64(389.2245370307592))
(np.float64(407.1129821378704), np.float64(389.44772312423777))
(np.float64(408.0811070987515), np.float64(389.2173738707149))
(np.float64(403.6038341462901), np.float64(390.91979945321435))
(np.float64(403.69739566382754), np.float64(390.9219283828564))
(np.float64(404.0682519747), np.float64(390.65925178701957))
(np.float64(403.03372674445376), np.float64(391.127506306388))
(np.float64(402.8028087130028), np.float64(391.2479464385131))
(np.float64(402.8320539262253), np.float64(391.26738917162237))
(np.float64(402.7447013033264), np.float64(391.22716872282666))
(np.float64(402.8611852227425), np.float64(391.43483121193117))
(np.float64(402.7907612831029), np.float64(391.38033795871723))
(np.float64(402.7870722540278), np.float64(391.3507042181606))
(np.float64(403.0407141566916), np.float64(391.2184511235343))
(np.float64(402.79270324238917), np.float64(391.2555853607278))
(np.float64(403.17125716775195), np.float64(391.1218154029752))
(np.float64(403.16373745060537), np.float64(391.0927408799383))
(np.float64(403.5613406094168), np.float64(391.16024007686406))
(np.float64(403.2557925625864), np.float64(391.1835363017062))
(np.float64(403.2646394008354), np.float64(391.40322927056377))
(np.float64(403.7123863757621), np.float64(391.18557032133816))
(np.float64(403.2741355817219), np.float64(391.0327028459347))
(np.float64(403.5192580049957), np.float64(391.4050801975162))
(np.float64(403.44783100870177), np.float64(391.0544811773406))
(np.float64(403.50028298213886), np.float64(391.0245879797359))
(np.float64(403.555819896596), np.float64(391.0613148796618))
(np.float64(403.9070055470585), np.float64(391.34811940533655))
(np.float64(403.8487850876126), np.float64(391.2147913912445))
(np.float64(403.6515432309499), np.float64(391.0574222360322))
(np.float64(403.83207036664476), np.float64(391.15166326681305))
(np.float64(403.75419103726074), np.float64(391.0561912544535))
(np.float64(403.8589670228738), np.float64(390.9893405486362))
(np.float64(403.17012580308034), np.float64(391.3347579430439))
(np.float64(403.167768576614), np.float64(391.3208920516427))
(np.float64(403.84677186536334), np.float64(391.298971840077))
(np.float64(403.5117870102078), np.float64(391.3443248232559))
(np.float64(403.1646532924659), np.float64(391.29417143010886))
(np.float64(403.5879022776604), np.float64(391.28936677767473))
(np.float64(403.10005731135095), np.float64(391.25733883219476))
(np.float64(403.28203103332004), np.float64(391.29085824661814))
(np.float64(403.6745939408484), np.float64(391.2516609592142))
(np.float64(403.3299842500044), np.float64(391.3044080743644))
(np.float64(403.97330230305164), np.float64(391.2141284151493))
