(np.float64(253.23616252726043), np.float64(259.59943595213366))
(np.float64(253.03482677769557), np.float64(259.98473124657386))
(np.float64(252.72748883392714), np.float64(259.31559472778497))
(np.float64(252.17706266924966), np.float64(262.37224853215554))
(np.float64(250.9220860479082), np.float64(259.7917857479918))
(np.float64(249.60100062448333), np.float64(260.45922206855346))
(np.float64(248.6701271241391), np.float64(261.6650723128954))
(np.float64(247.9804775637966), np.float64(262.2900957392598))
(np.float64(246.15975861426512), np.float64(262.10758446259524))
(np.float64(252.77384947060787), np.float64(263.6644432462199))
(np.float64(252.274679587285), np.float64(265.65704156871925))
(np.float64(251.57882720093644), np.float64(265.56663918105033))
(np.float64(250.7969363085858), np.float64(263.4582020435553))
(np.float64(250.1140771903312), np.float64(266.22493104971255))
(np.float64(249.64735848693755), np.float64(265.36989322154494))
(np.float64(248.98903498388123), np.float64(265.79868123878697))
(np.float64(248.70752821957737), np.float64(263.39929299014625))
(np.float64(248.50646503785077), np.float64(263.3913427315958))
(np.float64(248.15295493149426), np.float64(266.21938160221316))
(np.float64(247.67802486135153), np.float64(265.15546490956524))
(np.float64(247.18045275970064), np.float64(264.5446972571543))
(np.float64(246.88607375296735), np.float64(264.86001981564567))
(np.float64(246.61684537300846), np.float64(264.05979378922405))
(np.float64(246.11246583712946), np.float64(265.5513341242424))
(np.float64(245.68982093998375), np.float64(264.3152868611768))
(np.float64(245.22083534592124), np.float64(262.8082539523922))
(np.float64(245.20732104320584), np.float64(265.11358111138236))
(np.float64(245.057787751042), np.float64(264.2578094579499))
(np.float64(244.93426891073992), np.float64(265.24802125741707))
(np.float64(244.8262137881625), np.float64(264.14885755791414))
(np.float64(244.50534784394193), np.float64(264.0727809448704))
(np.float64(244.20324677483043), np.float64(266.33333833843415))
(np.float64(243.86841328847356), np.float64(263.42986292155825))
(np.float64(243.49299163940026), np.float64(264.8477858793872))
(np.float64(243.17764796849315), np.float64(266.5931687249792))
(np.float64(241.7927938039223), np.float64(266.49605803013816))
(np.float64(240.90795288785154), np.float64(266.26155279710855))
(np.float64(240.04436203461475), np.float64(265.95615687987686))
(np.float64(239.81277038603315), np.float64(266.0113393518667))
(np.float64(239.15687138446057), np.float64(266.46758211893655))
(np.float64(243.00027686340385), np.float64(266.6473301568082))
(np.float64(245.32079024422455), np.float64(267.1462155172623))
(np.float64(245.22136071526555), np.float64(268.39813899416083))
(np.float64(245.11915695874677), np.float64(269.6396502493515))
(np.float64(244.9767659153918), np.float64(269.1019775448434))
(np.float64(244.7817834936824), np.float64(268.4642678748288))
(np.float64(244.65890307249538), np.float64(269.17563449816885))
(np.float64(244.52808680001266), np.float64(269.11007301691734))
(np.float64(244.40010613487803), np.float64(267.54202279194726))
(np.float64(244.32571002155888), np.float64(269.3244968440096))
(np.float64(244.15600636123906), np.float64(267.03413540521706))
