(np.float64(245.37598748920234), np.float64(223.00543246152478))
(np.float64(247.77715685440998), np.float64(221.9342940628094))
(np.float64(247.38280162249796), np.float64(222.93270854750617))
(np.float64(251.63496508243617), np.float64(220.72052452990997))
(np.float64(244.7000573510235), np.float64(222.29274200721997))
(np.float64(248.5237718830046), np.float64(222.35072553655024))
(np.float64(249.1678538889663), np.float64(218.51030810706536))
(np.float64(234.60485345956192), np.float64(224.4221978930312))
(np.float64(235.49737482459304), np.float64(224.35311449900087))
(np.float64(235.7472723870223), np.float64(224.25927401753847))
(np.float64(235.86734962465886), np.float64(229.79187220337488))
(np.float64(247.98411388254513), np.float64(226.50905064038488))
(np.float64(247.33065030597632), np.float64(226.87162141246625))
(np.float64(247.21026495568407), np.float64(226.71088307321895))
(np.float64(247.31724835948089), np.float64(226.5761218331749))
(np.float64(247.32850946925794), np.float64(226.32116840279232))
(np.float64(246.82391146296382), np.float64(226.29184975618415))
(np.float64(246.72751711232212), np.float64(226.2502415970299))
(np.float64(247.80202693740927), np.float64(226.7504172729691))
(np.float64(247.38650036137759), np.float64(226.67489405920583))
(np.float64(248.2489243051549), np.float64(226.72096232201739))
(np.float64(247.9655192756498), np.float64(226.720145889895))
(np.float64(246.81515322659652), np.float64(223.02697521489915))
(np.float64(247.25669200044527), np.float64(226.67230318571498))
(np.float64(246.22722540073008), np.float64(223.22126490826932))
(np.float64(248.4062890682919), np.float64(226.8885696366483))
(np.float64(248.03344797099498), np.float64(226.85077193851325))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(247.77610767622636), np.float64(223.16346295645212))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(252.9009104793225), np.float64(224.94938867818988))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(246.7204175172493), np.float64(223.08599663302928))
(np.float64(247.16781632661483), np.float64(226.464040205964))
(np.float64(246.52863065888633), np.float64(226.1971061144956))
(np.float64(253.10667094843947), np.float64(225.38041471703198))
(np.float64(238.0672284948854), np.float64(223.82680396475837))
(np.float64(244.96712235366826), np.float64(225.73569560057757))
(np.float64(238.0789222107674), np.float64(225.2512341369105))
(np.float64(242.4438930450667), np.float64(225.89949996941652))
(np.float64(242.42207964065742), np.float64(225.28981675171826))
(np.float64(242.49683484304794), np.float64(225.17699681434914))
(np.float64(241.79393955989494), np.float64(225.16119520729507))
(np.float64(241.26312995819933), np.float64(224.90215579807833))
(np.float64(240.5863867979553), np.float64(224.6162136443658))
(np.float64(246.56358020412745), np.float64(226.17503220447784))
(np.float64(246.11366256953627), np.float64(226.3316452917883))
(np.float64(246.36386616393924), np.float64(226.16041824525095))
(np.float64(238.945778503217), np.float64(224.9700806960841))
(np.float64(239.64927631391137), np.float64(224.8179646824796))
(np.float64(239.72694514878884), np.float64(224.30242400976))
(np.float64(239.98029679789994), np.float64(224.31523140609923))
(np.float64(239.8873218560979), np.float64(224.50892842708197))
(np.float64(239.193737747537), np.float64(224.26086324500002))
(np.float64(246.3151642526006), np.float64(226.0942172426718))
(np.float64(248.53746737746357), np.float64(226.36627308054514))
(np.float64(246.1402859643528), np.float64(226.14001374528462))
(np.float64(247.89230845104416), np.float64(227.0015841819584))
(np.float64(252.90537473161174), np.float64(227.75402665628923))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(247.4487626969598), np.float64(227.10651616440697))
(np.float64(248.70669231014043), np.float64(227.0355376005654))
(np.float64(252.5933743516826), np.float64(227.79683682704618))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(247.3063543146886), np.float64(227.44010829316534))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(248.14887820410732), np.float64(227.1862952980328))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(248.62213003997132), np.float64(227.01970326592604))
(np.float64(251.51808878321168), np.float64(228.27439113313852))
(np.float64(251.56911775130447), np.float64(228.17687085858782))
(np.float64(253.41955370613067), np.float64(228.7511570679857))
(np.float64(240.38648445707287), np.float64(230.93434062386552))
(np.float64(251.35076801096523), np.float64(228.30879122272705))
(np.float64(241.51336788366982), np.float64(230.93045264694564))
(np.float64(241.0404326565174), np.float64(230.9446402384196))
(np.float64(253.30747352616112), np.float64(229.04201726916762))
(np.float64(253.23050258290232), np.float64(227.57562117682983))
(np.float64(253.3026363136604), np.float64(227.199309847886))
(np.float64(252.693707585268), np.float64(227.72106852000954))
(np.float64(252.21473199780453), np.float64(227.76014374563005))
(np.float64(252.04194547713428), np.float64(227.81161309087253))
(np.float64(251.5518409024829), np.float64(227.82783076254765))
(np.float64(251.79249872668402), np.float64(227.770684332213))
(np.float64(252.96066179221134), np.float64(227.67428443211122))
(np.float64(252.40726477660635), np.float64(227.83507695369767))
(np.float64(251.51443755297902), np.float64(227.53026098145722))
(np.float64(252.74112658976378), np.float64(227.83020145209738))
(np.float64(252.90537473161174), np.float64(227.75402665628923))
(np.float64(252.56468745174075), np.float64(227.79256551309314))
(np.float64(251.8451995136433), np.float64(227.95846923553117))
(np.float64(249.01339703646227), np.float64(227.19799419882315))
(np.float64(252.75904411175486), np.float64(228.84732308704298))
(np.float64(252.24427041221574), np.float64(227.94784658754895))
(np.float64(252.30427435318998), np.float64(228.77606670234104))
(np.float64(240.06227227426658), np.float64(231.01664123637053))
(np.float64(241.39947856056622), np.float64(230.9614906434775))
(np.float64(251.14639136122767), np.float64(238.2367383757953))
(np.float64(231.20178984866334), np.float64(235.3160924901672))
(np.float64(234.53759768778664), np.float64(232.68150191085846))
(np.float64(240.0283159024927), np.float64(234.51302637572397))
(np.float64(240.56810099724916), np.float64(235.29748334086224))
(np.float64(236.04409826244523), np.float64(233.37268106663427))
(np.float64(238.35033390782036), np.float64(233.06144836579756))
(np.float64(240.0999242639065), np.float64(234.57826361142378))
(np.float64(239.0657328079093), np.float64(234.19804091139508))
(np.float64(237.5866963923807), np.float64(234.16687164086886))
(np.float64(243.9113822585937), np.float64(236.6079925953245))
(np.float64(244.50931897728353), np.float64(236.5930900878547))
(np.float64(246.97183414265095), np.float64(236.66723740955095))
(np.float64(246.06147640178497), np.float64(236.78988029020942))
(np.float64(247.95105740083565), np.float64(238.3028432562297))
(np.float64(247.61618767612907), np.float64(237.59420865925608))
(np.float64(244.98677255414958), np.float64(235.56641387584267))
(np.float64(241.84587656734064), np.float64(234.8352497280924))
(np.float64(246.76410154452927), np.float64(237.67075012527138))
(np.float64(246.39248838970406), np.float64(232.946957685032))
(np.float64(243.1459597011294), np.float64(231.1337966701294))
(np.float64(247.5870277703959), np.float64(237.4608670692778))
(np.float64(251.3647464766265), np.float64(240.03333917025876))
(np.float64(251.6595065928672), np.float64(240.15096872980524))
(np.float64(248.58236755673244), np.float64(242.04760582310558))
(np.float64(246.23506900895836), np.float64(241.7869538528752))
(np.float64(248.2263639399738), np.float64(241.6012747880615))
(np.float64(248.80359902592446), np.float64(241.74029734196102))
(np.float64(248.92591749265503), np.float64(241.66390630164085))
(np.float64(249.91298418565844), np.float64(241.8636509567528))
(np.float64(249.67241322946762), np.float64(241.43665410831215))
(np.float64(249.62642676672107), np.float64(241.74040219145834))
(np.float64(249.67707011718386), np.float64(241.388895829194))
(np.float64(249.11689583707292), np.float64(241.86425490197507))
(np.float64(248.64770425660302), np.float64(241.86461448120556))
(np.float64(251.5959467857302), np.float64(240.41210955324158))
(np.float64(248.43786289876607), np.float64(241.6333812797546))
(np.float64(253.24084282252295), np.float64(244.4967528550227))
(np.float64(250.71612756829487), np.float64(242.9630835073387))
(np.float64(253.45013679059187), np.float64(242.45996743938434))
(np.float64(250.5062421695957), np.float64(241.74845511766497))
(np.float64(252.24320840322994), np.float64(242.25429957558757))
(np.float64(251.68422634741427), np.float64(240.76187923207797))
(np.float64(252.7349787281276), np.float64(242.1996460177956))
(np.float64(251.73892648548645), np.float64(239.94012627061284))
(np.float64(250.51504496698368), np.float64(239.43094390168523))
(np.float64(251.91943610887895), np.float64(240.54697752158543))
(np.float64(251.31818904316722), np.float64(240.1898014682364))
(np.float64(244.90802523832423), np.float64(241.02227980594333))
(np.float64(248.6980289176772), np.float64(241.7956024817988))
(np.float64(247.68075036652056), np.float64(239.8999538222835))
(np.float64(244.17135720258406), np.float64(241.2430772097009))
(np.float64(245.52732472283174), np.float64(241.0500533467281))
(np.float64(248.37433915659145), np.float64(241.5424388262657))
(np.float64(247.60753867497797), np.float64(241.1647697872483))
(np.float64(246.528570319447), np.float64(240.8931717719759))
(np.float64(245.7428555012031), np.float64(241.49745069509314))
(np.float64(247.50558563928456), np.float64(241.58665761668277))
(np.float64(246.81723355048692), np.float64(242.36275365263734))
(np.float64(251.406643207794), np.float64(240.68146360746172))
(np.float64(250.94991276391886), np.float64(241.65868661489895))
(np.float64(251.34907278454634), np.float64(240.0058885416841))
(np.float64(264.18877299859054), np.float64(222.78096338596438))
(np.float64(274.98753261274265), np.float64(222.69150767409894))
(np.float64(274.6156968261558), np.float64(222.68998408363544))
(np.float64(275.1776878785271), np.float64(222.69570262367574))
(np.float64(262.18089304175453), np.float64(226.92741176911096))
(np.float64(261.77855878463754), np.float64(226.5252867970869))
(np.float64(262.3887893193076), np.float64(226.94572085491416))
(np.float64(266.6255032794311), np.float64(223.82344678084323))
(np.float64(264.9734495621733), np.float64(223.13165295246776))
(np.float64(258.0469988900417), np.float64(226.40298440456243))
(np.float64(255.72967257650663), np.float64(225.34021451086056))
(np.float64(254.87443041428764), np.float64(225.59587425108901))
(np.float64(256.8549081119319), np.float64(224.5365336026057))
(np.float64(260.4961421052484), np.float64(224.83953931494656))
(np.float64(253.43525583403937), np.float64(225.06864043521233))
(np.float64(254.62685297302951), np.float64(225.76828252114987))
(np.float64(253.43614913530294), np.float64(224.38519838441565))
(np.float64(254.5639695572497), np.float64(226.8986495521188))
(np.float64(254.51794425532415), np.float64(226.81212526248248))
(np.float64(254.80259005809464), np.float64(225.44609226001134))
(np.float64(256.2233527836789), np.float64(225.69893160938759))
(np.float64(260.5618493379033), np.float64(230.58670490501515))
(np.float64(260.3370486515718), np.float64(230.70498737995322))
(np.float64(254.98297015973952), np.float64(229.06837267505227))
(np.float64(258.9543665337855), np.float64(229.6740119749349))
(np.float64(258.21371123950667), np.float64(230.1270324684804))
(np.float64(258.2223179336903), np.float64(230.16671751816853))
(np.float64(258.1750551528882), np.float64(230.15341411704242))
(np.float64(258.5898453448957), np.float64(230.120496284183))
(np.float64(255.557359755176), np.float64(228.8740572238554))
(np.float64(260.7790479471919), np.float64(230.39343619119643))
(np.float64(267.08462129289074), np.float64(230.5346480389516))
(np.float64(261.35427518595765), np.float64(230.70879626519826))
(np.float64(262.5571344750702), np.float64(229.69794044830408))
(np.float64(262.77584313109827), np.float64(229.36697495095564))
(np.float64(263.0727837901831), np.float64(229.40497543892758))
(np.float64(262.4664886706795), np.float64(229.7385178702428))
(np.float64(262.11705251747105), np.float64(229.7411514108096))
(np.float64(262.4178387760981), np.float64(229.42321240282476))
(np.float64(262.0502846629577), np.float64(226.9611659736793))
(np.float64(262.4868013913778), np.float64(227.55559577143416))
(np.float64(262.05453790055856), np.float64(227.06046481085068))
(np.float64(262.1226188316467), np.float64(227.02408421729731))
(np.float64(262.2946453873629), np.float64(227.00735375279203))
(np.float64(269.04584706509104), np.float64(230.87998991747824))
(np.float64(266.498866207367), np.float64(230.75459004051416))
(np.float64(267.020528140512), np.float64(228.69717400151276))
(np.float64(266.4372339682054), np.float64(230.01685092021444))
(np.float64(266.2733424879881), np.float64(228.5176766933358))
(np.float64(267.1588708923172), np.float64(229.02968205920396))
(np.float64(266.5384991688559), np.float64(227.5951958506021))
(np.float64(267.88019970378684), np.float64(230.3168930281958))
(np.float64(255.38583810887434), np.float64(228.87674518919138))
(np.float64(254.93832503600905), np.float64(229.0701440860895))
(np.float64(254.9863131039218), np.float64(229.07028469350502))
(np.float64(255.17899326356064), np.float64(228.93504169123503))
(np.float64(255.36543852016814), np.float64(229.09088561960797))
(np.float64(255.16617234434258), np.float64(229.3033880948194))
(np.float64(258.61342073059024), np.float64(229.88250756298882))
(np.float64(258.4558810177135), np.float64(229.90158192890476))
(np.float64(259.092373083885), np.float64(229.57640066920067))
(np.float64(258.5808079518857), np.float64(229.6419833627768))
(np.float64(257.0430211994664), np.float64(229.86750705457604))
(np.float64(254.8312119370761), np.float64(229.04045634501082))
(np.float64(254.9896631570781), np.float64(228.72366256019774))
(np.float64(254.94539186051819), np.float64(227.05446148018112))
(np.float64(255.12931586445686), np.float64(227.1595540096352))
(np.float64(255.06284277161885), np.float64(227.3968993306821))
(np.float64(257.06292645549723), np.float64(227.40027548447904))
(np.float64(261.3571050714529), np.float64(230.63729018111923))
(np.float64(260.05764007023305), np.float64(230.74872865060857))
(np.float64(260.39810194412445), np.float64(230.49423619437275))
(np.float64(262.0769514050746), np.float64(230.91449170501735))
(np.float64(261.2001314743916), np.float64(230.35638359115669))
(np.float64(261.1111592227697), np.float64(230.3662889594882))
(np.float64(260.84281252699), np.float64(230.30696729603397))
(np.float64(260.7490073976026), np.float64(230.2930980712638))
(np.float64(260.3930235472119), np.float64(230.72187311868652))
(np.float64(260.5949136221241), np.float64(230.64614226655516))
(np.float64(260.372172799752), np.float64(230.5748871545931))
(np.float64(261.50562212939286), np.float64(230.74418818254338))
(np.float64(254.57780775102339), np.float64(229.03000157743992))
(np.float64(254.7354703968468), np.float64(229.10990440922856))
(np.float64(254.80419130755504), np.float64(229.25423046886064))
(np.float64(254.2249624189384), np.float64(228.435127351155))
(np.float64(254.49058846443285), np.float64(228.78925943573145))
(np.float64(254.38778946272427), np.float64(228.92180616955324))
(np.float64(254.03519138366764), np.float64(228.88049019503316))
(np.float64(254.54931851480683), np.float64(229.38641174460923))
(np.float64(253.6921493047734), np.float64(229.32477811944813))
(np.float64(253.625723893982), np.float64(228.6383050090974))
(np.float64(253.44867026455242), np.float64(228.71324227780778))
(np.float64(253.79360488680126), np.float64(229.40131655513218))
(np.float64(254.7247370838683), np.float64(228.88569079068463))
(np.float64(253.64529416202743), np.float64(227.0904119483688))
(np.float64(254.06692455883544), np.float64(227.10359571197836))
(np.float64(253.4752047107014), np.float64(227.26046946847245))
(np.float64(254.61511053478026), np.float64(227.1559730659834))
(np.float64(254.504811235506), np.float64(227.4949831258228))
(np.float64(254.34745011354482), np.float64(227.35590832899607))
(np.float64(254.24135931746324), np.float64(227.29694957813615))
(np.float64(254.55909836046493), np.float64(227.25439547045306))
(np.float64(263.5800213005951), np.float64(228.1864328902669))
(np.float64(261.16285469903), np.float64(230.74317629398908))
(np.float64(255.1807321840658), np.float64(229.34709342573592))
(np.float64(257.65046883711864), np.float64(230.04210110330894))
(np.float64(254.32914974815023), np.float64(227.16260785728986))
(np.float64(263.47246883337766), np.float64(229.6265800019941))
(np.float64(262.4065292907285), np.float64(227.23188276832394))
(np.float64(269.45241149903984), np.float64(230.83300285792242))
(np.float64(270.012373550742), np.float64(224.40846369986903))
(np.float64(272.4891827501542), np.float64(225.31876290988004))
(np.float64(275.73562214327546), np.float64(225.93925223187605))
(np.float64(277.6155505643623), np.float64(223.26520212020722))
(np.float64(281.5504313417309), np.float64(224.12100589516317))
(np.float64(279.12574953112573), np.float64(223.49643792774395))
(np.float64(272.0662900798131), np.float64(225.13317142167054))
(np.float64(269.6257516515029), np.float64(224.48788398154764))
