(np.float64(117.90178862117594), np.float64(227.0677819117737))
(np.float64(122.87501005861819), np.float64(227.17309971612835))
(np.float64(123.98067272515523), np.float64(227.06990587166817))
(np.float64(124.76512353596506), np.float64(226.83188272589732))
(np.float64(125.1510957457992), np.float64(226.66263157721855))
(np.float64(125.19805318817714), np.float64(226.8376252055644))
(np.float64(125.24331609770547), np.float64(227.02066115395667))
(np.float64(125.30454399320205), np.float64(226.907776125053))
(np.float64(125.33246520633578), np.float64(226.88388492477023))
(np.float64(125.37191160102401), np.float64(227.0495260992144))
(np.float64(125.38894587832972), np.float64(226.75900535585671))
(np.float64(125.42465070701367), np.float64(226.9506702360152))
(np.float64(125.44387194256343), np.float64(226.94499842369711))
(np.float64(125.47143302627687), np.float64(227.04805626684632))
(np.float64(125.47613655569326), np.float64(226.5195026200477))
(np.float64(125.49993856109762), np.float64(226.4282528908667))
(np.float64(125.54516939361542), np.float64(226.95888886079283))
(np.float64(125.61694056750147), np.float64(226.87449174319852))
(np.float64(125.9904967219459), np.float64(226.9846683217239))
(np.float64(117.37187440141473), np.float64(227.52310406389935))
(np.float64(117.57335163658878), np.float64(227.69138162742613))
(np.float64(117.84916065768716), np.float64(229.70202909382655))
(np.float64(118.02316194325091), np.float64(229.8309553684621))
(np.float64(118.09214484507312), np.float64(229.7487721510274))
(np.float64(118.209742270064), np.float64(229.2742378134792))
(np.float64(118.33994630520317), np.float64(227.5433686231188))
(np.float64(118.59909383581497), np.float64(230.9751608360236))
(np.float64(118.70818409204729), np.float64(227.45177131482203))
(np.float64(118.85357719638357), np.float64(227.49727648129078))
(np.float64(119.0621469176761), np.float64(228.1187326611025))
(np.float64(119.1398018814036), np.float64(227.5441354790049))
(np.float64(119.21079349735624), np.float64(228.56433138604916))
(np.float64(119.2911191752801), np.float64(228.14477291243182))
(np.float64(119.39248650218866), np.float64(229.10244051900952))
(np.float64(119.43985765124913), np.float64(228.71945997418084))
(np.float64(119.51376480696972), np.float64(229.0404514358719))
(np.float64(119.55190176625887), np.float64(228.15216546862897))
(np.float64(119.6099959983545), np.float64(228.66345507001378))
(np.float64(119.66417943655156), np.float64(228.58570838024824))
(np.float64(119.70425055261445), np.float64(228.6671571057435))
(np.float64(119.76608652410548), np.float64(228.5892258081337))
(np.float64(119.8012257571473), np.float64(227.58621121843277))
(np.float64(119.84270860824492), np.float64(227.31131965622356))
(np.float64(119.98008904987556), np.float64(228.64545895693))
(np.float64(120.04903033827867), np.float64(228.69847213525424))
(np.float64(120.09409402358905), np.float64(228.34857063696168))
(np.float64(120.17175661645402), np.float64(228.99423250494294))
(np.float64(120.20424940980239), np.float64(229.12263071387494))
(np.float64(120.26918644751673), np.float64(228.79885043739168))
(np.float64(120.33434212905577), np.float64(229.14892642221378))
(np.float64(120.36123809172416), np.float64(227.54700508245907))
(np.float64(120.44348301492653), np.float64(228.29041553022196))
(np.float64(120.52596738865698), np.float64(229.00909198169296))
(np.float64(120.55477670138585), np.float64(228.65874835792093))
(np.float64(120.60913439574719), np.float64(227.66873704523573))
(np.float64(120.67070300106963), np.float64(227.70309955870522))
(np.float64(120.77367677910951), np.float64(228.40383389760927))
(np.float64(120.99088683209258), np.float64(228.30410899571842))
(np.float64(121.21610434609927), np.float64(227.6245557703326))
(np.float64(121.4497629675921), np.float64(228.27249032691464))
(np.float64(121.55984015526433), np.float64(228.33199974975724))
(np.float64(121.72225956099528), np.float64(227.9322430430126))
(np.float64(121.83649098103369), np.float64(227.62261993346854))
(np.float64(122.07958371007518), np.float64(227.67786289088667))
(np.float64(122.36310491035361), np.float64(227.65586492099973))
(np.float64(122.46278550691275), np.float64(227.58893863869463))
(np.float64(122.54961293386452), np.float64(227.85086431819252))
(np.float64(122.63153535312868), np.float64(228.56553503402955))
(np.float64(122.77591291678816), np.float64(227.3175685650188))
(np.float64(123.08196968759373), np.float64(227.2305894225094))
(np.float64(123.5882346578681), np.float64(227.7049967891378))
(np.float64(123.82568703552093), np.float64(227.89482583339404))
(np.float64(124.14059237848018), np.float64(227.6754506251845))
(np.float64(124.32353673330718), np.float64(228.150434361012))
(np.float64(124.4293076262761), np.float64(228.42530731698145))
(np.float64(124.52670572712526), np.float64(227.61111503454876))
(np.float64(124.72818695025728), np.float64(228.07990537727034))
(np.float64(124.82730645929567), np.float64(227.3638902242151))
(np.float64(124.95249191679336), np.float64(228.4678670610815))
(np.float64(124.99781256493416), np.float64(227.4339303547525))
(np.float64(125.05469567331335), np.float64(227.4211187765559))
(np.float64(125.18687461167517), np.float64(228.92055779386862))
(np.float64(125.23931288736075), np.float64(227.6089253164468))
(np.float64(125.31498011706341), np.float64(227.59921546515494))
(np.float64(125.3807490762666), np.float64(227.5218044149914))
(np.float64(125.44157765638047), np.float64(227.60025462669986))
(np.float64(125.57212413522679), np.float64(228.95466582003414))
(np.float64(125.59299898378129), np.float64(227.84616900014564))
(np.float64(125.6526988000627), np.float64(227.61282177829693))
(np.float64(125.75043518328103), np.float64(228.16993103403294))
(np.float64(125.76889367964769), np.float64(227.38863985702497))
(np.float64(125.87871113027404), np.float64(227.84106695090583))
(np.float64(125.9814640104458), np.float64(227.93610841365333))
(np.float64(126.09964853135145), np.float64(227.60604153103682))
(np.float64(126.20167889863795), np.float64(228.74541246708782))
(np.float64(126.2712889492755), np.float64(228.8754770557426))
(np.float64(126.33855373729347), np.float64(228.76023564045784))
(np.float64(126.4069641078992), np.float64(228.73976810957922))
(np.float64(126.5036511395465), np.float64(228.78404774906912))
