(np.float64(83.27608070362605), np.float64(136.38583051172714))
(np.float64(82.03513161709783), np.float64(136.10607914503825))
(np.float64(83.5420186763344), np.float64(135.64620434291038))
(np.float64(82.43390393943557), np.float64(135.9289571325122))
(np.float64(83.03000065169877), np.float64(136.47407984831796))
(np.float64(81.60922665580742), np.float64(135.39387281661854))
(np.float64(85.52344238558226), np.float64(134.18079498737148))
(np.float64(85.47076604649972), np.float64(134.00226956735776))
(np.float64(85.42899779673573), np.float64(133.91300234215961))
(np.float64(85.60601172002848), np.float64(134.01646843167345))
(np.float64(82.68960362538044), np.float64(135.14872766272146))
(np.float64(85.20299708360749), np.float64(133.2144751760694))
(np.float64(85.42586690755395), np.float64(133.15282561136374))
(np.float64(85.52433447312427), np.float64(133.26270539914086))
(np.float64(86.75732395405305), np.float64(135.21690498740207))
(np.float64(76.35957130251707), np.float64(134.73622616630269))
(np.float64(73.66424122761619), np.float64(133.31023082753035))
(np.float64(80.33028434965249), np.float64(136.11388558401703))
(np.float64(78.19506596134528), np.float64(135.4764205224209))
(np.float64(76.54242393446225), np.float64(134.02035519645858))
(np.float64(80.5470212234482), np.float64(135.1335408494782))
(np.float64(80.75292733950737), np.float64(134.75588835607573))
(np.float64(77.53607057504331), np.float64(133.63812453765556))
(np.float64(76.92069211439133), np.float64(132.9448288766048))
(np.float64(82.30455141876578), np.float64(136.26103518605314))
(np.float64(76.14714748560795), np.float64(133.16410481113144))
(np.float64(85.46693466486997), np.float64(137.0017550623943))
(np.float64(90.18854666809372), np.float64(143.88827461864997))
(np.float64(87.72447377395366), np.float64(139.06548110168785))
(np.float64(89.57534961723391), np.float64(144.74620338381195))
(np.float64(88.80411522645181), np.float64(142.30621734940138))
(np.float64(89.24604204537494), np.float64(142.07160653959554))
(np.float64(90.0598894382047), np.float64(143.12424500218296))
(np.float64(90.27141769977972), np.float64(141.80366334747742))
(np.float64(88.33323171396528), np.float64(142.73263419224216))
(np.float64(89.6556837912285), np.float64(141.36113798553083))
(np.float64(88.00929851441192), np.float64(141.01300711038618))
(np.float64(88.00342842230963), np.float64(139.9681055709599))
(np.float64(86.34672319241363), np.float64(138.73525882363393))
(np.float64(86.08147825641674), np.float64(140.44185929491513))
(np.float64(84.92830659638466), np.float64(137.67787043641502))
(np.float64(85.37544306785158), np.float64(139.47446074592943))
(np.float64(84.92423749813149), np.float64(138.63097230196007))
(np.float64(81.68075803241277), np.float64(137.62360724602513))
(np.float64(88.05658227530364), np.float64(140.66626030920798))
(np.float64(90.21674235637137), np.float64(143.3768725919389))
(np.float64(88.66851133078252), np.float64(142.87044231017802))
(np.float64(89.30057139506631), np.float64(148.89960940986737))
(np.float64(92.55391809460572), np.float64(147.4432614751152))
(np.float64(91.66574897242606), np.float64(146.05927811757954))
(np.float64(92.79861467394926), np.float64(149.12751233674743))
(np.float64(92.58341437542833), np.float64(146.3568225044853))
(np.float64(92.16427488818204), np.float64(146.5542910770232))
(np.float64(92.59923839595945), np.float64(146.95380687234584))
(np.float64(89.15665990163244), np.float64(148.1380777569034))
(np.float64(89.86285443488389), np.float64(148.8526298655354))
(np.float64(89.43765499434346), np.float64(146.1101947302145))
(np.float64(91.18401077449828), np.float64(146.11125292224466))
(np.float64(91.37732328462215), np.float64(145.33367814474198))
(np.float64(90.00224601809792), np.float64(144.94387414011632))
(np.float64(86.95646563641094), np.float64(152.13690932138314))
(np.float64(86.59986504055662), np.float64(151.3433860263175))
(np.float64(86.23884839462313), np.float64(151.58445526209175))
(np.float64(86.07379052510849), np.float64(147.33704057113349))
(np.float64(92.08529488400696), np.float64(147.52394970842462))
(np.float64(87.16597686117464), np.float64(148.06695416135972))
(np.float64(89.15253115748827), np.float64(148.3730494186744))
(np.float64(105.69287111301583), np.float64(142.52765766845306))
(np.float64(105.97853592423917), np.float64(142.70524332181762))
(np.float64(105.94581668456712), np.float64(142.52262149863355))
(np.float64(105.89516414447299), np.float64(142.70860953612305))
(np.float64(105.69442745466966), np.float64(142.83561439828037))
(np.float64(106.3089661913203), np.float64(141.23805085815943))
(np.float64(105.91451888973197), np.float64(140.10583211234882))
(np.float64(105.42606428691077), np.float64(139.65892731419228))
(np.float64(105.95774048794613), np.float64(140.13511087978134))
(np.float64(101.24306041241574), np.float64(144.6587390851007))
(np.float64(104.72473800282894), np.float64(142.16515962434545))
(np.float64(105.37788531746095), np.float64(142.67011607369545))
(np.float64(105.13304569201439), np.float64(139.56281893205602))
(np.float64(105.33185828164305), np.float64(139.98666938649023))
(np.float64(104.8547615397852), np.float64(141.1172019342053))
(np.float64(104.67905861239898), np.float64(140.62288528451336))
