(np.float64(150.67680968968935), np.float64(213.79641485327872))
(np.float64(150.5053343383044), np.float64(214.18218433411164))
(np.float64(151.8373042701142), np.float64(214.65997549097455))
(np.float64(149.6984812932757), np.float64(214.89937519548366))
(np.float64(149.98383764508338), np.float64(215.09090092278706))
(np.float64(153.04738123235012), np.float64(215.06727027047424))
(np.float64(142.04252824177757), np.float64(221.691939541901))
(np.float64(141.86851013744868), np.float64(221.81134536101672))
(np.float64(141.41890547040683), np.float64(221.695471091138))
(np.float64(141.4372847279007), np.float64(221.9034432195981))
(np.float64(141.18121867051934), np.float64(222.08729099400645))
(np.float64(142.2699172823955), np.float64(222.07026398118384))
(np.float64(141.2298581617503), np.float64(222.04813007058763))
(np.float64(141.58339601039563), np.float64(221.81135936115191))
(np.float64(142.0701942259769), np.float64(221.89067958125582))
(np.float64(140.84846741533138), np.float64(222.20370823882087))
(np.float64(140.5663244859695), np.float64(222.5413301034434))
(np.float64(141.5015699955356), np.float64(222.91600129534783))
(np.float64(141.40728613850158), np.float64(222.89178881923345))
(np.float64(139.74053109592495), np.float64(223.08897338903304))
(np.float64(141.38869760022394), np.float64(222.8605332448437))
(np.float64(139.601624829146), np.float64(223.20560124193815))
(np.float64(139.89415758744636), np.float64(223.19459180235037))
(np.float64(141.41920560714905), np.float64(222.8533522664471))
(np.float64(140.65063724903234), np.float64(222.82870614978432))
(np.float64(141.52857103207234), np.float64(222.8006359394702))
(np.float64(140.4291261030255), np.float64(222.88594627799858))
(np.float64(140.48028008473707), np.float64(222.98235920852915))
(np.float64(140.99621791951893), np.float64(223.18611887208593))
(np.float64(141.40404913512708), np.float64(223.20982267662149))
(np.float64(140.78379757039946), np.float64(223.19316918255942))
(np.float64(141.03568460074965), np.float64(222.97361427564107))
(np.float64(142.07670325735276), np.float64(223.14312736624422))
(np.float64(141.2322015170753), np.float64(222.92721740359983))
(np.float64(140.21561218808048), np.float64(223.1341883708787))
(np.float64(140.322133682986), np.float64(222.96667178439355))
(np.float64(140.43299961823408), np.float64(222.73482409216612))
(np.float64(139.9024431647971), np.float64(223.0828546633103))
(np.float64(142.33000132920043), np.float64(222.8833274648442))
(np.float64(142.34176058620375), np.float64(222.84219191630845))
(np.float64(141.5074326319026), np.float64(223.1212744886637))
(np.float64(140.70937336801913), np.float64(222.7178380494367))
(np.float64(140.9527109226458), np.float64(222.62271494953544))
(np.float64(140.62831980215418), np.float64(222.35340392603672))
(np.float64(140.71055709624497), np.float64(222.63592271337427))
(np.float64(140.89479250722434), np.float64(222.67644971058317))
(np.float64(140.9379541127727), np.float64(222.63483755138697))
(np.float64(140.628672302437), np.float64(222.5539009520438))
(np.float64(140.61375181314486), np.float64(222.695656259593))
(np.float64(140.6821018442977), np.float64(222.70796934812813))
(np.float64(141.08619374795487), np.float64(222.75463107121297))
(np.float64(140.77548702500863), np.float64(222.57021662466616))
(np.float64(142.27148385401492), np.float64(222.45069195592055))
(np.float64(156.23027937098453), np.float64(215.83442864441))
(np.float64(146.7822424265109), np.float64(217.57249075267566))
(np.float64(151.5165283148917), np.float64(217.30116304304238))
(np.float64(156.84723324611), np.float64(219.16290258740855))
(np.float64(152.9729121221743), np.float64(216.51026031872678))
(np.float64(155.26579072885195), np.float64(216.42203346719967))
(np.float64(155.08353316872146), np.float64(215.4706408908834))
(np.float64(154.92231968502742), np.float64(215.64825012023178))
(np.float64(155.71105095556229), np.float64(215.76479118442623))
(np.float64(156.3699168201056), np.float64(215.87745366572707))
(np.float64(156.65872777876717), np.float64(216.01300812554828))
(np.float64(156.95193536791595), np.float64(215.87812827829833))
(np.float64(151.75121738853193), np.float64(215.91786435878151))
(np.float64(155.65740155615902), np.float64(215.44441554686094))
(np.float64(150.8696504077447), np.float64(216.65605421070728))
(np.float64(150.0995876079222), np.float64(222.82177420409272))
(np.float64(142.43317225078988), np.float64(221.79206614463823))
(np.float64(142.84199698662766), np.float64(222.9548247003544))
(np.float64(142.67799973898133), np.float64(222.93483681047005))
(np.float64(142.82899817007691), np.float64(222.9871011330819))
(np.float64(142.4793490948978), np.float64(222.96066148396025))
(np.float64(142.401839604714), np.float64(222.93502129709884))
(np.float64(142.36643213854572), np.float64(222.85042738973104))
(np.float64(142.44141534776733), np.float64(222.8756756940222))
(np.float64(142.4839784137237), np.float64(222.91772125134023))
(np.float64(142.57661177875553), np.float64(222.92221311287466))
(np.float64(142.54489299489734), np.float64(222.97417525075136))
(np.float64(142.59814966769656), np.float64(222.9546312439413))
(np.float64(142.69132747489485), np.float64(221.24859368718492))
(np.float64(143.51220666761546), np.float64(223.16973392606732))
(np.float64(143.59102056490866), np.float64(223.1265045391426))
(np.float64(143.3131138810135), np.float64(223.18404254901836))
(np.float64(144.65548785967417), np.float64(223.10293509954124))
(np.float64(144.1579710691914), np.float64(223.20403971171703))
(np.float64(143.7102039811121), np.float64(222.55824899400915))
(np.float64(144.72209238154198), np.float64(223.1749894919429))
(np.float64(143.43337404427987), np.float64(222.76388843328658))
(np.float64(143.17062834053664), np.float64(222.85417912291166))
(np.float64(143.1885682297386), np.float64(222.8167977318208))
(np.float64(142.91530456240974), np.float64(221.23816461683214))
(np.float64(144.49010367164703), np.float64(221.04800096328287))
(np.float64(143.5052678043477), np.float64(220.63358611506632))
(np.float64(144.08275933296662), np.float64(222.0254619730194))
(np.float64(148.0327376300379), np.float64(223.05265158392427))
(np.float64(149.66916863163982), np.float64(222.40669280399138))
(np.float64(149.7095910342664), np.float64(222.9172407618533))
(np.float64(149.46563829469218), np.float64(222.92061509745375))
(np.float64(148.18822441451485), np.float64(222.4918844140984))
(np.float64(148.31676113889043), np.float64(223.105461366349))
(np.float64(148.32869326495396), np.float64(223.0598448048647))
(np.float64(148.51738599265562), np.float64(223.01870834723283))
(np.float64(148.7519165885354), np.float64(223.165973162499))
(np.float64(149.12266193030916), np.float64(222.8508139995238))
(np.float64(149.79296766892625), np.float64(222.62616134643673))
(np.float64(150.14418574316787), np.float64(222.78648677260622))
(np.float64(149.3047171452204), np.float64(223.09580048522824))
(np.float64(150.18751952421584), np.float64(223.10502166513297))
(np.float64(150.21560233611012), np.float64(222.52790470114064))
(np.float64(150.02111598095118), np.float64(222.82735631857744))
(np.float64(148.6852269325632), np.float64(222.97966487949378))
(np.float64(148.99009945499432), np.float64(223.02488604321735))
(np.float64(149.82265970617965), np.float64(222.48730146077352))
(np.float64(150.08839741433584), np.float64(223.06059881214347))
(np.float64(149.84417349401875), np.float64(223.00597907286038))
(np.float64(149.59117157096392), np.float64(223.01564843891225))
(np.float64(149.35772066976222), np.float64(222.6274439042688))
(np.float64(150.1786149473556), np.float64(222.49722270804534))
(np.float64(149.1989530144372), np.float64(222.5872393344168))
(np.float64(147.6619654129332), np.float64(222.50105571473682))
(np.float64(149.85362979539332), np.float64(222.33689782733418))
(np.float64(150.05448040192283), np.float64(222.23741110955896))
(np.float64(148.2336551648088), np.float64(222.33074601038064))
(np.float64(150.200396274763), np.float64(222.32212726052998))
(np.float64(149.0626682193005), np.float64(222.90318365648443))
(np.float64(149.77493501648738), np.float64(222.90038538705215))
(np.float64(147.5631706619011), np.float64(223.0038899011777))
(np.float64(147.36525536151), np.float64(222.93335612951515))
(np.float64(142.60276788962244), np.float64(222.78320613488452))
(np.float64(149.1367047233714), np.float64(223.04118583689944))
(np.float64(150.13215790626208), np.float64(222.90928862449945))
(np.float64(149.19039486923467), np.float64(222.84620019741786))
(np.float64(149.26273805416514), np.float64(222.84221324984512))
(np.float64(143.00715871629035), np.float64(222.86902569044403))
(np.float64(155.5731265919397), np.float64(220.64241359420427))
(np.float64(156.03284852006817), np.float64(220.51803899986194))
(np.float64(155.86591492596034), np.float64(220.52985481087114))
