(np.float64(9.72208450447114), np.float64(82.6346043976187))
(np.float64(9.857593382834201), np.float64(82.9498184096103))
(np.float64(9.815868133595783), np.float64(83.12322547719069))
(np.float64(11.066601400517298), np.float64(83.15893897339575))
(np.float64(10.373445563338437), np.float64(83.18653245183656))
(np.float64(10.790070039930901), np.float64(82.94291434297452))
(np.float64(10.138561773612746), np.float64(83.12298226272414))
(np.float64(10.222675659243526), np.float64(83.11167578996151))
(np.float64(10.30192944498954), np.float64(83.06997478142203))
(np.float64(10.257862054147674), np.float64(82.77245481899448))
(np.float64(9.963271165790198), np.float64(82.28157699037149))
(np.float64(10.193563262147443), np.float64(82.99889797421346))
(np.float64(10.010214216869592), np.float64(82.4119383697693))
(np.float64(10.333743939701037), np.float64(82.98742974231575))
(np.float64(9.537647268430952), np.float64(83.78752819174804))
(np.float64(9.796911489997933), np.float64(83.75755347820585))
(np.float64(9.590009079460396), np.float64(83.70161857471138))
(np.float64(9.631214854594695), np.float64(83.5412335116029))
(np.float64(9.718726128631502), np.float64(83.56346008975942))
(np.float64(9.79664793838022), np.float64(83.50506388978397))
(np.float64(9.850488759480285), np.float64(83.81551452246552))
(np.float64(9.507045631320885), np.float64(83.88296402194042))
(np.float64(9.47805460668874), np.float64(83.47598112424087))
(np.float64(9.921687575545857), np.float64(83.7356976308992))
(np.float64(9.957805243967966), np.float64(83.75882615715668))
(np.float64(9.874855666957474), np.float64(83.52080798112902))
(np.float64(9.766303957658772), np.float64(84.23053295226663))
(np.float64(9.587581110190692), np.float64(84.05464204253127))
(np.float64(9.58365107009369), np.float64(84.11615724230535))
(np.float64(9.58700667170432), np.float64(84.17616109416065))
(np.float64(9.587604691134176), np.float64(84.20446809463851))
(np.float64(9.5770253477713), np.float64(84.30917492340025))
(np.float64(9.456421527065151), np.float64(84.29667492397029))
(np.float64(9.452636093577386), np.float64(84.40181242355435))
(np.float64(9.93425257226892), np.float64(83.45689639459135))
(np.float64(9.42031426199597), np.float64(83.82829082759625))
(np.float64(9.785733953830135), np.float64(83.4103842487072))
(np.float64(9.704703968896332), np.float64(83.7175039401535))
(np.float64(9.639533375884227), np.float64(84.30660065613124))
(np.float64(9.772238377152217), np.float64(84.39604012541608))
(np.float64(9.673941946747316), np.float64(84.45323231376996))
(np.float64(9.93700738022315), np.float64(84.40022355973228))
(np.float64(9.88710145412732), np.float64(84.04714221256822))
(np.float64(9.619523219381087), np.float64(83.99890459548755))
(np.float64(9.655016513215633), np.float64(84.14021941393752))
(np.float64(9.567913744171934), np.float64(84.41338095945076))
(np.float64(9.438921179535074), np.float64(84.46674674723829))
(np.float64(9.620503041869101), np.float64(84.53954544985466))
(np.float64(9.728249531634855), np.float64(84.48011463383288))
(np.float64(9.813450047515609), np.float64(84.46343623043505))
(np.float64(9.66661122385435), np.float64(84.56026304375068))
(np.float64(9.498634693567972), np.float64(84.67069513989158))
(np.float64(9.257246033800724), np.float64(84.70527286755718))
(np.float64(9.257983458159043), np.float64(84.57490263959055))
(np.float64(9.392500550177425), np.float64(84.31672426899013))
(np.float64(9.420683581036531), np.float64(84.13953577097338))
(np.float64(9.301297299438103), np.float64(84.18237394200422))
(np.float64(10.012575257906535), np.float64(84.36884931753234))
(np.float64(10.094648525783784), np.float64(84.4551385139877))
(np.float64(10.01613008372526), np.float64(84.14109402843928))
(np.float64(9.948381019605115), np.float64(84.06704682892287))
(np.float64(9.871864356112498), np.float64(83.96451602115964))
(np.float64(9.710715719982854), np.float64(83.97908416176557))
(np.float64(9.566665688556219), np.float64(83.94230374617263))
(np.float64(9.993967646809255), np.float64(83.92834391447128))
(np.float64(9.653048025373174), np.float64(84.65939993996639))
(np.float64(9.89481606075667), np.float64(84.11510280788535))
(np.float64(9.795504609859329), np.float64(84.05921445029851))
(np.float64(9.290028387153427), np.float64(84.30438402867472))
(np.float64(9.808211438963854), np.float64(85.1049301794035))
(np.float64(9.835007702828332), np.float64(85.08660806317151))
(np.float64(9.849676777757896), np.float64(85.04566300132362))
(np.float64(9.533916625938055), np.float64(84.95228876678897))
(np.float64(9.392067770682663), np.float64(85.1062047371577))
(np.float64(9.873087963850255), np.float64(85.17839258539402))
(np.float64(9.588132661307775), np.float64(85.02638026976155))
(np.float64(9.551933499958318), np.float64(85.09307964078418))
(np.float64(9.487987034855987), np.float64(85.16344407748356))
(np.float64(9.91040479211984), np.float64(85.04068980181042))
(np.float64(9.204465141019382), np.float64(85.14924006160666))
(np.float64(10.060028940242091), np.float64(85.08178377418604))
(np.float64(10.02424660657769), np.float64(85.16076871832831))
(np.float64(9.905095614149666), np.float64(84.12472284012841))
(np.float64(9.822390169164926), np.float64(83.53470811529056))
(np.float64(9.7209579946932), np.float64(83.76222612936581))
(np.float64(9.2808037337833), np.float64(84.68458254665262))
(np.float64(9.246204087999432), np.float64(85.09953182426865))
(np.float64(10.088299012487791), np.float64(84.29165639068245))
(np.float64(9.413082197562863), np.float64(84.99388650160019))
(np.float64(9.226964299802052), np.float64(85.14955333735438))
(np.float64(9.416789952682775), np.float64(84.51322816554998))
(np.float64(9.40172138898436), np.float64(84.50821496565082))
(np.float64(9.464117581059188), np.float64(84.57031944383992))
(np.float64(9.45025181839391), np.float64(84.56520151565894))
(np.float64(9.44457210765298), np.float64(84.54415294887065))
(np.float64(9.388743205749583), np.float64(84.55909279003372))
(np.float64(9.383208621792374), np.float64(84.58098494071696))
(np.float64(9.372426413048066), np.float64(84.6103129207463))
(np.float64(9.289841473566918), np.float64(84.55926624625084))
(np.float64(9.298835345888007), np.float64(84.56137190293815))
(np.float64(9.57510367502871), np.float64(84.99599155222141))
(np.float64(9.977252232279524), np.float64(84.98798444463834))
(np.float64(9.724581482646899), np.float64(84.66344058502249))
(np.float64(9.418152445188062), np.float64(84.17693988955799))
