(np.float64(5.530243674894477), np.float64(336.36053226756076))
(np.float64(4.297083925759383), np.float64(336.35502742655274))
(np.float64(3.2921728810002238), np.float64(336.34329513150243))
(np.float64(13.21367562362794), np.float64(336.2529782598077))
(np.float64(10.214005157818551), np.float64(336.2915537230285))
(np.float64(12.332554946698364), np.float64(336.3675357897017))
(np.float64(7.3725093562137305), np.float64(336.3142141235498))
(np.float64(7.628051951530548), np.float64(336.3126810178462))
(np.float64(7.783098500777424), np.float64(336.3183612544877))
(np.float64(11.692515683833326), np.float64(336.9969696828734))
(np.float64(11.78930328123134), np.float64(337.33712035978346))
(np.float64(12.36948633073522), np.float64(337.4397723202272))
(np.float64(12.750270041493843), np.float64(338.17785150441546))
(np.float64(12.25840209846061), np.float64(339.84215090075884))
(np.float64(12.53961462125259), np.float64(339.80421720130846))
(np.float64(6.572391095327593), np.float64(337.1300593916335))
(np.float64(11.981954658245938), np.float64(336.5655324279423))
(np.float64(6.549433148657376), np.float64(339.3806140825931))
(np.float64(8.452275995714375), np.float64(338.69101530571083))
(np.float64(9.647302426747217), np.float64(338.40885718851615))
(np.float64(8.033501146001115), np.float64(339.96479293292634))
(np.float64(5.459892211950502), np.float64(336.4183310072244))
(np.float64(5.610752625219191), np.float64(336.50714907657766))
(np.float64(4.215979383449189), np.float64(336.50045598167634))
(np.float64(3.379733917748365), np.float64(336.63094015013394))
(np.float64(2.4156274254585997), np.float64(336.7246576001039))
(np.float64(2.4746706167545605), np.float64(337.0043492086426))
(np.float64(3.8818670228636982), np.float64(338.06385494963257))
(np.float64(2.5339458028383794), np.float64(337.0681849156642))
(np.float64(4.264735392234394), np.float64(336.405838947262))
(np.float64(2.1267909785848897), np.float64(337.1523853040832))
(np.float64(6.0161097500208625), np.float64(338.8679314980662))
(np.float64(6.274588518421637), np.float64(339.3565792445627))
(np.float64(4.709455858291975), np.float64(339.1144101193827))
(np.float64(2.221414505109385), np.float64(339.0770132735979))
(np.float64(5.800256294310297), np.float64(338.9647634023379))
(np.float64(0.35940568668326633), np.float64(338.01674746467097))
(np.float64(0.6556725552636995), np.float64(337.4220802100794))
(np.float64(0.34474580138136035), np.float64(336.9224757517738))
(np.float64(0.35671572630205134), np.float64(337.1754408599368))
(np.float64(0.42395780033567476), np.float64(337.98611219929444))
(np.float64(0.998433396835655), np.float64(336.68188482364536))
(np.float64(0.4878503413887025), np.float64(339.81626446910053))
(np.float64(11.83306307959695), np.float64(336.9756729924814))
(np.float64(12.910748528271474), np.float64(339.58434901864075))
(np.float64(0.6237587085218461), np.float64(339.8393929347477))
(np.float64(12.21243089397177), np.float64(337.3477567654726))
(np.float64(1.303238470849715), np.float64(337.056435044683))
(np.float64(0.9775346205653692), np.float64(336.985330358416))
(np.float64(7.7311557714912515), np.float64(339.69926097620316))
(np.float64(0.7198345431647679), np.float64(336.8630071778124))
(np.float64(5.334779231139901), np.float64(336.49562272290484))
(np.float64(12.717975605416637), np.float64(337.71567261944665))
(np.float64(11.14760797790856), np.float64(338.2391008834456))
(np.float64(1.2480609922411363), np.float64(338.18150608514406))
(np.float64(0.5320472539707333), np.float64(338.26853050081866))
(np.float64(1.6425972424958029), np.float64(337.167753270588))
(np.float64(4.035439416947185), np.float64(336.4786769229871))
(np.float64(1.6148724793534595), np.float64(336.9486037009176))
(np.float64(18.2326418192452), np.float64(336.58055323958445))
(np.float64(16.9167409069366), np.float64(337.34414012450594))
(np.float64(18.111671627105032), np.float64(339.8366246656072))
(np.float64(20.43966571250594), np.float64(339.6793350869161))
(np.float64(18.23328925460176), np.float64(340.0221753655415))
(np.float64(15.018467212651064), np.float64(338.81965024420145))
(np.float64(13.901368833384364), np.float64(339.32055653324846))
(np.float64(15.328774100052426), np.float64(338.912310532451))
(np.float64(22.948872514587705), np.float64(337.24564662843926))
(np.float64(22.475682752057853), np.float64(337.91878736769047))
(np.float64(21.02669018052942), np.float64(339.2861893530692))
(np.float64(21.515041790148153), np.float64(339.0038841435485))
(np.float64(21.515064330746366), np.float64(339.12538386165915))
(np.float64(22.034628947870644), np.float64(339.555087645315))
(np.float64(29.67664254629609), np.float64(339.4373783880319))
(np.float64(29.526679769027428), np.float64(339.2166668032854))
(np.float64(29.328746262761), np.float64(336.9073437269384))
(np.float64(29.081893241675257), np.float64(339.5192452387773))
(np.float64(29.016963312911574), np.float64(336.9206527644815))
(np.float64(28.983179636800674), np.float64(337.10602631119446))
(np.float64(28.764652866075547), np.float64(338.76898217942005))
(np.float64(28.637061112958342), np.float64(336.9770094296208))
(np.float64(28.513791086179676), np.float64(338.8131864242401))
(np.float64(28.391232822168416), np.float64(336.8390282797125))
(np.float64(28.258086025166627), np.float64(337.0812135868645))
(np.float64(28.11684697979928), np.float64(336.87444995491853))
(np.float64(27.920405314399545), np.float64(338.2960854334306))
(np.float64(27.83958825142286), np.float64(336.8541550317704))
(np.float64(27.699056460704025), np.float64(338.7221533032071))
(np.float64(27.587882412803957), np.float64(336.94819351514104))
