(np.float64(101.34584658331835), np.float64(89.37786923791845))
(np.float64(100.56578685454267), np.float64(89.04808684289861))
(np.float64(103.84591039834842), np.float64(88.77546348439502))
(np.float64(100.36248660507972), np.float64(89.0015666363323))
(np.float64(99.47941096467424), np.float64(88.85557025754754))
(np.float64(98.76340849671097), np.float64(88.40456414708262))
(np.float64(98.41903669587646), np.float64(88.3689585307061))
(np.float64(98.13942732982463), np.float64(89.3443699449013))
(np.float64(97.76921637364038), np.float64(87.67584299260616))
(np.float64(97.08455920914811), np.float64(87.89889411508528))
(np.float64(97.73102392979573), np.float64(87.69125368679637))
(np.float64(96.94488448134439), np.float64(88.35712326496186))
(np.float64(96.73804795871406), np.float64(88.13037598559747))
(np.float64(105.05302830013974), np.float64(84.95793779100386))
(np.float64(104.91488511932727), np.float64(87.95946385118975))
(np.float64(104.67809838289277), np.float64(87.00745478406957))
(np.float64(104.55679060194036), np.float64(86.95623428971753))
(np.float64(104.31276278482757), np.float64(87.20320600670169))
(np.float64(103.89818551477838), np.float64(87.13925520766132))
(np.float64(102.68673201551458), np.float64(85.6398041296253))
(np.float64(102.23145873464169), np.float64(87.17554101241838))
(np.float64(101.5445241027316), np.float64(85.89808080420562))
(np.float64(100.91779454330448), np.float64(87.15176272231594))
(np.float64(100.07467835630132), np.float64(87.40398976274909))
(np.float64(97.43554043372423), np.float64(86.58997517900211))
(np.float64(96.5172353978767), np.float64(88.19876737295324))
(np.float64(96.27469682079143), np.float64(86.80574647364466))
(np.float64(96.13565374992565), np.float64(89.10918391742597))
(np.float64(95.93178235636749), np.float64(89.7127567125171))
(np.float64(95.68025892321127), np.float64(89.19291902862716))
(np.float64(95.57186014319528), np.float64(89.15251942658784))
(np.float64(95.50420072131321), np.float64(89.5052933162375))
(np.float64(95.35000325908275), np.float64(89.10091941341967))
(np.float64(94.95115412532395), np.float64(86.98742319679512))
(np.float64(94.27017315911436), np.float64(88.80959878355368))
(np.float64(93.76060876534675), np.float64(87.34687902972581))
(np.float64(92.20021517943239), np.float64(88.18629931322103))
(np.float64(91.66450265070516), np.float64(89.88106979153895))
(np.float64(98.23400334770093), np.float64(87.24141140574389))
(np.float64(94.12513983741498), np.float64(87.26025843613186))
(np.float64(96.14406278039635), np.float64(89.06932292664868))
(np.float64(104.53815074044151), np.float64(88.87580142250704))
(np.float64(95.38412608450346), np.float64(89.15836536180032))
(np.float64(95.36842048880757), np.float64(88.81738710114674))
(np.float64(104.04959418477297), np.float64(88.12278439717535))
(np.float64(103.96272237017556), np.float64(87.15400092573748))
(np.float64(95.46209748356628), np.float64(89.37225597162092))
(np.float64(104.6504773064889), np.float64(89.01413493945378))
(np.float64(115.69690625818436), np.float64(85.65436651259795))
(np.float64(115.56117856261906), np.float64(85.14307757788693))
(np.float64(115.2505524656534), np.float64(82.69995848293219))
(np.float64(120.92372226303942), np.float64(84.1428337421976))
(np.float64(120.58988905909426), np.float64(82.30544394799831))
(np.float64(120.65777180631102), np.float64(84.08426444964451))
(np.float64(120.39903486135945), np.float64(82.2714494380818))
(np.float64(120.2352860804716), np.float64(82.21573520338247))
(np.float64(120.0020376978741), np.float64(82.18726856500037))
(np.float64(119.91427726352184), np.float64(82.06023727835111))
(np.float64(119.74274434692286), np.float64(84.02079559464809))
(np.float64(119.5144190045034), np.float64(82.44988116021591))
(np.float64(119.3475323988594), np.float64(82.30151263732779))
(np.float64(119.340762069929), np.float64(83.90165220230911))
(np.float64(119.19323974594641), np.float64(83.48022765007623))
(np.float64(119.06557950409517), np.float64(82.54597160278617))
(np.float64(119.00440553264791), np.float64(83.46847656696468))
(np.float64(118.90938806581134), np.float64(84.8575750647793))
(np.float64(118.61414419364176), np.float64(84.58347114653196))
(np.float64(118.45142881251768), np.float64(84.50147047631242))
(np.float64(118.08871832727053), np.float64(82.1105890976553))
(np.float64(117.96168540760969), np.float64(82.00779659040204))
(np.float64(118.04136156950987), np.float64(84.3610066963821))
(np.float64(117.83619599881033), np.float64(82.73302516571248))
(np.float64(117.73128806399423), np.float64(82.18968440649813))
(np.float64(117.96821871348965), np.float64(85.65879200985542))
(np.float64(117.6787514766248), np.float64(83.08487025852034))
(np.float64(117.5486459265667), np.float64(83.06378181256157))
(np.float64(117.50651061183021), np.float64(84.29059856229173))
(np.float64(117.23794163107348), np.float64(84.31436545834387))
(np.float64(117.0865355619205), np.float64(84.26821828568144))
(np.float64(116.88950125215908), np.float64(85.35202086723217))
(np.float64(116.53758736695728), np.float64(84.10453852410657))
(np.float64(116.47825218821752), np.float64(84.30363923360855))
(np.float64(116.3749888501622), np.float64(84.4010128400778))
(np.float64(116.35446095343991), np.float64(85.18847850092101))
(np.float64(116.1750277303454), np.float64(83.84602760484141))
(np.float64(116.10953723422315), np.float64(83.7113511534927))
(np.float64(116.02354918449673), np.float64(83.25398134524453))
(np.float64(116.05495222658888), np.float64(84.53646293525662))
(np.float64(116.05397431138307), np.float64(85.63953649067794))
(np.float64(116.02667608571807), np.float64(85.52586412084074))
(np.float64(115.97587755190575), np.float64(85.64024207324485))
(np.float64(115.92662582334482), np.float64(85.57963888227097))
(np.float64(115.64661089989535), np.float64(82.93222575496856))
(np.float64(115.58835766988697), np.float64(82.90990311527756))
(np.float64(115.67231845283779), np.float64(85.04287430773998))
(np.float64(115.1273023786535), np.float64(85.31168272032923))
(np.float64(114.41761821392126), np.float64(82.60145680496873))
(np.float64(114.29606491383538), np.float64(83.58902288193212))
(np.float64(113.87193320411637), np.float64(83.8118503052823))
(np.float64(112.54287482411286), np.float64(83.48526509263303))
(np.float64(111.23150786656392), np.float64(83.43473145339264))
(np.float64(110.67997218424867), np.float64(83.49688999270974))
(np.float64(109.5285956228268), np.float64(84.23948025074093))
(np.float64(107.99054861317856), np.float64(84.07932306861788))
(np.float64(107.23550253367229), np.float64(85.61565250258295))
(np.float64(106.61095507759552), np.float64(85.4797613122422))
(np.float64(105.99873490161842), np.float64(84.93304973261785))
(np.float64(121.03299267066882), np.float64(84.16554571897909))
(np.float64(120.60653477115237), np.float64(84.08013822799954))
(np.float64(114.0328552205251), np.float64(83.55424709174969))
(np.float64(118.14952748779982), np.float64(82.13474327017312))
(np.float64(116.63642321123397), np.float64(82.90383196577139))
(np.float64(116.04649360680162), np.float64(84.6420859546777))
(np.float64(115.70179115272924), np.float64(83.41198062775307))
(np.float64(115.91551261456817), np.float64(83.54660216947767))
(np.float64(120.14378286637994), np.float64(83.9862018668276))
(np.float64(117.75510029935425), np.float64(82.16844123177404))
(np.float64(115.59341994160609), np.float64(83.44696102597231))
