(np.float64(181.61274607555143), np.float64(293.8993079069587))
(np.float64(184.56060003943102), np.float64(289.909637703625))
(np.float64(187.8635549557771), np.float64(289.7169910564143))
(np.float64(167.9443870411956), np.float64(293.215733915493))
(np.float64(170.2387951141949), np.float64(292.9991478857143))
(np.float64(174.96309551730596), np.float64(289.13179837811475))
(np.float64(187.56655915891272), np.float64(290.3820326871933))
(np.float64(185.94679190184334), np.float64(289.5790563311947))
(np.float64(188.60603014331764), np.float64(289.4212106865339))
(np.float64(173.75237961578543), np.float64(293.23136903609026))
(np.float64(150.84625638718117), np.float64(301.8769033270826))
(np.float64(156.8225819802994), np.float64(301.67181292340587))
(np.float64(154.4195190314017), np.float64(300.9806009794379))
(np.float64(157.54010663224753), np.float64(297.47380737598945))
(np.float64(138.55772929858625), np.float64(307.7363946679325))
(np.float64(139.85680244015748), np.float64(307.75227057873366))
(np.float64(141.2491721605382), np.float64(307.5148833784975))
(np.float64(141.40016382944805), np.float64(307.3938643316909))
(np.float64(151.33382687835658), np.float64(308.7379097886155))
(np.float64(145.84362501675335), np.float64(309.5008940010537))
(np.float64(144.56195512473886), np.float64(309.528964817433))
(np.float64(145.2901622866286), np.float64(309.73402752387364))
(np.float64(149.14060285985514), np.float64(309.431039629885))
(np.float64(151.30951458847946), np.float64(307.8269089960787))
(np.float64(152.59605116916603), np.float64(304.31353514730324))
(np.float64(141.9668356972403), np.float64(305.59581012925804))
(np.float64(143.7450196698667), np.float64(305.3660399116286))
(np.float64(142.1010575074225), np.float64(309.67492046855295))
(np.float64(143.5548064920849), np.float64(309.37824051423075))
(np.float64(141.81184289865533), np.float64(305.85664531338074))
(np.float64(142.0180084049967), np.float64(306.0648944748154))
(np.float64(153.29955782270216), np.float64(304.5374467023283))
(np.float64(150.12913330467273), np.float64(305.4133932777528))
(np.float64(150.92495810165042), np.float64(304.7749179639809))
(np.float64(149.72185936203323), np.float64(305.1155067663328))
(np.float64(147.22636331264223), np.float64(308.02813839279094))
(np.float64(147.8285184177045), np.float64(308.84971086766404))
(np.float64(147.34654250315327), np.float64(307.998088163366))
(np.float64(148.52370429589652), np.float64(309.5047639171905))
(np.float64(148.51370077814133), np.float64(309.65326559287973))
(np.float64(147.05616098492422), np.float64(309.7857969326153))
(np.float64(147.32534879181173), np.float64(307.0588133403658))
(np.float64(151.18047330147533), np.float64(308.0902831137934))
(np.float64(150.75365631288136), np.float64(306.8486515544123))
(np.float64(150.9353956126195), np.float64(307.6903272536127))
(np.float64(146.86000783919093), np.float64(306.06242160246353))
(np.float64(148.50980489572444), np.float64(306.3672035743745))
(np.float64(146.49946073126034), np.float64(307.68356815807556))
(np.float64(146.93966839604755), np.float64(307.748075204907))
(np.float64(145.6044399605968), np.float64(305.0772988218065))
(np.float64(144.59444670436562), np.float64(305.43479663584213))
(np.float64(149.02176812937503), np.float64(305.0175347904514))
(np.float64(153.48807109256865), np.float64(302.8896698896939))
(np.float64(153.20447013323425), np.float64(302.5452600201635))
(np.float64(157.07889511732046), np.float64(308.62789824198825))
(np.float64(154.21781344262297), np.float64(308.959248288502))
(np.float64(155.93398129234902), np.float64(308.1558692619506))
(np.float64(154.1300065399555), np.float64(308.80575880709654))
(np.float64(154.6515483143791), np.float64(307.02313408691595))
(np.float64(152.06704845654127), np.float64(302.32694833736764))
(np.float64(151.160022042783), np.float64(308.1780368698411))
(np.float64(142.05124226388781), np.float64(306.0494075374661))
(np.float64(145.2438753403651), np.float64(309.46911442160496))
(np.float64(152.2571125195937), np.float64(304.57121514945675))
(np.float64(153.8927237369619), np.float64(302.59844623046024))
(np.float64(151.7557083427623), np.float64(309.21275655342225))
(np.float64(142.38255993699357), np.float64(305.5815098700295))
(np.float64(149.02404594357748), np.float64(305.07053742321716))
(np.float64(147.58405365975156), np.float64(306.6888140723424))
(np.float64(146.59752846128583), np.float64(306.24738356944374))
(np.float64(153.8455566670032), np.float64(309.1466227636162))
(np.float64(145.42568624986444), np.float64(309.5505084193001))
(np.float64(181.27591791959043), np.float64(299.57418595085574))
(np.float64(181.8439923327984), np.float64(299.4235975277515))
(np.float64(182.19437363066365), np.float64(298.6077818357124))
(np.float64(178.88490673531183), np.float64(294.75491392242617))
(np.float64(178.97360399162773), np.float64(300.4129921072122))
(np.float64(181.4950012697137), np.float64(299.58326228088237))
(np.float64(182.2874208757654), np.float64(298.5019763902882))
(np.float64(179.30701395248303), np.float64(297.8661182532922))
(np.float64(180.29399759206274), np.float64(297.5079623116995))
(np.float64(181.2021836329313), np.float64(297.09805581002286))
(np.float64(181.64803962500585), np.float64(296.8977290280829))
(np.float64(180.1564961247528), np.float64(296.76026976199665))
(np.float64(179.70319653340317), np.float64(294.6632497043949))
(np.float64(185.77172461934316), np.float64(301.7606892357436))
(np.float64(184.46234608938093), np.float64(300.9302260690014))
(np.float64(184.4881060058677), np.float64(301.4043560390123))
(np.float64(184.20171937530992), np.float64(300.2555386481552))
(np.float64(184.09910867429437), np.float64(301.4564376931936))
(np.float64(184.13554745955685), np.float64(298.914596190876))
(np.float64(182.6262020879238), np.float64(298.47653523565003))
(np.float64(182.99704400749644), np.float64(296.0409952441504))
(np.float64(184.61625017704387), np.float64(296.39031407015307))
(np.float64(186.79014701919021), np.float64(295.9375477608781))
(np.float64(183.67084336553503), np.float64(296.97434364631914))
(np.float64(182.774620660795), np.float64(295.8224545894481))
(np.float64(189.30852715143442), np.float64(301.56426006717726))
(np.float64(157.8696760218417), np.float64(300.8853470297869))
(np.float64(158.22902188923428), np.float64(297.14954921610496))
(np.float64(159.2138776962865), np.float64(300.69701248480186))
(np.float64(161.72700465527817), np.float64(299.3094198197054))
(np.float64(159.7711919211862), np.float64(298.1760827600715))
(np.float64(162.5345424143436), np.float64(299.3791529169781))
(np.float64(159.68873251550326), np.float64(299.51322099881713))
(np.float64(162.84545182928633), np.float64(299.5119373500615))
(np.float64(167.71218523594257), np.float64(301.5688457478016))
(np.float64(167.79134435117928), np.float64(301.4593306302076))
(np.float64(164.66729416758088), np.float64(299.03816611078486))
(np.float64(165.47599814254886), np.float64(299.41131746983683))
(np.float64(163.5686695429398), np.float64(298.1291542465363))
(np.float64(164.90021050981062), np.float64(298.4819644395659))
(np.float64(166.31169396442712), np.float64(296.632242465736))
(np.float64(172.00579478846777), np.float64(301.15673358847675))
(np.float64(171.0867419249127), np.float64(301.54314616642785))
(np.float64(172.32549746440466), np.float64(301.5935442286036))
(np.float64(168.50635364568893), np.float64(299.45341805798756))
(np.float64(171.4765827950469), np.float64(298.49324248780925))
(np.float64(171.82962579085347), np.float64(299.36297342748554))
(np.float64(170.94191649688815), np.float64(299.1028852808787))
(np.float64(169.6867989101096), np.float64(298.7577226768085))
(np.float64(170.903945297695), np.float64(298.03159385038333))
(np.float64(169.57442760964304), np.float64(298.68923486428304))
(np.float64(171.67559599600125), np.float64(299.34211777165376))
(np.float64(171.84923784571643), np.float64(299.1500122205736))
(np.float64(171.50763004246505), np.float64(296.0308439946623))
(np.float64(171.38884351418267), np.float64(295.1945245895774))
(np.float64(177.43401312435557), np.float64(301.6342595306575))
(np.float64(175.42129179367103), np.float64(299.6979014479276))
(np.float64(173.678933328622), np.float64(298.39364625383047))
(np.float64(174.6054455698831), np.float64(297.8470597057131))
(np.float64(175.51236621620868), np.float64(297.3232996203318))
(np.float64(174.75042097958382), np.float64(294.99364877203493))
(np.float64(177.16487334627595), np.float64(294.6797430757021))
(np.float64(176.05057450939375), np.float64(297.3452214076665))
(np.float64(164.21590584561474), np.float64(298.2844580484816))
(np.float64(159.09015460348292), np.float64(300.83370131920634))
(np.float64(163.14265968117581), np.float64(299.5419041847438))
(np.float64(176.65159460860608), np.float64(297.43187072881324))
(np.float64(164.99328029552166), np.float64(298.9947080549863))
(np.float64(170.11177988023488), np.float64(298.89253858404663))
(np.float64(171.5015503227931), np.float64(296.7605292190482))
(np.float64(169.55375406597855), np.float64(298.7034356680082))
(np.float64(168.3095960651161), np.float64(299.8296205373973))
(np.float64(163.33868347855628), np.float64(298.29284206879584))
(np.float64(159.0890887799326), np.float64(299.95646448890966))
(np.float64(187.52138987956937), np.float64(296.2235364604939))
(np.float64(181.63234148504773), np.float64(298.9460811008151))
(np.float64(182.9867365384383), np.float64(295.99632566150905))
(np.float64(164.6656487038647), np.float64(296.00839450526433))
(np.float64(188.14904984556517), np.float64(295.7856198096937))
(np.float64(168.30413430464046), np.float64(299.2314921584937))
(np.float64(171.43058818301674), np.float64(309.04760665644665))
(np.float64(158.47681814768356), np.float64(307.6077893054822))
(np.float64(158.50095756851272), np.float64(302.99203378675224))
(np.float64(160.47953994857207), np.float64(309.31955491752495))
(np.float64(161.16882920611553), np.float64(307.43150233131917))
(np.float64(160.19804046661613), np.float64(303.9686347881883))
(np.float64(161.5646044957555), np.float64(304.5766134439813))
(np.float64(162.35613409493232), np.float64(305.48179448338044))
(np.float64(162.46968877682897), np.float64(304.4039219590645))
(np.float64(162.22542376326848), np.float64(303.12052532992095))
(np.float64(162.67009949491552), np.float64(303.19096007032726))
(np.float64(162.62229435261528), np.float64(303.0964300670606))
(np.float64(161.40318658616275), np.float64(303.23732857846034))
(np.float64(166.9373710512819), np.float64(308.7300416520686))
(np.float64(167.61257798302591), np.float64(309.3351490074229))
(np.float64(166.6223004684085), np.float64(308.7544745545524))
(np.float64(167.40068005562574), np.float64(309.8148589100783))
(np.float64(164.4359390219036), np.float64(306.3364841869773))
(np.float64(164.51981848530093), np.float64(305.91256336822767))
(np.float64(166.89185828789473), np.float64(307.3875014824012))
(np.float64(167.4873602751291), np.float64(307.78576805354913))
(np.float64(163.77561460721952), np.float64(305.9911640056277))
