(np.float64(205.62428298377452), np.float64(256.6535838838329))
(np.float64(205.48469737802452), np.float64(256.63670729670616))
(np.float64(205.40677799572757), np.float64(256.6621456028294))
(np.float64(205.35811145578072), np.float64(256.6580006537335))
(np.float64(205.30143312007505), np.float64(256.5156969772573))
(np.float64(205.24164834307666), np.float64(256.679557407244))
(np.float64(205.14717133044235), np.float64(256.62514324570316))
(np.float64(204.55998110233148), np.float64(256.1684896261821))
(np.float64(204.5114832700946), np.float64(256.4088807341972))
(np.float64(205.0786527649645), np.float64(256.5786837669943))
(np.float64(205.0458317458128), np.float64(256.6099458262954))
(np.float64(204.98799222248815), np.float64(256.67560542970796))
(np.float64(204.95700271369236), np.float64(256.6374316673309))
(np.float64(204.9225426462231), np.float64(256.66048904138796))
(np.float64(204.8869527745995), np.float64(256.5099752250643))
(np.float64(204.84637588217413), np.float64(256.58318968927256))
(np.float64(204.8212231747461), np.float64(256.5071159247412))
(np.float64(204.78862374702072), np.float64(256.15950735767194))
(np.float64(204.7572333623459), np.float64(256.4142744832249))
(np.float64(204.73100668207164), np.float64(256.6333279307557))
(np.float64(204.70487484570637), np.float64(256.22054188614106))
(np.float64(204.67753656713094), np.float64(256.48015202813565))
(np.float64(204.65360191897403), np.float64(256.40273540215935))
(np.float64(204.61449571393595), np.float64(256.4745679742398))
(np.float64(204.46537179372066), np.float64(256.2693499935746))
(np.float64(204.3472914797378), np.float64(255.78288069234955))
(np.float64(204.32016248195973), np.float64(255.85810608505395))
(np.float64(204.2746224964582), np.float64(256.1217251748334))
(np.float64(204.24133159252634), np.float64(255.96793932693203))
(np.float64(204.24915144641264), np.float64(255.89195986634027))
(np.float64(204.17436243312792), np.float64(255.80483848002999))
(np.float64(204.13967834678922), np.float64(256.22278154412055))
(np.float64(203.69035769129496), np.float64(256.15762206674543))
(np.float64(203.63291488250152), np.float64(256.19638292569806))
(np.float64(203.59753099727544), np.float64(255.93564034852795))
(np.float64(203.58110878392588), np.float64(256.1617753795604))
(np.float64(203.5281394170629), np.float64(255.97680783676574))
(np.float64(203.49044078571052), np.float64(256.02662395393145))
(np.float64(203.4687331487229), np.float64(256.3481436025372))
(np.float64(203.42661794713035), np.float64(255.91982468073266))
(np.float64(204.12020933804038), np.float64(256.1525408055822))
(np.float64(204.0833147125228), np.float64(255.88359348256105))
(np.float64(204.069076509807), np.float64(256.1796089456207))
(np.float64(204.02133361425174), np.float64(256.2143180078875))
(np.float64(203.9887189282785), np.float64(256.03517488494634))
(np.float64(203.961658766008), np.float64(255.98570489233603))
(np.float64(203.92597647793335), np.float64(255.87686935705813))
(np.float64(203.90149981507656), np.float64(255.95326803381414))
(np.float64(203.85272508025633), np.float64(256.13852260968264))
(np.float64(203.8365941608022), np.float64(255.82680881329202))
(np.float64(203.78806182411168), np.float64(255.82239949800828))
(np.float64(203.75515029578744), np.float64(255.90103413573956))
(np.float64(203.73066860464715), np.float64(256.0525537193464))
(np.float64(203.3601148579588), np.float64(255.99219065190098))
(np.float64(203.33126254470557), np.float64(256.28436832034396))
(np.float64(203.22782893844146), np.float64(256.4751138582956))
(np.float64(202.910018285702), np.float64(256.21929544986585))
(np.float64(200.96724216701298), np.float64(255.62708270381384))
(np.float64(205.84520547337885), np.float64(256.69682472541643))
(np.float64(204.58575957145482), np.float64(256.26889726193235))
(np.float64(204.8084860025247), np.float64(256.1207763171905))
(np.float64(202.97790710152412), np.float64(256.17413416550875))
(np.float64(203.5729383370217), np.float64(256.3647264292529))
(np.float64(203.68805889698817), np.float64(256.33962994461217))
(np.float64(205.6182370750079), np.float64(255.44086333075794))
(np.float64(205.90192750316956), np.float64(257.20996804166174))
(np.float64(205.8686516840858), np.float64(256.7323373711966))
(np.float64(205.85601681150987), np.float64(257.0596752577753))
(np.float64(205.71365871211466), np.float64(257.0394039106102))
(np.float64(205.68940329390082), np.float64(256.89810291047917))
(np.float64(205.7905509366628), np.float64(256.90801833951076))
(np.float64(205.7588924922452), np.float64(257.25995155438216))
(np.float64(205.7562127618283), np.float64(257.4040603997949))
(np.float64(205.6695582039355), np.float64(257.06065847938544))
(np.float64(205.62194396317238), np.float64(256.9839210114799))
(np.float64(205.6013035368415), np.float64(256.9111853397741))
