(np.float64(91.27730405891661), np.float64(252.18129781040437))
(np.float64(90.67192339416582), np.float64(252.06258502828254))
(np.float64(90.7043712797076), np.float64(253.31989195107857))
(np.float64(90.11144308208236), np.float64(251.66210467819133))
(np.float64(94.5694292578714), np.float64(253.5680822858873))
(np.float64(91.56462612432664), np.float64(253.6335896454039))
(np.float64(90.65971332518473), np.float64(253.33287783398845))
(np.float64(90.81899768039595), np.float64(252.08391444626506))
(np.float64(91.58097915536923), np.float64(252.9680077669843))
(np.float64(94.18710030237126), np.float64(253.6016183065274))
(np.float64(90.54485527650178), np.float64(253.09657652301937))
(np.float64(93.6873771340377), np.float64(253.71400860338656))
(np.float64(90.86616839151935), np.float64(252.53716506324574))
(np.float64(102.63076093444509), np.float64(254.60275009017985))
(np.float64(99.28736488942633), np.float64(254.47516019207868))
(np.float64(98.32943850917304), np.float64(253.66413018258928))
(np.float64(98.02132828980925), np.float64(253.38420481421713))
(np.float64(97.80947977834686), np.float64(253.60935801759226))
(np.float64(97.56013810175757), np.float64(253.6731700880196))
(np.float64(98.79520721301245), np.float64(253.90478214160862))
(np.float64(100.15319020956765), np.float64(254.4346317403084))
(np.float64(97.5642668458993), np.float64(253.64134190204268))
(np.float64(97.89745070720568), np.float64(253.5383225441129))
(np.float64(110.31923850952978), np.float64(257.80173557129615))
(np.float64(110.1127263981322), np.float64(258.22859332748607))
(np.float64(109.98116559234053), np.float64(257.74604400348454))
(np.float64(109.53082194043418), np.float64(257.8605411085547))
(np.float64(109.31172732000255), np.float64(258.53309590275813))
(np.float64(103.82701392081731), np.float64(254.96421121519057))
(np.float64(109.11233717088372), np.float64(257.5160148136586))
(np.float64(108.70234188439959), np.float64(257.4136051585853))
(np.float64(108.08679211519602), np.float64(256.79449160744264))
(np.float64(107.71931966837413), np.float64(256.40261818890707))
(np.float64(106.9919121775741), np.float64(256.1605046400224))
(np.float64(106.32581407520165), np.float64(256.1912448761048))
(np.float64(106.16011726641104), np.float64(256.7528121748681))
(np.float64(106.02547065264385), np.float64(257.35417385770774))
(np.float64(105.92393097684707), np.float64(255.59556039957627))
(np.float64(105.52125202196595), np.float64(255.77499685868383))
(np.float64(104.77811795537309), np.float64(258.60363567448405))
(np.float64(103.94921465626098), np.float64(255.0273407941825))
(np.float64(103.04134227648761), np.float64(254.89839251933304))
(np.float64(103.46925924630824), np.float64(254.95985190038778))
(np.float64(102.69943468328114), np.float64(258.55604327575327))
(np.float64(102.15432324501705), np.float64(257.09942782326743))
(np.float64(101.8089974566901), np.float64(258.2191006904117))
(np.float64(101.2892341355211), np.float64(254.75463113182056))
(np.float64(100.5684124875204), np.float64(254.9530016524551))
(np.float64(100.03343512909453), np.float64(254.74107566765392))
(np.float64(99.74801479667049), np.float64(254.7121057516877))
(np.float64(109.39710816068131), np.float64(257.7870285808678))
(np.float64(109.12894005580362), np.float64(257.2817827953882))
(np.float64(101.93236406126148), np.float64(258.1269079218254))
(np.float64(110.1343579172496), np.float64(256.36068772360966))
(np.float64(105.93279792825112), np.float64(255.63580618194638))
(np.float64(103.53235211626047), np.float64(258.56183902865905))
(np.float64(108.20941401305872), np.float64(256.6006888278613))
(np.float64(103.44496741635852), np.float64(255.01167737028052))
(np.float64(107.85933614633544), np.float64(256.80551450170896))
(np.float64(102.07027888846682), np.float64(255.3215127242981))
(np.float64(103.35931418121532), np.float64(256.2609010029387))
(np.float64(104.23815860444742), np.float64(258.5967522141086))
(np.float64(100.79610270522707), np.float64(255.7547850272439))
(np.float64(99.89994675532992), np.float64(254.7536880924161))
(np.float64(103.89614992531945), np.float64(257.91078110859866))
(np.float64(103.51292368059407), np.float64(257.9566216722419))
(np.float64(105.78614983273587), np.float64(257.26097423091807))
(np.float64(109.55898659203304), np.float64(258.1814162660939))
(np.float64(98.45746477567614), np.float64(260.5307949411566))
(np.float64(98.82564586425427), np.float64(260.12713425734233))
(np.float64(98.76772363426961), np.float64(260.21197834894303))
(np.float64(98.73396388587327), np.float64(260.2485532474005))
(np.float64(98.69489339901041), np.float64(260.3095508058149))
(np.float64(98.63802589566494), np.float64(259.96567554750374))
(np.float64(98.58318687281538), np.float64(260.0048403497481))
(np.float64(98.5232151822428), np.float64(260.1500762363427))
(np.float64(98.31466227970304), np.float64(260.52320359516193))
(np.float64(98.41172331190091), np.float64(260.4674768148879))
(np.float64(98.5583544152846), np.float64(260.5043289281465))
(np.float64(98.41393159703269), np.float64(260.49215196213436))
(np.float64(102.69921985403073), np.float64(259.67630602737773))
(np.float64(102.4942519470417), np.float64(259.3092694546177))
(np.float64(102.38968610916044), np.float64(259.5924239450624))
(np.float64(102.14883027447524), np.float64(259.73865208365834))
(np.float64(102.02298247014672), np.float64(259.8362133283022))
(np.float64(101.81182647522498), np.float64(259.1962386667296))
(np.float64(101.54957874532433), np.float64(259.16229894522087))
(np.float64(101.30606433369917), np.float64(259.1725717716401))
(np.float64(101.19553980183758), np.float64(258.8835547397654))
(np.float64(101.86869207129072), np.float64(259.14690249358904))
(np.float64(102.07104821643962), np.float64(259.40250714238135))
(np.float64(100.28220219379894), np.float64(260.4424923919365))
(np.float64(100.2211622522243), np.float64(259.5842636238779))
(np.float64(102.07814607761519), np.float64(260.44306603383615))
(np.float64(101.52810969190442), np.float64(260.5622979724823))
(np.float64(101.3367108786158), np.float64(260.0800502877585))
(np.float64(100.91112304621886), np.float64(259.64173496644236))
(np.float64(100.84695603003303), np.float64(260.5106480800418))
(np.float64(100.84301211879716), np.float64(260.4497690076213))
(np.float64(100.79163394481769), np.float64(259.9752431549981))
(np.float64(100.75126563962777), np.float64(259.362654394106))
(np.float64(100.51879091974816), np.float64(260.45599064342423))
(np.float64(100.45716370887997), np.float64(258.9448178764989))
(np.float64(100.46598887347878), np.float64(260.4302852438128))
(np.float64(100.41298673604221), np.float64(259.98653174879985))
(np.float64(100.3551404505429), np.float64(259.2673792927362))
(np.float64(100.32271025070195), np.float64(260.3587928568338))
(np.float64(100.15169611464644), np.float64(260.43249217420527))
(np.float64(100.07290354422128), np.float64(259.6703320303279))
(np.float64(100.0442022529796), np.float64(259.98827291712126))
(np.float64(99.99993164996799), np.float64(259.66145376281975))
(np.float64(99.96239565772386), np.float64(259.5143542218731))
(np.float64(99.94667497716877), np.float64(260.54918190649914))
(np.float64(99.9190242512197), np.float64(260.4944150142805))
(np.float64(99.87901936983633), np.float64(260.0161344587515))
(np.float64(99.7950807807077), np.float64(259.8149675474915))
(np.float64(99.75647705763355), np.float64(260.05379379191817))
(np.float64(99.56132107330448), np.float64(260.1763189138651))
(np.float64(99.50472891203736), np.float64(260.05787643738415))
(np.float64(99.09677753770904), np.float64(260.1168443398472))
(np.float64(99.00002704560629), np.float64(260.23667907219135))
(np.float64(98.92484045082013), np.float64(260.2656408062616))
(np.float64(101.19977292629194), np.float64(260.08386183969617))
(np.float64(101.06837146519763), np.float64(259.3576652550413))
(np.float64(100.7089558953236), np.float64(259.0588329163139))
(np.float64(100.66737976082564), np.float64(260.36504231109))
(np.float64(100.59894667622693), np.float64(259.4805482592334))
(np.float64(100.59161942111253), np.float64(259.89959387941286))
(np.float64(100.1874652707326), np.float64(260.5132868327853))
(np.float64(100.58706535320027), np.float64(260.4256462899497))
(np.float64(100.51638618463484), np.float64(259.3225089157312))
(np.float64(99.84303087638946), np.float64(260.02360762179))
(np.float64(99.73218990919135), np.float64(259.84353576261134))
(np.float64(99.69842114456335), np.float64(260.0247517540442))
(np.float64(99.64243064388835), np.float64(260.0487140459223))
(np.float64(99.37010761309618), np.float64(260.0380551551678))
(np.float64(99.18012226874454), np.float64(260.11108179938253))
(np.float64(98.88105499085499), np.float64(260.1531474175008))
(np.float64(98.83839170593258), np.float64(260.3032774725414))
(np.float64(99.94802689292264), np.float64(259.4727217594526))
(np.float64(99.11636531806911), np.float64(260.19758233121354))
(np.float64(100.56236415130203), np.float64(259.7956091182278))
(np.float64(102.21853534240547), np.float64(259.70022898554276))
(np.float64(100.76085146274991), np.float64(259.56596672001257))
(np.float64(100.56175919630888), np.float64(260.5404628526489))
(np.float64(102.73305953486053), np.float64(259.6242674039154))
(np.float64(102.79254764290394), np.float64(259.35289151199765))
(np.float64(100.10122216545672), np.float64(260.47286141231586))
(np.float64(100.7622491532584), np.float64(260.4370213694339))
(np.float64(101.08832405648552), np.float64(260.1381718184169))
(np.float64(99.53163493128267), np.float64(260.0707778346279))
(np.float64(98.79440407413678), np.float64(261.16165763600065))
(np.float64(98.69479144615445), np.float64(260.87377376657616))
