(np.float64(250.5747199886136), np.float64(363.3790383098105))
(np.float64(249.19435955249224), np.float64(364.9321380268479))
(np.float64(247.68198940590463), np.float64(365.6993921592872))
(np.float64(247.70849697671278), np.float64(361.4217156004984))
(np.float64(247.18031404832172), np.float64(362.83663471115784))
(np.float64(250.07452780243804), np.float64(361.02654511983815))
(np.float64(247.52879708098698), np.float64(365.42606715764833))
(np.float64(250.6180324427763), np.float64(363.45321617725426))
(np.float64(250.2555350528872), np.float64(362.19212497550956))
(np.float64(249.3778193934851), np.float64(361.987693063039))
(np.float64(250.11125874853533), np.float64(362.78564658267953))
(np.float64(247.20970473511133), np.float64(363.09930615542487))
(np.float64(245.37109115097033), np.float64(363.5797052162485))
(np.float64(246.6418890186163), np.float64(363.7036260486344))
(np.float64(246.12011993093208), np.float64(362.85732363811053))
(np.float64(243.90783228766992), np.float64(365.7519873335751))
(np.float64(244.9799814185158), np.float64(363.79934976039164))
(np.float64(242.6586612576424), np.float64(365.52013097459763))
(np.float64(250.26449944903695), np.float64(362.34101277614093))
(np.float64(241.9296395131911), np.float64(365.48589670479214))
(np.float64(234.23289560696398), np.float64(370.05969739435415))
(np.float64(234.44377625979502), np.float64(373.1049448462123))
(np.float64(233.18418748516766), np.float64(372.9995529805354))
(np.float64(233.69795604739153), np.float64(373.01259801553016))
(np.float64(233.98298954846402), np.float64(372.79071720737744))
(np.float64(233.41230146612386), np.float64(372.86191880367244))
(np.float64(234.35905672561293), np.float64(372.88329652515046))
(np.float64(234.21134991551037), np.float64(372.70611045139884))
(np.float64(233.54256514714422), np.float64(372.8587533791816))
(np.float64(233.6839168955051), np.float64(372.92573238926803))
(np.float64(241.16806047459443), np.float64(367.9403355453623))
(np.float64(241.24994266755832), np.float64(368.1986762811639))
(np.float64(240.41149827974445), np.float64(368.83551606399675))
(np.float64(241.6732391613887), np.float64(368.03300643977553))
(np.float64(239.28051125044072), np.float64(368.3072621170595))
(np.float64(239.1750198608955), np.float64(368.5961019957121))
(np.float64(239.131488069361), np.float64(368.18877660985964))
(np.float64(240.633783782015), np.float64(369.36975818993955))
(np.float64(234.76918136045725), np.float64(369.6662911125365))
(np.float64(249.380980105613), np.float64(368.45362268117674))
(np.float64(249.68621345100044), np.float64(367.8182321244508))
(np.float64(249.6112468871455), np.float64(368.3735222111167))
(np.float64(249.83644931630283), np.float64(368.7076506480823))
(np.float64(250.09568544881606), np.float64(367.523584856419))
(np.float64(249.8305729821831), np.float64(367.4972537537971))
(np.float64(249.7948733551824), np.float64(367.6829389398828))
(np.float64(249.6772095221111), np.float64(367.71913698621756))
(np.float64(247.3651122807253), np.float64(369.258306993054))
(np.float64(249.3358139472722), np.float64(368.17066285927723))
(np.float64(250.35349614853564), np.float64(367.21716086865916))
(np.float64(249.34860487015553), np.float64(368.4292057182436))
(np.float64(250.558472378208), np.float64(367.1923662657176))
(np.float64(249.72029847757634), np.float64(366.8301207088943))
(np.float64(250.11371602057793), np.float64(367.116320198424))
(np.float64(249.72022409359846), np.float64(369.14795495829264))
(np.float64(249.17031098763135), np.float64(369.16092235617566))
(np.float64(247.72789628299125), np.float64(369.37867906392023))
(np.float64(247.53673015804006), np.float64(369.34686402958323))
(np.float64(249.70182524313265), np.float64(368.1642369790778))
(np.float64(249.48631891263796), np.float64(367.85058861855964))
(np.float64(249.28434023583665), np.float64(368.0641696496402))
(np.float64(248.67058019017387), np.float64(367.007074598585))
(np.float64(248.07119185692747), np.float64(367.8544312617084))
(np.float64(249.11230067591484), np.float64(368.87968582363413))
(np.float64(249.71201931563908), np.float64(366.90317505034255))
(np.float64(249.96536940424153), np.float64(367.33895131685045))
(np.float64(249.63293475776396), np.float64(367.3969063610502))
(np.float64(249.72328580048185), np.float64(366.96779876496623))
(np.float64(246.79305494369288), np.float64(366.5842340932923))
(np.float64(250.606801329334), np.float64(367.59430844809907))
(np.float64(250.47331226200876), np.float64(367.8268066314539))
(np.float64(247.95985586350076), np.float64(369.7137355098409))
(np.float64(250.52415501007687), np.float64(368.0903200838485))
(np.float64(250.55634385212105), np.float64(366.4319514114104))
(np.float64(242.2767903964618), np.float64(367.58603751978654))
(np.float64(243.36039951451437), np.float64(367.57718440403994))
(np.float64(246.5867273184276), np.float64(366.53335275372325))
(np.float64(244.00562363527294), np.float64(366.2155863534646))
(np.float64(245.1328156946828), np.float64(366.3680436430881))
(np.float64(244.0155293615065), np.float64(368.0845420886872))
(np.float64(244.18848042855365), np.float64(366.3953576642857))
(np.float64(242.7972708554565), np.float64(368.54570460021006))
(np.float64(243.44846233966706), np.float64(368.2298214302488))
(np.float64(246.2952825774997), np.float64(366.37979193829494))
(np.float64(242.84648374483965), np.float64(366.9896953399377))
(np.float64(242.13714618516238), np.float64(369.59350622823473))
(np.float64(243.66153237820868), np.float64(369.6918916020454))
(np.float64(245.1563414910521), np.float64(369.7404286159558))
(np.float64(244.50161130621748), np.float64(369.7144730927201))
(np.float64(245.9603861508496), np.float64(369.61995115013474))
(np.float64(245.06289787817914), np.float64(369.6726233554717))
(np.float64(242.20483716388662), np.float64(369.78648075740045))
(np.float64(242.14709855309607), np.float64(367.6286845980634))
(np.float64(244.40116502285147), np.float64(369.6258433888239))
(np.float64(243.7542990795513), np.float64(368.1554848946037))
(np.float64(248.55591078896117), np.float64(368.8082786496011))
