(np.float64(28.81662073679908), np.float64(159.7896449394508))
(np.float64(28.69800343639992), np.float64(159.82949265737702))
(np.float64(27.54056813540672), np.float64(160.36673681229365))
(np.float64(26.668244534022193), np.float64(160.25419324123044))
(np.float64(26.10340400317751), np.float64(160.9043724861411))
(np.float64(25.71265075895884), np.float64(160.7583491374018))
(np.float64(25.357479583849976), np.float64(160.5860278378748))
(np.float64(23.97014161868284), np.float64(160.73651783578623))
(np.float64(24.707179146850955), np.float64(160.5296490513095))
(np.float64(28.566970427398147), np.float64(159.70999968590684))
(np.float64(27.053898227844023), np.float64(160.79555192070572))
(np.float64(27.888068744733687), np.float64(160.9694226897332))
(np.float64(27.943081156801952), np.float64(160.94122429636195))
(np.float64(29.858701055605888), np.float64(160.47395402891945))
(np.float64(13.535917064547087), np.float64(164.41432563523253))
(np.float64(10.709405906246781), np.float64(164.7976794563917))
(np.float64(12.167764790140641), np.float64(164.6606321942812))
(np.float64(11.744224511060517), np.float64(164.94708611051234))
(np.float64(11.645284286472396), np.float64(166.08197391238656))
(np.float64(13.534876035661862), np.float64(165.77319608372454))
(np.float64(12.149517655233504), np.float64(166.14396693495408))
(np.float64(11.989078181032118), np.float64(166.30343695893112))
(np.float64(11.580736854337367), np.float64(168.78211554860025))
(np.float64(10.763479242288243), np.float64(165.75014870976938))
(np.float64(10.232881868992793), np.float64(168.3145089748828))
(np.float64(8.490048317485268), np.float64(165.72267117184097))
(np.float64(11.533179832024572), np.float64(165.98807373337831))
(np.float64(8.034391326273232), np.float64(166.2238641909326))
(np.float64(11.380926929908462), np.float64(167.84324460828498))
(np.float64(10.557647163421123), np.float64(167.67356854641113))
(np.float64(12.210747284624894), np.float64(166.90544804197535))
(np.float64(10.5612136063242), np.float64(166.43357342706528))
(np.float64(11.285401259276128), np.float64(166.4269092415339))
(np.float64(13.053212915270167), np.float64(167.94025730218047))
(np.float64(11.772651847331526), np.float64(168.2915547533386))
(np.float64(12.009828882905984), np.float64(167.72727591325543))
(np.float64(13.981123193823175), np.float64(168.25791048922707))
