(np.float64(121.27708429500936), np.float64(402.78960940880864))
(np.float64(138.69906648224884), np.float64(383.67103718864604))
(np.float64(136.0426038554309), np.float64(386.22068131172705))
(np.float64(138.20480056628065), np.float64(388.40615749579507))
(np.float64(135.86997789316604), np.float64(386.6004504922277))
(np.float64(136.00826498702833), np.float64(386.3617786735303))
(np.float64(137.96131597760282), np.float64(387.84221950748196))
(np.float64(135.7777525129639), np.float64(385.7769062407491))
(np.float64(138.0529852985653), np.float64(385.86003219455563))
(np.float64(153.15085506490834), np.float64(387.41615848625537))
(np.float64(152.9419212262585), np.float64(386.77997974011015))
(np.float64(152.56184685080686), np.float64(386.8675685248666))
(np.float64(152.26413062172443), np.float64(386.83138199379323))
(np.float64(152.48558090811494), np.float64(386.8264927950912))
(np.float64(151.93903294016465), np.float64(387.0358300882393))
(np.float64(150.93441076184794), np.float64(387.2556501492321))
(np.float64(148.62657352023766), np.float64(388.560047344701))
(np.float64(139.2318582695384), np.float64(387.84714834293123))
(np.float64(140.64181433849916), np.float64(388.1629382998756))
(np.float64(150.80859069978854), np.float64(386.5226242259332))
(np.float64(150.42935830240145), np.float64(386.437379827438))
(np.float64(150.04560079310392), np.float64(386.65808183633584))
(np.float64(144.1107715754462), np.float64(387.3659818807649))
(np.float64(143.9133129822619), np.float64(387.5609419442455))
(np.float64(143.66811773551768), np.float64(388.4698506559856))
(np.float64(143.2898984513519), np.float64(387.7406010721661))
(np.float64(142.2239599490468), np.float64(387.86129175216274))
(np.float64(153.1626479594308), np.float64(387.8583000263217))
(np.float64(152.90196870841945), np.float64(386.8518667975623))
(np.float64(154.20330007121376), np.float64(388.56196906021785))
(np.float64(141.4538376767194), np.float64(387.56107479401237))
(np.float64(153.18508244403895), np.float64(387.05853854983377))
(np.float64(150.0052024915805), np.float64(388.04166488697615))
(np.float64(154.2912474191525), np.float64(388.269379024158))
(np.float64(146.51901418056525), np.float64(384.440129035791))
(np.float64(140.3893341436042), np.float64(387.58004224980186))
(np.float64(149.88527367511017), np.float64(386.05786458878475))
(np.float64(153.22252064476262), np.float64(388.4556373672883))
(np.float64(152.62219548955258), np.float64(387.7951404470396))
(np.float64(149.10597512502), np.float64(387.95271039207086))
(np.float64(151.5830053956902), np.float64(386.97140819374346))
(np.float64(151.99117385332593), np.float64(386.9925933073028))
(np.float64(144.64297990800296), np.float64(384.8098672103879))
(np.float64(142.67219917595955), np.float64(388.01708774068044))
(np.float64(142.90379550604865), np.float64(387.34139503740505))
(np.float64(142.2777681729631), np.float64(387.16066420216964))
(np.float64(143.97189391788933), np.float64(388.35705441581575))
(np.float64(143.17012464484253), np.float64(387.11429836072665))
(np.float64(142.67220125663903), np.float64(387.8744833946364))
(np.float64(143.00536344428292), np.float64(387.4071531872223))
(np.float64(140.90415240418497), np.float64(385.5893849157329))
(np.float64(140.28605953526395), np.float64(387.69020282817064))
(np.float64(141.1122770353402), np.float64(387.38561558541255))
(np.float64(143.92255948266842), np.float64(387.3580601073406))
(np.float64(144.20526107209804), np.float64(387.16977810831446))
(np.float64(143.870493300261), np.float64(387.67250053610206))
(np.float64(146.2662260464156), np.float64(387.1033744371148))
(np.float64(140.0557476725264), np.float64(387.7967082197447))
(np.float64(150.68043057680146), np.float64(387.34554065317474))
(np.float64(142.15634058006282), np.float64(388.298609548701))
(np.float64(158.29140316982492), np.float64(388.2296207616438))
(np.float64(155.64125693895588), np.float64(387.2395393270697))
(np.float64(155.56951090650716), np.float64(388.36608341204817))
(np.float64(154.92360016442967), np.float64(388.44436774337015))
(np.float64(157.23948335947765), np.float64(388.09340478028696))
(np.float64(157.70471438334133), np.float64(388.1452249773988))
(np.float64(156.0983801094338), np.float64(388.2380259336768))
(np.float64(154.6337447091043), np.float64(388.6435981510914))
(np.float64(156.93004445851514), np.float64(388.3587451594056))
(np.float64(158.36791255098072), np.float64(388.01404759012837))
(np.float64(158.12355494756702), np.float64(388.2662697214235))
(np.float64(156.31957031199505), np.float64(387.95833038570464))
(np.float64(154.71976379549963), np.float64(388.216158995355))
(np.float64(156.63333354014392), np.float64(388.53775343256024))
(np.float64(155.40931833854825), np.float64(387.2253371293927))
(np.float64(155.54219187413878), np.float64(388.49110940661825))
(np.float64(137.52693540438005), np.float64(393.1812881284954))
(np.float64(138.12979134867487), np.float64(388.69604205119407))
(np.float64(137.39599429166964), np.float64(389.276038073278))
(np.float64(137.56291089364714), np.float64(395.66710545373064))
(np.float64(137.41441013428673), np.float64(395.78697515610713))
(np.float64(134.56706383355896), np.float64(393.623038392054))
(np.float64(130.1116280398279), np.float64(395.5614646159548))
(np.float64(135.15218466131546), np.float64(392.8408404790208))
(np.float64(133.8064143345842), np.float64(389.965084117557))
(np.float64(138.18355154378207), np.float64(389.40533907880535))
(np.float64(133.93769754422942), np.float64(394.95868782854797))
(np.float64(137.06773208342125), np.float64(392.8809141385222))
(np.float64(137.2854678525258), np.float64(388.56350543868183))
(np.float64(137.62198338772583), np.float64(388.52395457210986))
(np.float64(137.15686229262792), np.float64(389.3961303838659))
(np.float64(138.17340307264405), np.float64(388.9039996946632))
(np.float64(138.09845298075726), np.float64(388.66226451306846))
(np.float64(153.0891765308337), np.float64(390.97001145298884))
(np.float64(152.59489813083312), np.float64(391.0366283383659))
(np.float64(151.77243017268327), np.float64(391.30848920466303))
(np.float64(150.77174063530518), np.float64(391.90430968250683))
(np.float64(149.50601284188716), np.float64(390.95367899232747))
(np.float64(149.28208985180652), np.float64(390.1106533407005))
(np.float64(148.84665385838883), np.float64(390.96046717905426))
(np.float64(148.1523163736636), np.float64(390.8401790483932))
(np.float64(152.8726364538005), np.float64(389.49551358548973))
(np.float64(148.8868050802738), np.float64(389.50747254939506))
(np.float64(149.50420023096353), np.float64(390.08116202576014))
(np.float64(148.45151941531694), np.float64(388.6315161556953))
(np.float64(152.70780416366398), np.float64(389.26537197033315))
(np.float64(153.38952844947084), np.float64(389.2481671376129))
(np.float64(153.34562716549854), np.float64(389.0567006230047))
(np.float64(153.99923690918405), np.float64(388.70832726067334))
(np.float64(142.43039698290704), np.float64(389.8527067905215))
(np.float64(143.26374650183158), np.float64(389.9481983182169))
(np.float64(142.64386338920636), np.float64(390.21968057479666))
(np.float64(142.73238985712916), np.float64(390.5478653180342))
(np.float64(153.28261492152933), np.float64(389.8394645415))
(np.float64(153.256400551889), np.float64(389.7745256723174))
(np.float64(143.7654046938746), np.float64(391.45516704456736))
(np.float64(142.92650117139843), np.float64(391.7876963751892))
(np.float64(142.92866402855037), np.float64(392.2244710149712))
(np.float64(144.15080523943905), np.float64(389.7067015631653))
(np.float64(144.91596424529303), np.float64(389.8537481339032))
(np.float64(147.06986532222498), np.float64(390.3087444647013))
(np.float64(147.39348434050987), np.float64(390.29075101830756))
(np.float64(147.48576988676518), np.float64(390.2464778031282))
(np.float64(147.69197180484363), np.float64(390.5260056525088))
(np.float64(147.6608421975575), np.float64(391.00961807767845))
(np.float64(146.9683677800082), np.float64(391.4577842819493))
(np.float64(144.88826028885285), np.float64(392.1767660090918))
(np.float64(139.0619222676646), np.float64(389.55572792422544))
(np.float64(139.53305147267204), np.float64(389.444497517347))
(np.float64(140.50184883695965), np.float64(389.7743540949028))
(np.float64(141.60340373945562), np.float64(389.8193894992577))
(np.float64(142.98243930851925), np.float64(390.9131678740589))
(np.float64(151.33107796564377), np.float64(392.2138733369299))
(np.float64(151.68406114216086), np.float64(392.3684121617976))
(np.float64(143.1675817185248), np.float64(388.7166827352563))
(np.float64(151.03520347687288), np.float64(391.062687862607))
(np.float64(150.43500489579648), np.float64(392.15391742492983))
(np.float64(149.2315437726922), np.float64(392.5005434976722))
(np.float64(144.32153623089377), np.float64(391.69172660045484))
(np.float64(149.09531480888947), np.float64(392.25780776096406))
(np.float64(153.23126154220262), np.float64(389.62185116847206))
(np.float64(140.556998573288), np.float64(389.6631277486732))
(np.float64(148.97643361009656), np.float64(390.8955024914416))
(np.float64(148.77635944049794), np.float64(388.93101425842514))
(np.float64(151.73322426882896), np.float64(391.077481399329))
(np.float64(151.3968349609903), np.float64(392.2895573401244))
(np.float64(147.70286463591313), np.float64(390.613741590205))
(np.float64(143.946198848978), np.float64(392.125588848487))
(np.float64(139.3037227268248), np.float64(389.87039271879047))
(np.float64(151.11109281816402), np.float64(391.0562621642299))
(np.float64(150.30445529594635), np.float64(392.1626264786851))
(np.float64(149.9939741523647), np.float64(389.39568813717267))
(np.float64(147.36879700974924), np.float64(390.92946845562676))
(np.float64(143.27931529342587), np.float64(388.53669039199804))
(np.float64(138.73617593701684), np.float64(389.78400364258016))
(np.float64(142.7683483542425), np.float64(389.881797495533))
(np.float64(153.80658414505064), np.float64(390.3129554750425))
(np.float64(144.15457333400073), np.float64(389.7142429692859))
(np.float64(144.29352069402552), np.float64(389.73966254795477))
(np.float64(144.21831953455094), np.float64(389.69417701804167))
(np.float64(144.17921679728894), np.float64(389.7355122048685))
(np.float64(152.14877147818652), np.float64(389.1593915535236))
(np.float64(148.96866542619148), np.float64(388.75646196767036))
(np.float64(152.66687390401637), np.float64(389.1831313584058))
(np.float64(153.5881633151308), np.float64(389.0777142197554))
(np.float64(149.33226418441743), np.float64(389.55703333076235))
(np.float64(148.89662827323346), np.float64(389.03226105379497))
(np.float64(152.80919559167572), np.float64(389.27908640572775))
(np.float64(143.25935680690762), np.float64(388.72926037180326))
(np.float64(143.80046139364381), np.float64(388.647424794087))
(np.float64(139.2444114757885), np.float64(389.0270599732911))
(np.float64(138.45467454777997), np.float64(389.0243243711291))
(np.float64(141.85124317181788), np.float64(388.9308894087371))
(np.float64(143.96252760552883), np.float64(389.55868831643136))
(np.float64(149.26146815151066), np.float64(390.70835644277383))
(np.float64(143.84303642345927), np.float64(391.36767110919186))
(np.float64(150.82334022732482), np.float64(390.8395411634501))
(np.float64(150.7485832910284), np.float64(390.5490119957682))
(np.float64(153.90413604213546), np.float64(393.11977832271174))
(np.float64(153.52737565487664), np.float64(393.1570768645149))
(np.float64(153.07420766593427), np.float64(393.19343551845947))
(np.float64(153.09370736457726), np.float64(394.13715802075086))
(np.float64(153.7631797945966), np.float64(394.14390887378863))
(np.float64(148.54887052768993), np.float64(392.8516725835701))
(np.float64(145.73067962457273), np.float64(394.60272342325544))
(np.float64(143.08271064215785), np.float64(392.7600278202679))
(np.float64(143.2910428202144), np.float64(395.3345188498272))
(np.float64(146.70825533837163), np.float64(393.01114054691806))
(np.float64(147.10465604293086), np.float64(392.95541134238056))
(np.float64(147.25315628211928), np.float64(393.21198121260755))
(np.float64(146.7982297796998), np.float64(393.3082591115327))
(np.float64(146.6739100545766), np.float64(393.0405139213263))
(np.float64(145.08168064706547), np.float64(392.58085378793703))
(np.float64(144.15001614508841), np.float64(392.49792201782265))
(np.float64(143.82803184038463), np.float64(392.82350922084163))
(np.float64(143.56961948006307), np.float64(393.25225960135435))
(np.float64(141.8651640722528), np.float64(394.3393662754003))
(np.float64(139.8036827448337), np.float64(394.9943587182814))
(np.float64(138.55083152857668), np.float64(394.507996508999))
(np.float64(143.91332685339958), np.float64(395.3418151626701))
(np.float64(144.33796000474834), np.float64(395.4040561270294))
(np.float64(151.75299948294878), np.float64(393.87689629671144))
(np.float64(152.386207210485), np.float64(393.9565437927025))
(np.float64(151.36707322126773), np.float64(393.98694238912645))
(np.float64(144.51729821054766), np.float64(395.4962819868456))
(np.float64(145.0876918779898), np.float64(395.53750644532977))
(np.float64(145.49284787129133), np.float64(395.6194531756342))
(np.float64(145.87553626265233), np.float64(395.87312204816413))
(np.float64(146.46398755058334), np.float64(396.0501895753167))
(np.float64(150.13081171233762), np.float64(396.0913108206838))
(np.float64(150.4189764493654), np.float64(395.92314465216833))
(np.float64(152.2319227068593), np.float64(395.15153441708316))
(np.float64(152.10258440411428), np.float64(392.94246436893906))
(np.float64(149.68875415794537), np.float64(393.61762500647154))
(np.float64(149.64780239802386), np.float64(395.2485780809743))
(np.float64(139.30019165533443), np.float64(396.12140947481714))
(np.float64(138.18473856639778), np.float64(395.79191471893296))
(np.float64(141.1322516470543), np.float64(396.1935379891497))
(np.float64(150.67882395227534), np.float64(396.2029050492518))
(np.float64(147.63678270916304), np.float64(393.9674798376479))
(np.float64(147.0594356137672), np.float64(394.14252001189794))
(np.float64(149.1881122001336), np.float64(392.57714302484965))
(np.float64(142.7974626586196), np.float64(393.2806591481796))
(np.float64(148.0128545678207), np.float64(393.65667611064816))
(np.float64(141.03824781361968), np.float64(396.37433434016765))
(np.float64(147.48202277230288), np.float64(396.40667889476526))
(np.float64(142.1298413319269), np.float64(396.2669940920494))
(np.float64(150.90074828480252), np.float64(395.1543039589661))
(np.float64(148.0961887221282), np.float64(393.2512915920107))
(np.float64(145.24046789538218), np.float64(393.1604721700143))
(np.float64(147.09508218366784), np.float64(393.42146784053136))
(np.float64(152.07977903996186), np.float64(393.80868442624296))
(np.float64(148.5129578053299), np.float64(392.92067821927577))
(np.float64(151.07542128021336), np.float64(396.38805083618706))
(np.float64(147.35480363261493), np.float64(393.3904068740792))
(np.float64(144.84816541846155), np.float64(395.79331000513076))
(np.float64(146.642776806106), np.float64(395.9669133776332))
(np.float64(140.49520352165544), np.float64(393.34150034145284))
(np.float64(140.68099475412777), np.float64(396.00699873421746))
(np.float64(140.7617135054083), np.float64(393.47109122856295))
(np.float64(153.30134425185548), np.float64(393.0813887400707))
(np.float64(153.4542888035753), np.float64(394.19877879730456))
(np.float64(153.96502773592755), np.float64(392.9405050772997))
(np.float64(150.0232105227528), np.float64(393.66585662349576))
(np.float64(149.14345251170482), np.float64(392.5508662257841))
