(np.float64(28.392772345070682), np.float64(299.74566633317346))
(np.float64(28.71672860538932), np.float64(299.9371733936294))
(np.float64(27.945186622118644), np.float64(299.79365443269506))
(np.float64(39.69992042728701), np.float64(301.02298096422663))
(np.float64(33.62561778671188), np.float64(300.2673965201769))
(np.float64(43.411561888273816), np.float64(300.0919000384923))
(np.float64(43.752131436865284), np.float64(300.0856763420594))
(np.float64(42.42544866258716), np.float64(299.2221799474037))
(np.float64(40.976873265518556), np.float64(299.8114997564452))
(np.float64(38.81086684668802), np.float64(300.2749189564139))
(np.float64(39.0583367866248), np.float64(299.91155532819306))
(np.float64(37.11644304568675), np.float64(300.2883730862694))
(np.float64(36.635029432377884), np.float64(300.806463056318))
(np.float64(31.34762447131332), np.float64(299.14688964498026))
(np.float64(38.67078066625632), np.float64(299.7074945708187))
(np.float64(43.01907457844369), np.float64(300.10052018229317))
(np.float64(39.26107213399025), np.float64(300.9113920084362))
(np.float64(44.98876105110211), np.float64(301.12212179987483))
(np.float64(33.43119471862963), np.float64(299.9865264760209))
(np.float64(30.995294105209872), np.float64(300.1405346897079))
(np.float64(38.85893588736964), np.float64(301.39734894107914))
(np.float64(38.06359380599655), np.float64(299.29239044322185))
(np.float64(37.064204514391136), np.float64(300.7048032872695))
(np.float64(41.85514533093264), np.float64(298.57576201152233))
(np.float64(43.17792355332222), np.float64(300.967286426689))
(np.float64(40.52831188141771), np.float64(301.42393762194575))
(np.float64(39.03623659644019), np.float64(300.4066069546785))
(np.float64(36.524807638096405), np.float64(300.11406588878805))
(np.float64(45.5050498256717), np.float64(300.10862262413093))
(np.float64(48.774854109959904), np.float64(300.33117204479925))
(np.float64(57.37844826648771), np.float64(301.0760665674921))
(np.float64(51.17437766467657), np.float64(300.3500782878773))
(np.float64(49.6892551140835), np.float64(299.67987824367384))
(np.float64(60.02860021919973), np.float64(297.27962932005886))
(np.float64(50.50982671432663), np.float64(300.0377060608909))
(np.float64(53.329517780992596), np.float64(301.4416520959452))
(np.float64(49.090396484914166), np.float64(300.2983468794993))
(np.float64(48.03705158854434), np.float64(301.14049894693693))
(np.float64(54.92109940636127), np.float64(300.14840349292695))
(np.float64(54.020154792943345), np.float64(299.7130312303176))
(np.float64(61.58898912361518), np.float64(296.50697428701176))
(np.float64(61.33765832587731), np.float64(299.70774372474))
(np.float64(61.89849633992682), np.float64(301.2217370037355))
(np.float64(55.354778793572976), np.float64(300.0158651228199))
(np.float64(58.47762860359125), np.float64(300.66352125247033))
(np.float64(61.09398179532946), np.float64(296.60778077509866))
(np.float64(54.10588709357444), np.float64(299.41331858005947))
(np.float64(49.71568153874525), np.float64(299.7236550904285))
(np.float64(56.68430168329712), np.float64(301.39740979015204))
(np.float64(56.16465401273682), np.float64(301.0697368700383))
(np.float64(60.00277406803098), np.float64(299.0144387302646))
(np.float64(54.25730807420294), np.float64(300.39643200798594))
(np.float64(48.793101591639356), np.float64(300.5392079920523))
(np.float64(48.011641398113845), np.float64(299.98495343053486))
(np.float64(62.68046924538055), np.float64(296.4678654247021))
(np.float64(53.936180485639504), np.float64(298.94533145721346))
(np.float64(50.01566743273546), np.float64(299.5115226187872))
(np.float64(56.65025289506969), np.float64(301.3783372424361))
(np.float64(44.14642580914996), np.float64(302.73570270670695))
(np.float64(45.06176172796609), np.float64(303.96316400811315))
(np.float64(44.658406034954325), np.float64(301.96420901820113))
(np.float64(43.38311426546036), np.float64(302.70677036686067))
(np.float64(41.979966844459156), np.float64(302.71772204831797))
(np.float64(37.730851393643015), np.float64(302.0259460989033))
(np.float64(36.578138868262165), np.float64(301.9818020364832))
(np.float64(37.33203364333778), np.float64(301.9085698145313))
(np.float64(39.37509149901586), np.float64(302.12661131289826))
(np.float64(43.56610907656056), np.float64(302.16611581539263))
(np.float64(37.21007513263765), np.float64(302.02859163958914))
(np.float64(42.09686065598841), np.float64(301.80012379816714))
(np.float64(36.561521245267684), np.float64(302.0148611434346))
(np.float64(48.55204029072126), np.float64(301.6059926517802))
(np.float64(60.28496225198533), np.float64(304.8820662102457))
(np.float64(51.573452377811016), np.float64(302.80674024081026))
(np.float64(62.45697105888487), np.float64(301.64694607734543))
(np.float64(56.175406225136534), np.float64(304.0385809178212))
(np.float64(62.32476923313775), np.float64(305.89885929656583))
(np.float64(49.522146743635666), np.float64(305.62947324203765))
