(np.float64(256.74568781378986), np.float64(307.3313136067692))
(np.float64(256.4627769435616), np.float64(307.12665532847876))
(np.float64(256.34245869490184), np.float64(307.36945270214386))
(np.float64(256.6766374635653), np.float64(307.3701997396563))
(np.float64(256.0487886767008), np.float64(307.34302705315747))
(np.float64(256.57602888788927), np.float64(307.15040446678466))
(np.float64(256.7555236641656), np.float64(307.35077943100816))
(np.float64(256.6441091254181), np.float64(307.26203705936007))
(np.float64(256.2526725542765), np.float64(307.3317840961586))
(np.float64(256.73039211021575), np.float64(307.2802965083184))
(np.float64(256.4891463231629), np.float64(307.3108114088925))
(np.float64(256.7555236641656), np.float64(307.35077943100816))
(np.float64(256.6666663695966), np.float64(307.3289497657746))
(np.float64(256.4627769435616), np.float64(307.12665532847876))
(np.float64(254.73647709467684), np.float64(307.640532469988))
(np.float64(254.56589625828568), np.float64(307.87070717637016))
(np.float64(254.7563407372898), np.float64(307.66153388480427))
(np.float64(254.65671996001026), np.float64(307.8809772148865))
(np.float64(255.2899240463707), np.float64(307.4276280515036))
(np.float64(256.4438416268416), np.float64(307.8489103599373))
(np.float64(254.89118900272788), np.float64(307.7785539839226))
(np.float64(256.30419030658294), np.float64(307.61954541894636))
(np.float64(256.7179001103542), np.float64(307.491752791616))
(np.float64(256.40725459380525), np.float64(307.43163002952224))
(np.float64(255.22362226208668), np.float64(307.6516649410674))
(np.float64(255.6389319282082), np.float64(307.8071864420869))
(np.float64(256.1950131823526), np.float64(307.48333313459545))
(np.float64(256.1554580726165), np.float64(307.39801067473957))
(np.float64(255.00284437909033), np.float64(307.6070093585604))
(np.float64(256.45878118895587), np.float64(307.79494989974523))
(np.float64(256.5029437704791), np.float64(307.39546877141896))
(np.float64(256.2032472630972), np.float64(307.491856186552))
(np.float64(256.7521299169255), np.float64(307.4068217900849))
(np.float64(256.29925720984033), np.float64(307.60699250991195))
(np.float64(256.48334593354207), np.float64(307.7530872532827))
(np.float64(255.3358978516999), np.float64(307.683253912618))
(np.float64(256.48839069294525), np.float64(307.79676622030377))
(np.float64(256.57345631201156), np.float64(307.62256702386895))
(np.float64(254.86285165545618), np.float64(307.65946071328))
(np.float64(255.63838713927933), np.float64(307.4649393813081))
(np.float64(255.29394719648184), np.float64(307.6111106708722))
(np.float64(255.76066988781494), np.float64(307.5226799991992))
(np.float64(255.1991076269866), np.float64(307.53460884160336))
(np.float64(255.8881248368416), np.float64(307.47024603858733))
(np.float64(256.5296358274195), np.float64(307.82787961150467))
(np.float64(256.4258856124377), np.float64(307.4689411169036))
(np.float64(255.74263775554684), np.float64(307.7593177982656))
(np.float64(255.50959483918595), np.float64(307.81154139321256))
(np.float64(255.61549005222167), np.float64(307.4904791429588))
(np.float64(255.72985099401006), np.float64(307.75156760225167))
(np.float64(255.56658735615883), np.float64(307.6790262354525))
(np.float64(256.459008328839), np.float64(307.8614755115155))
(np.float64(255.67449336400443), np.float64(307.79531153959874))
(np.float64(255.53508045392732), np.float64(307.6791830854495))
(np.float64(254.8672912864789), np.float64(307.75268046147676))
(np.float64(256.71141587363854), np.float64(307.8622301248578))
(np.float64(255.5779866571527), np.float64(307.46772637790644))
(np.float64(254.98807283114138), np.float64(307.5986483081664))
(np.float64(255.1677675251865), np.float64(307.57791307773704))
(np.float64(255.12496015381575), np.float64(307.4279856913186))
(np.float64(255.6594256672627), np.float64(307.83205692454897))
(np.float64(256.0436672792627), np.float64(307.4959789536176))
(np.float64(256.6268562043123), np.float64(307.6269655511702))
(np.float64(254.9700089686376), np.float64(307.5904437441335))
(np.float64(255.73168770603814), np.float64(307.5530367164305))
(np.float64(256.6595735367132), np.float64(307.6685917105007))
(np.float64(255.80182884785063), np.float64(307.79177823277126))
(np.float64(255.22896351705626), np.float64(307.6754200188289))
(np.float64(256.36591877675994), np.float64(307.7370489166691))
(np.float64(255.62211594794255), np.float64(307.80579654988634))
(np.float64(255.0148179451831), np.float64(307.7921376301768))
(np.float64(254.94374448951973), np.float64(307.8514478995816))
(np.float64(256.5402949298174), np.float64(307.7609566625685))
(np.float64(254.95519233948116), np.float64(307.6354530270264))
(np.float64(255.56658735615883), np.float64(307.6790262354525))
(np.float64(256.27229969399997), np.float64(307.40161010341825))
(np.float64(255.32915509165989), np.float64(307.821240759552))
(np.float64(256.44174049624786), np.float64(307.7729699906345))
(np.float64(256.05976109341907), np.float64(307.84806677603973))
