(np.float64(39.61546288420904), np.float64(434.08962168316623))
(np.float64(39.686039059585575), np.float64(434.21774746523175))
(np.float64(40.20912209079641), np.float64(433.9231657129791))
(np.float64(39.629646122537636), np.float64(434.0809339629563))
(np.float64(39.30348937960593), np.float64(434.12546408970735))
(np.float64(43.85837204122577), np.float64(433.1530914927192))
(np.float64(44.18910053777057), np.float64(433.2599024023941))
(np.float64(43.73768291302908), np.float64(433.52611757783245))
(np.float64(43.47168512103001), np.float64(433.6108840929273))
(np.float64(43.47019258661624), np.float64(433.4175658028697))
(np.float64(43.12376699045859), np.float64(433.0243134619342))
(np.float64(43.680616879012746), np.float64(433.6129287793306))
(np.float64(43.35965903850822), np.float64(433.3700007377372))
(np.float64(43.04457458448732), np.float64(432.5078041738075))
(np.float64(43.1641531547244), np.float64(433.06477397365234))
(np.float64(43.336784492059884), np.float64(433.36399607372005))
(np.float64(43.43291771852697), np.float64(433.42983634554173))
(np.float64(43.443329741285154), np.float64(433.4107559795702))
(np.float64(43.741861073101184), np.float64(433.16297631539294))
(np.float64(43.45924531133409), np.float64(433.1246024298777))
(np.float64(44.059973249702914), np.float64(433.3027308763574))
(np.float64(43.60651552738114), np.float64(433.452357290177))
(np.float64(43.408206460060434), np.float64(434.3008374792951))
(np.float64(43.93799011773991), np.float64(433.485708702978))
(np.float64(43.6715184530027), np.float64(433.1463854279934))
(np.float64(43.70414614316924), np.float64(433.5508574529731))
(np.float64(43.779082017131294), np.float64(433.22042614259755))
(np.float64(43.84795741763829), np.float64(433.67445240342806))
(np.float64(43.90340347614688), np.float64(433.4645240136641))
(np.float64(43.88651120461372), np.float64(433.66762785271345))
(np.float64(44.19561771844603), np.float64(432.4616012430317))
(np.float64(44.125612860545935), np.float64(433.2388383809101))
(np.float64(44.128345474677964), np.float64(433.2679934501815))
(np.float64(40.88831749481057), np.float64(433.4457780145573))
(np.float64(40.70693971159187), np.float64(432.7461292618826))
(np.float64(43.51961094222121), np.float64(432.86544701954426))
(np.float64(43.74256902128569), np.float64(432.8135490034966))
(np.float64(43.39982725253462), np.float64(432.6912013378078))
(np.float64(43.56509162860403), np.float64(432.7463260516647))
(np.float64(43.33111501128449), np.float64(432.91250450402157))
(np.float64(43.814897641527764), np.float64(432.7595150274423))
(np.float64(43.91687980662023), np.float64(432.55113531929226))
(np.float64(44.059520530444175), np.float64(432.4992890007142))
(np.float64(43.89144239407415), np.float64(432.65182453351906))
(np.float64(43.7852257174196), np.float64(432.76097782943805))
(np.float64(44.12151359257311), np.float64(432.6602679483466))
