(np.float64(122.15010422750636), np.float64(364.3219449254378))
(np.float64(119.92394388602548), np.float64(366.1406352664344))
(np.float64(123.42356535359984), np.float64(366.5693084946919))
(np.float64(120.97461217296862), np.float64(366.2174083710496))
(np.float64(120.58324131633952), np.float64(366.5607642304064))
(np.float64(120.19509983395972), np.float64(366.39790096155906))
(np.float64(122.87052656012189), np.float64(365.5620487125006))
(np.float64(123.49541767363968), np.float64(364.98442556180413))
(np.float64(120.15799107275235), np.float64(366.57362477877325))
(np.float64(123.59064736888874), np.float64(365.73432570856795))
(np.float64(119.09084422095854), np.float64(366.37819089254026))
(np.float64(122.8023745394568), np.float64(365.9923077742455))
(np.float64(120.14859511084174), np.float64(366.5959985098653))
(np.float64(123.58805415968517), np.float64(365.663912241095))
(np.float64(122.09962663714084), np.float64(366.65735607175736))
(np.float64(119.43967611274434), np.float64(366.6159507630391))
(np.float64(120.86377831473226), np.float64(366.51639555975953))
(np.float64(119.23697093508747), np.float64(366.2512543946839))
(np.float64(123.64301698242826), np.float64(365.52030443081645))
(np.float64(123.69709742743147), np.float64(366.24897376661124))
(np.float64(123.48405946590158), np.float64(365.51511935047273))
(np.float64(120.19826713487612), np.float64(366.4962044557928))
(np.float64(122.34793422040815), np.float64(366.5626473394918))
(np.float64(123.10648068151923), np.float64(365.8516418711504))
(np.float64(121.95314083393443), np.float64(365.83236307902087))
(np.float64(119.42790263781752), np.float64(366.4944515903894))
(np.float64(121.3404622168544), np.float64(366.083724959588))
(np.float64(119.59156680475947), np.float64(366.9073322419797))
(np.float64(118.6065866776417), np.float64(367.4595384806965))
(np.float64(121.17149199294114), np.float64(368.41189573299596))
(np.float64(121.08415688234591), np.float64(367.028629958141))
(np.float64(120.98374163565745), np.float64(367.57830496030766))
(np.float64(121.01527177204538), np.float64(368.42291517268217))
(np.float64(123.1260322235296), np.float64(368.5069838628606))
(np.float64(118.97924328880514), np.float64(367.3788678233136))
(np.float64(123.0493818769527), np.float64(367.0855508711485))
(np.float64(121.51680893841154), np.float64(367.77694178654366))
(np.float64(120.07876086793503), np.float64(368.5796723219901))
(np.float64(120.62349345074749), np.float64(366.8966510479812))
(np.float64(120.94324692972992), np.float64(366.7503520602184))
(np.float64(121.2298879222778), np.float64(368.411776519724))
(np.float64(121.08369757430604), np.float64(366.68436390818135))
(np.float64(119.81306321269048), np.float64(367.1199244756348))
(np.float64(120.32948185578486), np.float64(367.634064468167))
(np.float64(121.2861886162596), np.float64(368.41009723078963))
(np.float64(120.07980727189212), np.float64(367.2399119367254))
(np.float64(121.90833671229365), np.float64(367.6852077496562))
(np.float64(119.8313204041733), np.float64(366.80470725149394))
(np.float64(119.98344153047377), np.float64(368.3064381091073))
(np.float64(119.8387334869515), np.float64(367.81548937070875))
(np.float64(121.08521004847763), np.float64(366.9211116477002))
(np.float64(119.96487882717936), np.float64(366.88941558420765))
(np.float64(120.71277884330125), np.float64(367.466807762978))
(np.float64(118.96392070990252), np.float64(367.1392255104066))
(np.float64(118.59009701588981), np.float64(367.52288375874383))
(np.float64(121.67991479207407), np.float64(368.2192733284412))
(np.float64(120.08323691069603), np.float64(367.7345768322061))
(np.float64(119.85458871753893), np.float64(366.71613088144767))
(np.float64(119.93048256696127), np.float64(367.1267393898947))
(np.float64(120.17153311774673), np.float64(367.73173771389264))
(np.float64(119.17818089205014), np.float64(368.5177768155132))
(np.float64(120.38614233240231), np.float64(368.53341236036107))
(np.float64(119.7482165107502), np.float64(368.61420877653245))
(np.float64(121.91566136656891), np.float64(368.570749629812))
(np.float64(119.81789314285435), np.float64(368.3077612127888))
(np.float64(121.41713337014703), np.float64(366.9972935344867))
(np.float64(119.37485108445301), np.float64(367.28404787785564))
(np.float64(119.46998073411353), np.float64(367.1876676749163))
(np.float64(120.21051690999654), np.float64(367.64629767714837))
(np.float64(121.24154817403908), np.float64(366.8565379941634))
(np.float64(121.48678156640169), np.float64(366.99629067632094))
(np.float64(123.00118244756564), np.float64(368.3489858530919))
(np.float64(120.41356609185567), np.float64(367.21784426919413))
(np.float64(119.40370010331877), np.float64(366.9276617715251))
(np.float64(120.05320399023063), np.float64(368.3048012448249))
(np.float64(120.65393366249305), np.float64(367.3270413837196))
(np.float64(119.26809031241791), np.float64(366.7770759545066))
(np.float64(121.34704216442344), np.float64(366.8161641499482))
(np.float64(118.82485561859946), np.float64(367.53822196738423))
(np.float64(119.65423435096578), np.float64(367.2305477251365))
(np.float64(119.11206151323003), np.float64(367.30014754839607))
(np.float64(121.63575099682811), np.float64(367.2702298657037))
(np.float64(123.53975919284204), np.float64(367.869440073235))
(np.float64(118.26868610934068), np.float64(368.16929108846074))
(np.float64(121.68275924225405), np.float64(368.1791069407752))
(np.float64(119.31566796804918), np.float64(368.6721022443804))
(np.float64(119.31151650992064), np.float64(369.07758015785714))
(np.float64(118.94809807648777), np.float64(368.79098811908506))
(np.float64(118.99394409396179), np.float64(368.75294781254263))
(np.float64(119.65447969671186), np.float64(368.73264513174234))
(np.float64(119.6346021829613), np.float64(368.93534326990425))
(np.float64(119.47228629059622), np.float64(369.41951576108465))
(np.float64(119.61532390234984), np.float64(369.5430001044098))
(np.float64(119.25772839914708), np.float64(370.49859956981754))
(np.float64(119.20219824686828), np.float64(369.8506737405941))
(np.float64(119.28038395501073), np.float64(369.72614035684194))
(np.float64(119.10239385040207), np.float64(370.12694652825905))
(np.float64(119.31105356069637), np.float64(370.47408321198526))
(np.float64(119.18707003727518), np.float64(370.33752092425345))
(np.float64(118.66029069464261), np.float64(370.5177796337218))
(np.float64(119.35496490123326), np.float64(370.4263991153971))
(np.float64(119.20458286882531), np.float64(370.3533444103103))
(np.float64(119.06490658052647), np.float64(370.5499503684619))
(np.float64(119.2526512159586), np.float64(370.34131641543183))
(np.float64(118.99975540711003), np.float64(370.5756597681109))
(np.float64(118.79154616201133), np.float64(370.17263521164676))
(np.float64(119.41678786854452), np.float64(370.1042309756862))
(np.float64(119.1252430820281), np.float64(370.54502092694565))
(np.float64(119.30348252034084), np.float64(370.34663883044107))
(np.float64(119.44287583743615), np.float64(370.457525112783))
(np.float64(119.47082912757055), np.float64(370.29353262091274))
(np.float64(119.01173556199132), np.float64(370.46851552188554))
(np.float64(119.47377830485028), np.float64(370.2547057613251))
(np.float64(119.3197738248216), np.float64(370.1317867567925))
(np.float64(119.45229659401059), np.float64(370.31491009996586))
(np.float64(121.28658151623131), np.float64(370.55264439446466))
(np.float64(120.72417432973312), np.float64(369.2928432657758))
(np.float64(119.87724687424296), np.float64(369.0123537101407))
(np.float64(123.11262299469858), np.float64(368.92342745792894))
(np.float64(122.46077072415599), np.float64(370.0277925409683))
(np.float64(120.13526720154081), np.float64(369.88911132369634))
(np.float64(122.38376267561179), np.float64(370.39468535476607))
(np.float64(122.22643172336903), np.float64(370.40176099881387))
(np.float64(120.26129099592845), np.float64(370.34019404096324))
(np.float64(120.87034525811043), np.float64(369.0481162371246))
(np.float64(119.98730828350519), np.float64(369.8277235190918))
(np.float64(120.48738395212405), np.float64(369.18181001231807))
(np.float64(119.66195502622392), np.float64(369.9230109236071))
(np.float64(122.91631691966413), np.float64(369.14582796806957))
(np.float64(119.92739017018496), np.float64(369.32706523243223))
(np.float64(120.73527834886856), np.float64(368.73918180089385))
(np.float64(120.68216871012172), np.float64(368.6710118702207))
(np.float64(120.72046033260688), np.float64(368.6432212989686))
(np.float64(120.2753911808161), np.float64(369.1740363615323))
(np.float64(120.48285173126045), np.float64(369.1052733342297))
(np.float64(120.06895640101284), np.float64(370.2662709638577))
(np.float64(120.00783375277572), np.float64(370.2058430473018))
(np.float64(120.23700089987355), np.float64(370.2604187861648))
(np.float64(120.18212702579558), np.float64(370.48854729098144))
(np.float64(121.46969804656898), np.float64(370.154814857835))
(np.float64(120.35949344937485), np.float64(370.1319496068495))
(np.float64(120.10813577630726), np.float64(370.1735314021144))
(np.float64(119.65738084517017), np.float64(370.0094909703915))
(np.float64(121.82575263976054), np.float64(370.153561451796))
(np.float64(120.12289484023611), np.float64(370.29730962706685))
(np.float64(122.28346481341576), np.float64(370.5869772712801))
(np.float64(121.3953983376527), np.float64(370.28552084661993))
(np.float64(122.62110807211033), np.float64(369.0791533851646))
(np.float64(122.46291017376416), np.float64(370.6037573120217))
(np.float64(122.72712327049487), np.float64(370.587556064746))
(np.float64(121.16176953912078), np.float64(369.2437070339597))
(np.float64(122.46793742085391), np.float64(370.50992507306546))
