(np.float64(433.12391142714046), np.float64(330.8389094603844))
(np.float64(440.58454152050433), np.float64(331.38639728992547))
(np.float64(437.7668024697003), np.float64(331.28047687369354))
(np.float64(436.7864161166156), np.float64(330.5044178077911))
(np.float64(436.58850671144256), np.float64(330.91229859294367))
(np.float64(436.2820442098618), np.float64(331.19605721043297))
(np.float64(434.5555782540926), np.float64(331.0567727752186))
(np.float64(442.27938527019563), np.float64(335.3116279016214))
(np.float64(442.24738750307216), np.float64(335.34856522781996))
(np.float64(442.2058639055059), np.float64(335.28194913032786))
(np.float64(442.18091007551004), np.float64(333.06637944369385))
(np.float64(442.14865707945347), np.float64(332.80101336735885))
(np.float64(442.0970855764851), np.float64(335.10882364122153))
(np.float64(442.06393112986774), np.float64(335.3372000272179))
(np.float64(442.0353144525572), np.float64(335.307496649629))
(np.float64(441.9956362364747), np.float64(335.4400067164287))
(np.float64(441.9464866341596), np.float64(335.063725872629))
(np.float64(441.9073239042306), np.float64(334.9877901700377))
(np.float64(441.87175657320523), np.float64(335.0270937614969))
(np.float64(441.82085105824234), np.float64(335.2620803931095))
(np.float64(441.7846503363842), np.float64(333.58035804072966))
(np.float64(441.64579521942807), np.float64(334.99576582276933))
(np.float64(441.4632224376937), np.float64(334.0548384383662))
(np.float64(441.3069134415202), np.float64(334.8722702066102))
(np.float64(441.25587927175525), np.float64(334.2510040286322))
(np.float64(441.2024641212054), np.float64(331.9031365196668))
(np.float64(440.95894312079173), np.float64(333.82948050574566))
(np.float64(440.67362144682636), np.float64(333.83385830557194))
(np.float64(440.4952202363744), np.float64(333.9455732625784))
(np.float64(440.3763993770344), np.float64(333.68550226765086))
(np.float64(439.9144762727359), np.float64(335.2201213214747))
(np.float64(439.63753259257595), np.float64(333.7832006651345))
(np.float64(439.0169652860712), np.float64(333.2639845630036))
(np.float64(438.3102174678116), np.float64(332.3618775532732))
(np.float64(437.6269448162594), np.float64(334.4380399550243))
(np.float64(437.2811796596516), np.float64(334.93322467370143))
(np.float64(436.9847348937286), np.float64(332.78136020797604))
(np.float64(436.7592567757169), np.float64(332.71705534491537))
(np.float64(436.64419187369333), np.float64(332.7354908561774))
(np.float64(436.52126671808713), np.float64(332.9957189435303))
(np.float64(436.44907247449), np.float64(331.46380912797827))
(np.float64(436.3575463730266), np.float64(332.97791543836786))
(np.float64(436.2331777521474), np.float64(332.5625871873949))
(np.float64(436.1603910375871), np.float64(331.9519228087122))
(np.float64(436.0872263345194), np.float64(332.755351290287))
(np.float64(436.02367623717475), np.float64(332.5567059185097))
(np.float64(435.9185213961199), np.float64(332.3534108048918))
(np.float64(435.7187511778254), np.float64(333.17936495841764))
(np.float64(435.4817884513294), np.float64(332.2914434189312))
(np.float64(435.3337841053164), np.float64(334.00627730300937))
(np.float64(435.07913585160844), np.float64(332.3823948422052))
(np.float64(434.65645107493845), np.float64(332.09838397985817))
(np.float64(434.01822841095503), np.float64(331.91076004779006))
(np.float64(432.8112128088068), np.float64(333.73035682177675))
(np.float64(431.78958322853134), np.float64(331.9909431853172))
(np.float64(431.1656814739065), np.float64(332.75633978467386))
(np.float64(430.7574375919574), np.float64(331.78051769984626))
(np.float64(430.49070393610873), np.float64(335.1483199012089))
(np.float64(429.39503282346897), np.float64(332.8940539623112))
(np.float64(429.93648505559304), np.float64(331.5301787382425))
(np.float64(442.2786152486634), np.float64(335.59667628913405))
(np.float64(442.1671953348575), np.float64(335.6033487777768))
(np.float64(442.06497666687557), np.float64(337.47771359551075))
(np.float64(442.00332032661083), np.float64(335.49753860503165))
(np.float64(441.8932951556946), np.float64(335.50461394604685))
(np.float64(441.6843139817851), np.float64(335.64647731524525))
(np.float64(441.4549033962333), np.float64(335.6428580075834))
(np.float64(441.1410902319833), np.float64(337.94106570392273))
(np.float64(440.70271823888874), np.float64(336.84792382011454))
(np.float64(440.53087287490257), np.float64(336.84630216809944))
(np.float64(440.2495861415201), np.float64(338.21086861096035))
(np.float64(439.9027395563283), np.float64(335.9962157210543))
(np.float64(439.7621808902674), np.float64(336.0455089846845))
(np.float64(439.44357524793463), np.float64(336.7960984714346))
(np.float64(439.33745913702836), np.float64(336.77752841341953))
(np.float64(439.17588552392755), np.float64(336.66354652544214))
(np.float64(439.07019733761865), np.float64(336.3510220545625))
(np.float64(438.9569119291728), np.float64(336.76919633300236))
(np.float64(438.8417773246813), np.float64(337.2659558547552))
(np.float64(438.749479987953), np.float64(337.13079897453156))
(np.float64(438.68550820802716), np.float64(336.93102104637165))
(np.float64(438.5758348438491), np.float64(336.403582076999))
(np.float64(438.45860274993714), np.float64(336.6254909460264))
(np.float64(438.39598409949906), np.float64(336.5883339207391))
(np.float64(438.3197599436247), np.float64(336.5875966408968))
(np.float64(438.24212422609065), np.float64(336.5412979516174))
(np.float64(438.1118979971404), np.float64(336.60168756477447))
(np.float64(437.8706801257527), np.float64(336.3644500023459))
(np.float64(437.5875715918164), np.float64(336.4621216116912))
(np.float64(437.2575555515898), np.float64(336.7803587437658))
(np.float64(436.9227199845621), np.float64(336.9855678758604))
(np.float64(436.5804536490431), np.float64(337.69441629308085))
(np.float64(436.28967229528024), np.float64(336.22411640548717))
(np.float64(436.1173130056468), np.float64(335.76952001794325))
(np.float64(435.871545747858), np.float64(336.85851440717835))
(np.float64(435.6324031720661), np.float64(337.392383741643))
(np.float64(435.3468188134384), np.float64(338.5584140865113))
(np.float64(434.81093064143425), np.float64(338.08842948984255))
(np.float64(434.2250080619209), np.float64(338.6295831370373))
(np.float64(434.0299607926262), np.float64(337.2253649175379))
(np.float64(433.65090577241085), np.float64(337.41801811026517))
(np.float64(433.42998605703553), np.float64(337.3325751644017))
(np.float64(433.11410886749803), np.float64(336.48981884870744))
(np.float64(432.6013516845994), np.float64(336.720494529624))
(np.float64(432.4060673922444), np.float64(339.3064411242873))
(np.float64(432.0008468981544), np.float64(336.0200327388019))
(np.float64(431.40942181169316), np.float64(336.9158710819694))
(np.float64(431.26143567154077), np.float64(336.669243004666))
(np.float64(430.74230157985545), np.float64(335.81604537607507))
(np.float64(430.28477649316306), np.float64(338.6430651459469))
(np.float64(430.12981819903297), np.float64(335.6942559581988))
(np.float64(429.97582256186087), np.float64(338.92774286321566))
(np.float64(429.87356990958614), np.float64(339.3691573053508))
(np.float64(429.76736641050985), np.float64(337.0495301295554))
(np.float64(429.61896292251015), np.float64(338.68329080691416))
(np.float64(429.560089999423), np.float64(335.8662550727955))
(np.float64(429.45211082133216), np.float64(335.68235044935113))
(np.float64(429.31289158700633), np.float64(338.4654737349516))
(np.float64(429.2704088002656), np.float64(336.3705296973874))
(np.float64(429.2173992070937), np.float64(336.1307596256662))
(np.float64(429.08788231344795), np.float64(336.32343857621925))
(np.float64(428.98306592815214), np.float64(338.17439831957273))
(np.float64(428.89512915696235), np.float64(336.6408489730448))
(np.float64(428.75325758771027), np.float64(338.4067920776766))
(np.float64(428.6594477768153), np.float64(336.2860130634919))
(np.float64(428.5600716517225), np.float64(336.5373802774426))
(np.float64(428.52839309416214), np.float64(335.8674283568489))
(np.float64(428.380759974467), np.float64(336.2205481892316))
(np.float64(428.22110369937485), np.float64(336.35812460796234))
(np.float64(428.0380792387171), np.float64(336.14531800860203))
(np.float64(427.7977239787112), np.float64(338.9728411772725))
(np.float64(427.6863040649041), np.float64(336.4703644185196))
(np.float64(427.45450088147436), np.float64(336.757394764555))
(np.float64(427.25569817503765), np.float64(337.49747396804486))
(np.float64(426.8372016150266), np.float64(336.7885680351189))
(np.float64(430.4493724537987), np.float64(341.58449202002373))
(np.float64(430.46686135763304), np.float64(341.54632280314524))
(np.float64(431.35122129200266), np.float64(342.4880026796624))
(np.float64(442.0038066833789), np.float64(340.2210750428006))
(np.float64(441.20725781300973), np.float64(339.5269740406434))
(np.float64(440.5983341129132), np.float64(342.4371054611556))
(np.float64(440.3690913681134), np.float64(341.67590441744363))
(np.float64(440.2534978023593), np.float64(341.64156444964556))
(np.float64(440.1848847397472), np.float64(341.8281974630574))
(np.float64(440.0938645880238), np.float64(341.5819179345727))
(np.float64(439.9172576092352), np.float64(342.2114034646081))
(np.float64(439.6698700291886), np.float64(341.9117678453966))
