(np.float64(121.06340184573682), np.float64(374.44132962313574))
(np.float64(121.1492468493639), np.float64(374.4519891199572))
(np.float64(121.33957845198341), np.float64(374.472920049246))
(np.float64(121.227954459061), np.float64(374.46808066920346))
(np.float64(120.9250089844566), np.float64(374.51865546035935))
(np.float64(120.80074058254107), np.float64(374.4712639726551))
(np.float64(121.03815117340095), np.float64(374.449125092314))
(np.float64(121.3019186598322), np.float64(374.3098128992557))
(np.float64(121.15351655894273), np.float64(374.31585598788115))
(np.float64(121.31097356515572), np.float64(374.2712229510456))
(np.float64(120.14693629615743), np.float64(374.4982305359524))
(np.float64(121.97670789693575), np.float64(374.5342395501607))
(np.float64(122.49678349210329), np.float64(374.4932400635445))
(np.float64(121.82214891817726), np.float64(374.2049950391196))
(np.float64(122.75703291122521), np.float64(374.2897546450567))
(np.float64(122.35086051030135), np.float64(374.41211758362056))
(np.float64(122.15781467279898), np.float64(374.51876582505645))
(np.float64(122.46039152192591), np.float64(374.1804835298185))
(np.float64(122.15258889505192), np.float64(374.39341400916476))
(np.float64(121.888912437964), np.float64(374.2040378783662))
(np.float64(121.83341644335545), np.float64(374.2990278254664))
(np.float64(121.72362690839425), np.float64(374.2312254134964))
(np.float64(123.24032762419546), np.float64(374.34146278048433))
(np.float64(121.4140895223617), np.float64(374.3301414590947))
(np.float64(121.59432727145192), np.float64(374.25913234950724))
(np.float64(121.63517274376746), np.float64(374.2327916710376))
(np.float64(121.49372372405814), np.float64(374.34796587354924))
(np.float64(121.55894529349453), np.float64(374.3954762714903))
(np.float64(121.56945094643767), np.float64(374.40799833174106))
(np.float64(121.7512263111344), np.float64(374.34999019611706))
(np.float64(121.81278572682548), np.float64(374.4358444186799))
(np.float64(122.7295975346875), np.float64(374.3600280505752))
(np.float64(121.89440159394508), np.float64(374.26605714361364))
(np.float64(121.95856878351584), np.float64(374.4932971550045))
(np.float64(122.03825309470209), np.float64(374.2320553608974))
(np.float64(122.04786111164643), np.float64(374.32543638337773))
(np.float64(122.15543681301784), np.float64(374.4302647284637))
(np.float64(122.11187242430945), np.float64(374.2714494380826))
(np.float64(122.27025983708376), np.float64(374.37490673963276))
(np.float64(122.21740421353987), np.float64(374.4960793636776))
(np.float64(122.25250599451041), np.float64(374.22703070634196))
(np.float64(122.26933081763264), np.float64(374.3522858546374))
(np.float64(122.31448310483458), np.float64(374.1533058735747))
(np.float64(122.3305613139585), np.float64(374.31876353109817))
