(np.float64(209.59429761910692), np.float64(218.10012408756361))
(np.float64(209.54281194380977), np.float64(218.1725926051761))
(np.float64(209.40562292388458), np.float64(218.11236372084596))
(np.float64(209.9587574282109), np.float64(218.11791813808858))
(np.float64(211.76187355718184), np.float64(217.56246508015548))
(np.float64(212.1751250932475), np.float64(217.84894784514796))
(np.float64(212.18126567252463), np.float64(217.95372479579774))
(np.float64(209.72172465246967), np.float64(218.08254543305102))
(np.float64(212.0768638608581), np.float64(217.21952655815875))
(np.float64(211.9422711711279), np.float64(217.3779731177123))
(np.float64(211.06187144658847), np.float64(218.07525772635032))
(np.float64(211.9691267341111), np.float64(217.9553892967128))
(np.float64(210.1008840529989), np.float64(218.09690799591547))
(np.float64(211.17880947237475), np.float64(218.14167267038832))
(np.float64(212.25831308043095), np.float64(217.97914334415847))
(np.float64(210.86042386096207), np.float64(217.95547578239436))
(np.float64(212.0217713429665), np.float64(217.78016609039273))
(np.float64(211.9545001395462), np.float64(217.76694105365996))
(np.float64(211.06224544713533), np.float64(217.65232558380885))
(np.float64(211.76722781634598), np.float64(217.74755698778415))
(np.float64(212.1940480993385), np.float64(217.77206995164573))
(np.float64(211.8164041206047), np.float64(217.73923890750308))
(np.float64(211.73743677384934), np.float64(217.71108724185748))
(np.float64(211.74528697085506), np.float64(217.42554569806947))
(np.float64(211.85403010186042), np.float64(217.41617991070638))
(np.float64(211.90567616218294), np.float64(217.28328790082452))
(np.float64(211.9262680395327), np.float64(217.39867713571945))
(np.float64(211.83892425947934), np.float64(217.45743358159572))
(np.float64(211.94033198608173), np.float64(217.51076076294834))
(np.float64(212.02620022385287), np.float64(217.7040453557125))
(np.float64(211.957253733769), np.float64(217.69413653280168))
(np.float64(211.89335373699052), np.float64(217.86625607280507))
(np.float64(212.0085644593437), np.float64(217.84035558039952))
(np.float64(212.22715625103044), np.float64(217.81091820537605))
(np.float64(212.30419169507886), np.float64(217.87132848539775))
(np.float64(212.29925478377305), np.float64(217.96916409632527))
(np.float64(210.993228561034), np.float64(218.02534300217383))
(np.float64(211.16923283888272), np.float64(218.13490587780163))
(np.float64(211.04469672401274), np.float64(217.90277878894048))
(np.float64(211.05192722795073), np.float64(217.97330734843584))
(np.float64(212.04511612099074), np.float64(217.88097148755855))
(np.float64(209.91253532952163), np.float64(218.70526907964208))
(np.float64(209.72933522557594), np.float64(218.671880818001))
(np.float64(209.77656870360275), np.float64(218.2498663812862))
(np.float64(210.08182597670603), np.float64(218.54226641550963))
(np.float64(209.9286060829078), np.float64(218.44816550729627))
(np.float64(211.22012777710654), np.float64(218.4258902620013))
(np.float64(211.11255207572282), np.float64(218.65238862987184))
(np.float64(212.1609649156842), np.float64(218.32407067322796))
(np.float64(210.42634931972538), np.float64(218.68601580290917))
(np.float64(210.3025376250204), np.float64(218.57853228068362))
(np.float64(210.23020102887838), np.float64(218.48379415419487))
(np.float64(210.40664588874426), np.float64(218.65729734391485))
(np.float64(210.20057470613372), np.float64(218.19374796087018))
(np.float64(210.304251230702), np.float64(218.47404581768353))
