(np.float64(136.92628843877884), np.float64(191.33710402629086))
(np.float64(136.87166927346448), np.float64(191.26108268650896))
(np.float64(147.99344555174872), np.float64(191.18630214658185))
(np.float64(147.45511588611203), np.float64(190.33588496907186))
(np.float64(141.87152017433854), np.float64(194.21654660515608))
(np.float64(141.16461960017492), np.float64(195.56703976067263))
(np.float64(140.57345459753432), np.float64(193.83240338243937))
(np.float64(141.24084826417067), np.float64(194.47034226678784))
(np.float64(138.41174979190575), np.float64(193.7748127053901))
(np.float64(140.24499229813102), np.float64(194.60890208894756))
(np.float64(138.00642543766534), np.float64(192.19445017977066))
(np.float64(138.87205864253937), np.float64(192.60104446765519))
(np.float64(137.0905905046762), np.float64(192.88202796745063))
(np.float64(137.8858082659825), np.float64(193.050367652791))
(np.float64(140.34747850568004), np.float64(192.71984876581206))
(np.float64(138.82891420253338), np.float64(194.5381234664331))
(np.float64(146.40421681810997), np.float64(195.99531553054456))
(np.float64(145.13001514665686), np.float64(194.94694450308458))
(np.float64(144.72493561799055), np.float64(193.72866074480245))
(np.float64(145.46569581275287), np.float64(194.37697094137326))
(np.float64(142.4823974508057), np.float64(193.97411359864145))
(np.float64(144.73489023998863), np.float64(197.58070840774587))
(np.float64(145.96506734773806), np.float64(195.63492411282982))
(np.float64(143.67538222373852), np.float64(196.37379100159114))
(np.float64(142.42258302424855), np.float64(196.2696541783308))
(np.float64(144.5147138441995), np.float64(196.9418232112334))
(np.float64(143.83977982710053), np.float64(193.24768804207923))
(np.float64(142.61061323173448), np.float64(194.04124388291473))
(np.float64(144.0546818961516), np.float64(194.66369982995155))
(np.float64(144.2476966969752), np.float64(194.68723090554894))
(np.float64(149.02723665202902), np.float64(199.0353334167787))
(np.float64(149.2199594654064), np.float64(198.76383170546563))
(np.float64(148.54393344298808), np.float64(197.6714115862007))
(np.float64(146.99335628785508), np.float64(199.18123579465467))
(np.float64(148.3576197887977), np.float64(196.85097857686864))
(np.float64(146.70547903015336), np.float64(195.4773899257168))
