(np.float64(315.0723018610884), np.float64(331.9891201980257))
(np.float64(313.33250418145764), np.float64(332.94998535061865))
(np.float64(308.9951017132308), np.float64(333.3184384825054))
(np.float64(314.3950090570071), np.float64(340.0189391524897))
(np.float64(313.66476474515343), np.float64(339.8203443266593))
(np.float64(312.9886074670902), np.float64(338.71444553184773))
(np.float64(312.3750085000172), np.float64(336.32925996573886))
(np.float64(311.5373681180258), np.float64(337.5614391914668))
(np.float64(310.90466928785344), np.float64(335.77789803819854))
(np.float64(310.10899984762136), np.float64(336.29592661371595))
(np.float64(308.92309646388725), np.float64(335.5316982074523))
(np.float64(307.7663007957295), np.float64(336.11646633619705))
(np.float64(307.16344502482207), np.float64(334.92505144330016))
(np.float64(307.0182520116506), np.float64(334.7885020647851))
(np.float64(344.43948886104425), np.float64(326.5772896626291))
(np.float64(342.28279985882074), np.float64(326.02915346319156))
(np.float64(323.06255973521166), np.float64(333.8587298183465))
(np.float64(322.7113135719089), np.float64(334.3237226092622))
(np.float64(322.44262703326126), np.float64(334.4120061886064))
(np.float64(322.20942442543065), np.float64(334.33412034597984))
(np.float64(321.8140018094621), np.float64(334.42508873911424))
(np.float64(321.6580026598342), np.float64(334.4315337710144))
(np.float64(321.3383800897169), np.float64(333.7076380570504))
(np.float64(319.6801181713812), np.float64(333.9083513275746))
(np.float64(318.80276628257525), np.float64(333.09193787219033))
(np.float64(318.4414794962318), np.float64(333.0584594884661))
(np.float64(317.9309505382228), np.float64(333.6160182030874))
(np.float64(317.75629661563283), np.float64(332.7966599920065))
(np.float64(317.54565003823706), np.float64(332.5977401327343))
(np.float64(317.1473219391009), np.float64(332.5045932337268))
(np.float64(316.73472633446255), np.float64(332.36005632357217))
(np.float64(316.4472851506529), np.float64(331.8220737978965))
(np.float64(316.30883108297303), np.float64(331.8152217317613))
(np.float64(316.18215343782526), np.float64(331.90084110357316))
(np.float64(315.9737980256111), np.float64(332.18892673251946))
(np.float64(315.78669909164194), np.float64(332.19643898684444))
(np.float64(331.38948676738806), np.float64(330.7921607061571))
(np.float64(331.27536648984926), np.float64(331.1953430823247))
(np.float64(331.1840342375258), np.float64(334.09398845258784))
(np.float64(331.11816453918453), np.float64(334.57115620949264))
(np.float64(331.07996117181494), np.float64(334.41842703845754))
(np.float64(331.04850923396566), np.float64(331.14160032120253))
(np.float64(330.9626475849744), np.float64(334.35919743649583))
(np.float64(330.8907872890248), np.float64(331.15528336235684))
(np.float64(330.72458054252627), np.float64(334.52752887933167))
(np.float64(330.63361310113066), np.float64(334.4848025881705))
(np.float64(330.56358448892433), np.float64(333.1130959551856))
(np.float64(330.4848066565823), np.float64(333.39694427051))
(np.float64(330.3672421755414), np.float64(333.20286270035683))
(np.float64(330.31580556939), np.float64(331.11001553151357))
(np.float64(330.07775482553376), np.float64(333.6938565301008))
(np.float64(329.81409813480525), np.float64(333.57083025180145))
(np.float64(329.62966956823544), np.float64(333.9376088826816))
(np.float64(329.43550363636115), np.float64(332.98328191440316))
(np.float64(329.2939068890401), np.float64(333.5261993968053))
(np.float64(329.21124479135324), np.float64(333.9752723370988))
(np.float64(329.1148967356345), np.float64(334.455057391994))
(np.float64(329.030073341313), np.float64(334.63848891996065))
(np.float64(328.9602408323011), np.float64(333.0405444670726))
(np.float64(328.8642244701655), np.float64(333.16816248666134))
(np.float64(328.804578751322), np.float64(332.8201777341416))
(np.float64(328.78770225821734), np.float64(333.32356295620724))
(np.float64(328.65525716739495), np.float64(333.09115386462145))
(np.float64(328.5928207490211), np.float64(334.17672397838203))
(np.float64(328.5353840088589), np.float64(334.1598904825794))
(np.float64(328.4880102589544), np.float64(333.83605626618015))
(np.float64(328.45966788340036), np.float64(333.5564853254712))
(np.float64(328.3848946485244), np.float64(333.97867200627445))
(np.float64(328.32229888546544), np.float64(332.5484074141739))
(np.float64(328.2340077066995), np.float64(334.6144014147542))
(np.float64(328.2241130773882), np.float64(334.1948714262587))
(np.float64(328.16072527235485), np.float64(334.2399834980233))
(np.float64(328.12675953757326), np.float64(332.03726248085167))
(np.float64(328.02706281580964), np.float64(334.21494428665983))
(np.float64(327.94944669125744), np.float64(334.4858005978051))
(np.float64(327.88167959466415), np.float64(332.174119559307))
(np.float64(327.7625438604938), np.float64(334.2699248779116))
(np.float64(327.6491502571758), np.float64(334.45266730831946))
(np.float64(327.5971263817321), np.float64(332.2558863484811))
(np.float64(327.37848552089343), np.float64(334.3841639198855))
(np.float64(327.3173939093339), np.float64(332.51932252739994))
(np.float64(327.20873816648987), np.float64(332.0928758054854))
(np.float64(327.10232989474997), np.float64(332.26658566386527))
(np.float64(326.8866130697401), np.float64(333.28994366203403))
(np.float64(326.7378898520152), np.float64(331.91309607033577))
(np.float64(326.362744758743), np.float64(334.5721226430637))
(np.float64(326.1273146195835), np.float64(333.9121016061939))
(np.float64(325.4933020192756), np.float64(333.73079470479377))
(np.float64(325.2198986002447), np.float64(333.85780217303255))
(np.float64(324.8472773604817), np.float64(332.7458745927599))
(np.float64(324.32851692256975), np.float64(334.02712241328953))
(np.float64(324.2668891915296), np.float64(332.7359040116792))
(np.float64(329.0390734556392), np.float64(333.53084277495157))
(np.float64(327.71712229983126), np.float64(334.49743058883786))
(np.float64(324.65649286521483), np.float64(333.1080340275411))
(np.float64(329.01888020011273), np.float64(334.16039624503895))
(np.float64(327.7582713766773), np.float64(334.47671578284906))
(np.float64(326.76698161578537), np.float64(334.3934435852065))
(np.float64(327.15044262951534), np.float64(331.5282167799115))
(np.float64(347.1637225724159), np.float64(330.72445029507287))
(np.float64(346.73461285814886), np.float64(330.28251051453276))
(np.float64(346.5094664337191), np.float64(330.4779454310816))
(np.float64(346.1588699598261), np.float64(330.64532722838624))
(np.float64(345.77386630219263), np.float64(330.6789720379587))
(np.float64(344.63871255651503), np.float64(329.0008931752854))
(np.float64(343.5772201006251), np.float64(327.7511632953205))
(np.float64(343.2199264680593), np.float64(327.91922697799447))
(np.float64(343.07064840482), np.float64(327.53282682440357))
(np.float64(342.85463283018555), np.float64(329.00877846351335))
(np.float64(342.6588027085674), np.float64(329.62192359341634))
(np.float64(342.5598501733479), np.float64(329.2741432065033))
(np.float64(342.4690634035237), np.float64(327.47196593397643))
(np.float64(342.2616853863533), np.float64(329.0080645172282))
(np.float64(342.0164221710445), np.float64(328.4842088551673))
(np.float64(341.8191475438205), np.float64(328.8844416271123))
(np.float64(341.5735564494894), np.float64(328.9028936233825))
(np.float64(341.36507498331486), np.float64(329.74661770599033))
(np.float64(341.18787588032916), np.float64(329.75627222341603))
(np.float64(341.0211898860207), np.float64(328.8532795687765))
(np.float64(340.88747090459816), np.float64(329.78096724963785))
(np.float64(340.8025680980029), np.float64(329.8818519809069))
(np.float64(340.6960797204335), np.float64(329.5567709039861))
(np.float64(340.5871228005218), np.float64(328.86358821372335))
(np.float64(340.4047917233589), np.float64(330.15375230212567))
(np.float64(340.1203196565844), np.float64(329.6282355937307))
(np.float64(339.96011026986895), np.float64(328.65030900374023))
(np.float64(339.82370236839813), np.float64(330.74383811855887))
(np.float64(339.7465693062154), np.float64(329.8501893116778))
(np.float64(339.528512420268), np.float64(328.0899345043705))
(np.float64(339.3187709346285), np.float64(327.2535135225496))
(np.float64(339.0043229924392), np.float64(328.593551668067))
(np.float64(338.74474701704816), np.float64(327.94788580004894))
(np.float64(338.5825082828875), np.float64(330.28210948035934))
(np.float64(338.4145905315589), np.float64(329.8263212631334))
(np.float64(338.2031768802473), np.float64(327.82401539239106))
(np.float64(338.0686975870848), np.float64(328.5113739052321))
(np.float64(337.74031175231795), np.float64(328.64149873688933))
(np.float64(337.54540215408025), np.float64(328.8381088769001))
(np.float64(337.4340649469233), np.float64(328.7708055606551))
(np.float64(337.0956447311308), np.float64(328.758401137903))
(np.float64(336.04489980614534), np.float64(329.6918711776063))
(np.float64(335.2323998209481), np.float64(329.9409467330778))
(np.float64(334.7225699682793), np.float64(330.20342708459435))
(np.float64(333.4961028696981), np.float64(330.4978641687801))
(np.float64(332.8553135250562), np.float64(329.7529450397901))
(np.float64(332.1652908311137), np.float64(330.53024132975173))
(np.float64(331.94279760855443), np.float64(330.49281157456016))
(np.float64(331.7250524764348), np.float64(330.3220538052792))
(np.float64(339.111325469047), np.float64(329.6418066944085))
(np.float64(337.3054647620948), np.float64(327.96491450985604))
(np.float64(339.1564212313581), np.float64(329.32336834826947))
(np.float64(339.2802438495769), np.float64(331.6505418393227))
(np.float64(339.1771889253844), np.float64(332.8652962302082))
(np.float64(339.09245049177747), np.float64(332.98499453699236))
(np.float64(338.99249489991354), np.float64(331.92234694750226))
(np.float64(338.86059234396305), np.float64(332.4385491417541))
(np.float64(338.6908711713298), np.float64(332.58354641998847))
(np.float64(338.5581243832701), np.float64(334.40212942661395))
(np.float64(338.4220632602306), np.float64(334.0011962842736))
(np.float64(338.2947345385615), np.float64(334.6830127436227))
(np.float64(338.22631619204844), np.float64(332.65232538683995))
(np.float64(338.11723529883363), np.float64(334.2650591339823))
(np.float64(338.0076338911781), np.float64(332.86154031516844))
(np.float64(337.9534050250049), np.float64(331.9428510847901))
(np.float64(337.8448788039196), np.float64(332.75640717926325))
(np.float64(337.71472782589274), np.float64(334.1680975314861))
(np.float64(337.6440677301248), np.float64(332.8178488631803))
