(np.float64(330.81227196797005), np.float64(338.33568333076255))
(np.float64(330.7652448231106), np.float64(338.3644713055814))
(np.float64(330.6928534359737), np.float64(338.53622805420247))
(np.float64(330.7205757716753), np.float64(338.3542286612702))
(np.float64(330.6499713338626), np.float64(338.221077921615))
(np.float64(330.78393930220705), np.float64(338.10933738860507))
(np.float64(330.75434575003476), np.float64(338.68032150552733))
(np.float64(330.4277815424355), np.float64(338.1580896773201))
(np.float64(330.6214330284781), np.float64(338.1128589377453))
(np.float64(330.5694051650888), np.float64(338.2218836263643))
(np.float64(330.62361235761307), np.float64(338.16811892563334))
(np.float64(331.04733573570536), np.float64(338.5004071630204))
(np.float64(330.6308917572971), np.float64(338.3328776673176))
(np.float64(330.65373682758513), np.float64(338.6519732319237))
(np.float64(330.43008952635887), np.float64(338.22253157201186))
(np.float64(330.8186055294588), np.float64(338.0745272950614))
(np.float64(330.9203263969868), np.float64(338.5329224465416))
(np.float64(330.97624199350946), np.float64(338.3736286666889))
(np.float64(331.0699486378268), np.float64(338.34323988854186))
(np.float64(331.0816858744077), np.float64(338.2717892595419))
(np.float64(330.9678497817928), np.float64(338.20203010141245))
(np.float64(330.9772644697507), np.float64(338.10147604000383))
(np.float64(331.075899182526), np.float64(337.777777824919))
(np.float64(331.1238404353512), np.float64(337.79116825718415))
(np.float64(331.1761110436598), np.float64(337.7862905737436))
(np.float64(331.02318487120266), np.float64(338.0822553696459))
(np.float64(331.1455220639559), np.float64(337.86641746830236))
(np.float64(331.147122619857), np.float64(337.74518514671246))
(np.float64(331.1377991346433), np.float64(337.9163326773321))
(np.float64(330.92049701197897), np.float64(337.9428237814976))
(np.float64(330.9803592939677), np.float64(337.85693271009563))
(np.float64(331.0952152619823), np.float64(337.83586317340496))
(np.float64(330.9291539890374), np.float64(337.8350889235122))
(np.float64(330.48586849217213), np.float64(338.1172941320669))
(np.float64(329.84536454620036), np.float64(338.5684244255504))
(np.float64(329.8126239796517), np.float64(338.53956608642034))
