(np.float64(140.92496136484087), np.float64(312.3900509160973))
(np.float64(137.804848156904), np.float64(312.3540814174244))
(np.float64(133.01271112811907), np.float64(315.97029644059074))
(np.float64(135.63636712710607), np.float64(315.1471018288459))
(np.float64(139.35614244986272), np.float64(315.26649504177834))
(np.float64(137.97567381888035), np.float64(316.4042402651681))
(np.float64(141.41679827119657), np.float64(315.838939536433))
(np.float64(135.91020141834827), np.float64(315.16493424338273))
(np.float64(138.4094242956677), np.float64(314.1527571410053))
(np.float64(139.67371434565817), np.float64(314.241241449559))
(np.float64(139.07939227207655), np.float64(315.3449053743163))
(np.float64(139.19413848471032), np.float64(315.22213128026607))
(np.float64(137.59955635885547), np.float64(315.2694982828843))
(np.float64(134.78180118284698), np.float64(314.7040602194907))
(np.float64(135.75765150050236), np.float64(314.1771439824363))
(np.float64(136.62081148153027), np.float64(314.427719491778))
(np.float64(134.96979792621093), np.float64(315.47854720961436))
(np.float64(135.3649249135574), np.float64(315.4490715311929))
(np.float64(135.6804395462327), np.float64(315.37892933906113))
(np.float64(137.756197048601), np.float64(315.09312761094617))
(np.float64(137.63233940575526), np.float64(315.2467264873432))
(np.float64(140.12723015336599), np.float64(315.84845144642003))
(np.float64(140.30859545256587), np.float64(316.07898567142234))
(np.float64(141.07837614812183), np.float64(314.9019779478796))
(np.float64(136.4519513597726), np.float64(317.3588515392208))
(np.float64(137.26690757668567), np.float64(317.2424944768028))
(np.float64(138.27178689120908), np.float64(317.22490539795325))
(np.float64(138.96512738791748), np.float64(316.6231617720306))
(np.float64(139.3263607703836), np.float64(316.524759004114))
(np.float64(136.1849276237574), np.float64(315.2274464830841))
(np.float64(135.86055124135143), np.float64(315.36571969641545))
(np.float64(134.0438837043809), np.float64(317.119228984072))
(np.float64(134.71222945123733), np.float64(317.539763406504))
(np.float64(134.93241971815428), np.float64(317.4855865199784))
(np.float64(140.52808869481336), np.float64(315.7264521477286))
(np.float64(139.85363669974728), np.float64(315.6956673657617))
(np.float64(139.2479500030252), np.float64(315.67701542816536))
(np.float64(138.93683581540034), np.float64(315.8976798609406))
(np.float64(137.7162554542869), np.float64(315.76513070285455))
(np.float64(137.54127538657053), np.float64(316.000406306953))
(np.float64(138.01203943388646), np.float64(316.27944148491304))
(np.float64(138.64587587073436), np.float64(316.4407800117699))
(np.float64(135.16904502922674), np.float64(315.957525711271))
(np.float64(139.53910154278526), np.float64(314.5940688548766))
(np.float64(136.36417011871453), np.float64(315.32459663285186))
(np.float64(135.68441102635032), np.float64(315.1489057856513))
(np.float64(138.64896046498947), np.float64(316.2311057456748))
(np.float64(134.19096111162222), np.float64(315.9287504638518))
(np.float64(133.5825452685442), np.float64(317.3220197897976))
(np.float64(139.63076947663015), np.float64(315.3379120946969))
(np.float64(146.18641966921956), np.float64(316.80050075634756))
(np.float64(144.70939699612455), np.float64(313.96669304217556))
(np.float64(142.37399780384294), np.float64(317.411906778554))
(np.float64(143.39249614817538), np.float64(315.9331796581135))
(np.float64(146.78835092879723), np.float64(317.1427811507838))
(np.float64(152.63985292771196), np.float64(317.61697760628454))
(np.float64(151.2144544679007), np.float64(317.30915239287987))
(np.float64(150.3393354854906), np.float64(317.11395511499177))
(np.float64(149.85280480946776), np.float64(316.04138233879564))
(np.float64(149.502801500111), np.float64(316.3756719288336))
(np.float64(149.65416942363456), np.float64(317.09761623002584))
(np.float64(148.7135658403411), np.float64(316.3554888249465))
(np.float64(147.75524603993546), np.float64(316.23385922679336))
(np.float64(148.88229227900462), np.float64(315.68278215048826))
(np.float64(146.6319020075208), np.float64(316.360902574165))
(np.float64(146.32138046425393), np.float64(316.25256134669127))
(np.float64(146.6396417555986), np.float64(316.6862285019308))
(np.float64(144.05916730192766), np.float64(313.87750357529785))
(np.float64(142.53915398505126), np.float64(315.82470758089084))
(np.float64(145.16071943018477), np.float64(313.05985647164744))
(np.float64(145.41528150945416), np.float64(312.9335547071893))
(np.float64(149.40845730362653), np.float64(315.21983459143337))
(np.float64(149.91789477648575), np.float64(314.0920723734871))
(np.float64(147.52530887130666), np.float64(314.3919692073397))
(np.float64(145.7144243850432), np.float64(312.8268079193451))
(np.float64(151.56925181584643), np.float64(315.6116963128894))
(np.float64(141.5959968986813), np.float64(315.5593196255565))
(np.float64(142.46015716212216), np.float64(315.7789855638466))
(np.float64(142.64728730615747), np.float64(316.15081897078346))
(np.float64(142.88748981026563), np.float64(316.49902451331377))
(np.float64(144.8627881984645), np.float64(314.4591813711925))
(np.float64(145.05968778480744), np.float64(316.0274248707534))
(np.float64(143.91568251935973), np.float64(316.9869803743391))
(np.float64(143.57562585609372), np.float64(316.7601613973177))
(np.float64(144.0707431131341), np.float64(316.47078266498073))
(np.float64(142.33115748852353), np.float64(317.11774296973266))
(np.float64(142.43682625523925), np.float64(317.47557909006116))
(np.float64(145.3038352404758), np.float64(317.5404282614068))
(np.float64(143.36606452184023), np.float64(315.8165656235221))
(np.float64(143.75359896855852), np.float64(314.97190171365736))
(np.float64(143.21127129424673), np.float64(314.5143980253256))
(np.float64(143.78916681974604), np.float64(314.4294652662031))
(np.float64(142.84552146933814), np.float64(313.15194875441347))
(np.float64(151.55454442190126), np.float64(316.7519108328388))
(np.float64(150.0067014414077), np.float64(315.13065494283694))
(np.float64(151.54546281464403), np.float64(316.413485687733))
(np.float64(143.25431794273476), np.float64(316.7067783972422))
(np.float64(143.49954370598456), np.float64(314.70311760433435))
(np.float64(152.31392401822274), np.float64(315.3444522184234))
(np.float64(151.33930164303663), np.float64(317.3045265300516))
(np.float64(146.56655126311162), np.float64(317.47097474259186))
(np.float64(151.12351372844861), np.float64(317.38558270630534))
(np.float64(137.19203429623226), np.float64(319.51902869123086))
(np.float64(141.16695393926585), np.float64(321.0997806751571))
(np.float64(141.35369569144098), np.float64(321.01720399937795))
(np.float64(138.7038280970525), np.float64(320.58823149550966))
(np.float64(141.13682860233706), np.float64(318.4343316162013))
(np.float64(140.69724791297904), np.float64(320.3305964634853))
(np.float64(139.92686711732367), np.float64(321.2482719265033))
(np.float64(138.7794798951076), np.float64(321.8829207184918))
(np.float64(137.56347475539565), np.float64(319.79214963029466))
(np.float64(136.29109748532562), np.float64(319.02286687221635))
(np.float64(135.1797618702346), np.float64(317.9710022958882))
(np.float64(141.1387688277285), np.float64(318.1028784171747))
(np.float64(144.45072472535864), np.float64(318.37470946499894))
(np.float64(155.35459011142353), np.float64(323.2560934868423))
(np.float64(142.99439848330115), np.float64(320.8556392885193))
(np.float64(146.6506342854621), np.float64(319.56999748618614))
(np.float64(156.15767956999957), np.float64(320.4522181221665))
(np.float64(156.71009242838008), np.float64(319.18544298677614))
(np.float64(155.71577407795064), np.float64(319.0686476170992))
(np.float64(155.0106093032884), np.float64(318.81154131745217))
(np.float64(154.34854336725877), np.float64(318.4832483913526))
(np.float64(151.86594608885224), np.float64(321.5607099723075))
(np.float64(150.55988414793424), np.float64(322.287381288816))
(np.float64(152.17518299136782), np.float64(321.17430927325995))
(np.float64(152.01126654310292), np.float64(320.94670204620115))
(np.float64(151.68547634499262), np.float64(320.350959266076))
(np.float64(152.2677170043804), np.float64(320.10168061773675))
