(np.float64(2.694414233039091), np.float64(250.12368286039606))
(np.float64(3.6075363182752946), np.float64(250.23340555574867))
(np.float64(2.127958408218819), np.float64(249.88405666884907))
(np.float64(2.2615112827705692), np.float64(250.33753492439038))
(np.float64(1.137396015105812), np.float64(250.6528000277813))
(np.float64(2.2062864689147417), np.float64(249.88092275981484))
(np.float64(1.97177147805636), np.float64(249.83967139198123))
(np.float64(2.5862497018667097), np.float64(250.4496306729528))
(np.float64(2.0635644255385177), np.float64(249.9801523842003))
(np.float64(1.7519817402313687), np.float64(250.1935272920732))
(np.float64(3.650458820083905), np.float64(250.05376164009286))
(np.float64(3.620498549702828), np.float64(250.1068631829072))
(np.float64(1.7991489835762244), np.float64(250.2244351055326))
(np.float64(2.268595272809718), np.float64(249.967765840409))
(np.float64(3.5974972557310134), np.float64(250.0985438298845))
(np.float64(1.0491663895217156), np.float64(250.14544428254675))
(np.float64(3.596474952880806), np.float64(249.94817922712554))
(np.float64(1.0744661310132135), np.float64(249.84969439780707))
(np.float64(3.612721349554987), np.float64(249.96980901164324))
(np.float64(1.674938667060268), np.float64(250.23722062287163))
(np.float64(3.3766942312997803), np.float64(250.02010143643162))
(np.float64(2.7645784356316385), np.float64(250.27073052204983))
(np.float64(2.479688847612668), np.float64(250.30965938262062))
(np.float64(1.284924234317501), np.float64(250.557768383309))
(np.float64(2.5450167046389973), np.float64(250.34927291646713))
(np.float64(3.5715880511274785), np.float64(249.94166534607297))
(np.float64(2.834757202913847), np.float64(250.37201180259976))
(np.float64(1.1838974438338643), np.float64(250.54074234019714))
(np.float64(3.6733838227931304), np.float64(250.50413598688914))
(np.float64(2.6134215267867074), np.float64(250.36859455749672))
(np.float64(1.2574094455171123), np.float64(250.45219245525308))
(np.float64(2.558318432157275), np.float64(250.32923696551558))
(np.float64(3.3190095445499037), np.float64(250.30783075891216))
(np.float64(2.1007411553214648), np.float64(249.82682169220377))
(np.float64(1.5252226226565095), np.float64(250.21115467432597))
(np.float64(1.404488239857531), np.float64(250.18321513194013))
(np.float64(0.9641456782509322), np.float64(250.15513213362556))
(np.float64(0.9538222573966376), np.float64(250.14569840621127))
(np.float64(2.6093664730598176), np.float64(249.89319530250654))
(np.float64(1.0840271594727635), np.float64(250.37037875653522))
(np.float64(2.447207151163088), np.float64(249.85731507742145))
(np.float64(1.1338630363234272), np.float64(250.39993092054584))
(np.float64(2.0617795568926254), np.float64(250.25408490685018))
(np.float64(2.0101863802765796), np.float64(249.82469385348452))
(np.float64(2.427876160244841), np.float64(249.88890065499623))
(np.float64(1.8126710888041662), np.float64(250.0209573840884))
(np.float64(3.0316840113613024), np.float64(250.50627534086982))
(np.float64(1.2507655173230998), np.float64(250.144943853475))
(np.float64(0.836478674212717), np.float64(250.1263473709585))
