(np.float64(86.44414678147125), np.float64(68.42488131287118))
(np.float64(86.59281780904044), np.float64(68.6428426286474))
(np.float64(87.33773726444136), np.float64(68.99196181635732))
(np.float64(83.57945982468308), np.float64(68.57872358556057))
(np.float64(83.11024292940199), np.float64(69.19640057738309))
(np.float64(83.37780521233974), np.float64(68.86211559344885))
(np.float64(83.4754635704056), np.float64(68.17126292567272))
(np.float64(87.06395464318284), np.float64(68.88811463225659))
(np.float64(87.17648338106335), np.float64(68.88070668197149))
(np.float64(84.60154836623714), np.float64(69.11745690636405))
(np.float64(86.76323964751025), np.float64(66.75382918468323))
(np.float64(86.6832219088485), np.float64(66.91556880632294))
(np.float64(84.19617026134469), np.float64(68.86409464285236))
(np.float64(83.20044485737695), np.float64(69.11986468717882))
(np.float64(84.92686694567368), np.float64(73.1275615493439))
(np.float64(85.09197128350108), np.float64(73.13551302002736))
(np.float64(85.03087880498488), np.float64(72.27866535620991))
(np.float64(87.03587998058327), np.float64(72.27404731163888))
(np.float64(86.25890276538205), np.float64(70.92117952714091))
(np.float64(86.72575792608774), np.float64(70.60543108575068))
(np.float64(79.60539585746672), np.float64(72.75723215692177))
(np.float64(80.54480634952546), np.float64(72.27197614013252))
(np.float64(83.72893451129995), np.float64(72.43526589794479))
(np.float64(81.9796694333946), np.float64(71.62766307305088))
(np.float64(78.49074365334012), np.float64(73.477079892423))
(np.float64(79.46200990675467), np.float64(73.65044520202437))
(np.float64(77.8493549021631), np.float64(72.23554215212494))
(np.float64(79.19825681163309), np.float64(72.73773687785359))
(np.float64(78.14031952833787), np.float64(72.60220696372522))
(np.float64(77.62423327238358), np.float64(72.30703350879496))
(np.float64(78.61126858195807), np.float64(72.79533476709581))
(np.float64(77.5370833414911), np.float64(71.93282547287585))
(np.float64(78.1388410384479), np.float64(71.91887848978094))
(np.float64(84.5130515478583), np.float64(72.68987229467595))
(np.float64(86.56767931952605), np.float64(70.7006092164864))
(np.float64(80.00920392295261), np.float64(73.72351081631003))
(np.float64(77.50494114114704), np.float64(72.54686576293321))
(np.float64(75.01554821897302), np.float64(74.33890293759394))
(np.float64(76.00962902617013), np.float64(72.85479031062928))
(np.float64(84.95096943459498), np.float64(72.10804673978312))
(np.float64(85.40217344381871), np.float64(71.87687475104794))
(np.float64(79.67644035712213), np.float64(72.7378879702216))
(np.float64(80.37570695063943), np.float64(72.00366312626495))
(np.float64(79.14090139101211), np.float64(73.5351699076239))
(np.float64(77.99762522723941), np.float64(72.46598583080207))
(np.float64(78.40472699438915), np.float64(72.74466452047407))
(np.float64(77.26476568575477), np.float64(71.83190668067388))
(np.float64(77.69170907509249), np.float64(73.34407648752645))
(np.float64(76.00870711568076), np.float64(73.21918025178337))
(np.float64(74.28122093772735), np.float64(74.23563848639084))
(np.float64(86.51664376264111), np.float64(70.91665924108884))
(np.float64(77.81288837463028), np.float64(72.21994618341837))
(np.float64(76.65220601368446), np.float64(72.56534557765316))
(np.float64(84.20385920637698), np.float64(72.67412517299536))
(np.float64(77.22689175791378), np.float64(72.19410563099044))
(np.float64(76.2794157194232), np.float64(72.65560366090327))
(np.float64(75.99492232578314), np.float64(73.18429239991244))
(np.float64(73.23011345587724), np.float64(74.33260124041057))
(np.float64(75.02037416117646), np.float64(73.5331413425918))
(np.float64(76.29418796094386), np.float64(72.54433161725869))
(np.float64(78.93334478294213), np.float64(73.52133522864497))
(np.float64(102.11889046402278), np.float64(65.05884821949006))
(np.float64(102.6773024160848), np.float64(65.00177469894635))
(np.float64(102.80981374158793), np.float64(64.66867063550042))
(np.float64(102.20183952085878), np.float64(66.00880278192827))
(np.float64(100.75115224308347), np.float64(65.66102930417641))
(np.float64(101.27840753913239), np.float64(66.03500885303885))
(np.float64(101.05783789658813), np.float64(66.3491643699668))
(np.float64(99.50050671110674), np.float64(66.18115389992388))
(np.float64(99.68647202634605), np.float64(65.82176382520409))
(np.float64(98.4226449255823), np.float64(66.23889851785354))
(np.float64(95.8406510621654), np.float64(65.68063494794774))
(np.float64(102.8385687834915), np.float64(65.13028242409054))
(np.float64(102.6305554682122), np.float64(64.62662938125608))
(np.float64(103.6208038534429), np.float64(66.1141840414441))
(np.float64(103.04503945486105), np.float64(65.26081816880675))
(np.float64(102.85444828856825), np.float64(65.09256369640889))
(np.float64(102.91108241002802), np.float64(64.36381211739858))
(np.float64(103.51577246550927), np.float64(65.482981585745))
(np.float64(100.83234452032858), np.float64(65.68609784915618))
(np.float64(102.16055051891463), np.float64(65.00487491068719))
(np.float64(101.6598220398797), np.float64(63.7712830652616))
(np.float64(102.56483089665218), np.float64(64.05428797850651))
(np.float64(102.71674516961079), np.float64(63.83478325389398))
(np.float64(101.12225962154618), np.float64(63.42345073845658))
(np.float64(103.0215103641018), np.float64(65.53629161541916))
(np.float64(98.46741228871369), np.float64(64.47587089590289))
(np.float64(102.74361425694573), np.float64(65.05427229653579))
(np.float64(100.35604571566438), np.float64(63.81850267251774))
(np.float64(104.53010166600124), np.float64(65.85489662983477))
(np.float64(114.39041916688568), np.float64(66.09808940125716))
(np.float64(112.64978002937104), np.float64(65.67330111958832))
(np.float64(112.44454076825177), np.float64(63.82827955475783))
(np.float64(113.37749043113982), np.float64(63.83364197015039))
(np.float64(112.52352198614719), np.float64(64.34119929309138))
(np.float64(110.98269086576816), np.float64(63.06104505887411))
(np.float64(110.62083154820827), np.float64(63.17628926206607))
(np.float64(112.76642277331126), np.float64(65.29577093039505))
(np.float64(111.09891799574368), np.float64(63.05984959279051))
(np.float64(105.04082984823069), np.float64(65.93299805029784))
(np.float64(107.34104247219739), np.float64(64.5404476403812))
(np.float64(110.3480993188525), np.float64(64.09066002652023))
(np.float64(108.35611360518014), np.float64(64.69608096066001))
(np.float64(108.72972888534602), np.float64(64.13040513739455))
(np.float64(106.04191818081698), np.float64(65.030574431455))
(np.float64(104.33150702662678), np.float64(65.20307470240151))
(np.float64(111.98953017205226), np.float64(65.8479947450384))
(np.float64(111.52001660780508), np.float64(65.07681475653095))
(np.float64(110.20603736823905), np.float64(64.26875126052461))
(np.float64(107.9915114435239), np.float64(64.59542689828707))
(np.float64(109.36578695829252), np.float64(63.92668814091287))
(np.float64(104.30690153558184), np.float64(65.36989600945076))
(np.float64(112.08456046969474), np.float64(65.29958878542433))
(np.float64(105.92727080003908), np.float64(64.87817229387363))
(np.float64(104.32880648950648), np.float64(65.17085245201574))
(np.float64(109.07785612332492), np.float64(64.56997598597967))
(np.float64(105.40038742385877), np.float64(63.28963393176973))
(np.float64(104.53678478016136), np.float64(65.69766941538384))
(np.float64(102.36223200659879), np.float64(69.71840440338943))
(np.float64(102.50622880752444), np.float64(69.45549974474741))
(np.float64(103.75834762772025), np.float64(69.89410482643778))
(np.float64(103.47866925274636), np.float64(69.3830801366991))
(np.float64(103.23325536219834), np.float64(69.92623004558526))
(np.float64(96.53166450211971), np.float64(70.0143442899586))
(np.float64(96.4884106535052), np.float64(69.84075819034666))
(np.float64(100.313061140513), np.float64(69.92716629704482))
(np.float64(102.4213126499611), np.float64(66.63816588653897))
(np.float64(92.91022722317472), np.float64(69.87278546915715))
(np.float64(94.63220274488425), np.float64(69.62115122232258))
(np.float64(94.4879042467102), np.float64(69.63225757193925))
(np.float64(92.2938200442677), np.float64(70.03820906574428))
(np.float64(93.27251342499656), np.float64(69.07119385379436))
(np.float64(93.94896771879937), np.float64(69.10991786390261))
(np.float64(95.44420718368086), np.float64(69.28918547289673))
(np.float64(95.94599559103331), np.float64(67.7120966758413))
(np.float64(92.6258902266033), np.float64(68.90327720284135))
(np.float64(92.02465373764176), np.float64(68.95314186593092))
(np.float64(91.30334174493476), np.float64(69.46788677339362))
(np.float64(91.51382915101314), np.float64(69.53979322497311))
(np.float64(88.91650490616877), np.float64(69.68936509280897))
(np.float64(89.95410276682456), np.float64(69.54875622057055))
(np.float64(97.00914738177094), np.float64(66.86458025359913))
(np.float64(103.70522758561924), np.float64(66.6961130518789))
(np.float64(102.86572309609804), np.float64(66.45300343277677))
(np.float64(102.64579343317135), np.float64(66.64247635238529))
(np.float64(103.03242400187587), np.float64(67.03930030354974))
(np.float64(99.41159791994019), np.float64(67.03187823191311))
(np.float64(97.21270528760894), np.float64(66.78701586862475))
(np.float64(90.0007949237023), np.float64(66.90134836604567))
(np.float64(93.19349302113753), np.float64(66.48424270397904))
(np.float64(91.31795030702527), np.float64(66.7185850263431))
(np.float64(101.825528905246), np.float64(67.99112664162988))
(np.float64(101.81449996363801), np.float64(67.41272621070767))
(np.float64(99.344901155005), np.float64(66.45045704456186))
(np.float64(102.23437115339725), np.float64(66.68147751668441))
(np.float64(103.2456069167898), np.float64(66.92092097919307))
(np.float64(102.66738888733873), np.float64(66.7414290650065))
(np.float64(99.9986021014237), np.float64(66.5085853631659))
(np.float64(101.18975865841024), np.float64(66.57600722601073))
(np.float64(102.01115836556916), np.float64(66.55385561827342))
(np.float64(94.61618019369337), np.float64(67.35500868394716))
(np.float64(95.46609670597275), np.float64(66.56811060433763))
(np.float64(97.56348225967125), np.float64(66.53561198764767))
(np.float64(102.57071780749742), np.float64(69.34133149133616))
(np.float64(94.83702552509078), np.float64(69.51575250809483))
(np.float64(93.49032288451845), np.float64(68.90500158312116))
(np.float64(91.58553461038798), np.float64(68.64934632778358))
(np.float64(97.11684116120527), np.float64(66.71009882322585))
(np.float64(102.83905600720634), np.float64(66.96060360461173))
(np.float64(92.08980907239616), np.float64(66.66537954313276))
(np.float64(102.82297363672721), np.float64(66.83745441603708))
(np.float64(94.33262639623118), np.float64(67.30577208752639))
(np.float64(104.16251183467584), np.float64(68.55687046555254))
(np.float64(104.15265656470443), np.float64(68.87277224175791))
(np.float64(104.11444435448934), np.float64(69.13726164296634))
(np.float64(102.49785757590718), np.float64(69.51560590061938))
(np.float64(102.67842736535285), np.float64(69.60485961054067))
(np.float64(103.48108612511483), np.float64(69.28140206444087))
(np.float64(94.27014177566326), np.float64(69.36638512708119))
(np.float64(91.80269888862016), np.float64(68.63531061655829))
(np.float64(92.71777507037683), np.float64(69.0640496030224))
(np.float64(92.56860312134253), np.float64(69.0858866622704))
(np.float64(88.59119915753568), np.float64(69.43968262238994))
(np.float64(97.61179785983039), np.float64(69.93115100216696))
(np.float64(96.59131282180358), np.float64(69.79655188490092))
(np.float64(97.1083378069976), np.float64(66.80349578525338))
(np.float64(90.19862508998902), np.float64(66.84325350231188))
(np.float64(102.99839463324412), np.float64(66.82972585659759))
(np.float64(101.57232030223916), np.float64(66.54823210945088))
(np.float64(95.37655677803167), np.float64(66.52798561101373))
(np.float64(96.98190394710203), np.float64(66.72767662924315))
(np.float64(102.57214324029353), np.float64(66.59477740717094))
(np.float64(100.2500178598761), np.float64(67.40788810340416))
(np.float64(100.84625900536238), np.float64(68.2151571675029))
(np.float64(101.90913337333973), np.float64(66.72828887757592))
(np.float64(103.91049302850882), np.float64(69.80849157589441))
(np.float64(104.02417584504654), np.float64(68.78579067497903))
(np.float64(104.11914320239698), np.float64(68.68752887812002))
(np.float64(93.54988867093094), np.float64(70.06327409553876))
(np.float64(90.3066207400616), np.float64(69.48240776202671))
(np.float64(89.53476145451867), np.float64(66.89915040543492))
(np.float64(102.97722328911091), np.float64(66.44825781121469))
(np.float64(92.16158059306561), np.float64(69.9292464989389))
