(np.float64(85.58012384229049), np.float64(348.44875717967386))
(np.float64(90.85960890387771), np.float64(347.95557769247074))
(np.float64(85.89850615930214), np.float64(348.5993766939866))
(np.float64(76.53450628904068), np.float64(355.2498242142132))
(np.float64(69.3826019467729), np.float64(355.8039153802119))
(np.float64(69.67739466018624), np.float64(355.9336975418991))
(np.float64(76.5365422252867), np.float64(355.9876885478448))
(np.float64(76.38117750681955), np.float64(356.0567996997181))
(np.float64(69.37883836033255), np.float64(356.18082550281855))
(np.float64(76.16808908901766), np.float64(356.16728385696814))
(np.float64(75.89233451213939), np.float64(356.2709706758857))
(np.float64(76.04214401333947), np.float64(356.3174760338224))
(np.float64(76.0044693097041), np.float64(356.36111087920625))
(np.float64(75.70766216031987), np.float64(356.42714569836295))
(np.float64(76.59245418063473), np.float64(354.04997233079496))
(np.float64(76.47549656186663), np.float64(356.20341729661993))
(np.float64(76.3448666827972), np.float64(356.07308300839213))
(np.float64(76.10048029678264), np.float64(355.4944045747838))
(np.float64(75.83550394069931), np.float64(355.47193641853926))
(np.float64(75.45710381156597), np.float64(355.8251220697414))
(np.float64(75.36330024267488), np.float64(352.7226457625056))
(np.float64(74.7660927990536), np.float64(355.53121359671326))
(np.float64(74.08717065647284), np.float64(355.21586128035926))
(np.float64(74.98856261408136), np.float64(354.96167773619396))
(np.float64(77.42744240108972), np.float64(355.18395733607383))
(np.float64(76.86179248936304), np.float64(355.39060799723006))
(np.float64(77.3003498355465), np.float64(355.4873860221961))
(np.float64(77.55856227808823), np.float64(355.60212967510085))
(np.float64(77.00546245161155), np.float64(355.6304254027447))
(np.float64(77.37870269089392), np.float64(355.68320130604945))
(np.float64(76.71648764014357), np.float64(355.7260575378591))
(np.float64(76.98133759549174), np.float64(355.7992381229525))
(np.float64(76.82717498448972), np.float64(355.8493892130464))
(np.float64(90.63452888751728), np.float64(355.9393780815749))
(np.float64(90.55803632512784), np.float64(356.02989107637444))
(np.float64(80.24370053454952), np.float64(356.2558976213163))
(np.float64(78.89493126784072), np.float64(356.45621567590126))
(np.float64(91.84526282151467), np.float64(354.41853128188455))
(np.float64(91.11499128755406), np.float64(356.2840129835819))
(np.float64(91.03386836599103), np.float64(355.7680504886097))
(np.float64(90.59017748513772), np.float64(354.33531950906945))
(np.float64(89.5066280129749), np.float64(350.1354440042119))
(np.float64(88.72109681391896), np.float64(350.05628845236225))
(np.float64(88.27417950641549), np.float64(350.2104731525985))
(np.float64(88.04230939475545), np.float64(351.8946416497997))
(np.float64(87.63713779642147), np.float64(351.7215301002225))
(np.float64(87.03284653615088), np.float64(351.80991277143335))
(np.float64(86.26010487285825), np.float64(350.8846142651409))
(np.float64(85.54764786769493), np.float64(350.97707424843077))
(np.float64(84.74367100307578), np.float64(350.9109948833913))
(np.float64(83.96564010158065), np.float64(350.6401102083371))
(np.float64(83.03904411332533), np.float64(350.74554292289173))
(np.float64(82.54279445127791), np.float64(355.2697424670601))
(np.float64(82.09086602188057), np.float64(355.27653374472675))
(np.float64(81.73447678748948), np.float64(354.1711503488294))
(np.float64(81.5049288776677), np.float64(354.2534162943354))
(np.float64(80.93946206496432), np.float64(355.47355279777423))
(np.float64(80.57937443846961), np.float64(350.951216120072))
(np.float64(80.03887515350137), np.float64(354.2739746745761))
(np.float64(79.74907865051131), np.float64(355.5794124255418))
(np.float64(79.40188476671503), np.float64(354.2869507392065))
(np.float64(79.07541904418703), np.float64(354.4098420465064))
(np.float64(78.73224831049329), np.float64(352.82407558994373))
(np.float64(78.27411081308352), np.float64(355.61673369483964))
(np.float64(77.85605206084824), np.float64(355.5875085642888))
(np.float64(77.46107678908386), np.float64(353.0583929423678))
(np.float64(77.12045990523282), np.float64(354.1278750826734))
(np.float64(77.11727058389023), np.float64(356.4414058359935))
(np.float64(77.01282767897048), np.float64(355.68371179582476))
(np.float64(76.80356960247401), np.float64(356.0780265712556))
(np.float64(76.78888821691179), np.float64(355.66065575511703))
(np.float64(85.8267204207178), np.float64(348.93478738575163))
(np.float64(86.54483719685068), np.float64(349.28011514293104))
(np.float64(80.40502151956862), np.float64(348.94283637252744))
(np.float64(91.75626768252218), np.float64(349.41163035164374))
(np.float64(89.77595938613993), np.float64(349.396095110798))
(np.float64(89.44523297027459), np.float64(349.6191185360393))
(np.float64(88.6215164363345), np.float64(349.6856963907377))
(np.float64(89.01489184574622), np.float64(349.87135357654864))
(np.float64(86.3180210342141), np.float64(350.11454956012375))
(np.float64(85.67544786127281), np.float64(350.12698458923205))
(np.float64(77.87263153822315), np.float64(350.27380612749255))
(np.float64(89.16064161171312), np.float64(350.58284601928665))
(np.float64(79.63072611546127), np.float64(350.79620529065016))
(np.float64(78.19172440426092), np.float64(351.38020280589956))
(np.float64(78.63132173898558), np.float64(352.1303832583967))
(np.float64(91.00109138771018), np.float64(352.25531119141516))
(np.float64(91.15042060076117), np.float64(352.8732986104757))
(np.float64(90.72126216412441), np.float64(353.31783896156895))
(np.float64(78.50422223786923), np.float64(353.54465412037507))
(np.float64(82.70298511194726), np.float64(354.36819467484946))
(np.float64(78.00436798728929), np.float64(354.8099222715246))
(np.float64(77.66786771034822), np.float64(355.04180493378624))
(np.float64(89.08584115473143), np.float64(349.8890926568495))
(np.float64(79.02773562112552), np.float64(356.368858044889))
(np.float64(77.3527990347447), np.float64(355.52406231557325))
(np.float64(102.57067324646441), np.float64(346.77630340159646))
(np.float64(101.84462061904696), np.float64(345.9712292677738))
(np.float64(100.7859209433533), np.float64(346.0394116228088))
(np.float64(100.3367386524533), np.float64(346.19079338690136))
(np.float64(99.78694761248738), np.float64(346.5577425042751))
(np.float64(98.54164073465093), np.float64(348.27699927952494))
(np.float64(97.849304681707), np.float64(348.5481986242814))
(np.float64(97.23376011418297), np.float64(347.25548723856633))
(np.float64(103.49976707984597), np.float64(346.9251408381041))
(np.float64(103.86732396722394), np.float64(347.0913374118502))
(np.float64(104.1430540962255), np.float64(347.2603307398594))
(np.float64(99.38358446374032), np.float64(347.57904563412234))
(np.float64(104.6186409647312), np.float64(348.01756665439467))
(np.float64(103.14936272122279), np.float64(348.47330832571896))
(np.float64(107.38848401730122), np.float64(347.69742926155357))
(np.float64(105.92330313447232), np.float64(347.74698470953393))
(np.float64(104.85144217652304), np.float64(346.3422044240059))
(np.float64(103.3590627668429), np.float64(346.98318485285915))
(np.float64(106.50770942525459), np.float64(348.0405121485777))
(np.float64(96.52957949673163), np.float64(355.171697157138))
(np.float64(102.48716813039117), np.float64(356.6060367582644))
(np.float64(96.56222261854202), np.float64(355.2674794755208))
(np.float64(96.46978847771825), np.float64(355.36131286600494))
(np.float64(96.70213957108804), np.float64(355.47031719078933))
(np.float64(102.12649756933816), np.float64(356.619667920131))
(np.float64(96.5184699291394), np.float64(355.7020765791353))
(np.float64(96.42538367145033), np.float64(355.7688574660946))
(np.float64(106.42751985786924), np.float64(355.82090881695393))
(np.float64(101.03826364057983), np.float64(355.3133294938008))
(np.float64(100.36956296599494), np.float64(350.05703730807295))
(np.float64(96.70633784430413), np.float64(356.40958080156236))
(np.float64(106.68067245616088), np.float64(356.5235469318106))
(np.float64(99.06862554351639), np.float64(351.50569565345484))
(np.float64(98.05614623262949), np.float64(353.10931894903337))
(np.float64(97.7559843485814), np.float64(354.340570953692))
(np.float64(97.47666055457226), np.float64(355.34787752421323))
(np.float64(97.2698824641126), np.float64(355.3571571895316))
(np.float64(97.1474608308008), np.float64(350.87088740538536))
(np.float64(96.91124870624253), np.float64(350.7603222776553))
(np.float64(96.5119126955535), np.float64(354.9233172447461))
(np.float64(95.9727821451055), np.float64(349.4111419832944))
(np.float64(95.58396877949366), np.float64(352.0098363979666))
(np.float64(95.35491901689933), np.float64(352.4600472280329))
(np.float64(94.60918428538486), np.float64(352.4972386172874))
(np.float64(99.5974650968843), np.float64(349.3800290163433))
(np.float64(93.05426425040802), np.float64(349.5338575919301))
(np.float64(99.33496508566442), np.float64(349.9380041592234))
(np.float64(99.49205155910664), np.float64(350.2553392825911))
(np.float64(104.39297870737308), np.float64(350.6760349793067))
(np.float64(104.89118055866861), np.float64(350.82171080954305))
(np.float64(104.96929379011412), np.float64(350.8996741680669))
(np.float64(98.38556494698811), np.float64(351.10154163154806))
(np.float64(96.10377041967946), np.float64(351.25439910685395))
(np.float64(97.70871601931137), np.float64(351.54100447908917))
(np.float64(97.48348532772398), np.float64(351.69541178753764))
(np.float64(97.29695302972127), np.float64(351.7710659116506))
