(np.float64(24.479363568732236), np.float64(365.7684462197013))
(np.float64(25.626299285422192), np.float64(365.7730495974642))
(np.float64(27.112123022023873), np.float64(365.54432757176744))
(np.float64(27.841067608269487), np.float64(365.726130296139))
(np.float64(27.654591835156456), np.float64(365.5099665734661))
(np.float64(28.076929486599454), np.float64(365.47690152706434))
(np.float64(27.882085429474472), np.float64(365.5410897223362))
(np.float64(28.45924214350648), np.float64(365.7848291657011))
(np.float64(22.77061539057538), np.float64(366.09092133207423))
(np.float64(22.887727672529618), np.float64(366.30323356302614))
(np.float64(23.034226133152107), np.float64(366.11989446019487))
(np.float64(23.13401943270353), np.float64(366.1835657413861))
(np.float64(23.196413023940433), np.float64(366.51829642659027))
(np.float64(23.26794960221671), np.float64(366.48133322135476))
(np.float64(23.335021581420328), np.float64(366.5210319075369))
(np.float64(23.38675971142162), np.float64(366.3842656178377))
(np.float64(23.44233459813068), np.float64(366.44589663691306))
(np.float64(23.487671718239678), np.float64(366.5873757599779))
(np.float64(23.499859246627473), np.float64(366.4829945101145))
(np.float64(23.538102146734243), np.float64(366.60119710549367))
(np.float64(23.559921793157244), np.float64(366.41014926159227))
(np.float64(23.663509542433008), np.float64(365.99277183932776))
(np.float64(23.724661146666985), np.float64(366.3343614998231))
(np.float64(23.780650953783816), np.float64(366.2964291943247))
(np.float64(23.83844418218185), np.float64(366.21151649599994))
(np.float64(23.894348161620105), np.float64(366.18579933870046))
(np.float64(23.930916468635058), np.float64(366.1358594021565))
(np.float64(23.952052441354265), np.float64(366.6157440943792))
(np.float64(23.967194868861036), np.float64(366.49713222232305))
(np.float64(23.972036936257872), np.float64(366.53047575626067))
(np.float64(24.014944526602047), np.float64(366.2445751787049))
(np.float64(24.04902729911233), np.float64(366.1461948352442))
(np.float64(24.07994121020987), np.float64(366.0312543319548))
(np.float64(24.09625106734811), np.float64(366.38720528257477))
(np.float64(24.129961919978676), np.float64(366.0094239394405))
(np.float64(24.1478569013716), np.float64(366.2484057611278))
(np.float64(24.18813781839275), np.float64(365.8873211852071))
(np.float64(24.201215180266804), np.float64(366.26577829243615))
(np.float64(24.2467612343848), np.float64(366.4086389439876))
(np.float64(24.2808445270671), np.float64(365.9409130357827))
(np.float64(24.3123786514167), np.float64(366.42289574825264))
(np.float64(24.367215593585566), np.float64(365.857302410631))
(np.float64(24.40262930175896), np.float64(365.84272487599446))
(np.float64(24.424148464668693), np.float64(366.3595471368406))
(np.float64(24.45095565205565), np.float64(366.3277264054814))
(np.float64(24.473072660994298), np.float64(366.48768388870747))
(np.float64(24.51534564678784), np.float64(365.7987635426127))
(np.float64(24.553357245674786), np.float64(366.36496646187356))
(np.float64(24.59093987961784), np.float64(366.6947016443171))
(np.float64(23.285386142507956), np.float64(366.1744022590058))
(np.float64(24.497170815181626), np.float64(366.4924751470716))
(np.float64(23.347599755721628), np.float64(366.2010323948127))
(np.float64(23.401665115864397), np.float64(366.24324710528015))
(np.float64(22.783201367396607), np.float64(366.23831578495714))
