(np.float64(246.27937914470593), np.float64(397.19761277089884))
(np.float64(246.85554580627826), np.float64(397.57075055406364))
(np.float64(246.5923054230849), np.float64(397.578192625892))
(np.float64(248.87744393490993), np.float64(395.67613796515))
(np.float64(245.84911396466538), np.float64(396.529113288563))
(np.float64(245.5127957463999), np.float64(397.06835255364666))
(np.float64(245.38127967502984), np.float64(395.8819851034032))
(np.float64(245.41062267977526), np.float64(395.73475040963746))
(np.float64(245.1349912092422), np.float64(397.10467132842166))
(np.float64(245.4834308945972), np.float64(395.81467384768644))
(np.float64(232.7277126169918), np.float64(400.7700589473883))
(np.float64(232.0957780865087), np.float64(403.09170250628233))
(np.float64(231.68400226611388), np.float64(402.9420702136174))
(np.float64(231.66287704352237), np.float64(398.6989965948616))
(np.float64(230.99615716740033), np.float64(402.9471451716915))
(np.float64(230.69196051616655), np.float64(401.3107971360298))
(np.float64(230.17729726555658), np.float64(402.0330198035399))
(np.float64(229.9523920255374), np.float64(402.3220076230146))
(np.float64(229.79723676124385), np.float64(400.9260739077158))
(np.float64(229.56242510142923), np.float64(404.4599418936842))
(np.float64(229.35710989582708), np.float64(405.0401548269496))
(np.float64(228.93255147524212), np.float64(402.69655572281806))
(np.float64(228.7752255512829), np.float64(400.8589133201164))
(np.float64(228.41524542611572), np.float64(404.65712355436193))
(np.float64(228.34649243840312), np.float64(404.7492035945859))
(np.float64(228.3081767148259), np.float64(404.74556028669645))
(np.float64(228.2538942713757), np.float64(404.7921867973197))
(np.float64(228.10321504984074), np.float64(400.5056219709286))
(np.float64(227.1943226212828), np.float64(404.33821908251065))
(np.float64(226.59322241624838), np.float64(400.47707933181056))
(np.float64(226.20816518135146), np.float64(404.0028390577035))
(np.float64(225.29951411059022), np.float64(400.374300461053))
(np.float64(224.96021758566445), np.float64(400.4067425923515))
(np.float64(224.29541088621548), np.float64(403.53961567780624))
(np.float64(224.1386469167263), np.float64(399.8153349449776))
(np.float64(223.74435098393295), np.float64(403.3710915058387))
(np.float64(223.5268735647665), np.float64(403.36336403731684))
(np.float64(223.2781012983912), np.float64(402.91767258420214))
(np.float64(223.1022541111717), np.float64(402.9067405999082))
(np.float64(222.96533956639038), np.float64(403.02263965790115))
(np.float64(222.80585858779915), np.float64(404.7589312642309))
(np.float64(222.7562727382033), np.float64(403.4095716348075))
(np.float64(222.6524261188063), np.float64(402.7945539413794))
(np.float64(222.50165292032142), np.float64(402.78947195293637))
(np.float64(222.33494663947542), np.float64(402.7838549290243))
(np.float64(221.38449541533575), np.float64(403.1945357412013))
(np.float64(219.7270395834933), np.float64(402.93613494421106))
(np.float64(223.4542215736357), np.float64(404.76101843589043))
(np.float64(223.42348261225692), np.float64(403.29503016567094))
(np.float64(225.0254896113605), np.float64(403.87374696328584))
(np.float64(222.8544119045817), np.float64(402.93259727370554))
(np.float64(230.7721143653644), np.float64(401.9459830847163))
(np.float64(225.95119437902062), np.float64(402.6220297914104))
(np.float64(222.99865838598492), np.float64(403.26422744413543))
(np.float64(222.9405807992658), np.float64(404.4672447520445))
(np.float64(223.7579998366782), np.float64(405.0669466612891))
(np.float64(221.858885378046), np.float64(403.6985859999905))
(np.float64(224.29657866262298), np.float64(399.55545395188216))
(np.float64(231.89463965386966), np.float64(398.29544688181403))
(np.float64(230.35438418570968), np.float64(404.8419670959577))
(np.float64(226.5562090191208), np.float64(403.9659156710368))
(np.float64(231.27689945863116), np.float64(401.6388075139455))
(np.float64(230.46200930301026), np.float64(402.06913639454405))
(np.float64(223.4189743191079), np.float64(404.9699117247565))
(np.float64(228.49340512587275), np.float64(400.5331914491366))
(np.float64(221.14301156488597), np.float64(402.7654985094328))
(np.float64(246.16166988365848), np.float64(398.1649493192821))
(np.float64(246.8931792432693), np.float64(397.8098518314512))
(np.float64(246.73784018641277), np.float64(397.7520153338479))
(np.float64(246.27066650970585), np.float64(404.91149922159354))
(np.float64(248.24177043924936), np.float64(402.7117599301706))
(np.float64(247.6655411841721), np.float64(404.6220349126712))
(np.float64(248.0484712801022), np.float64(405.5052838009969))
(np.float64(247.9922761801534), np.float64(405.3812235733258))
(np.float64(247.96913790869505), np.float64(404.8185762035304))
(np.float64(247.94402490739526), np.float64(404.90270786401675))
(np.float64(247.92953459675257), np.float64(405.00163724307725))
(np.float64(247.9486946259162), np.float64(403.0490041547821))
(np.float64(247.86409577062508), np.float64(402.97773722452513))
(np.float64(247.7019031580049), np.float64(405.31618361225964))
(np.float64(247.61676800985688), np.float64(397.8768639933701))
(np.float64(247.37738598355045), np.float64(398.47339496291886))
(np.float64(247.1941753028644), np.float64(397.9231500158567))
(np.float64(245.70470865872568), np.float64(397.8268929050133))
(np.float64(242.75668841458668), np.float64(402.48337481681483))
(np.float64(243.75676727511635), np.float64(399.4767759197934))
(np.float64(243.30756920580757), np.float64(403.4155836322262))
(np.float64(245.06764995657792), np.float64(398.5600114958691))
(np.float64(244.56835870080096), np.float64(398.9653484988934))
(np.float64(243.9399512538674), np.float64(403.1431634878075))
(np.float64(243.49946790021602), np.float64(402.42843168047017))
(np.float64(243.38107444530138), np.float64(399.65763881690896))
(np.float64(242.4993375430691), np.float64(402.0075531335068))
(np.float64(242.3062331000197), np.float64(401.84348373180364))
(np.float64(242.16067805014941), np.float64(405.032270932677))
(np.float64(242.1502495554218), np.float64(400.70636996905773))
(np.float64(241.41789683062277), np.float64(405.371622207932))
(np.float64(240.50587836779027), np.float64(401.91920937176604))
(np.float64(237.88143726242296), np.float64(404.02132984223175))
(np.float64(238.15847561309465), np.float64(404.5391932040339))
(np.float64(237.83044245200907), np.float64(403.9909094880214))
(np.float64(237.60163335366195), np.float64(404.49305027383315))
(np.float64(238.5789130920566), np.float64(404.4530055237051))
(np.float64(237.56329959759802), np.float64(403.9465025745782))
(np.float64(237.4580930865496), np.float64(404.81722309956393))
(np.float64(236.0049837347226), np.float64(398.6671788332269))
(np.float64(237.395199267407), np.float64(403.72256126169134))
(np.float64(237.2345057779916), np.float64(404.8703983400576))
(np.float64(236.02882336558437), np.float64(402.49304200102904))
(np.float64(236.3899716139375), np.float64(403.04943379529374))
(np.float64(236.30193288988923), np.float64(402.7931242306083))
(np.float64(236.2331847570765), np.float64(402.603133366605))
(np.float64(236.0751368403954), np.float64(403.0891549059353))
(np.float64(235.7768525882289), np.float64(402.23513969369765))
(np.float64(235.57305679238135), np.float64(402.0612017119022))
(np.float64(235.34687193989438), np.float64(403.2388738661015))
(np.float64(235.25095024827917), np.float64(403.7347638037061))
(np.float64(235.26625427453538), np.float64(399.68255433010614))
(np.float64(235.1663748005306), np.float64(401.0176265489118))
(np.float64(235.09554894468016), np.float64(400.7766033741868))
(np.float64(235.06315845096375), np.float64(400.0770873500721))
(np.float64(234.96205727651576), np.float64(399.2071593781905))
(np.float64(234.80183679290027), np.float64(401.3490293838137))
(np.float64(234.57429048824346), np.float64(404.5351414073524))
(np.float64(234.38707087537222), np.float64(405.0367040057652))
(np.float64(234.4560872413139), np.float64(399.53129777934635))
(np.float64(234.01736240114943), np.float64(405.08112613147654))
(np.float64(233.89503387785058), np.float64(403.605719285505))
(np.float64(233.79507949970818), np.float64(401.3116220530798))
(np.float64(233.3777774180395), np.float64(404.7232988597187))
(np.float64(232.674686551853), np.float64(405.34479413081596))
(np.float64(237.2886807201167), np.float64(404.83761056905956))
(np.float64(235.3231103341962), np.float64(399.43309749822976))
(np.float64(235.30175450393196), np.float64(398.9013190930347))
(np.float64(242.01445285093692), np.float64(400.7346182416927))
(np.float64(235.9918781104086), np.float64(402.3532845915514))
(np.float64(237.4628363220906), np.float64(404.04989981494293))
(np.float64(246.341248233533), np.float64(397.7436260407552))
(np.float64(247.6675739994045), np.float64(404.88113789825604))
(np.float64(247.505746717862), np.float64(397.8237877841352))
(np.float64(235.31513200254943), np.float64(403.5005927557206))
(np.float64(235.34506938554645), np.float64(399.35582329787064))
(np.float64(242.9473530978958), np.float64(399.69925958224997))
(np.float64(247.81423648623067), np.float64(405.5383904841657))
(np.float64(234.37943672133727), np.float64(404.1305121081259))
(np.float64(235.51599890766096), np.float64(398.0955648920444))
(np.float64(235.26431717014646), np.float64(402.196771020353))
(np.float64(244.6736546806877), np.float64(401.36315152011446))
(np.float64(237.23107856664066), np.float64(404.07817202720554))
(np.float64(236.25456971672497), np.float64(402.16776667981014))
(np.float64(246.54359362855547), np.float64(401.66230204373284))
(np.float64(237.9868696996255), np.float64(403.85421853238427))
(np.float64(244.88154419606363), np.float64(398.9132144805686))
(np.float64(235.89692237013142), np.float64(402.13483060435124))
(np.float64(233.96183484969995), np.float64(405.142977213281))
(np.float64(237.62596870429942), np.float64(403.902666939378))
(np.float64(247.77000472240786), np.float64(404.8117901986413))
(np.float64(237.26060588412972), np.float64(402.2679988593236))
(np.float64(236.39594227177815), np.float64(402.17814732545185))
(np.float64(235.1407360831093), np.float64(402.0444343985559))
(np.float64(215.803433787037), np.float64(407.074727796994))
(np.float64(215.81262064155982), np.float64(413.6505745972151))
(np.float64(215.48429757368652), np.float64(418.01911918452936))
(np.float64(215.6882461254405), np.float64(413.4380753341529))
(np.float64(215.35103148490023), np.float64(413.9182540898166))
(np.float64(214.92629984848273), np.float64(414.40203912271335))
(np.float64(214.24047854875755), np.float64(418.6691192761965))
(np.float64(214.14587548217398), np.float64(416.35560743215314))
(np.float64(214.0784560309575), np.float64(414.603180761005))
(np.float64(213.77905497881892), np.float64(415.81924686152075))
(np.float64(213.49237237285564), np.float64(417.9237189910484))
(np.float64(212.9169164336981), np.float64(418.4249097070826))
(np.float64(212.88196879575034), np.float64(414.5615378742363))
(np.float64(212.51149602182718), np.float64(417.58588724560724))
(np.float64(212.38194774474016), np.float64(413.6029000158713))
(np.float64(211.838173310768), np.float64(416.7283764844835))
(np.float64(211.44992502062505), np.float64(416.70857847522086))
(np.float64(211.11889812124272), np.float64(416.2384867866086))
(np.float64(210.71011222458395), np.float64(416.3311896813307))
(np.float64(215.5847641435962), np.float64(415.13739506849544))
(np.float64(215.7834536268661), np.float64(416.3362675485232))
(np.float64(214.25724320582538), np.float64(416.4449689006875))
(np.float64(215.29074301222005), np.float64(416.13782023926774))
(np.float64(213.14851709851996), np.float64(414.4090088263455))
(np.float64(215.76586675811282), np.float64(415.1974003749112))
(np.float64(213.19314505671056), np.float64(414.4550753315614))
(np.float64(213.84768173916896), np.float64(414.5203017186718))
(np.float64(212.1251872635273), np.float64(417.3957911684697))
(np.float64(223.77194241076575), np.float64(408.0557287802917))
(np.float64(232.09334127439595), np.float64(405.4626841777263))
(np.float64(231.72225903736077), np.float64(408.69362657333585))
(np.float64(231.47818111077171), np.float64(408.2732010610491))
(np.float64(231.28438744556055), np.float64(408.34773196220084))
(np.float64(231.21227244083747), np.float64(408.64138916007687))
(np.float64(231.17916255524946), np.float64(408.35322262125567))
(np.float64(231.11573677798515), np.float64(408.32837480568054))
(np.float64(231.07079966680837), np.float64(408.3116491291013))
(np.float64(230.98145116057273), np.float64(408.27694249109874))
(np.float64(230.74540462272554), np.float64(407.39567556129583))
(np.float64(230.42890513926642), np.float64(405.9294175915016))
(np.float64(230.31476370823964), np.float64(405.9731011646265))
(np.float64(230.19051611303857), np.float64(405.77751364054996))
(np.float64(230.06747894798346), np.float64(406.68581131608863))
(np.float64(230.02383826801739), np.float64(405.47746244157145))
(np.float64(229.74852323282084), np.float64(409.2027069412803))
(np.float64(229.62619106834865), np.float64(408.9682644967355))
(np.float64(228.8682188723464), np.float64(409.02055827417564))
(np.float64(228.25975049233915), np.float64(407.3137546494215))
(np.float64(228.01836547374646), np.float64(407.93651605395314))
(np.float64(227.9654229822046), np.float64(407.79649494495976))
(np.float64(227.52963154089755), np.float64(407.37621864623424))
(np.float64(227.00712485545898), np.float64(407.1990451180591))
(np.float64(226.40985377798626), np.float64(406.80782740281984))
(np.float64(226.1126294541311), np.float64(407.1845827360483))
(np.float64(225.5652802545836), np.float64(406.71579027209935))
(np.float64(225.02077983994025), np.float64(406.6828823787289))
(np.float64(224.73702161658917), np.float64(408.8039044255621))
(np.float64(224.6286542200255), np.float64(406.6058586656362))
(np.float64(224.18947267265173), np.float64(408.29591018931654))
(np.float64(224.11744644321746), np.float64(407.09082043716217))
(np.float64(223.98835539350074), np.float64(407.31378616487814))
(np.float64(223.87197325355322), np.float64(408.27416131273975))
(np.float64(223.67291705207452), np.float64(407.589663372966))
(np.float64(223.57504923982393), np.float64(408.21080579217255))
(np.float64(223.53602071315618), np.float64(405.64120123401835))
(np.float64(223.46136867735427), np.float64(405.26648931445163))
(np.float64(222.88246870808192), np.float64(408.0124113925182))
(np.float64(222.33819890111008), np.float64(406.1035798784903))
(np.float64(220.49283076644497), np.float64(407.77147827927035))
(np.float64(219.7369786004602), np.float64(408.9986741841763))
(np.float64(219.36975600749344), np.float64(406.56048101555245))
(np.float64(218.76134259188072), np.float64(406.77219142251374))
(np.float64(218.06943775793272), np.float64(407.47981770672607))
(np.float64(228.1242542713823), np.float64(407.153353707371))
(np.float64(223.79856441846226), np.float64(407.4326038571024))
(np.float64(228.60300688031052), np.float64(408.46131778574966))
(np.float64(231.03124473045966), np.float64(406.7323495228295))
(np.float64(225.8891290135784), np.float64(406.77078716653944))
(np.float64(223.6255079307695), np.float64(408.27377282414363))
(np.float64(230.10752353550248), np.float64(407.03116034619956))
(np.float64(231.62372957184), np.float64(408.17166286892746))
(np.float64(224.42529605856885), np.float64(406.6506168551985))
(np.float64(223.5139886649333), np.float64(408.32757807071715))
(np.float64(224.4626869240428), np.float64(406.6706194724962))
(np.float64(228.72824140696136), np.float64(408.53357060431193))
(np.float64(223.75116327305474), np.float64(408.01981552458363))
(np.float64(224.57173782091428), np.float64(408.8113937099675))
(np.float64(223.22385648040952), np.float64(407.5123492328254))
(np.float64(230.2405728877586), np.float64(407.104763844464))
(np.float64(224.00589215275681), np.float64(408.30913680182266))
(np.float64(230.23074744073082), np.float64(406.44358467520385))
(np.float64(231.76116671175015), np.float64(410.8484306431863))
(np.float64(231.48408258631648), np.float64(411.72932756942))
(np.float64(231.33256572144973), np.float64(410.6014453503159))
(np.float64(231.13686598852598), np.float64(410.77126723177594))
(np.float64(230.84910819599617), np.float64(410.964926979674))
(np.float64(230.4587960539642), np.float64(412.45362389331024))
(np.float64(230.2564929659178), np.float64(412.45998328802324))
(np.float64(229.9060024328462), np.float64(409.35259493337793))
(np.float64(229.36490478167576), np.float64(409.31647549386054))
(np.float64(228.86289252883878), np.float64(412.61952500965907))
(np.float64(228.66110579390627), np.float64(412.6162269172211))
(np.float64(228.6585467423828), np.float64(410.27135089167706))
(np.float64(228.27472317178697), np.float64(412.91107406597234))
(np.float64(228.18157258670922), np.float64(412.9611165489596))
(np.float64(228.11360401182992), np.float64(410.20388333141983))
(np.float64(227.88733783981164), np.float64(413.082829784281))
(np.float64(227.9043020678623), np.float64(409.40116515973193))
(np.float64(227.6584725633496), np.float64(413.1267545112527))
(np.float64(227.5836509528897), np.float64(413.21411893020814))
(np.float64(227.57582052225197), np.float64(411.25589863647656))
(np.float64(227.39251863883396), np.float64(413.2266433541181))
(np.float64(227.34305364152885), np.float64(409.95872581376256))
(np.float64(227.10808731852808), np.float64(413.1577987502711))
(np.float64(226.99832552584587), np.float64(413.0139474224935))
(np.float64(226.93031152299906), np.float64(413.11237552398876))
(np.float64(226.98647471932597), np.float64(409.98295065362936))
(np.float64(226.81981976169752), np.float64(413.0435804963781))
(np.float64(226.7675796698957), np.float64(413.0601643534054))
(np.float64(226.7795190782973), np.float64(411.12531713374193))
(np.float64(226.69559210625425), np.float64(411.1094254652142))
(np.float64(226.5975566266267), np.float64(409.8273635762222))
(np.float64(226.1889661396239), np.float64(411.3855166147618))
(np.float64(225.59814150002327), np.float64(411.30574087510666))
(np.float64(224.89012707349903), np.float64(412.3011619975796))
(np.float64(224.50704595555737), np.float64(413.1798642359621))
(np.float64(224.02728456814305), np.float64(412.95183639878707))
(np.float64(223.12773070967035), np.float64(411.4353963082973))
(np.float64(222.39562731858888), np.float64(411.30473522903714))
(np.float64(221.78511658693327), np.float64(412.24905955531824))
(np.float64(221.10723443290357), np.float64(410.864157098004))
(np.float64(220.16867632224995), np.float64(411.88595144471384))
(np.float64(219.8796595505807), np.float64(409.2609076242169))
(np.float64(219.5773407046184), np.float64(412.3082200656992))
(np.float64(219.45963664525047), np.float64(412.2550357948178))
(np.float64(219.3320117747886), np.float64(412.29534927481075))
(np.float64(219.33472444916404), np.float64(409.8995391213121))
(np.float64(219.10850699951425), np.float64(412.40014616504794))
(np.float64(218.96162222770116), np.float64(412.88068595450085))
(np.float64(218.6012703560392), np.float64(410.12186041856233))
(np.float64(218.08720772569822), np.float64(411.70155511955534))
(np.float64(231.30342211429854), np.float64(412.23001312906587))
(np.float64(228.31523486986706), np.float64(412.8743249234085))
(np.float64(218.44345772853592), np.float64(412.97062597407285))
(np.float64(230.71731227442393), np.float64(411.03192823239914))
(np.float64(228.20134814760263), np.float64(411.7704995425496))
