(np.float64(400.6384278181232), np.float64(379.34853740936893))
(np.float64(401.02900507228037), np.float64(379.2496253638083))
(np.float64(397.7673003187043), np.float64(380.2218528078832))
(np.float64(397.82075725605694), np.float64(380.3078597591933))
(np.float64(397.85465034076276), np.float64(380.2737542785076))
(np.float64(397.9080387893789), np.float64(380.1571394560287))
(np.float64(397.9525970451114), np.float64(380.28038682737036))
(np.float64(397.9963381174297), np.float64(380.22620781961405))
(np.float64(398.051179914507), np.float64(380.203862391825))
(np.float64(398.12315482073114), np.float64(380.2287306924468))
(np.float64(398.5825748782238), np.float64(380.1460990464392))
(np.float64(398.53229755241045), np.float64(380.269617632523))
(np.float64(400.34666837575367), np.float64(379.81792836394635))
(np.float64(399.77929965666704), np.float64(379.8292659279166))
(np.float64(399.8343502143672), np.float64(379.44953292958314))
(np.float64(399.8625276967696), np.float64(379.7321657786306))
(np.float64(399.9010740280183), np.float64(379.8383777734324))
(np.float64(399.9455993397923), np.float64(379.71160382260115))
(np.float64(399.98837775515136), np.float64(379.5674221279991))
(np.float64(400.0000234422242), np.float64(379.4656421153663))
(np.float64(400.0239861794336), np.float64(379.6972010775328))
(np.float64(400.06012586827825), np.float64(379.47933430812196))
(np.float64(400.0937897324351), np.float64(379.4791894582379))
(np.float64(400.1123252136114), np.float64(379.69043210311014))
(np.float64(400.13155650573566), np.float64(379.7598435003101))
(np.float64(400.1568716788723), np.float64(379.7199843277302))
(np.float64(400.1860596736567), np.float64(379.8240407259697))
(np.float64(400.20592470338846), np.float64(379.7876919509064))
(np.float64(400.235647950708), np.float64(379.6111543076573))
(np.float64(400.2608384569907), np.float64(379.723618302195))
(np.float64(400.2911198442146), np.float64(379.6892129398307))
(np.float64(400.3187936309228), np.float64(379.638024748815))
(np.float64(399.45816599948836), np.float64(379.76530155298656))
(np.float64(399.59462747823244), np.float64(379.8437180674016))
(np.float64(399.6418536739126), np.float64(379.7804415779007))
(np.float64(399.6982774742421), np.float64(379.4808265043409))
(np.float64(399.738942968559), np.float64(379.78783383106526))
(np.float64(400.3869234577768), np.float64(379.55352678176445))
(np.float64(400.4201737886361), np.float64(379.5570056032202))
(np.float64(400.50933815551423), np.float64(379.7000011045564))
(np.float64(400.5749654557234), np.float64(379.4135480974257))
(np.float64(400.6096403524319), np.float64(379.37601718974446))
(np.float64(400.6439636158032), np.float64(379.7081113646514))
(np.float64(400.63780431048247), np.float64(379.4460869569308))
(np.float64(398.91770312625596), np.float64(380.1893566154567))
(np.float64(398.9360690327842), np.float64(380.34570503354934))
(np.float64(398.9558435533323), np.float64(380.3232946354343))
(np.float64(398.97777347530933), np.float64(380.2364846460709))
(np.float64(399.00290000096334), np.float64(380.32631648278436))
(np.float64(399.02660456162204), np.float64(380.3023915852039))
(np.float64(399.05188592386185), np.float64(380.0448409782388))
(np.float64(399.0766192027645), np.float64(380.1207946203961))
(np.float64(399.0980771592733), np.float64(380.2225496630933))
(np.float64(399.11271207652277), np.float64(380.1589032306292))
(np.float64(399.1366697854462), np.float64(380.27725188802367))
(np.float64(398.72898889829145), np.float64(380.24107159943435))
(np.float64(398.77638414846746), np.float64(380.3160211712954))
(np.float64(398.8109515438522), np.float64(380.2294790633051))
(np.float64(398.8469199241551), np.float64(380.0945108515677))
(np.float64(398.88666836286893), np.float64(380.12719874281254))
(np.float64(399.16380641235196), np.float64(379.8745466679741))
(np.float64(399.18215237911124), np.float64(380.08912995114906))
(np.float64(399.2056282393794), np.float64(379.9625255171025))
(np.float64(399.2411971309134), np.float64(380.18679271192383))
(np.float64(399.274538491116), np.float64(379.9916853742965))
(np.float64(399.29149890460474), np.float64(380.21706645865623))
(np.float64(399.3329664974533), np.float64(380.2644937648873))
(np.float64(399.3671765376578), np.float64(379.88739236771386))
(np.float64(399.39731106420567), np.float64(380.06493177820596))
(np.float64(400.3453150728699), np.float64(380.3010296326643))
(np.float64(400.3590922336448), np.float64(380.28687022327796))
(np.float64(400.36774227513746), np.float64(380.32745819077087))
(np.float64(400.3841655288212), np.float64(380.31056657319573))
(np.float64(400.3994542968198), np.float64(380.2129961163435))
(np.float64(400.4261706282495), np.float64(380.1903324430584))
(np.float64(400.455361917435), np.float64(380.16580166084543))
(np.float64(400.51050853276087), np.float64(380.2024728632605))
(np.float64(400.53991569151987), np.float64(380.25692914642235))
(np.float64(400.58422305305197), np.float64(380.14417927033605))
(np.float64(400.6248498815662), np.float64(380.18685980348147))
(np.float64(399.4085234516142), np.float64(380.0338160839528))
(np.float64(399.80063988189636), np.float64(380.0328314683908))
(np.float64(399.82844440408843), np.float64(379.9700931659013))
(np.float64(399.8621909749041), np.float64(380.0110794402664))
(np.float64(399.8916236218752), np.float64(380.0843605717851))
(np.float64(399.9260992943647), np.float64(380.022613187951))
(np.float64(399.9575442966494), np.float64(380.3442204737628))
(np.float64(400.00434222095623), np.float64(380.0409521528288))
(np.float64(399.41188772268293), np.float64(379.956058060743))
(np.float64(400.0876217576562), np.float64(379.95312882034983))
(np.float64(400.13868072207265), np.float64(379.86026089373047))
(np.float64(400.1780624425986), np.float64(379.94041057638816))
(np.float64(400.20994993416804), np.float64(380.044868069408))
(np.float64(400.2533589661407), np.float64(380.1927621634768))
(np.float64(400.27401499749413), np.float64(380.29530672894697))
(np.float64(400.2871299848367), np.float64(380.28121725962797))
(np.float64(400.29769511027484), np.float64(380.2696952696349))
(np.float64(400.324454442229), np.float64(380.20609998917956))
(np.float64(399.4516866176676), np.float64(379.8753744941442))
(np.float64(399.4742100509408), np.float64(380.1472226330452))
(np.float64(399.51027847682235), np.float64(379.9225634344364))
(np.float64(399.5136512439618), np.float64(380.3017272151577))
(np.float64(399.5326959692866), np.float64(380.34919433995407))
(np.float64(399.57331638239975), np.float64(379.9541987094629))
(np.float64(399.597186876543), np.float64(379.99097512501817))
(np.float64(399.6037534731353), np.float64(380.33310618467766))
(np.float64(399.6405451054579), np.float64(379.9667975583345))
(np.float64(399.65469921440587), np.float64(380.3402733447597))
(np.float64(399.6863857478736), np.float64(379.93963432647143))
(np.float64(399.70685902698835), np.float64(380.0140616508692))
(np.float64(399.74340756762183), np.float64(380.01962697731153))
(np.float64(400.1225017738131), np.float64(380.1450120662554))
(np.float64(399.3761048688465), np.float64(380.31083718187006))
(np.float64(397.7616167934002), np.float64(380.5158308573367))
(np.float64(397.81224332511016), np.float64(380.47261613722014))
(np.float64(397.81191874049125), np.float64(380.53224137936144))
(np.float64(397.8639127929876), np.float64(380.47807915964404))
(np.float64(397.87589537531204), np.float64(380.6993559013607))
(np.float64(397.9061219715411), np.float64(380.62957916730215))
(np.float64(397.91277404902115), np.float64(380.79361517474194))
(np.float64(397.94784080536607), np.float64(380.46895664735354))
(np.float64(397.9687879572276), np.float64(380.49804571598656))
(np.float64(397.99096201122927), np.float64(380.498646206633))
(np.float64(398.0274209096381), np.float64(380.40757363067416))
(np.float64(398.0548609676846), np.float64(380.34671389177157))
(np.float64(398.1036504405819), np.float64(380.76502101997653))
(np.float64(398.16762360761544), np.float64(380.501691266324))
(np.float64(398.2002029221981), np.float64(380.4742980322403))
(np.float64(398.65084757779346), np.float64(380.5263167161187))
(np.float64(398.6533759394117), np.float64(380.5986048683538))
(np.float64(398.2570447639354), np.float64(380.6983275277983))
(np.float64(398.2750495007092), np.float64(380.6621325724016))
(np.float64(398.2993470525006), np.float64(380.72677913573284))
(np.float64(398.3240916017103), np.float64(380.68878585994867))
