(np.float64(400.16072074620286), np.float64(367.24180486408767))
(np.float64(399.6123906838233), np.float64(367.1429233036704))
(np.float64(392.9531423386077), np.float64(369.8529737021863))
(np.float64(392.87604915594795), np.float64(369.9762445889059))
(np.float64(393.01682663919877), np.float64(371.2095715832896))
(np.float64(392.5883837798668), np.float64(372.05751407025036))
(np.float64(392.7197869748559), np.float64(372.0403251770781))
(np.float64(391.4964358539822), np.float64(371.403485879101))
(np.float64(392.83627973713345), np.float64(372.8603626068357))
(np.float64(392.4980214668676), np.float64(372.61118111094413))
(np.float64(392.5548409413929), np.float64(373.1952201417468))
(np.float64(392.73452436513827), np.float64(373.13916402496153))
(np.float64(392.6369726414519), np.float64(372.78121105502197))
(np.float64(392.7341323321158), np.float64(373.1139723272782))
(np.float64(392.9961350630464), np.float64(372.29774572218355))
(np.float64(392.84817701195504), np.float64(372.9313696557948))
(np.float64(393.1042846827543), np.float64(372.8505946943764))
(np.float64(392.4934828305992), np.float64(373.10658007411445))
(np.float64(392.9642208695334), np.float64(372.9742652819244))
(np.float64(392.9421775510121), np.float64(372.9393137324682))
(np.float64(392.94275528389824), np.float64(372.94350080318173))
(np.float64(392.7653403113378), np.float64(372.92820926165746))
(np.float64(392.7517608142758), np.float64(372.9612549139303))
(np.float64(392.80269199083705), np.float64(373.22757875708555))
(np.float64(392.6171363943321), np.float64(373.12674851119345))
(np.float64(393.0967363563708), np.float64(372.9558020734254))
(np.float64(393.1070961889758), np.float64(372.95490933753445))
(np.float64(392.7275855018828), np.float64(372.9601940552083))
(np.float64(392.11451831955645), np.float64(372.9464751955272))
(np.float64(392.1299695532635), np.float64(373.2398323298972))
(np.float64(392.27709516269886), np.float64(373.21608525221956))
(np.float64(385.84841217525167), np.float64(375.1736284485044))
(np.float64(388.96766797348636), np.float64(373.44029850712485))
(np.float64(388.78701304992404), np.float64(373.4248766007032))
(np.float64(388.3802301455515), np.float64(374.71999516116693))
(np.float64(387.6490198823487), np.float64(374.61760690023635))
(np.float64(387.7928365318859), np.float64(374.74569504557337))
(np.float64(388.13007007184734), np.float64(374.8349488767049))
(np.float64(388.87009925764505), np.float64(373.9601341303857))
(np.float64(388.9752029488907), np.float64(373.614655644482))
(np.float64(388.5639679294742), np.float64(373.9054100870636))
(np.float64(389.02271471661356), np.float64(373.76096814752424))
(np.float64(388.9770283906092), np.float64(373.81319434855703))
(np.float64(387.16069948279494), np.float64(374.936229793612))
(np.float64(388.5647542495872), np.float64(373.6634509033048))
(np.float64(386.02061281374847), np.float64(374.6703991673389))
(np.float64(390.659762116903), np.float64(374.7428195026696))
(np.float64(391.29214243107174), np.float64(375.1254435592059))
(np.float64(392.44008848675526), np.float64(373.2877749138304))
(np.float64(392.83137681011175), np.float64(373.7280247386639))
(np.float64(392.9274705038404), np.float64(373.6566828985937))
(np.float64(391.82693790420575), np.float64(374.3962660366873))
(np.float64(390.73882569467503), np.float64(375.1137176278507))
(np.float64(393.05341557952727), np.float64(373.43012349982973))
(np.float64(393.0429922864693), np.float64(373.6350588717042))
(np.float64(392.8191542570983), np.float64(373.80629470621034))
(np.float64(392.9687601993576), np.float64(373.4990826502398))
(np.float64(389.18001341846576), np.float64(373.52415071036376))
(np.float64(392.48839559083257), np.float64(373.3693351555524))
(np.float64(392.66564168229445), np.float64(373.48660859045026))
(np.float64(392.8298052102088), np.float64(373.8250627661363))
(np.float64(392.44151912122106), np.float64(373.3251342441014))
(np.float64(389.2472320849458), np.float64(374.54123889044257))
