(np.float64(405.77668510464406), np.float64(387.885742169967))
(np.float64(405.66933047452693), np.float64(387.8989383579349))
(np.float64(406.14216877709333), np.float64(387.775633713316))
(np.float64(406.0732824530737), np.float64(387.9336988752466))
(np.float64(406.0086290801199), np.float64(387.9201898357713))
(np.float64(405.9196901192324), np.float64(387.9220594901798))
(np.float64(405.5074109499171), np.float64(387.8713802131703))
(np.float64(405.3364301045973), np.float64(387.9403288180236))
(np.float64(405.83009540030514), np.float64(388.35781290798275))
(np.float64(405.8055136635788), np.float64(388.38994800601324))
(np.float64(405.7763320841867), np.float64(388.1448357615203))
(np.float64(405.75719338191084), np.float64(388.39162165853145))
(np.float64(405.734901943407), np.float64(388.15080969796844))
(np.float64(405.71222436710855), np.float64(388.39189178235))
(np.float64(405.6882040646863), np.float64(388.3934518580133))
(np.float64(405.627449001606), np.float64(388.23104229051546))
(np.float64(405.6451437184468), np.float64(388.4371653102162))
(np.float64(405.6236516042591), np.float64(388.1181253219063))
(np.float64(405.59335599912157), np.float64(388.15364645262014))
(np.float64(405.5577448006226), np.float64(388.0532328168091))
(np.float64(405.5455411470414), np.float64(388.44206208475146))
(np.float64(406.1858481228633), np.float64(388.0686730264336))
(np.float64(406.1443545216294), np.float64(388.2504462959735))
(np.float64(406.1192826135705), np.float64(388.13622567842134))
(np.float64(406.0876222618744), np.float64(388.18085216973947))
(np.float64(406.01311830045904), np.float64(388.4451269022092))
(np.float64(405.9827224763456), np.float64(388.05429149369166))
(np.float64(405.91740953080216), np.float64(388.1423421616978))
(np.float64(405.88547921208357), np.float64(388.0671336782453))
(np.float64(406.1768809524858), np.float64(388.45005585887486))
(np.float64(405.5261721838712), np.float64(388.23818442005233))
(np.float64(405.5017669573661), np.float64(388.2399524371162))
(np.float64(405.4631309838904), np.float64(387.99405430625103))
(np.float64(405.4551968665006), np.float64(388.20132309458967))
(np.float64(405.44108402419687), np.float64(388.3729766906988))
(np.float64(405.4099665541573), np.float64(388.0934286593051))
(np.float64(405.3949831245719), np.float64(388.27095140297115))
(np.float64(405.37514254271684), np.float64(388.09362411573704))
(np.float64(405.3500905744269), np.float64(388.1305142899654))
(np.float64(405.3334823144388), np.float64(388.24565109818025))
(np.float64(405.2999836902195), np.float64(388.3419268758729))
(np.float64(405.25504813953916), np.float64(388.2748645922534))
(np.float64(405.2347047289479), np.float64(387.95577242162227))
(np.float64(405.2077236321764), np.float64(388.1026865062346))
(np.float64(405.16622309536683), np.float64(387.9958548084771))
(np.float64(405.2101413714805), np.float64(388.22068600874246))
(np.float64(405.2513213116082), np.float64(388.2201098819717))
(np.float64(405.2755715281499), np.float64(388.20330105307477))
(np.float64(405.27048082059486), np.float64(388.1703886748118))
(np.float64(405.27048082059486), np.float64(388.1703886748118))
(np.float64(406.00161461916497), np.float64(388.23139774849113))
(np.float64(405.27048082059486), np.float64(388.1703886748118))
(np.float64(407.6235844395133), np.float64(387.9206936588189))
(np.float64(407.1852575276127), np.float64(387.840273428092))
(np.float64(407.09690861024416), np.float64(387.89808616789173))
(np.float64(407.0134048812885), np.float64(387.83608235734))
(np.float64(406.93912979363756), np.float64(387.76592119533063))
(np.float64(406.8301005704187), np.float64(387.90344337111196))
(np.float64(406.68297721504774), np.float64(387.76161733561116))
(np.float64(406.6073509052011), np.float64(387.9268569304218))
(np.float64(406.50930588916987), np.float64(387.7905079174784))
(np.float64(406.4076803857117), np.float64(387.9345851868322))
(np.float64(406.35996852682416), np.float64(387.8720336134169))
(np.float64(406.2843137811416), np.float64(387.90401628573255))
(np.float64(406.24239416259246), np.float64(387.8559133972273))
(np.float64(407.34775339798875), np.float64(387.9583846286532))
(np.float64(406.930950677279), np.float64(387.7696460191601))
(np.float64(407.9578388058763), np.float64(388.18422771747123))
(np.float64(407.90381627288156), np.float64(388.3384982367195))
(np.float64(407.8637194952093), np.float64(388.44082734556264))
(np.float64(407.8831931854669), np.float64(388.2076697012979))
(np.float64(407.8370394021267), np.float64(388.3015255162379))
(np.float64(407.827072642892), np.float64(388.23245406171793))
(np.float64(407.7959357532469), np.float64(388.27377276353576))
(np.float64(407.7575321213375), np.float64(388.17077316337367))
(np.float64(407.7190156130348), np.float64(388.30726763226545))
(np.float64(407.6639659222827), np.float64(388.3837006123853))
(np.float64(407.6234341110611), np.float64(388.3347470490007))
(np.float64(407.5959676978545), np.float64(388.18962589078467))
(np.float64(407.5573745515194), np.float64(388.3747404046899))
(np.float64(407.496858245393), np.float64(388.10274214313506))
(np.float64(407.4956192060102), np.float64(388.39473538555177))
(np.float64(407.42609897099686), np.float64(388.33099143699275))
(np.float64(407.3554543068777), np.float64(388.091591914306))
(np.float64(407.3123336211865), np.float64(388.4125570727094))
(np.float64(407.27378052776066), np.float64(388.11613112084405))
(np.float64(407.22011396283966), np.float64(388.01079864967863))
(np.float64(407.1083647828901), np.float64(388.4601811687191))
(np.float64(407.0960766887553), np.float64(388.210777064624))
(np.float64(407.06710855150726), np.float64(388.0514462541097))
(np.float64(407.0431794518059), np.float64(388.0348263967333))
(np.float64(407.03297324205414), np.float64(388.32689733687124))
(np.float64(406.97141954821706), np.float64(388.39853027066323))
(np.float64(406.9330164364686), np.float64(388.0929497455924))
(np.float64(406.89599176903147), np.float64(388.10475858683617))
(np.float64(406.8570426546239), np.float64(388.0293484650781))
(np.float64(406.81326499717005), np.float64(388.04030378293186))
(np.float64(406.77661537061516), np.float64(388.0237102288405))
(np.float64(406.748445690734), np.float64(388.28326388544366))
(np.float64(406.69372578628156), np.float64(388.15929244650465))
(np.float64(406.61822362311796), np.float64(388.4028015846155))
(np.float64(406.6304681965576), np.float64(388.4539901392706))
(np.float64(406.5893284827265), np.float64(388.23775726441613))
(np.float64(406.5825826016753), np.float64(388.0899975352789))
(np.float64(406.53138423231815), np.float64(388.3467225585201))
(np.float64(406.5208621073945), np.float64(388.0596221512019))
(np.float64(406.445464671327), np.float64(388.4027950997049))
(np.float64(406.4203064154335), np.float64(388.19570607067857))
(np.float64(406.4164589086092), np.float64(388.0423071356016))
(np.float64(406.35434690148037), np.float64(388.36855870866776))
(np.float64(406.35962001448945), np.float64(388.1798178567274))
(np.float64(406.35089680274785), np.float64(388.0412145189948))
(np.float64(406.2985838874743), np.float64(388.1385477008318))
(np.float64(406.25529154645557), np.float64(388.11556650933386))
(np.float64(406.2455006038852), np.float64(387.98663811346404))
(np.float64(406.2080809557993), np.float64(388.20774218684767))
(np.float64(407.36263747555614), np.float64(387.9741656294487))
(np.float64(407.1330498595974), np.float64(388.35300164942527))
(np.float64(407.21589835068517), np.float64(388.30893013315745))
(np.float64(407.208795634611), np.float64(388.34452871916596))
(np.float64(407.73202119177137), np.float64(388.36756372936526))
(np.float64(407.3674233648491), np.float64(388.1363242248287))
(np.float64(407.3323810563822), np.float64(388.1816428440386))
(np.float64(407.6995342936533), np.float64(388.1177059239206))
(np.float64(407.87725893936204), np.float64(388.0351419149316))
