(np.float64(130.42446693003438), np.float64(313.6548179715031))
(np.float64(129.85306465749474), np.float64(313.5335927408881))
(np.float64(132.43811346560807), np.float64(313.6710104308142))
(np.float64(132.78732369267593), np.float64(313.37105123272215))
(np.float64(132.7525868960095), np.float64(313.35598636004954))
(np.float64(132.78826588970773), np.float64(313.52600248581103))
(np.float64(132.83180253613716), np.float64(313.44449975979376))
(np.float64(132.9187173512491), np.float64(313.37453829667976))
(np.float64(132.99407317391103), np.float64(313.352532629745))
(np.float64(132.97573223544512), np.float64(313.33878340613603))
(np.float64(133.33006490027293), np.float64(313.34788125152085))
(np.float64(133.64506057900627), np.float64(313.11598022544695))
(np.float64(133.7820127492561), np.float64(312.8687117783249))
(np.float64(134.25856175456008), np.float64(312.5318969517915))
(np.float64(133.9658568207712), np.float64(312.2932238603586))
(np.float64(133.81111179537302), np.float64(313.24506856225446))
(np.float64(134.30433408161312), np.float64(313.1089204603377))
(np.float64(134.37571703703745), np.float64(313.05133093481714))
(np.float64(134.41755724332634), np.float64(313.0746509780715))
(np.float64(134.4834120302069), np.float64(313.05936101231885))
(np.float64(134.3769479271268), np.float64(313.06043520450396))
(np.float64(134.33762602589027), np.float64(312.97668130524147))
(np.float64(134.43872113172304), np.float64(312.99185145165774))
(np.float64(134.30753519342747), np.float64(313.1431303662752))
(np.float64(134.3651595407257), np.float64(313.13462949635067))
(np.float64(134.4484135892111), np.float64(312.9440625055723))
(np.float64(134.35370666246595), np.float64(312.9211268902713))
(np.float64(134.59196512662564), np.float64(313.07564092701955))
(np.float64(134.68507912658262), np.float64(313.0181409175118))
(np.float64(134.61024520547775), np.float64(313.02499013513204))
(np.float64(133.79239148127851), np.float64(312.78582697836094))
(np.float64(126.78930329336241), np.float64(314.34358855857494))
(np.float64(127.08543977324726), np.float64(314.0653516307429))
(np.float64(126.97766224681628), np.float64(314.1940210544153))
(np.float64(127.06213400779804), np.float64(313.8807093638158))
(np.float64(127.13159633081395), np.float64(313.8586398780872))
(np.float64(126.91680748493084), np.float64(313.96166044814737))
(np.float64(126.65749037965121), np.float64(313.9748562724759))
(np.float64(126.8844846130165), np.float64(313.89555799197643))
(np.float64(127.08969145035049), np.float64(314.89862706705435))
(np.float64(127.38169138356753), np.float64(314.81616184689676))
(np.float64(127.00666800953286), np.float64(315.00898443519833))
