(np.float64(378.7077169260013), np.float64(338.16865111259))
(np.float64(377.3936724920912), np.float64(339.96084107660323))
(np.float64(374.8112576396402), np.float64(340.94661689386385))
(np.float64(374.52220254895406), np.float64(341.1273661535202))
(np.float64(376.3759915045493), np.float64(342.5097094346182))
(np.float64(376.805471231415), np.float64(341.5864367660634))
(np.float64(377.526689940734), np.float64(339.5459297387457))
(np.float64(375.9908994184104), np.float64(339.42438098986145))
(np.float64(375.5068724827539), np.float64(342.8053421061055))
(np.float64(378.1535812723078), np.float64(342.2997006198404))
(np.float64(377.4464901433832), np.float64(342.5894339616585))
(np.float64(376.80440575465184), np.float64(342.2289556340133))
(np.float64(375.1408218275524), np.float64(342.06888784669104))
(np.float64(377.4725174260484), np.float64(342.3035299901328))
(np.float64(375.2121071648436), np.float64(341.19985406525825))
(np.float64(375.7327566783242), np.float64(341.9311719114623))
(np.float64(377.4615942518719), np.float64(342.51923976902873))
(np.float64(377.5364619838697), np.float64(340.75039936370496))
(np.float64(345.9125140456485), np.float64(350.48575859739685))
(np.float64(346.17633701662544), np.float64(350.35367465592174))
(np.float64(346.45090907902045), np.float64(350.4554152742347))
(np.float64(345.33129603587463), np.float64(350.48826268217175))
(np.float64(345.1821377845918), np.float64(350.5341484583734))
(np.float64(345.204479852744), np.float64(350.5550730239628))
(np.float64(345.42181474595844), np.float64(350.5729256205101))
(np.float64(345.3080114239147), np.float64(350.2612150362722))
(np.float64(346.5906618319655), np.float64(349.22461066783575))
(np.float64(343.0807299477154), np.float64(350.54517801936913))
(np.float64(344.9502380233718), np.float64(350.36490173397857))
(np.float64(345.5033848383234), np.float64(350.63516767578517))
(np.float64(345.6106087329702), np.float64(350.3826164504064))
(np.float64(345.57923499365216), np.float64(350.2834081595619))
(np.float64(346.07353870847385), np.float64(350.2405924129905))
(np.float64(345.1868706167811), np.float64(350.5858252601616))
(np.float64(345.37457225169874), np.float64(350.6441903083242))
(np.float64(345.59923301291866), np.float64(350.6875762422159))
(np.float64(345.45838946837455), np.float64(350.4668597483306))
(np.float64(345.63734101620975), np.float64(350.3048795183066))
(np.float64(345.83201220427446), np.float64(350.334144831064))
(np.float64(345.9966537662662), np.float64(350.6211228129576))
(np.float64(346.34892674054055), np.float64(350.3923872719805))
(np.float64(346.3677635721807), np.float64(350.2825742121198))
(np.float64(344.9342881222653), np.float64(350.5757510417175))
(np.float64(344.0362984079577), np.float64(350.6932426605402))
(np.float64(346.5314008638065), np.float64(350.29659143831395))
(np.float64(345.29581869384737), np.float64(350.2187963238365))
(np.float64(345.3067838282276), np.float64(350.1917886692332))
(np.float64(345.53302260475397), np.float64(350.1577818561668))
(np.float64(345.563486397432), np.float64(350.1387245813267))
(np.float64(345.36536649775223), np.float64(350.11500398875216))
(np.float64(345.3751924649397), np.float64(350.0496223274138))
(np.float64(345.4055706033511), np.float64(350.06778759364533))
(np.float64(345.29189749660446), np.float64(350.07943255452403))
(np.float64(345.23592849620456), np.float64(350.0553486857165))
(np.float64(345.2741736503658), np.float64(350.43969015276724))
(np.float64(345.4420888008652), np.float64(350.2838424061781))
(np.float64(345.6202443187976), np.float64(350.42408745672265))
(np.float64(345.7729093670887), np.float64(350.47334187149914))
(np.float64(345.9715126759102), np.float64(350.2743117687358))
(np.float64(345.60999545529376), np.float64(350.21540835174375))
(np.float64(345.30779971567665), np.float64(350.0082407158991))
(np.float64(345.259197676517), np.float64(350.0246591773931))
(np.float64(345.17540681501004), np.float64(350.00999988439247))
(np.float64(344.93995188118663), np.float64(350.32899417529256))
(np.float64(345.60447925059555), np.float64(350.33795820120326))
(np.float64(345.0190511771351), np.float64(350.24024362174595))
(np.float64(345.15055788548887), np.float64(350.1321239721669))
(np.float64(345.2506721284994), np.float64(350.649667149061))
(np.float64(345.11637246656204), np.float64(350.08853427873447))
(np.float64(345.26351662864744), np.float64(350.5165071365923))
(np.float64(345.38217155450405), np.float64(350.3957026373115))
(np.float64(344.9422893412838), np.float64(350.1672250988246))
(np.float64(345.8994320022657), np.float64(350.3502181983194))
(np.float64(345.3180914063174), np.float64(350.3430730990548))
(np.float64(344.919138759194), np.float64(350.20102312199674))
(np.float64(328.440852031851), np.float64(357.98691505553063))
(np.float64(329.8660732878791), np.float64(357.9586379947317))
(np.float64(327.0893773731147), np.float64(355.9013713511139))
(np.float64(327.83723057414903), np.float64(354.7433433259053))
(np.float64(329.58592294745176), np.float64(356.157313518315))
(np.float64(328.8884280449985), np.float64(356.62244103780176))
(np.float64(327.2352216362035), np.float64(357.30885220816464))
(np.float64(330.1157665978081), np.float64(356.53526146911463))
(np.float64(329.56618743946757), np.float64(356.0817970924974))
(np.float64(328.56972946605123), np.float64(358.4214338553534))
(np.float64(327.9483272904449), np.float64(355.3462509630609))
(np.float64(329.9644600540704), np.float64(356.8107397642634))
(np.float64(328.5831567273701), np.float64(356.66233154401766))
(np.float64(327.90158433052045), np.float64(357.42106917001877))
(np.float64(345.06975642754713), np.float64(351.33786603364604))
(np.float64(336.12850236695687), np.float64(354.36005211141463))
(np.float64(344.8786040003462), np.float64(351.3888646470725))
(np.float64(344.4907050894995), np.float64(351.47251999992847))
(np.float64(342.7234326739775), np.float64(352.53993872637983))
(np.float64(345.2649845417971), np.float64(351.39038254050956))
(np.float64(345.16759736446306), np.float64(351.25017967218946))
(np.float64(345.1953750113328), np.float64(351.11827652033816))
(np.float64(345.34934741434733), np.float64(351.4814898440776))
(np.float64(344.9190279634814), np.float64(351.3811277845217))
(np.float64(344.714847763723), np.float64(351.18070112283016))
(np.float64(344.99159846168243), np.float64(351.1886663512205))
(np.float64(344.90238884021306), np.float64(351.0603368096152))
(np.float64(341.36083700395204), np.float64(351.4359058889726))
(np.float64(345.15044275505096), np.float64(352.70970442548105))
(np.float64(344.6725042085259), np.float64(351.24350997145314))
(np.float64(344.525612501147), np.float64(351.28193488776515))
(np.float64(344.0002230465116), np.float64(351.2632137373812))
(np.float64(344.86562703083666), np.float64(351.0384162344109))
(np.float64(345.12626120064175), np.float64(351.0272250354929))
