(np.float64(55.11850476906548), np.float64(184.29489860379573))
(np.float64(61.44625008809752), np.float64(181.3659263347734))
(np.float64(54.860003286680346), np.float64(183.24726903803804))
(np.float64(59.96827082665984), np.float64(182.7017616518507))
(np.float64(57.79030696692991), np.float64(181.9221224907882))
(np.float64(58.82951509327898), np.float64(182.5624348525911))
(np.float64(60.17961980377348), np.float64(182.80060478765543))
(np.float64(61.78390669776266), np.float64(181.80085010820554))
(np.float64(61.47257247921278), np.float64(182.53026145115925))
(np.float64(61.19320759196025), np.float64(183.34909456626184))
(np.float64(51.21873097433834), np.float64(184.1385103671369))
(np.float64(53.196858207703194), np.float64(184.22292269699597))
(np.float64(57.394655477198256), np.float64(183.62458752821786))
(np.float64(56.39733506578383), np.float64(184.0081690485402))
(np.float64(52.153288302087915), np.float64(184.11601396819617))
(np.float64(55.00037989405086), np.float64(183.2653252123063))
(np.float64(54.92144306380231), np.float64(184.1862662826019))
(np.float64(52.912136113662754), np.float64(183.11474884992447))
(np.float64(60.57967451279319), np.float64(183.70816027421364))
(np.float64(61.136680278267384), np.float64(183.53119426319364))
(np.float64(61.78385051964528), np.float64(183.12178891787207))
(np.float64(62.90644065572113), np.float64(180.47752842705484))
(np.float64(64.93254486009253), np.float64(182.04299838469603))
(np.float64(63.735600224114144), np.float64(181.5008261216099))
(np.float64(62.352059482896664), np.float64(183.38976186785192))
(np.float64(64.22297166446147), np.float64(183.9692226726489))
(np.float64(63.410552478645684), np.float64(184.16744270698575))
(np.float64(67.67413812694822), np.float64(180.2384967260987))
(np.float64(68.98051511608023), np.float64(180.91597671935074))
(np.float64(66.47349943360264), np.float64(181.32412162826537))
(np.float64(67.96380788241973), np.float64(180.80119058118888))
(np.float64(67.39275238831138), np.float64(183.2754951892505))
(np.float64(68.86632461591013), np.float64(181.8709207238871))
(np.float64(67.32255454821937), np.float64(181.60311971495875))
(np.float64(67.39287965600319), np.float64(183.08635063644505))
(np.float64(68.67950882653064), np.float64(183.32525130583429))
(np.float64(65.6001072344413), np.float64(181.9587649656574))
(np.float64(65.89670614337717), np.float64(182.04736163892963))
(np.float64(70.17800974267813), np.float64(182.67892161322922))
(np.float64(66.78453941063697), np.float64(183.65792372874975))
(np.float64(68.34944787848885), np.float64(183.98744109090887))
(np.float64(67.90454257952544), np.float64(183.5853688466669))
(np.float64(71.08555771120761), np.float64(183.77009299316921))
(np.float64(70.3983515517799), np.float64(184.00246396317502))
(np.float64(66.07205379625034), np.float64(180.7709653803769))
(np.float64(66.89423895658655), np.float64(182.65552538741835))
(np.float64(67.39660839121633), np.float64(181.2617239351254))
(np.float64(63.37020237932864), np.float64(181.83732270264545))
(np.float64(63.426503766861224), np.float64(183.9126073989533))
(np.float64(34.92817015640233), np.float64(188.19131063431576))
(np.float64(46.37671090683798), np.float64(188.22193214198114))
(np.float64(39.81083005662011), np.float64(186.89949374208558))
(np.float64(45.43541758121195), np.float64(186.03379568981757))
(np.float64(45.17024858970163), np.float64(186.90822873548214))
(np.float64(42.2842077099413), np.float64(187.433400289029))
(np.float64(32.34970771125915), np.float64(188.98941736755864))
(np.float64(36.01303149140737), np.float64(189.66169082571304))
(np.float64(33.93140337677459), np.float64(188.41667390032407))
(np.float64(35.010353006271785), np.float64(189.08338869876644))
(np.float64(37.02368119924029), np.float64(189.88918665775807))
(np.float64(39.80569808243307), np.float64(189.36845272279362))
(np.float64(46.21060247203076), np.float64(188.26014257137683))
(np.float64(36.62270475311861), np.float64(191.6383122061344))
(np.float64(37.69698362375945), np.float64(191.04061443744456))
(np.float64(38.463783411824586), np.float64(191.40597232734055))
(np.float64(40.32167857096575), np.float64(191.9275929375257))
(np.float64(39.021396906515996), np.float64(191.0814838621994))
(np.float64(38.901832900966106), np.float64(190.43479743887798))
(np.float64(43.624186663292015), np.float64(190.18378683442822))
(np.float64(45.882906032802), np.float64(190.13245530869662))
(np.float64(43.52314513472517), np.float64(191.36714928597))
