(np.float64(217.7630376764609), np.float64(309.32585794805334))
(np.float64(217.7268934794937), np.float64(309.36478438435984))
(np.float64(217.7763213715159), np.float64(309.13209244156104))
(np.float64(217.81034675218723), np.float64(309.1968850063016))
(np.float64(219.86979769183063), np.float64(309.90159950483263))
(np.float64(220.3296668274075), np.float64(310.0666917042821))
(np.float64(217.77365360494701), np.float64(309.131768802072))
(np.float64(217.76144301579146), np.float64(309.3247302401986))
(np.float64(218.84683665571637), np.float64(309.5459778907265))
(np.float64(217.60785744412973), np.float64(309.42631025090446))
(np.float64(218.03664188021716), np.float64(309.9903815738324))
(np.float64(219.40141011718566), np.float64(309.7976418348185))
(np.float64(219.89935569921388), np.float64(309.85519087509994))
(np.float64(217.59786502328316), np.float64(309.99189789149875))
(np.float64(220.606420993143), np.float64(311.29600181141154))
(np.float64(220.58226024544703), np.float64(315.0622785859313))
(np.float64(215.99937713182186), np.float64(312.86288723725943))
(np.float64(216.40611096703998), np.float64(313.3393574722854))
(np.float64(216.05804562901895), np.float64(313.01211558663084))
(np.float64(219.89189181339754), np.float64(313.2464040296875))
(np.float64(219.70176376971764), np.float64(313.53943528212557))
(np.float64(216.14780368059175), np.float64(312.8353418804961))
(np.float64(219.19333403501034), np.float64(313.86618552666863))
(np.float64(218.04360345746682), np.float64(310.781760605781))
(np.float64(217.89519112661304), np.float64(310.7374843602653))
(np.float64(218.77592896014906), np.float64(311.4294542509471))
(np.float64(217.64919048694597), np.float64(310.25435333368205))
(np.float64(216.71988251787337), np.float64(311.34179461701586))
(np.float64(216.77635087923466), np.float64(311.66228371022413))
(np.float64(217.66911100122212), np.float64(311.01307950502684))
(np.float64(217.81054736352644), np.float64(310.7719118440564))
(np.float64(217.65541949472606), np.float64(310.7813953295275))
(np.float64(219.18988428305258), np.float64(310.4885844428521))
(np.float64(218.48208572611418), np.float64(310.6600709464417))
(np.float64(216.85711557865716), np.float64(310.2472867806314))
(np.float64(217.45443624544396), np.float64(310.7393846816394))
(np.float64(219.59129108122465), np.float64(310.7686903584188))
(np.float64(216.43044475718114), np.float64(311.45432188489593))
