(np.float64(21.730499571650597), np.float64(402.0931657779798))
(np.float64(21.760545669706556), np.float64(402.4044048425151))
(np.float64(21.82272252439851), np.float64(402.58319753783064))
(np.float64(21.93123903569155), np.float64(402.50980022337467))
(np.float64(21.951870792565565), np.float64(402.06471762462456))
(np.float64(22.026522308206513), np.float64(402.0703613760663))
(np.float64(21.876239627826457), np.float64(402.3196341455611))
(np.float64(22.41207821051405), np.float64(402.5785142199028))
(np.float64(22.34553957654357), np.float64(402.5140561432415))
(np.float64(22.731503290306975), np.float64(402.59185477289986))
(np.float64(24.431838276644076), np.float64(402.7882567290842))
(np.float64(24.230417913136957), np.float64(402.78371620041304))
(np.float64(24.21286971018515), np.float64(402.66246436348206))
(np.float64(24.876334550443584), np.float64(402.76022124638024))
(np.float64(24.705056862770366), np.float64(402.83051816727476))
(np.float64(24.553186630681388), np.float64(402.8004930896079))
(np.float64(24.932042079903987), np.float64(402.53137612858495))
(np.float64(24.727954296600313), np.float64(402.5406698546472))
(np.float64(24.72915588390202), np.float64(402.6064117012778))
(np.float64(25.446517896766522), np.float64(402.2710634949608))
(np.float64(25.08563181290491), np.float64(402.34601518805704))
(np.float64(25.261584940943234), np.float64(402.4006001391283))
(np.float64(25.157411136096744), np.float64(402.2551578869029))
(np.float64(24.899941839741487), np.float64(402.34428044404274))
(np.float64(24.828007159815176), np.float64(402.3667132666128))
(np.float64(24.656797960888312), np.float64(402.4953069925836))
(np.float64(24.48456663249616), np.float64(402.53438694552335))
(np.float64(24.204279834754274), np.float64(402.6094877309644))
(np.float64(24.28869923219541), np.float64(402.5036525882836))
(np.float64(24.24322270714933), np.float64(402.4111261195048))
(np.float64(24.314332401161167), np.float64(402.1126032989158))
(np.float64(24.325064500419362), np.float64(401.6638616345446))
(np.float64(24.25089327292999), np.float64(401.56825549967664))
(np.float64(23.72705981316382), np.float64(402.396163793278))
(np.float64(23.968677173310507), np.float64(402.30288658998245))
(np.float64(23.908451467521402), np.float64(402.4275982784882))
(np.float64(23.926753046636307), np.float64(402.5732768966284))
(np.float64(23.491400626840214), np.float64(402.62147505878227))
(np.float64(25.135796088948766), np.float64(402.75711454972713))
(np.float64(25.310439261413524), np.float64(402.6765026201854))
(np.float64(25.46370076862835), np.float64(402.5378543123219))
(np.float64(25.649783641759804), np.float64(402.5323592895899))
(np.float64(25.62648463850126), np.float64(402.6884755236225))
(np.float64(25.46576080596522), np.float64(402.42045202769737))
(np.float64(25.727712387084118), np.float64(402.58438936751696))
(np.float64(25.563288948724107), np.float64(402.4360305416886))
(np.float64(26.234761770188047), np.float64(402.44825611422976))
(np.float64(26.10748940002254), np.float64(402.46037332208743))
(np.float64(26.033493469025466), np.float64(402.304179329731))
(np.float64(25.962780662942087), np.float64(402.3384065691693))
(np.float64(25.881065097019814), np.float64(402.31715248524466))
(np.float64(25.764704457347403), np.float64(402.3525014930829))
(np.float64(26.51277560862239), np.float64(402.54016706191805))
(np.float64(26.247983738671333), np.float64(402.5047881750025))
(np.float64(26.522355536514205), np.float64(402.1315961488908))
(np.float64(21.553501426787555), np.float64(402.40330658948864))
(np.float64(24.090133722218734), np.float64(402.53089436635986))
(np.float64(21.696728899740403), np.float64(402.106111599896))
(np.float64(21.724198780732987), np.float64(402.0881159716663))
(np.float64(21.718945954267582), np.float64(402.0892627100054))
(np.float64(21.742559658966595), np.float64(402.0967854492802))
(np.float64(21.76216824604237), np.float64(402.08113784371))
(np.float64(21.75599940430561), np.float64(402.08245749280957))
(np.float64(21.770880534259046), np.float64(402.046985695908))
(np.float64(21.760292174664528), np.float64(402.04511670817334))
(np.float64(21.72156829284554), np.float64(402.0151168428705))
(np.float64(21.710350183597757), np.float64(402.0048216525978))
(np.float64(21.696188272149495), np.float64(401.9898685385794))
(np.float64(21.68834847849425), np.float64(402.01345058436493))
(np.float64(21.678880906821178), np.float64(402.00233920439734))
(np.float64(21.64665686676145), np.float64(402.00837889905375))
(np.float64(21.639855674551985), np.float64(402.0012356179865))
(np.float64(21.63143780122347), np.float64(401.9909147304966))
(np.float64(26.62154544157254), np.float64(402.5355675629773))
(np.float64(26.57709659444483), np.float64(402.7595608157622))
(np.float64(26.679655452079416), np.float64(402.7549613168241))
(np.float64(26.84965474101878), np.float64(402.2493624976366))
(np.float64(26.677302040176244), np.float64(402.21965463515426))
(np.float64(27.02774714526803), np.float64(401.99183231511125))
(np.float64(26.817633566352804), np.float64(402.35048547362476))
(np.float64(26.998659196060995), np.float64(402.47561340857203))
(np.float64(27.253881541494106), np.float64(402.37674615132426))
(np.float64(27.10808045231828), np.float64(402.3655776192897))
