(np.float64(57.752988924938755), np.float64(206.42442618726503))
(np.float64(55.82760547906861), np.float64(206.16472652925427))
(np.float64(57.06943330217199), np.float64(207.05706199012815))
(np.float64(57.231987951494666), np.float64(206.73380287018983))
(np.float64(57.94263251913034), np.float64(207.26635231312656))
(np.float64(46.78166420814544), np.float64(215.24736746322722))
(np.float64(47.647616622572706), np.float64(215.09705492157747))
(np.float64(62.013032924992174), np.float64(208.2029365647059))
(np.float64(61.68779670543963), np.float64(214.48983609129655))
(np.float64(53.483371412394625), np.float64(213.65698556817927))
(np.float64(60.08281486745926), np.float64(208.60460347170246))
(np.float64(49.28149897601268), np.float64(214.5405183986415))
(np.float64(48.70816757499025), np.float64(214.988277992927))
(np.float64(47.944878745285), np.float64(215.51561241583588))
(np.float64(62.353245811950536), np.float64(211.77666517781287))
(np.float64(61.698594692605035), np.float64(212.78205354800087))
(np.float64(61.662603251543004), np.float64(211.05998341226424))
(np.float64(61.214756404426254), np.float64(213.26870824495776))
(np.float64(60.23385942008545), np.float64(213.0561901938335))
(np.float64(60.21096892182864), np.float64(213.80543469790965))
(np.float64(57.50032060274804), np.float64(214.2568945703318))
(np.float64(55.7866514650926), np.float64(214.78554979386732))
(np.float64(54.7830340773139), np.float64(215.28655462932167))
(np.float64(61.36045363345282), np.float64(207.83101067202762))
(np.float64(57.43262719657202), np.float64(208.04127658019942))
(np.float64(61.646357201643596), np.float64(214.66285176116244))
(np.float64(53.32032416429016), np.float64(215.11408126772284))
(np.float64(54.0011653787879), np.float64(213.74860536154148))
(np.float64(49.263107581272315), np.float64(213.43463208879865))
(np.float64(49.213994390702915), np.float64(213.60534058487767))
(np.float64(61.58144825296946), np.float64(211.41760080320697))
(np.float64(56.44683786194733), np.float64(215.15288376344077))
(np.float64(58.0491947605069), np.float64(215.35819865412876))
(np.float64(61.44830544392688), np.float64(215.1190713764939))
(np.float64(57.80203900183981), np.float64(212.07171717702576))
(np.float64(59.67604808828135), np.float64(211.1646186645775))
(np.float64(61.321765123049055), np.float64(211.27834461068952))
(np.float64(55.50484543098228), np.float64(212.16510844203114))
(np.float64(55.56843991595902), np.float64(212.10886111127994))
(np.float64(60.0938401678939), np.float64(211.3456331995203))
(np.float64(55.0290482413463), np.float64(214.80251201818456))
(np.float64(60.511011340694985), np.float64(211.2817313706484))
(np.float64(62.55456942428246), np.float64(208.16675203365136))
(np.float64(48.40562592387883), np.float64(213.8235112966185))
(np.float64(58.613251745456495), np.float64(208.47468991481057))
(np.float64(57.78026148899437), np.float64(208.96859340899897))
(np.float64(56.36247394906047), np.float64(208.1349763936377))
(np.float64(54.63535136830591), np.float64(209.65729181355792))
(np.float64(54.16938846853947), np.float64(210.26223274306483))
(np.float64(57.35837430274451), np.float64(210.70727800812244))
(np.float64(60.240527449383876), np.float64(209.39698687697899))
(np.float64(61.7298581563727), np.float64(209.47783141482705))
