(np.float64(432.9234894387678), np.float64(309.6610384557814))
(np.float64(438.71677340568965), np.float64(311.08766622490225))
(np.float64(439.91457943932573), np.float64(311.0612313030955))
(np.float64(437.0341277611227), np.float64(310.9539175400829))
(np.float64(435.3133349272937), np.float64(308.6153450299204))
(np.float64(433.1820559421035), np.float64(310.36027993179533))
(np.float64(442.598351388721), np.float64(308.9763246957412))
(np.float64(438.117023209138), np.float64(311.22111975535097))
(np.float64(441.95351548642543), np.float64(308.8447681532933))
(np.float64(444.74820261361054), np.float64(310.3867427326553))
(np.float64(443.72457975082887), np.float64(310.52676559923833))
(np.float64(445.460703139469), np.float64(310.9780584397453))
(np.float64(439.5817378483428), np.float64(312.98901233334686))
(np.float64(442.0016538828014), np.float64(312.8540920008595))
(np.float64(440.1706872835013), np.float64(311.4216249026548))
(np.float64(440.00683273518194), np.float64(312.7111715911554))
(np.float64(438.6404554462417), np.float64(311.5383620899498))
(np.float64(442.1812894511275), np.float64(311.5621729258187))
(np.float64(442.60599594610767), np.float64(311.5471740537852))
(np.float64(439.4188400617523), np.float64(312.7164963698221))
(np.float64(439.0635306954292), np.float64(312.0929915035702))
(np.float64(442.3084848364858), np.float64(312.19847464285385))
(np.float64(442.73346216543524), np.float64(313.3377361839098))
(np.float64(440.4468182883794), np.float64(311.50183737379473))
(np.float64(434.5781727769551), np.float64(318.88769781005317))
(np.float64(437.2326884162057), np.float64(319.2466144256567))
(np.float64(442.6168636357422), np.float64(319.15120144417256))
(np.float64(441.1756009291021), np.float64(319.32300710235705))
(np.float64(440.1541410968597), np.float64(319.1957507226244))
(np.float64(437.5120012866899), np.float64(318.88910164178463))
(np.float64(437.6277189991382), np.float64(318.677998210376))
(np.float64(437.40758595066046), np.float64(318.75805013451475))
(np.float64(437.5440261025292), np.float64(318.7839255963734))
(np.float64(436.156651205464), np.float64(319.05264497780223))
(np.float64(428.5418834691605), np.float64(320.5304873018246))
(np.float64(431.4246313408164), np.float64(321.1060483114076))
(np.float64(430.80122478581615), np.float64(320.89267922176884))
(np.float64(430.07801868924463), np.float64(320.34923876462267))
(np.float64(431.5868419859245), np.float64(321.05281749461864))
(np.float64(428.22349300285293), np.float64(320.3850182008576))
(np.float64(428.83965258194576), np.float64(320.736380985982))
(np.float64(434.3205930316707), np.float64(320.03305577358367))
(np.float64(434.3689875239304), np.float64(319.83367797049857))
(np.float64(434.3073693292938), np.float64(320.1050811960128))
(np.float64(430.09305569610575), np.float64(320.1889883088742))
(np.float64(433.2434613881554), np.float64(322.16551047621516))
(np.float64(430.56312566636376), np.float64(321.90129435037204))
(np.float64(431.36938572024485), np.float64(322.1676133449961))
(np.float64(431.20753936589625), np.float64(322.09373669258105))
(np.float64(430.72396150832526), np.float64(321.7311931328817))
