(np.float64(306.09383708642247), np.float64(367.99192343720125))
(np.float64(305.9787815474152), np.float64(368.0051544133836))
(np.float64(305.54024344744), np.float64(368.3255293842785))
(np.float64(304.96194479199477), np.float64(368.28001791471985))
(np.float64(306.1033734936056), np.float64(367.97052923071345))
(np.float64(305.10688378994985), np.float64(368.2884905419474))
(np.float64(304.30571201616084), np.float64(368.29637758776585))
(np.float64(305.96233939430164), np.float64(368.1534931178048))
(np.float64(306.00442598668064), np.float64(368.11105343547115))
(np.float64(305.948468256578), np.float64(368.1374929027721))
(np.float64(304.96355089635136), np.float64(368.37874201907323))
(np.float64(304.95986134710427), np.float64(368.2758406622816))
(np.float64(304.5679587057384), np.float64(368.2840961359002))
(np.float64(305.1990557662746), np.float64(368.3519145480241))
(np.float64(306.0130954477579), np.float64(368.1099019092051))
(np.float64(304.9945875670218), np.float64(368.3933482812549))
(np.float64(306.0356979465178), np.float64(367.9594545177653))
(np.float64(301.9699852916427), np.float64(368.9982634529351))
(np.float64(302.0951723096564), np.float64(369.08208244373634))
(np.float64(301.98957844708326), np.float64(368.8803228600872))
(np.float64(302.05598634557344), np.float64(368.6678965068194))
(np.float64(302.01558665693125), np.float64(369.26505396726355))
(np.float64(301.87559237278964), np.float64(368.5645081150251))
(np.float64(301.9783081476773), np.float64(369.10442344723884))
(np.float64(301.89716199196033), np.float64(369.0854158698496))
(np.float64(301.75671654906745), np.float64(368.65492668466953))
(np.float64(301.932186441339), np.float64(368.86523180534493))
(np.float64(301.7353896748013), np.float64(368.8222616936468))
(np.float64(301.9654773452807), np.float64(369.1275980951507))
(np.float64(301.7809910400886), np.float64(368.7320790050657))
(np.float64(301.9516062075461), np.float64(369.0947869905962))
(np.float64(302.0670832557484), np.float64(369.09953721826207))
(np.float64(301.6731429442417), np.float64(368.90371702526977))
(np.float64(301.98437659704086), np.float64(368.6607448620399))
(np.float64(301.83058035747285), np.float64(368.61668389132717))
(np.float64(302.09551926148737), np.float64(368.7385032488901))
(np.float64(302.0624010532062), np.float64(369.1341190065756))
