(np.float64(20.83595735524624), np.float64(160.3529241941321))
(np.float64(20.06173130682221), np.float64(160.3593940141534))
(np.float64(21.884406780329627), np.float64(160.60698222193457))
(np.float64(21.757292367737747), np.float64(160.71229760202405))
(np.float64(21.63970707998354), np.float64(160.82103962124808))
(np.float64(21.579302783293716), np.float64(160.81256184245072))
(np.float64(21.446102929186953), np.float64(160.82252599922597))
(np.float64(21.364101791220776), np.float64(160.54161359103014))
(np.float64(20.59454511454783), np.float64(160.12371622435282))
(np.float64(21.31001458404167), np.float64(160.85722542503817))
(np.float64(21.255877787546005), np.float64(160.78007328646433))
(np.float64(21.16500657717691), np.float64(160.47034835775764))
(np.float64(21.08351069540243), np.float64(160.805526623036))
(np.float64(20.90294784152005), np.float64(160.38181059414114))
(np.float64(20.714931158398254), np.float64(160.44032831044083))
(np.float64(20.48620598042285), np.float64(160.623084074311))
(np.float64(20.306451120324592), np.float64(160.22936954709658))
(np.float64(20.16419792140298), np.float64(160.22454210656443))
(np.float64(20.08887920403627), np.float64(160.5189328872786))
(np.float64(19.69791927986189), np.float64(160.1705758887399))
(np.float64(18.50734253643234), np.float64(160.2888895761011))
(np.float64(19.30602530795286), np.float64(160.14962786837864))
(np.float64(18.3924168659486), np.float64(160.2869578604867))
(np.float64(20.40501526368641), np.float64(160.94769987401224))
(np.float64(18.585124941252595), np.float64(161.01043375221516))
(np.float64(21.24038754126393), np.float64(161.032207719944))
(np.float64(20.589585489249014), np.float64(161.0393237280181))
(np.float64(20.862002670389533), np.float64(161.04603167154988))
(np.float64(20.696769677758898), np.float64(160.94311098123947))
(np.float64(19.44387771502956), np.float64(160.94335128658682))
(np.float64(20.43272008707216), np.float64(160.74083163499643))
(np.float64(20.280357602974938), np.float64(160.8382323932417))
(np.float64(20.20021346356819), np.float64(161.0045555136646))
(np.float64(20.123109357382333), np.float64(161.00574910094227))
(np.float64(20.012421666263876), np.float64(160.73078650774116))
(np.float64(19.861141130910337), np.float64(161.0305670980497))
(np.float64(19.453287894864914), np.float64(160.60526184169328))
(np.float64(19.806772686408983), np.float64(160.78132929858816))
(np.float64(19.709750666789823), np.float64(160.90410424112594))
(np.float64(19.61850718975515), np.float64(161.0360303022916))
(np.float64(19.431720009591583), np.float64(161.05936513356866))
(np.float64(19.360394272615146), np.float64(160.84533446179))
(np.float64(19.289448951581743), np.float64(160.94648295317822))
(np.float64(19.182856540484295), np.float64(160.93602267040237))
(np.float64(19.09191025257788), np.float64(160.95278834736578))
(np.float64(18.976101164008995), np.float64(160.8697640915099))
(np.float64(18.891040226451487), np.float64(160.89919673921762))
(np.float64(18.813207538755268), np.float64(161.06471245790675))
(np.float64(18.688053291323758), np.float64(160.58685899741394))
(np.float64(18.455669947552384), np.float64(160.98846857052294))
(np.float64(18.36445889430668), np.float64(160.98475695894112))
(np.float64(18.236681441323313), np.float64(160.79086339060717))
(np.float64(20.464302066842258), np.float64(160.583669269656))
(np.float64(18.776655356948503), np.float64(160.54888669152783))
(np.float64(20.87614464209106), np.float64(160.23374886209018))
(np.float64(18.88720849803587), np.float64(160.57347656522148))
(np.float64(20.82792718022839), np.float64(160.19981459518047))
(np.float64(21.420758626666128), np.float64(160.7280158143347))
(np.float64(20.420392286800478), np.float64(160.35226861204782))
(np.float64(18.9233754089973), np.float64(160.5558491829696))
(np.float64(20.36626259926657), np.float64(160.3723478361449))
(np.float64(20.522317580227238), np.float64(160.56933901013738))
(np.float64(19.20756294406455), np.float64(160.99132981025892))
(np.float64(22.966238658861467), np.float64(160.75804834661764))
(np.float64(23.474960207617773), np.float64(160.7489751075325))
(np.float64(23.184715666883886), np.float64(160.62695368741512))
(np.float64(23.09262310283156), np.float64(160.73641377417303))
(np.float64(22.422018441192602), np.float64(160.6270363548813))
(np.float64(22.321173536014406), np.float64(160.60557426895176))
(np.float64(22.101425584992203), np.float64(160.65932466651319))
(np.float64(21.97610471051787), np.float64(160.6417757698667))
(np.float64(16.21145389286485), np.float64(162.07471147865482))
(np.float64(16.04214399947222), np.float64(161.90210775216119))
(np.float64(15.318063847833034), np.float64(161.63688658631543))
(np.float64(17.607202449001498), np.float64(161.67064945763283))
(np.float64(16.850516454244428), np.float64(161.91725311045892))
(np.float64(16.48940167000214), np.float64(161.86062516997399))
(np.float64(16.36033680205697), np.float64(161.98214652465563))
(np.float64(16.199162677727504), np.float64(161.97145799725567))
(np.float64(16.00073743962239), np.float64(162.05597729784205))
(np.float64(15.752745598129732), np.float64(161.91431277904974))
(np.float64(15.557674227745355), np.float64(161.72518598399395))
(np.float64(15.16239777889474), np.float64(161.65487966906537))
(np.float64(14.902723491818596), np.float64(161.3808724790246))
(np.float64(14.784123356958101), np.float64(161.3972770615997))
(np.float64(14.607840095842848), np.float64(161.6622121640789))
(np.float64(17.977028134350263), np.float64(161.29537892661327))
(np.float64(15.091543140428668), np.float64(161.7638987818734))
(np.float64(16.74880512312252), np.float64(162.06957961094207))
(np.float64(16.56572847230664), np.float64(162.1437231144204))
(np.float64(17.971878474462386), np.float64(161.97478590815967))
(np.float64(16.777995025186748), np.float64(162.02812102898503))
(np.float64(21.616856114463904), np.float64(161.54811518408098))
(np.float64(21.68659586023639), np.float64(161.6880803531369))
(np.float64(21.669109904017212), np.float64(161.8999365190844))
(np.float64(21.491631471003824), np.float64(161.33220964572055))
(np.float64(21.066961907919218), np.float64(161.4412066977078))
(np.float64(21.034177994060315), np.float64(161.45874850337765))
(np.float64(20.43623052524401), np.float64(161.35296360360178))
(np.float64(22.00327081358261), np.float64(161.97309849793714))
(np.float64(21.96148383779467), np.float64(161.94614878328395))
(np.float64(21.90637640843126), np.float64(161.7955781179303))
(np.float64(21.851012709796812), np.float64(162.00347654870507))
(np.float64(21.77509597301257), np.float64(162.040927213193))
(np.float64(21.560964792440487), np.float64(161.11181727617662))
(np.float64(21.56803300405978), np.float64(161.8904778217344))
(np.float64(21.447309718171905), np.float64(161.3479794948949))
(np.float64(21.454695232070822), np.float64(161.90732349947146))
(np.float64(21.391811122731593), np.float64(161.095188873264))
(np.float64(21.419164139381607), np.float64(161.86230748924044))
(np.float64(21.40702776081657), np.float64(161.97773872454098))
(np.float64(21.338769452559077), np.float64(161.10849397137378))
(np.float64(21.33696516431876), np.float64(161.47955391630026))
(np.float64(21.277347187753026), np.float64(161.1972742827813))
(np.float64(21.25292704977485), np.float64(161.2112304174828))
(np.float64(21.253016345225827), np.float64(161.96095086554044))
(np.float64(21.19567028762113), np.float64(161.9498482129288))
(np.float64(21.121854854805758), np.float64(161.3305512054714))
(np.float64(21.129179509093326), np.float64(162.00976345786742))
(np.float64(20.679258753489737), np.float64(161.5389955203054))
(np.float64(20.641793850822502), np.float64(161.38913267996318))
(np.float64(20.5967827024537), np.float64(161.20058104197176))
(np.float64(20.608330424605157), np.float64(161.5101586965326))
(np.float64(21.079479569380247), np.float64(161.35504192669163))
(np.float64(20.951944861318598), np.float64(161.14064016042275))
(np.float64(20.9264972188193), np.float64(161.32188136421885))
(np.float64(20.899934857013804), np.float64(161.38005089533837))
(np.float64(20.86144713132187), np.float64(161.54250343295166))
(np.float64(20.829224478383424), np.float64(161.56693415359342))
(np.float64(20.75875961888775), np.float64(161.09637809686024))
(np.float64(20.767892722749917), np.float64(161.63352722055998))
(np.float64(20.745124810666294), np.float64(161.60210503850053))
(np.float64(20.685544632944143), np.float64(161.23526301306947))
(np.float64(19.98488849820324), np.float64(161.12485237168332))
(np.float64(19.466188919905093), np.float64(161.15842766543122))
(np.float64(20.50081298200717), np.float64(161.3012952867438))
(np.float64(20.405382675442294), np.float64(161.25858602604904))
(np.float64(20.389672051465336), np.float64(161.37921512969814))
(np.float64(20.396637963439108), np.float64(161.2881692812699))
(np.float64(20.31537182237825), np.float64(161.20285779121792))
(np.float64(20.29245184796118), np.float64(161.29025008923344))
(np.float64(20.265839550055727), np.float64(161.2913533726065))
(np.float64(20.261311143755325), np.float64(161.63672058471178))
(np.float64(20.209433435427098), np.float64(161.4085911101887))
(np.float64(20.150804124193634), np.float64(161.28755388139126))
(np.float64(20.086983886451385), np.float64(161.08725322091138))
(np.float64(20.06943707061962), np.float64(161.4658937844612))
(np.float64(19.967288972043747), np.float64(161.40625036032557))
(np.float64(19.929996938424434), np.float64(161.3317059438901))
(np.float64(19.907045580555035), np.float64(161.14568736064876))
(np.float64(19.898522113194765), np.float64(161.4275403839882))
(np.float64(19.88876186051603), np.float64(161.56029208948456))
(np.float64(19.55573231562225), np.float64(161.1581293595208))
(np.float64(19.51333240892031), np.float64(161.1581072987))
(np.float64(19.86689990712685), np.float64(161.33613059265406))
(np.float64(19.82372997889516), np.float64(161.15459641633194))
(np.float64(19.773704067455434), np.float64(161.31501584340938))
(np.float64(19.754902953991767), np.float64(161.4317674550885))
(np.float64(19.763656855615213), np.float64(161.7646373950616))
(np.float64(19.738160837520933), np.float64(162.05068421645427))
(np.float64(19.717159241447888), np.float64(161.97738435748292))
(np.float64(19.665144035463552), np.float64(161.62141680064371))
(np.float64(19.629361701799148), np.float64(161.33113575656552))
(np.float64(19.64458562223327), np.float64(161.98269646936026))
(np.float64(19.623270365052704), np.float64(162.01703364924677))
(np.float64(19.387492233729247), np.float64(161.14884987602125))
(np.float64(19.344278784799947), np.float64(161.80226866735273))
(np.float64(19.23178385781122), np.float64(161.51944230128618))
(np.float64(19.181644376431183), np.float64(161.70248376488254))
(np.float64(19.192382891101584), np.float64(161.9230306813721))
(np.float64(18.82906363629934), np.float64(161.17925029064256))
(np.float64(18.659759811524424), np.float64(161.9305613601145))
(np.float64(20.711833386563633), np.float64(161.579905490908))
(np.float64(20.23043433795305), np.float64(161.43120029810032))
(np.float64(20.582139635907065), np.float64(161.4756295147866))
(np.float64(20.570080415548954), np.float64(161.62675588247905))
