(np.float64(124.91887902907186), np.float64(160.06131937970378))
(np.float64(112.60195130613967), np.float64(167.4868481988234))
(np.float64(108.68677031857756), np.float64(166.4513676594126))
(np.float64(113.28423980047107), np.float64(165.69795856969176))
(np.float64(111.21109995518427), np.float64(166.24567888632373))
(np.float64(120.09688715056134), np.float64(160.6903518750617))
(np.float64(109.09959098241954), np.float64(166.31574222920898))
(np.float64(109.30990482589922), np.float64(166.82838196483758))
(np.float64(107.14930086842688), np.float64(165.0961889435193))
(np.float64(113.7466568906615), np.float64(167.16391314261614))
(np.float64(111.74021849180635), np.float64(167.91396189687427))
(np.float64(112.22225543935751), np.float64(167.79592251519068))
(np.float64(124.77054212254005), np.float64(167.62460516475045))
(np.float64(107.30859129226812), np.float64(166.47386236136796))
(np.float64(106.71421685514218), np.float64(165.61807373807596))
(np.float64(110.52313972602296), np.float64(167.5571918474427))
(np.float64(107.87084884387355), np.float64(165.98816894641755))
(np.float64(112.74767332983129), np.float64(166.7064607881129))
(np.float64(106.82801410856823), np.float64(165.1944366190337))
(np.float64(113.22846170160457), np.float64(166.69600971754704))
(np.float64(120.02843117858102), np.float64(175.7669678114931))
(np.float64(116.86434438338446), np.float64(174.37931744886697))
(np.float64(121.04030380059105), np.float64(174.65474537989107))
(np.float64(121.57419591587224), np.float64(174.29877218663484))
(np.float64(122.39693938950265), np.float64(174.83143290337426))
(np.float64(119.35784506960077), np.float64(174.9242838601332))
(np.float64(124.01871588088189), np.float64(174.5653259714039))
(np.float64(123.48181494243119), np.float64(175.55164003628195))
(np.float64(122.26095108993357), np.float64(174.5884488612401))
(np.float64(122.47317845686113), np.float64(174.78332740878324))
(np.float64(121.59890786790804), np.float64(172.5051780878541))
(np.float64(125.17742541926357), np.float64(173.97716684023163))
(np.float64(116.34500742630543), np.float64(171.24174601503424))
(np.float64(116.82651432300477), np.float64(171.26147426604908))
(np.float64(116.30853101558431), np.float64(169.44395708788778))
(np.float64(116.60601993139507), np.float64(171.73517798952167))
(np.float64(124.14472927191042), np.float64(173.33628301836856))
(np.float64(124.50306913504218), np.float64(172.69782740175913))
(np.float64(125.39581087778048), np.float64(174.00867126550924))
(np.float64(118.0850892908625), np.float64(173.3579901975698))
(np.float64(120.68583051709226), np.float64(172.4921194163644))
(np.float64(121.13535767915363), np.float64(173.47034879715443))
(np.float64(123.70857059223118), np.float64(168.4527237028031))
(np.float64(122.02932337640446), np.float64(174.26155419106183))
(np.float64(123.73043427951396), np.float64(169.03835450654358))
(np.float64(118.49533373765345), np.float64(173.14546881308596))
(np.float64(123.18651835993387), np.float64(169.91758832581667))
(np.float64(121.1130365911021), np.float64(170.48187649932274))
(np.float64(123.26059855808977), np.float64(172.63277471329502))
(np.float64(121.35352830841889), np.float64(174.59736276545357))
(np.float64(123.60228473326596), np.float64(171.6302870983792))
(np.float64(121.50485877987238), np.float64(175.1459670300171))
(np.float64(117.13206427712353), np.float64(171.1042825670915))
(np.float64(120.99790649472949), np.float64(175.0172579089888))
(np.float64(121.64019548274815), np.float64(173.81286658781863))
(np.float64(122.11036029690278), np.float64(173.2969482750923))
(np.float64(116.94630356115799), np.float64(172.51687910987874))
(np.float64(116.32163178500213), np.float64(174.10456588800724))
(np.float64(120.46427810444479), np.float64(174.1973930869608))
(np.float64(121.11985096090336), np.float64(174.10429818845557))
(np.float64(117.43245902288902), np.float64(173.85111804791356))
(np.float64(117.55441892070796), np.float64(172.85178052400315))
(np.float64(124.27802032874668), np.float64(174.37854628990976))
(np.float64(120.39420735864859), np.float64(172.44660509829683))
(np.float64(114.93288850019151), np.float64(168.47558252948664))
(np.float64(118.96788906901759), np.float64(173.29419855158304))
(np.float64(116.11136666390206), np.float64(170.74392296786337))
(np.float64(118.33302131307553), np.float64(173.20830390438712))
(np.float64(123.64607678203191), np.float64(177.28083351349844))
(np.float64(121.5012094569219), np.float64(178.73577391951667))
(np.float64(121.79658423795786), np.float64(176.5587204834091))
(np.float64(121.43163495108696), np.float64(176.98430804551842))
(np.float64(123.25975449936672), np.float64(176.22261687586308))
(np.float64(123.20299692478575), np.float64(176.36959447623826))
(np.float64(125.4359898419309), np.float64(177.3304024767625))
(np.float64(121.42732796282426), np.float64(177.01833734364936))
(np.float64(120.86306239063798), np.float64(177.28721630237726))
(np.float64(121.09746918661311), np.float64(177.7316545312719))
(np.float64(122.06847067468468), np.float64(177.9031059436137))
(np.float64(122.24802336296338), np.float64(179.1050217863462))
(np.float64(121.4669546822994), np.float64(178.558263903246))
(np.float64(121.7161805348926), np.float64(176.63161767182422))
(np.float64(122.39593078440146), np.float64(179.66204746551648))
(np.float64(122.22558905174141), np.float64(179.0584968524616))
(np.float64(120.16169536008631), np.float64(176.22698219071978))
(np.float64(122.97580970921628), np.float64(179.83276838596169))
(np.float64(124.86238639322127), np.float64(180.8834201021003))
(np.float64(124.25353829082297), np.float64(181.600880966078))
(np.float64(125.27948751677842), np.float64(181.76433321030774))
(np.float64(125.46655680119991), np.float64(182.3057265567871))
(np.float64(122.40480640526361), np.float64(180.13297425309952))
(np.float64(122.53727438346762), np.float64(180.19843100607002))
(np.float64(125.52110296965522), np.float64(159.13434261478935))
(np.float64(125.65310193000734), np.float64(159.44081763334677))
(np.float64(125.53916180386565), np.float64(159.80733850415993))
(np.float64(125.5979577421333), np.float64(159.78067879231097))
(np.float64(126.40878382778337), np.float64(160.25661568885334))
(np.float64(128.72334423646421), np.float64(162.55537048137973))
(np.float64(128.6449665864431), np.float64(162.21418682480265))
(np.float64(128.13126842024656), np.float64(162.10653772521897))
(np.float64(129.7795634059478), np.float64(163.20109150144592))
(np.float64(138.76975484045548), np.float64(167.7030412551091))
(np.float64(138.7261087854188), np.float64(167.5344116275774))
(np.float64(138.73406613696497), np.float64(167.785409565243))
(np.float64(136.42356095540947), np.float64(168.1151140807244))
(np.float64(130.60066297637687), np.float64(165.29708082182614))
(np.float64(131.94108771340336), np.float64(165.83895677902245))
(np.float64(132.3556060311197), np.float64(166.15098833605592))
(np.float64(127.97150360349637), np.float64(161.81349677572027))
(np.float64(127.64957721079249), np.float64(161.46396612949044))
(np.float64(134.46706766861377), np.float64(166.54513129164465))
(np.float64(134.61419293127682), np.float64(166.71528208537467))
(np.float64(132.05531722615953), np.float64(165.7341353430959))
(np.float64(132.72313136165795), np.float64(166.07191999716676))
(np.float64(132.42696401849403), np.float64(165.8976354059654))
(np.float64(136.25633363995192), np.float64(168.07239294112352))
(np.float64(135.62111216999315), np.float64(166.24629640743663))
(np.float64(133.86420028063432), np.float64(166.707469767548))
(np.float64(134.7176423159583), np.float64(166.62824288167647))
(np.float64(130.04702564330935), np.float64(164.22290972717303))
(np.float64(130.69747831604278), np.float64(164.48137591873478))
(np.float64(136.1663380451468), np.float64(167.89571893292577))
(np.float64(135.6131685161985), np.float64(166.3099974464896))
(np.float64(134.73204246419954), np.float64(166.36511785727538))
