(np.float64(158.69846210984758), np.float64(419.4002866361003))
(np.float64(157.78018290899806), np.float64(419.76266183053775))
(np.float64(159.0598487683798), np.float64(420.02191093874734))
(np.float64(158.7995506268795), np.float64(420.17079673935916))
(np.float64(154.7757551631116), np.float64(419.85779093049985))
(np.float64(156.01668639055035), np.float64(419.6125892305967))
(np.float64(154.4606519830532), np.float64(419.65594328539237))
(np.float64(154.55626521525522), np.float64(419.9823756480831))
(np.float64(155.11317440293794), np.float64(419.6894503360599))
(np.float64(157.55975960695415), np.float64(419.8213679729014))
(np.float64(158.62259062763482), np.float64(419.940650396886))
(np.float64(158.4478403006407), np.float64(419.8045653864875))
(np.float64(155.5645869993959), np.float64(419.7685109779029))
(np.float64(170.97845376722185), np.float64(420.3216352254807))
(np.float64(171.38811129150636), np.float64(419.94355745524376))
(np.float64(176.72553245420602), np.float64(420.1254226650667))
(np.float64(171.77893943986385), np.float64(419.87772130467516))
(np.float64(171.59973751799043), np.float64(420.2162519053401))
(np.float64(170.8536417901101), np.float64(419.74705349807965))
(np.float64(181.27009724341605), np.float64(420.2714646806518))
(np.float64(171.58291373520484), np.float64(419.7482743583453))
(np.float64(135.79093044058865), np.float64(427.42225496933963))
(np.float64(135.8826925247905), np.float64(427.4701047644963))
(np.float64(135.40958754959027), np.float64(427.1546435380013))
(np.float64(135.7392762309714), np.float64(427.6410228989639))
(np.float64(133.7384159367612), np.float64(426.26717521501035))
(np.float64(134.1187868077792), np.float64(426.12517360205385))
(np.float64(133.49173283711932), np.float64(426.33729874029456))
(np.float64(134.38120497929697), np.float64(426.352338824847))
(np.float64(135.35054730591193), np.float64(426.3801311536887))
(np.float64(133.7019585988585), np.float64(426.6658214261873))
(np.float64(133.81155237738895), np.float64(426.68573695173643))
(np.float64(134.1856606031114), np.float64(426.9601891763708))
(np.float64(134.46395515870333), np.float64(426.74410060594295))
(np.float64(134.99504807839574), np.float64(426.848284520564))
(np.float64(134.8177818737825), np.float64(427.0556537341125))
(np.float64(135.34972630794556), np.float64(426.68809739875775))
(np.float64(133.71711697817375), np.float64(427.4377825737495))
(np.float64(134.02175039686023), np.float64(427.5932357104715))
