(np.float64(196.32700311259234), np.float64(333.7368140962216))
(np.float64(220.03212156009445), np.float64(332.6877568803212))
(np.float64(217.75852764942076), np.float64(333.8115909391429))
(np.float64(216.11541578771573), np.float64(332.347461171709))
(np.float64(215.2892520382989), np.float64(332.3848534113884))
(np.float64(213.7348915303465), np.float64(330.69214307417116))
(np.float64(213.77752568588343), np.float64(331.7675630293595))
(np.float64(213.30591289832344), np.float64(331.91005579856824))
(np.float64(210.1209016652484), np.float64(329.37207560624427))
(np.float64(209.33466754628904), np.float64(330.0240697777651))
(np.float64(209.92271431716642), np.float64(331.8346147674197))
(np.float64(207.63727428148158), np.float64(331.895954026102))
(np.float64(206.1692864005526), np.float64(333.2422499895946))
(np.float64(210.88110763459454), np.float64(329.9929739624916))
(np.float64(219.8889474910152), np.float64(333.15810711688454))
(np.float64(211.32102261838594), np.float64(333.82188546274347))
(np.float64(212.69154928478633), np.float64(332.22894608846457))
(np.float64(218.98265087250365), np.float64(332.94826400066745))
(np.float64(213.3658271970817), np.float64(331.93274589635126))
(np.float64(211.6993351859508), np.float64(330.57291349917983))
(np.float64(211.99986188092052), np.float64(332.6183119676493))
(np.float64(210.04226046361825), np.float64(329.3359667122862))
(np.float64(211.40045447486187), np.float64(333.67052521400905))
(np.float64(215.22226155202512), np.float64(332.4644330885438))
(np.float64(217.04481981441518), np.float64(332.5238854199246))
(np.float64(210.19765691232232), np.float64(332.17089528576213))
(np.float64(205.59435149600537), np.float64(331.59055374519403))
(np.float64(213.022307084104), np.float64(331.8360712057195))
(np.float64(209.6037209765353), np.float64(330.76824647535057))
(np.float64(216.1497810112772), np.float64(332.51688880694394))
(np.float64(209.72203328528383), np.float64(329.2833833562933))
(np.float64(191.68019312685772), np.float64(340.23910818654247))
(np.float64(197.4028721357948), np.float64(336.706439424274))
(np.float64(197.7609416851317), np.float64(336.8564075383572))
(np.float64(193.42551394675243), np.float64(341.219616074176))
(np.float64(192.74432855465392), np.float64(339.32483287755497))
(np.float64(190.6366625806021), np.float64(341.3090705739067))
(np.float64(195.41473861045557), np.float64(337.5691583568782))
(np.float64(197.3923701240361), np.float64(337.0407799844984))
(np.float64(192.21044909677897), np.float64(340.3183841637988))
(np.float64(203.5604151271051), np.float64(335.40779943588194))
(np.float64(201.65161549333152), np.float64(335.2098228584425))
(np.float64(200.7016993483395), np.float64(335.385635040145))
(np.float64(198.22648082164488), np.float64(339.35019724357227))
(np.float64(200.76860591422064), np.float64(335.4313057839676))
(np.float64(198.19731484728658), np.float64(340.7182254168121))
(np.float64(199.4635543122962), np.float64(335.2591054553057))
(np.float64(196.59010755864566), np.float64(336.763273972811))
(np.float64(193.95486291764627), np.float64(335.125036343156))
(np.float64(203.60405736757735), np.float64(335.0574011449184))
(np.float64(202.8639302168718), np.float64(335.08198071548276))
(np.float64(201.87138321072294), np.float64(334.70372657990856))
(np.float64(198.6056130000684), np.float64(334.39254169771243))
(np.float64(200.99613522672496), np.float64(334.9408906870819))
(np.float64(199.79539492730558), np.float64(334.5559343050024))
(np.float64(200.1701724354209), np.float64(334.56479657235735))
(np.float64(195.39336006620573), np.float64(338.8693644209882))
(np.float64(198.97776851637929), np.float64(337.6135407246303))
(np.float64(198.3571250920055), np.float64(337.6061176832881))
(np.float64(196.03755650905455), np.float64(338.3064954732972))
(np.float64(194.83621593613972), np.float64(337.8259257441645))
(np.float64(197.16761295840095), np.float64(337.6002584146168))
(np.float64(195.14178097510785), np.float64(334.82661019016325))
(np.float64(195.7478650799329), np.float64(338.00133198255475))
(np.float64(194.50016057593746), np.float64(337.416482277263))
(np.float64(194.9491250899719), np.float64(337.9255410692381))
(np.float64(194.58733061998623), np.float64(337.9660518238646))
(np.float64(193.17573030103827), np.float64(339.1267596931227))
(np.float64(204.19048034838627), np.float64(338.25267646901506))
(np.float64(204.12191150002258), np.float64(338.7154741478333))
(np.float64(195.6813949347112), np.float64(338.31800812986575))
(np.float64(200.8551241881887), np.float64(335.659789201299))
(np.float64(192.55437944865076), np.float64(337.92412129796116))
(np.float64(202.82101222317593), np.float64(340.97469801337337))
(np.float64(196.22827199541294), np.float64(337.5916499072877))
(np.float64(191.9354874288034), np.float64(337.84517350568905))
(np.float64(201.8030673372391), np.float64(335.4920422489547))
(np.float64(203.51656065823144), np.float64(335.0653692824271))
(np.float64(201.11151864475096), np.float64(335.10067750199363))
(np.float64(201.76579021509409), np.float64(337.87976529409843))
(np.float64(193.01055695430233), np.float64(338.2738571582887))
(np.float64(191.38440394558847), np.float64(340.31865762098545))
(np.float64(193.78322735462947), np.float64(338.3160285350047))
(np.float64(191.9378763855055), np.float64(337.8752091895195))
(np.float64(204.0782311139307), np.float64(335.8212283957975))
(np.float64(197.97625087207558), np.float64(337.3961504446653))
(np.float64(195.41123632156487), np.float64(334.53049781707995))
(np.float64(193.94955703407712), np.float64(337.13920020713033))
(np.float64(204.17317402339336), np.float64(340.48028633246196))
