(np.float64(13.554378681918779), np.float64(121.14834084080528))
(np.float64(12.593262460149662), np.float64(120.87682312933819))
(np.float64(12.911849896610814), np.float64(119.9698923760832))
(np.float64(12.560433465099264), np.float64(121.33135739506936))
(np.float64(12.012231710737089), np.float64(119.9760798297378))
(np.float64(11.964704511366717), np.float64(121.77838407319311))
(np.float64(11.70619418613855), np.float64(120.33812132398783))
(np.float64(11.011847338395828), np.float64(119.48492363479524))
(np.float64(10.393410638647618), np.float64(119.13592596340528))
(np.float64(10.040919193955665), np.float64(119.18105985356237))
(np.float64(8.723482399923062), np.float64(119.86305182975775))
(np.float64(12.206640040743526), np.float64(120.11399297899327))
(np.float64(7.946017787631914), np.float64(119.60871555684513))
(np.float64(10.12974198407101), np.float64(118.99654104237321))
(np.float64(10.736087039663511), np.float64(119.08082906800081))
(np.float64(12.726956993696719), np.float64(119.85508035888175))
(np.float64(11.591491494202396), np.float64(120.30845994680365))
(np.float64(12.900059602928721), np.float64(121.06501524870774))
(np.float64(11.862764826640149), np.float64(121.24808683380536))
(np.float64(11.633999595766634), np.float64(119.19576981371773))
(np.float64(9.903350278253267), np.float64(119.10352068095031))
(np.float64(9.147540939396823), np.float64(116.53933653874661))
(np.float64(11.744731327757185), np.float64(119.97795469632214))
(np.float64(12.043844380400106), np.float64(122.11721170702853))
(np.float64(10.227758217491543), np.float64(118.95149260758956))
(np.float64(27.273190685376015), np.float64(129.2182681217705))
(np.float64(25.852160940386874), np.float64(129.3783577274818))
(np.float64(10.597841039044589), np.float64(124.06562336063519))
(np.float64(14.443032773756311), np.float64(129.40899729593033))
(np.float64(13.642700203793005), np.float64(122.82289233609725))
(np.float64(12.899452393879832), np.float64(124.36350187197993))
(np.float64(12.747485757376891), np.float64(124.58858628680773))
(np.float64(12.504977870184543), np.float64(124.23335407040148))
(np.float64(7.715626686020322), np.float64(126.96324302402684))
(np.float64(11.947252886216257), np.float64(124.2069403609263))
(np.float64(11.592273479590045), np.float64(122.89755887492304))
(np.float64(11.998300406948012), np.float64(129.8250953119043))
(np.float64(11.83822487671656), np.float64(129.62708830992673))
(np.float64(11.452178109529456), np.float64(127.07490410172501))
(np.float64(11.039973324201846), np.float64(125.52468156397161))
(np.float64(10.887039696008193), np.float64(125.77681405803848))
(np.float64(10.91058248451771), np.float64(128.1020328029536))
(np.float64(10.398720163390106), np.float64(125.42897427661481))
(np.float64(10.297634940748118), np.float64(128.64994269717303))
(np.float64(9.798680233449193), np.float64(124.38464546998857))
(np.float64(9.523564942631522), np.float64(128.11482589612328))
(np.float64(9.042585495934999), np.float64(127.97430690353798))
(np.float64(8.596972595552009), np.float64(123.87816064224901))
(np.float64(8.761523474982587), np.float64(129.40686291169283))
(np.float64(8.060977789169591), np.float64(128.93073892243243))
(np.float64(7.045091900247769), np.float64(126.67532527548839))
(np.float64(6.4572247606077475), np.float64(129.01660035718984))
(np.float64(12.257319629553535), np.float64(124.58389399909986))
(np.float64(12.225290652367628), np.float64(128.51034189526845))
(np.float64(8.061284341314128), np.float64(126.88165969116908))
(np.float64(11.125273018716944), np.float64(124.42423621573616))
(np.float64(10.321993698940457), np.float64(125.3578255899234))
(np.float64(11.526236287259158), np.float64(126.40182481761359))
(np.float64(10.0499987205433), np.float64(127.83264189988988))
