(np.float64(298.88898088959655), np.float64(302.34585415619847))
(np.float64(300.5132205482586), np.float64(301.78944617995995))
(np.float64(299.4069784149393), np.float64(301.61623687186125))
(np.float64(298.51434798808924), np.float64(301.19258084354567))
(np.float64(303.29755131061853), np.float64(302.4340242192955))
(np.float64(304.4032358241944), np.float64(302.46959292622336))
(np.float64(303.12244865671545), np.float64(302.5758071634714))
(np.float64(302.3715129421067), np.float64(301.23246589516253))
(np.float64(304.5365457804543), np.float64(302.52499606700667))
(np.float64(294.9270709866436), np.float64(305.1624924319367))
(np.float64(299.07929151212653), np.float64(305.2929178119506))
(np.float64(295.8790525440542), np.float64(306.54521662580186))
(np.float64(296.0656084229881), np.float64(306.33366755373277))
(np.float64(295.49463476859415), np.float64(305.90289939616525))
(np.float64(298.6218673379682), np.float64(305.2638955318409))
(np.float64(298.540408388093), np.float64(305.92074787146294))
(np.float64(300.3484439160551), np.float64(304.78718680966927))
(np.float64(298.5660401699485), np.float64(306.5659879171864))
(np.float64(298.88651806909843), np.float64(305.09982134221605))
(np.float64(297.3303426961568), np.float64(305.70667047195775))
(np.float64(300.0763234038794), np.float64(305.8900269082924))
(np.float64(298.5635636517002), np.float64(305.78125531302464))
(np.float64(300.3935526825582), np.float64(305.6741539763061))
(np.float64(300.29729652313324), np.float64(305.2739637502251))
(np.float64(299.42328965918773), np.float64(306.42451927907064))
(np.float64(299.090120882743), np.float64(305.13199031936045))
(np.float64(299.42211113264267), np.float64(305.19600287657585))
(np.float64(297.91259687992095), np.float64(302.8291643966321))
(np.float64(298.7751935193601), np.float64(302.92584805704905))
(np.float64(298.15555349841406), np.float64(303.15950600917347))
(np.float64(295.2570400383854), np.float64(306.2407900512622))
(np.float64(296.68424347999763), np.float64(305.7555524588939))
(np.float64(299.69580497862347), np.float64(306.0345453940209))
(np.float64(292.58519934810687), np.float64(310.0272425356616))
(np.float64(295.1812467547224), np.float64(309.5675550686766))
(np.float64(294.09759515631623), np.float64(309.5366841040582))
(np.float64(293.7951294496766), np.float64(308.8384238496356))
(np.float64(296.6475718330165), np.float64(310.2914202974965))
(np.float64(297.07590909830196), np.float64(310.1918116997583))
(np.float64(296.43461709830996), np.float64(308.7326285861278))
(np.float64(296.220167575134), np.float64(308.90083366410914))
(np.float64(295.998837274075), np.float64(309.06458845670926))
(np.float64(296.6311307202482), np.float64(309.1738466627341))
(np.float64(293.2092625280963), np.float64(309.48733217319113))
(np.float64(296.57699253663003), np.float64(308.56615000966065))
(np.float64(297.0741427823025), np.float64(310.0256884600539))
(np.float64(296.90920541829394), np.float64(307.4354772787755))
(np.float64(294.7393225366409), np.float64(307.54266988910246))
(np.float64(293.86871306110015), np.float64(308.46514224690253))
(np.float64(294.3510740731105), np.float64(308.1352106383215))
(np.float64(294.16943672623086), np.float64(307.8496510337538))
(np.float64(294.96774480363524), np.float64(308.0429059292587))
(np.float64(295.17059164027387), np.float64(307.08628851463504))
(np.float64(293.3686720703223), np.float64(308.40731035540637))
(np.float64(294.96371645185314), np.float64(307.366881465207))
(np.float64(294.84537241286523), np.float64(307.72284320380686))
(np.float64(297.82546498149173), np.float64(308.91235389650575))
(np.float64(291.5806512069946), np.float64(310.37359181784825))
(np.float64(292.34351696700105), np.float64(310.060633948845))
(np.float64(299.2918488387313), np.float64(306.91599887108))
(np.float64(297.85185360730003), np.float64(309.85065434646634))
(np.float64(298.7069681550512), np.float64(309.31405528868754))
(np.float64(297.22899461545524), np.float64(309.17349490176264))
(np.float64(298.2114951033233), np.float64(310.18493375458786))
(np.float64(300.25454168869305), np.float64(310.31888322922185))
(np.float64(297.9869950739048), np.float64(309.4137382507788))
(np.float64(297.9798238690855), np.float64(308.7779732055911))
(np.float64(299.76575695280724), np.float64(309.6914325673137))
(np.float64(297.2493987122828), np.float64(308.9674115794118))
(np.float64(299.35307829473163), np.float64(306.78802181772505))
(np.float64(299.9164635698341), np.float64(307.61594835392594))
(np.float64(299.2839582420392), np.float64(307.05222994349293))
(np.float64(298.62819066949385), np.float64(306.6235331998585))
(np.float64(298.30609504890555), np.float64(307.13370369953424))
(np.float64(299.47112306391307), np.float64(307.86376813970105))
(np.float64(300.1919863253218), np.float64(307.0380808978436))
(np.float64(298.64335858521156), np.float64(306.92666739829))
(np.float64(298.09404835355815), np.float64(307.25723077054744))
(np.float64(298.50673637465246), np.float64(308.52999875165665))
