(np.float64(8.289258223782484), np.float64(355.35510141211665))
(np.float64(5.439693234582339), np.float64(354.2996948622076))
(np.float64(3.294066638078906), np.float64(355.37970255864514))
(np.float64(1.8183005166691333), np.float64(355.7309231605773))
(np.float64(23.121432415557972), np.float64(358.57901725506326))
(np.float64(8.018591927005003), np.float64(360.40890455261115))
(np.float64(23.550797878925206), np.float64(362.4756943184449))
(np.float64(10.526213258048678), np.float64(357.71378841944295))
(np.float64(4.928807788327586), np.float64(362.62591722286993))
(np.float64(22.888842218445966), np.float64(358.6349407645048))
(np.float64(13.38260926241673), np.float64(358.914309460836))
(np.float64(22.46786237799703), np.float64(358.9884270852731))
(np.float64(0.5747483377478161), np.float64(360.62978577535506))
(np.float64(11.524954767511664), np.float64(357.312903459387))
(np.float64(10.8549380687355), np.float64(358.22284842355276))
(np.float64(0.7821501092454906), np.float64(357.7890552670955))
(np.float64(24.736121449104715), np.float64(360.00395040176596))
(np.float64(14.656538366018024), np.float64(357.98952071704167))
(np.float64(1.8542858891023566), np.float64(361.6112174900863))
(np.float64(18.447288659358207), np.float64(358.4088883403308))
(np.float64(20.124800422466972), np.float64(358.8567387233724))
(np.float64(22.72549951511915), np.float64(359.28925392810487))
(np.float64(21.93540211090567), np.float64(359.938291586241))
(np.float64(11.444538060254322), np.float64(359.2030937025864))
(np.float64(14.591935622716107), np.float64(356.8594252644543))
(np.float64(8.845134878649446), np.float64(363.22730205744705))
(np.float64(1.8168293091196757), np.float64(361.3157019106375))
(np.float64(0.7028165644521688), np.float64(360.6552322027707))
(np.float64(23.944545034840328), np.float64(362.3212262821399))
(np.float64(12.259408796279583), np.float64(360.2949378162952))
(np.float64(10.990590860160712), np.float64(360.93925094398537))
(np.float64(17.40817242930419), np.float64(362.46068490085213))
(np.float64(9.983960661264385), np.float64(359.66334499319396))
(np.float64(13.559115502068485), np.float64(361.526423883818))
(np.float64(13.05688339169757), np.float64(360.96057442251305))
(np.float64(5.897935805862934), np.float64(358.9697640566616))
(np.float64(4.919949679781334), np.float64(356.06008342838055))
(np.float64(24.11372887427012), np.float64(362.8304287118652))
(np.float64(19.655312346431923), np.float64(363.730807523097))
(np.float64(18.791609136985027), np.float64(358.00840344474443))
(np.float64(25.036093471954814), np.float64(362.7840302640523))
(np.float64(25.0769545493139), np.float64(363.1370333680367))
(np.float64(13.319200130517832), np.float64(361.105887461368))
(np.float64(1.8775679002305576), np.float64(356.68333708008623))
(np.float64(17.684382499667773), np.float64(359.8681219999075))
(np.float64(3.282001869252921), np.float64(359.83381263846474))
(np.float64(24.893874604100688), np.float64(359.9843645157632))
(np.float64(25.198632169467793), np.float64(362.1803069826592))
(np.float64(23.982648876793412), np.float64(358.56150429815557))
(np.float64(23.903607492832496), np.float64(360.4858732348694))
(np.float64(9.062259277358567), np.float64(360.6650501157135))
(np.float64(24.351174836521828), np.float64(360.89383753597826))
(np.float64(24.402556304901093), np.float64(361.27031050284603))
(np.float64(24.35870495703122), np.float64(362.2150802273653))
(np.float64(18.072542361296723), np.float64(358.3186288025229))
(np.float64(19.29429431337961), np.float64(359.5271270724218))
(np.float64(17.99637767791614), np.float64(359.0716047365493))
(np.float64(19.805448859707628), np.float64(359.8766987493517))
(np.float64(18.97096260104208), np.float64(359.70122402544933))
(np.float64(18.036340425718258), np.float64(360.0203960150369))
(np.float64(15.340448222952586), np.float64(357.29477207227035))
(np.float64(16.71268086591191), np.float64(358.050856339325))
(np.float64(14.65629284687469), np.float64(362.2472188405819))
(np.float64(13.970189096120487), np.float64(363.72343939137727))
(np.float64(24.310007033639444), np.float64(362.3335293099749))
