(np.float64(8.974304647080526), np.float64(270.11663558025487))
(np.float64(7.491032159479913), np.float64(269.30659048936525))
(np.float64(5.287041884040187), np.float64(269.84955336614365))
(np.float64(4.602251036463629), np.float64(269.12949053765914))
(np.float64(4.071232327361757), np.float64(269.7031949232607))
(np.float64(1.2220539961146806), np.float64(269.34040814909304))
(np.float64(2.8378159621722268), np.float64(268.56323992096964))
(np.float64(1.0443773792175306), np.float64(266.50189566223753))
(np.float64(7.142484452640148), np.float64(269.3457923828772))
(np.float64(9.034358697540819), np.float64(269.95356455183))
(np.float64(14.809066610202645), np.float64(267.01942599052086))
(np.float64(6.632585764447775), np.float64(267.81360995862946))
(np.float64(14.112844558030105), np.float64(269.51967521262276))
(np.float64(6.564976452043189), np.float64(266.5224481636304))
(np.float64(14.9114411551022), np.float64(267.0027800116809))
(np.float64(9.436163250579524), np.float64(266.22385619085543))
(np.float64(2.667908396125749), np.float64(266.89329277314613))
(np.float64(0.11251122557813789), np.float64(266.17968085540707))
(np.float64(2.4261414010752054), np.float64(266.42919938485073))
(np.float64(4.465197606907378), np.float64(265.6764779987351))
(np.float64(14.74000568323904), np.float64(266.92510768626767))
(np.float64(4.2959796098061105), np.float64(265.62711812839785))
(np.float64(3.8713540875837404), np.float64(265.6225268113565))
(np.float64(2.3320364817191197), np.float64(265.85077349913445))
(np.float64(2.4724836585068233), np.float64(265.8755742839531))
(np.float64(4.574589907162875), np.float64(269.09211666179203))
(np.float64(1.1070022716717967), np.float64(266.50886009308954))
(np.float64(1.2184821781459052), np.float64(268.4796431141317))
(np.float64(2.722016930180263), np.float64(269.7627535586992))
(np.float64(0.6599762491340108), np.float64(268.695977020263))
(np.float64(29.480409294733338), np.float64(268.8724212080633))
(np.float64(29.677054865869636), np.float64(267.99664602823714))
(np.float64(24.063466806704568), np.float64(267.22183327739015))
(np.float64(22.747833954138745), np.float64(268.3513367848716))
(np.float64(22.987829258120403), np.float64(268.98967864280803))
(np.float64(19.70015842826534), np.float64(268.7518588323367))
(np.float64(17.41539270326556), np.float64(268.3435776796828))
(np.float64(18.09706046418274), np.float64(269.0406362861422))
(np.float64(17.01802622074456), np.float64(269.4296231313631))
(np.float64(16.679214665468024), np.float64(268.8429697116918))
(np.float64(19.48490437910221), np.float64(267.6953873024527))
(np.float64(23.27214041969626), np.float64(268.32138225333995))
(np.float64(16.8517632961398), np.float64(268.12090450024476))
(np.float64(23.804317715585338), np.float64(269.5761558183533))
(np.float64(24.635939064142296), np.float64(268.5964025440672))
(np.float64(23.29438833750251), np.float64(267.7597508327485))
(np.float64(15.957340371507609), np.float64(267.05050768444715))
(np.float64(24.43632194852899), np.float64(268.78332059053406))
(np.float64(24.118285369625514), np.float64(267.3702509522725))
(np.float64(17.24831034120311), np.float64(270.20207616246347))
(np.float64(17.101971918823853), np.float64(268.11195495932424))
(np.float64(18.092513331846085), np.float64(268.40136035858217))
(np.float64(16.20887264751918), np.float64(266.87171692854093))
(np.float64(5.563411645875919), np.float64(277.6775142511606))
(np.float64(5.550098648046832), np.float64(277.87357171916887))
(np.float64(7.441963009770293), np.float64(270.83052634917095))
(np.float64(12.162071208271922), np.float64(277.78253841631795))
