(np.float64(85.69281279181392), np.float64(432.9509886330271))
(np.float64(86.4072623859081), np.float64(432.9664083576093))
(np.float64(86.20742177159981), np.float64(432.9309287424496))
(np.float64(87.80714194025575), np.float64(432.98218226742557))
(np.float64(87.41372855860197), np.float64(432.9905393783879))
(np.float64(87.83620006651667), np.float64(432.9398989502383))
(np.float64(86.92903632850079), np.float64(432.9388199701289))
(np.float64(87.02541438055057), np.float64(432.8478380011038))
(np.float64(86.46297945177463), np.float64(432.97156440737115))
(np.float64(87.7438429105112), np.float64(432.8280445979459))
(np.float64(87.52671833841715), np.float64(432.94696023051057))
(np.float64(86.15289502273775), np.float64(432.87344049063074))
(np.float64(86.32090588409162), np.float64(432.8754957225882))
(np.float64(87.08797459882906), np.float64(432.83752475004803))
(np.float64(87.68341659338658), np.float64(432.89407396250357))
(np.float64(86.45068095428937), np.float64(432.89344116851646))
(np.float64(82.6715758278377), np.float64(433.2766531701219))
(np.float64(83.8489255745029), np.float64(433.4011201895997))
(np.float64(83.8621766723729), np.float64(433.6946316284912))
(np.float64(83.22363081086843), np.float64(433.5175255555123))
(np.float64(83.64822651014468), np.float64(433.92516912625393))
(np.float64(83.27249536130303), np.float64(433.6153482572265))
(np.float64(83.55279169545842), np.float64(433.91394023000146))
(np.float64(83.12404557838784), np.float64(433.5576193364175))
(np.float64(83.21509936760945), np.float64(433.7823007776633))
(np.float64(83.2852939133103), np.float64(433.6851059607964))
(np.float64(83.35571265126796), np.float64(433.90313309539215))
(np.float64(83.75878311902046), np.float64(433.92365977835567))
(np.float64(83.82156146092822), np.float64(433.7318371997015))
(np.float64(83.45086189391154), np.float64(433.72451118960277))
(np.float64(82.98928210027933), np.float64(433.5198793964146))
(np.float64(83.20113581343236), np.float64(433.768297490995))
(np.float64(83.1241678177875), np.float64(433.46316127323877))
(np.float64(83.45091078967855), np.float64(433.7595748613543))
(np.float64(81.54430366261809), np.float64(434.8235490697112))
(np.float64(81.56600904554016), np.float64(434.84344289807905))
(np.float64(83.76353155624342), np.float64(434.27342557836647))
(np.float64(83.41231382877905), np.float64(433.9527684229332))
(np.float64(83.55391785844928), np.float64(434.0776311431983))
(np.float64(83.54466632975065), np.float64(434.00414576728747))
(np.float64(83.59624788929466), np.float64(433.95007069992454))
(np.float64(83.46902025353725), np.float64(434.00249714531435))
(np.float64(83.47888037840605), np.float64(434.40717832382774))
(np.float64(83.74568807144558), np.float64(434.102251199))
(np.float64(83.58995507427576), np.float64(434.3833926397144))
(np.float64(83.8248605376504), np.float64(434.2346917499821))
(np.float64(82.64274761568765), np.float64(434.86628481550815))
(np.float64(82.5267788356503), np.float64(434.76009554819586))
(np.float64(82.43694154520593), np.float64(434.86956327139393))
(np.float64(82.79749437496835), np.float64(434.54233702225304))
(np.float64(82.67939949629832), np.float64(434.8298841611571))
(np.float64(82.4782275995386), np.float64(434.8023923806669))
(np.float64(81.81875209848354), np.float64(434.79599456134304))
(np.float64(82.68776431251324), np.float64(434.65008266822184))
(np.float64(82.67066119969871), np.float64(434.8147685607212))
(np.float64(82.69333097347355), np.float64(434.61906473249104))
(np.float64(82.1925223886202), np.float64(434.86970072726535))
(np.float64(82.10797780416304), np.float64(434.70385070231663))
(np.float64(82.22057399044955), np.float64(434.76074349384345))
(np.float64(82.39753156224), np.float64(434.64388400233497))
