(np.float64(203.15238867523945), np.float64(356.52306947265487))
(np.float64(203.37872524328384), np.float64(357.233287963703))
(np.float64(203.42889003948864), np.float64(354.42786155375603))
(np.float64(203.11314687982255), np.float64(356.94216739637267))
(np.float64(203.44112559669665), np.float64(355.1141006618511))
(np.float64(219.34838197136742), np.float64(353.2571349211363))
(np.float64(218.34534821171874), np.float64(353.08241014386823))
(np.float64(214.13647986702583), np.float64(353.3471751234933))
(np.float64(214.47464537405475), np.float64(353.5734003978183))
(np.float64(219.05491741940048), np.float64(353.4640078268662))
(np.float64(212.74270517378994), np.float64(352.8356945505666))
(np.float64(207.0504757396073), np.float64(351.4394156198137))
(np.float64(208.7050390924606), np.float64(352.0281817871498))
(np.float64(207.2713260992981), np.float64(353.1591651270943))
(np.float64(206.12298523636434), np.float64(351.5562089288658))
(np.float64(208.54569457118387), np.float64(353.069564565343))
(np.float64(206.89496658791953), np.float64(352.9939186837328))
(np.float64(208.84789655281472), np.float64(351.8979653182412))
(np.float64(209.8660184691473), np.float64(353.4715392328875))
(np.float64(207.85208011951474), np.float64(352.61590830808603))
(np.float64(205.17858564283424), np.float64(351.7877366786127))
(np.float64(205.32931584080458), np.float64(353.0904806460031))
(np.float64(204.90541525891675), np.float64(353.0009383878449))
(np.float64(218.3421673864481), np.float64(353.00871403865034))
(np.float64(211.95802288836305), np.float64(352.26451418932646))
(np.float64(206.24044880488478), np.float64(351.3144316862587))
(np.float64(208.41125689142694), np.float64(352.01072743686956))
(np.float64(207.07706410979574), np.float64(353.0873266761677))
(np.float64(204.50681303141397), np.float64(352.8452460366949))
(np.float64(217.12208690645573), np.float64(352.92357042900625))
(np.float64(208.2828437935711), np.float64(353.0189684406513))
(np.float64(205.27071115084507), np.float64(353.21677041034485))
(np.float64(204.36012939109858), np.float64(353.0218232560827))
(np.float64(211.17660812281736), np.float64(353.45113588444985))
(np.float64(207.098836767745), np.float64(352.53342272409645))
(np.float64(207.85530706631226), np.float64(352.01992249531327))
(np.float64(209.37491829358927), np.float64(352.9378008087742))
(np.float64(208.62462533281595), np.float64(352.79899862063974))
(np.float64(208.330346024889), np.float64(351.7734446012766))
(np.float64(207.91521772388492), np.float64(351.78374342795))
(np.float64(205.62144269493126), np.float64(353.00752760295705))
(np.float64(206.74557044662595), np.float64(352.5494420908272))
(np.float64(204.5231423081343), np.float64(353.1729780482902))
(np.float64(217.1060993798942), np.float64(353.46612390789215))
(np.float64(211.30205227703783), np.float64(353.563619273114))
(np.float64(207.8248054747784), np.float64(351.54762369448883))
(np.float64(206.41916124898762), np.float64(352.9382417827276))
(np.float64(210.61624502184014), np.float64(352.38477189545193))
(np.float64(218.23896161362774), np.float64(356.37952535996425))
(np.float64(218.0322592942562), np.float64(355.8460482717084))
(np.float64(215.95869117758494), np.float64(355.8609006574801))
(np.float64(215.49715802564427), np.float64(356.03626944096675))
(np.float64(218.45675720199966), np.float64(355.7320314743038))
(np.float64(216.0250186234709), np.float64(355.040363525934))
(np.float64(213.2682884775751), np.float64(354.0207635640384))
(np.float64(215.25624133134525), np.float64(357.5108205817089))
(np.float64(215.23113769305803), np.float64(354.0997723871972))
(np.float64(215.23096777162527), np.float64(356.38861338707295))
(np.float64(217.13653751097263), np.float64(353.7633088973907))
(np.float64(217.41776615896046), np.float64(356.1607647031389))
(np.float64(217.1772893531155), np.float64(357.64538581986096))
(np.float64(211.5111269077362), np.float64(353.92725599488034))
(np.float64(210.79573546338253), np.float64(355.3464049039387))
(np.float64(209.70539138779876), np.float64(354.0880543953112))
(np.float64(206.21008939251703), np.float64(354.8647946193049))
(np.float64(207.540264225708), np.float64(356.90687875275665))
(np.float64(210.38229926779724), np.float64(353.6747205272272))
(np.float64(207.57263842083006), np.float64(355.0887450231932))
(np.float64(208.18542609974259), np.float64(357.137873951904))
(np.float64(209.3356669617601), np.float64(353.6498109534788))
(np.float64(208.16248878638834), np.float64(355.1385886557735))
(np.float64(208.674957276227), np.float64(356.2338197112601))
(np.float64(206.67199273043397), np.float64(356.9322964526213))
(np.float64(204.29169595972382), np.float64(355.6925003048901))
(np.float64(204.82820417158035), np.float64(357.1302709694359))
(np.float64(203.8958589435245), np.float64(357.5507892098924))
(np.float64(204.34937249717902), np.float64(355.81614955889955))
(np.float64(204.84511291508414), np.float64(357.0554634595516))
(np.float64(203.99993495685052), np.float64(356.51127584367765))
(np.float64(204.2180157705014), np.float64(354.80178455661843))
(np.float64(204.76594599733733), np.float64(357.05909707037785))
(np.float64(203.92615957694557), np.float64(356.3383984781793))
(np.float64(219.25760022983545), np.float64(354.60134074324327))
(np.float64(216.6353412278074), np.float64(354.4659996188148))
(np.float64(217.14486175410386), np.float64(357.1778245193078))
(np.float64(212.99146894409458), np.float64(354.056596758367))
(np.float64(210.83314054677012), np.float64(355.6333140972893))
(np.float64(209.70782403857598), np.float64(354.7601957915872))
(np.float64(206.30626388562598), np.float64(355.1222766195502))
(np.float64(207.09152719832898), np.float64(356.87229526745864))
(np.float64(204.88852714873022), np.float64(354.3504223821066))
(np.float64(205.11781584166826), np.float64(357.10160687460046))
(np.float64(203.88358003901982), np.float64(357.0758155347676))
(np.float64(206.31937679228784), np.float64(356.6310283328053))
(np.float64(209.23100558642398), np.float64(356.23946461422616))
(np.float64(218.61327322490487), np.float64(354.98387310192743))
(np.float64(206.5418252804279), np.float64(354.8726441496112))
(np.float64(210.09897850546076), np.float64(354.0600981860993))
(np.float64(203.72393538100093), np.float64(354.7302724724778))
(np.float64(210.80254081694227), np.float64(356.31492903954404))
(np.float64(204.86214112376229), np.float64(354.2951620911877))
(np.float64(211.42050295039294), np.float64(355.1104997180051))
(np.float64(216.66589795711212), np.float64(357.46012403180555))
(np.float64(215.48971425297066), np.float64(354.1447094269696))
(np.float64(217.43882358637487), np.float64(355.515201320959))
(np.float64(205.77838369481623), np.float64(356.6296211677074))
(np.float64(215.36281154861928), np.float64(356.1429476220867))
(np.float64(215.01848413542672), np.float64(357.4606526429657))
(np.float64(217.02088273881634), np.float64(354.9389589714685))
(np.float64(216.95001613649237), np.float64(354.98166786852374))
(np.float64(210.95597866099345), np.float64(353.91655189157177))
(np.float64(211.95500626268347), np.float64(354.0697945221083))
(np.float64(209.48539670391412), np.float64(357.5509090898373))
(np.float64(204.1970661911856), np.float64(353.88602529391136))
(np.float64(203.69028452103737), np.float64(355.0562567702351))
(np.float64(204.19442304589194), np.float64(355.1312340999435))
(np.float64(216.98674482852408), np.float64(357.57436004344476))
(np.float64(222.40184037456174), np.float64(353.71653232471357))
(np.float64(221.932341548399), np.float64(353.4733913719738))
(np.float64(223.45332463118768), np.float64(353.66849658837106))
(np.float64(221.65736323506664), np.float64(353.46087919060943))
(np.float64(231.71415361141698), np.float64(355.68004382103135))
(np.float64(230.37356068684025), np.float64(355.2572779831235))
(np.float64(232.59559297773512), np.float64(357.73874902398904))
(np.float64(232.2753467265934), np.float64(355.3586172642296))
(np.float64(230.01627503017318), np.float64(356.3101680845017))
(np.float64(230.29128212611872), np.float64(355.26587442972675))
(np.float64(232.43100672690534), np.float64(357.6960604301598))
(np.float64(230.3413201748025), np.float64(356.33771138064014))
(np.float64(234.13324812775073), np.float64(356.1006720625464))
(np.float64(230.43450509096127), np.float64(355.78147243633225))
(np.float64(232.1756486177208), np.float64(356.4177076678775))
(np.float64(230.1602186006188), np.float64(357.6446014486517))
(np.float64(227.97703121720863), np.float64(354.8989378579311))
(np.float64(226.90923363565602), np.float64(355.7388905102002))
(np.float64(224.92084314749744), np.float64(354.15914180868947))
(np.float64(225.47410942763202), np.float64(353.975282822048))
(np.float64(227.61867921683037), np.float64(355.99949514664223))
(np.float64(226.80593787382654), np.float64(355.63254348379303))
(np.float64(229.37028834362263), np.float64(357.57505101981127))
(np.float64(225.88249132739938), np.float64(357.7317810173423))
(np.float64(229.13201964949988), np.float64(355.1785633446187))
(np.float64(225.40615333678386), np.float64(354.8162306354374))
(np.float64(227.99764147380878), np.float64(357.3619281143669))
(np.float64(223.71591983309997), np.float64(355.7746018851753))
(np.float64(222.19527312539327), np.float64(354.5785531899756))
(np.float64(221.18169851479584), np.float64(354.2819636001641))
(np.float64(223.87865029908573), np.float64(355.1213230345898))
(np.float64(222.45053535033466), np.float64(356.1816361773076))
(np.float64(223.30660804692488), np.float64(357.45885317105206))
(np.float64(221.78701831992052), np.float64(356.96210395243025))
(np.float64(223.8059790617479), np.float64(357.6516568500804))
(np.float64(222.25343480589248), np.float64(357.7102283850858))
(np.float64(224.78648713406878), np.float64(354.93848048200124))
(np.float64(223.29365292446033), np.float64(355.15801823723683))
