(np.float64(322.0702296389816), np.float64(284.503785225927))
(np.float64(321.87795746419584), np.float64(283.9034640379782))
(np.float64(323.458292024326), np.float64(283.6774694325458))
(np.float64(323.80058194076514), np.float64(283.97434435844593))
(np.float64(324.4758051710924), np.float64(284.29990665212745))
(np.float64(322.8554643424724), np.float64(284.08778860486933))
(np.float64(322.4241212016436), np.float64(284.30857806915503))
(np.float64(321.8020844214867), np.float64(284.4732953558955))
(np.float64(320.87453305862135), np.float64(284.5379444647073))
(np.float64(321.42780176620766), np.float64(283.46901802673443))
(np.float64(322.446861198051), np.float64(283.53558491163227))
(np.float64(321.44574581674516), np.float64(283.262835915553))
(np.float64(321.00341742839464), np.float64(283.3239400810604))
(np.float64(321.0666025414106), np.float64(283.7611307854574))
(np.float64(323.332295625429), np.float64(283.821050091044))
(np.float64(322.7831724807508), np.float64(283.71944080733135))
(np.float64(323.87310354320897), np.float64(284.08201509460065))
(np.float64(324.0239974205959), np.float64(284.0674690148155))
(np.float64(320.974030556167), np.float64(283.7055334003752))
(np.float64(323.1548076560095), np.float64(283.7611344218599))
(np.float64(321.2379561735716), np.float64(284.60900242325295))
(np.float64(323.8500328935539), np.float64(283.7643451801219))
(np.float64(323.821891129328), np.float64(283.8641681435643))
(np.float64(324.30455695958807), np.float64(284.0640006177028))
(np.float64(323.8224808260721), np.float64(283.80299706832244))
(np.float64(323.7743280383864), np.float64(283.8456786923828))
(np.float64(320.66506639488694), np.float64(284.27690697560257))
(np.float64(323.5502751797735), np.float64(284.06432546932314))
(np.float64(323.5719795223725), np.float64(284.0594726346063))
(np.float64(323.5541467877097), np.float64(284.0471366973672))
(np.float64(323.4899981507755), np.float64(284.01995970779205))
(np.float64(323.4803786901465), np.float64(284.0365061099148))
(np.float64(323.556064125722), np.float64(284.01481741573707))
(np.float64(323.6077053311472), np.float64(284.0053005966128))
(np.float64(323.4954982302692), np.float64(283.99470449434403))
(np.float64(323.44050367729784), np.float64(283.9542805284359))
(np.float64(323.3738646509763), np.float64(283.94126543312177))
(np.float64(323.4678429962099), np.float64(283.9823175869141))
