(np.float64(186.82708325812447), np.float64(360.3568894445266))
(np.float64(186.62057322739403), np.float64(360.1721868133781))
(np.float64(187.15200182862998), np.float64(360.3645475790437))
(np.float64(187.44505874254196), np.float64(360.3215708612213))
(np.float64(186.62701845154456), np.float64(360.1689360547336))
(np.float64(187.27553367312416), np.float64(360.36776415554334))
(np.float64(186.83147711439378), np.float64(360.2631458124854))
(np.float64(187.42903289695008), np.float64(360.30567361688))
(np.float64(186.95359809079014), np.float64(360.24574170511266))
(np.float64(186.37443231584308), np.float64(360.3404184370702))
(np.float64(187.21442715008044), np.float64(360.3289298413388))
(np.float64(186.80164688592242), np.float64(360.0980471887297))
(np.float64(187.19009544060768), np.float64(360.1645214666698))
(np.float64(186.50258498310103), np.float64(360.2386395759635))
(np.float64(187.09649959200524), np.float64(360.1842559601677))
(np.float64(186.92816223876136), np.float64(360.1236356781214))
(np.float64(187.408628626745), np.float64(360.2912196591959))
(np.float64(186.27020684101166), np.float64(360.34311367520337))
(np.float64(186.53970067987416), np.float64(360.3387290874322))
(np.float64(187.48435168777795), np.float64(360.37423421798866))
(np.float64(187.2308171130297), np.float64(360.27733928280463))
(np.float64(186.63373936455812), np.float64(360.1653693536419))
(np.float64(186.30015098618827), np.float64(360.35679065569093))
(np.float64(185.302756537583), np.float64(360.6299964440569))
(np.float64(184.95303203809306), np.float64(360.6919120719418))
(np.float64(184.3727031682571), np.float64(361.275339460476))
(np.float64(185.45015766249892), np.float64(361.232623654263))
(np.float64(184.5317524076767), np.float64(361.254872111418))
(np.float64(184.71270816154063), np.float64(360.66902433588655))
(np.float64(185.39397504656648), np.float64(360.70360224537365))
(np.float64(185.32197413195942), np.float64(361.1917976238656))
(np.float64(184.54703562722952), np.float64(361.29641578510643))
(np.float64(185.01298985753783), np.float64(361.0222393813127))
(np.float64(185.0913373378282), np.float64(361.32619183006307))
(np.float64(185.2873512520179), np.float64(361.21226170016496))
(np.float64(185.38779181354099), np.float64(361.2103431361914))
(np.float64(184.8781180111661), np.float64(361.2056083026161))
(np.float64(185.2785064944373), np.float64(360.7420738894122))
(np.float64(185.03408907174642), np.float64(361.13309451183756))
(np.float64(185.28728935207118), np.float64(361.32243082406734))
(np.float64(184.90347098315857), np.float64(360.72484917771226))
(np.float64(185.35320898651239), np.float64(361.0233414525545))
(np.float64(185.14612139628196), np.float64(360.66428604773114))
(np.float64(184.91598326955267), np.float64(361.03170989695764))
(np.float64(185.41708366847595), np.float64(360.6489438390496))
(np.float64(185.09953101888755), np.float64(360.97666203233115))
(np.float64(184.885787016443), np.float64(360.9185898354808))
(np.float64(186.2181680540974), np.float64(360.38820101945544))
(np.float64(186.6498045694875), np.float64(360.56930143401365))
(np.float64(185.65388930433164), np.float64(360.8330471916855))
(np.float64(187.26940176329526), np.float64(360.4679797288358))
(np.float64(185.77971266078222), np.float64(360.8120531102707))
(np.float64(187.13771126236864), np.float64(360.6276778156198))
(np.float64(186.38511499918073), np.float64(360.5347078274069))
(np.float64(187.26940176329526), np.float64(360.4679797288358))
(np.float64(186.37449733680225), np.float64(360.6761963445006))
(np.float64(187.4080656319445), np.float64(360.4619465796967))
(np.float64(187.46197459499768), np.float64(360.66692867929686))
(np.float64(186.4332963960823), np.float64(360.65904411835123))
(np.float64(185.67253644816856), np.float64(360.6120116038097))
(np.float64(185.8038312748969), np.float64(360.52855504075126))
(np.float64(186.0412345833978), np.float64(360.7276865384317))
(np.float64(186.54141168471293), np.float64(360.709907942599))
(np.float64(186.009922570649), np.float64(360.4253055593898))
(np.float64(186.4572742181522), np.float64(360.47834273794507))
(np.float64(185.7743474780956), np.float64(360.84255388949674))
(np.float64(187.13390675607107), np.float64(360.6788995221065))
(np.float64(187.41526665970008), np.float64(360.7491946854089))
(np.float64(186.1621714848059), np.float64(360.6001514287357))
(np.float64(187.17794102956702), np.float64(360.52475554953605))
(np.float64(185.88394021629063), np.float64(360.76753219572794))
(np.float64(185.90096114261715), np.float64(360.70718803755665))
(np.float64(187.35186134236437), np.float64(360.46477430395817))
(np.float64(186.37960451632546), np.float64(360.53635984335415))
(np.float64(187.4080656319445), np.float64(360.4619465796967))
(np.float64(186.2408288116406), np.float64(360.6940255468821))
(np.float64(186.40515983353723), np.float64(360.6322660417196))
(np.float64(186.30495057323398), np.float64(360.56939264701526))
(np.float64(186.26392876406857), np.float64(360.5540182562085))
(np.float64(186.59479649215322), np.float64(360.77488590306706))
(np.float64(186.35647075299337), np.float64(360.57671314191333))
(np.float64(186.86254274106233), np.float64(360.5638736240557))
(np.float64(186.96020161929033), np.float64(360.4076207826443))
(np.float64(186.65479193706653), np.float64(360.64465470674514))
(np.float64(186.29909747328296), np.float64(360.68611031897433))
(np.float64(187.2863628703434), np.float64(360.73633104610565))
(np.float64(185.96537991995018), np.float64(360.70711124894007))
(np.float64(186.51395740875404), np.float64(360.68088117759584))
(np.float64(186.84473445427753), np.float64(360.8490446188101))
(np.float64(186.69295421117795), np.float64(360.6751500919782))
(np.float64(186.47711844116824), np.float64(360.5204824173856))
(np.float64(187.16890311638738), np.float64(360.57867291840404))
(np.float64(187.34788916868612), np.float64(360.6996820863251))
(np.float64(186.26896589434784), np.float64(360.49733261819745))
(np.float64(186.61749868971577), np.float64(360.8327992498981))
(np.float64(185.5442691706435), np.float64(360.81546568866406))
(np.float64(187.05466077283515), np.float64(360.465430492112))
(np.float64(186.6177329385619), np.float64(360.4548597840278))
(np.float64(186.38454506880586), np.float64(360.66242566613863))
(np.float64(186.1555951784102), np.float64(360.6846003650066))
(np.float64(185.71054232521254), np.float64(360.6459187189443))
(np.float64(186.14318103031383), np.float64(360.5973746746625))
(np.float64(186.44518742890247), np.float64(360.8436555364939))
