(np.float64(9.687976590512402), np.float64(214.6332898394783))
(np.float64(9.258669039146282), np.float64(214.85866195405632))
(np.float64(9.210954926191867), np.float64(214.90943638349893))
(np.float64(13.304983254677456), np.float64(215.45848768267743))
(np.float64(11.02965146383281), np.float64(215.67182549928708))
(np.float64(10.516382089180448), np.float64(214.9007456329543))
(np.float64(12.357300362856094), np.float64(215.66563877290798))
(np.float64(11.262564338283987), np.float64(215.24604642017488))
(np.float64(11.227661954917538), np.float64(215.42412892682245))
(np.float64(12.897622444027663), np.float64(214.83907637108524))
(np.float64(9.478102115335698), np.float64(214.6321054644141))
(np.float64(9.137223933932555), np.float64(215.00502833641025))
(np.float64(8.657937112815786), np.float64(214.72979901336393))
(np.float64(7.492537004537452), np.float64(214.6694817039386))
(np.float64(6.847527019462495), np.float64(215.34528440827424))
(np.float64(8.756910628135977), np.float64(214.72534684918108))
(np.float64(12.439777280837696), np.float64(215.57739719397102))
(np.float64(12.449107701640525), np.float64(215.5927339480536))
(np.float64(5.790606663957948), np.float64(215.03858599362565))
(np.float64(10.845936047129562), np.float64(215.62382606632292))
(np.float64(23.266161265782404), np.float64(213.71952611118456))
(np.float64(22.781090353625597), np.float64(213.4482155532323))
(np.float64(22.983474761211962), np.float64(213.6673104557077))
(np.float64(23.053621971654458), np.float64(214.7741209562886))
(np.float64(22.316366666619533), np.float64(213.5455687958704))
(np.float64(23.11638869649142), np.float64(213.89920536051315))
(np.float64(23.110512188983073), np.float64(213.71474800446381))
(np.float64(23.142573069787165), np.float64(213.765689344607))
(np.float64(21.784921940200025), np.float64(215.58438453413652))
(np.float64(19.767461882084795), np.float64(215.49779715298192))
(np.float64(25.340556795821144), np.float64(215.09355519082706))
(np.float64(27.389523582780527), np.float64(212.7349583661891))
(np.float64(28.245071083410128), np.float64(214.8946459983254))
(np.float64(30.759779352106882), np.float64(214.0201874978693))
(np.float64(27.19982710487505), np.float64(215.42454196111137))
(np.float64(28.815997575933093), np.float64(215.208464602908))
(np.float64(29.473296001920087), np.float64(213.65382632556637))
(np.float64(26.458479640830294), np.float64(215.17169552075853))
(np.float64(31.13438087017421), np.float64(213.19569075234966))
(np.float64(30.168074588822154), np.float64(212.94645046801438))
(np.float64(29.061426204566782), np.float64(213.2382801330995))
(np.float64(29.0960822018431), np.float64(213.26316649450015))
(np.float64(29.916928797391048), np.float64(213.33683962980027))
(np.float64(28.813744903168008), np.float64(212.7716578719123))
(np.float64(27.68592673528564), np.float64(212.7296333450984))
(np.float64(27.7451549328859), np.float64(212.74911329068635))
(np.float64(31.108060386327615), np.float64(213.95362637060563))
(np.float64(30.947171834039594), np.float64(213.8017510259914))
(np.float64(30.038324313288218), np.float64(213.8584737552692))
(np.float64(29.455103658011513), np.float64(213.5110374928944))
(np.float64(29.717437215575956), np.float64(213.9223206745195))
(np.float64(30.408190571709575), np.float64(214.29116314349852))
(np.float64(30.551312277242037), np.float64(214.30195585372456))
(np.float64(29.91960696731161), np.float64(214.2760314216974))
(np.float64(30.880153432099412), np.float64(214.44283642555828))
(np.float64(30.258569024427707), np.float64(214.47782415718248))
(np.float64(29.34227010188007), np.float64(214.37680984890784))
(np.float64(29.165351542653543), np.float64(214.41871843520764))
(np.float64(29.28527602439973), np.float64(214.36934953447923))
(np.float64(30.08847177057804), np.float64(214.30187088321037))
(np.float64(28.071469286617695), np.float64(213.25516853852025))
(np.float64(27.779234237607767), np.float64(213.37061262242813))
(np.float64(27.553202487811845), np.float64(213.07674336190354))
(np.float64(27.4739190525071), np.float64(213.01940420243042))
(np.float64(26.99756753752626), np.float64(212.77373316466662))
(np.float64(25.67080587116116), np.float64(213.0472241679048))
(np.float64(27.29149763956032), np.float64(213.01497306875507))
(np.float64(30.415964130681612), np.float64(214.9656595322011))
(np.float64(27.506547262844432), np.float64(215.26193760385115))
(np.float64(26.937296056975164), np.float64(215.35930890726723))
(np.float64(25.515241408304053), np.float64(215.10231503295162))
(np.float64(26.550291834509636), np.float64(214.72045777169112))
(np.float64(30.412944037216075), np.float64(215.30137671177323))
(np.float64(30.00009979244169), np.float64(215.63324815726028))
(np.float64(29.87811475318661), np.float64(215.23489340344202))
(np.float64(30.605564724347612), np.float64(214.87396791996466))
(np.float64(30.31730757086874), np.float64(214.6732836800267))
(np.float64(29.701293638706993), np.float64(214.73258449479144))
(np.float64(29.517970081651143), np.float64(214.97096709857556))
(np.float64(29.500012680135733), np.float64(215.09185268954835))
(np.float64(28.84753724873701), np.float64(215.14444222742173))
(np.float64(28.602421761038826), np.float64(214.88716471399954))
(np.float64(28.459510723407725), np.float64(215.176703447881))
(np.float64(30.482202974676056), np.float64(215.2801486281019))
(np.float64(29.61853704391058), np.float64(214.71628876175555))
(np.float64(25.535438131618925), np.float64(215.21746105337573))
(np.float64(28.35302512007716), np.float64(215.30175798817902))
(np.float64(29.771610077032697), np.float64(215.09769523078577))
(np.float64(29.993721669919914), np.float64(214.74217198126635))
(np.float64(30.72274272081304), np.float64(215.10325328443176))
(np.float64(25.455460966031), np.float64(212.92213750608673))
(np.float64(27.891870650200715), np.float64(212.75208792545584))
(np.float64(23.33732887179536), np.float64(213.39428836608815))
(np.float64(24.516323388607486), np.float64(214.7109048916143))
(np.float64(24.631416032908824), np.float64(214.90767982109134))
(np.float64(24.29865558807845), np.float64(214.68451990968242))
(np.float64(24.583445130523675), np.float64(213.08747807156908))
(np.float64(24.813990548534324), np.float64(214.97180801578563))
(np.float64(23.848589705705923), np.float64(214.25684378196425))
(np.float64(23.810269820778384), np.float64(214.32486855971808))
(np.float64(25.004685921738844), np.float64(214.8434795044919))
(np.float64(25.97556326312979), np.float64(215.19616024172626))
(np.float64(24.973984759224585), np.float64(215.5308729267585))
(np.float64(31.148265705646814), np.float64(211.98292444125462))
(np.float64(29.644020751361104), np.float64(212.20250456053617))
(np.float64(31.09205257322117), np.float64(212.14146694112978))
(np.float64(28.675603456249128), np.float64(213.09174750671534))
(np.float64(27.761071890033932), np.float64(213.33638550420528))
(np.float64(27.698689222333062), np.float64(213.1986921146497))
(np.float64(26.165299100398606), np.float64(215.56103103601367))
(np.float64(35.32380153298015), np.float64(212.64141528153928))
(np.float64(34.924221216880454), np.float64(213.4845404492783))
(np.float64(34.9474541588555), np.float64(213.5240637398262))
(np.float64(35.96362371254025), np.float64(212.6570894934255))
(np.float64(36.24318556995496), np.float64(213.1079539055573))
(np.float64(34.81243995993397), np.float64(213.21220224504262))
(np.float64(32.75301901663637), np.float64(213.46505541273086))
(np.float64(36.709699153890455), np.float64(212.36022087061625))
(np.float64(36.51683554846583), np.float64(212.61976258770895))
(np.float64(37.04692749218219), np.float64(213.2412496769095))
(np.float64(36.292205477136356), np.float64(212.98356706867025))
(np.float64(36.08264171542983), np.float64(212.44817887105953))
(np.float64(36.23637362760794), np.float64(212.5103074100874))
(np.float64(36.18606023683348), np.float64(212.4827087194785))
