(np.float64(288.35835158147734), np.float64(244.52571871034613))
(np.float64(291.90286421207657), np.float64(245.72981511958088))
(np.float64(291.70875584543603), np.float64(246.2507017832884))
(np.float64(288.5973211148203), np.float64(242.7502208468264))
(np.float64(289.79520552038616), np.float64(242.79823385568116))
(np.float64(290.4936183453783), np.float64(242.48066824523795))
(np.float64(292.7752668789453), np.float64(241.7736082695246))
(np.float64(291.5343361716798), np.float64(237.9250002155325))
(np.float64(290.4341640482291), np.float64(237.0578033003144))
(np.float64(292.140602335173), np.float64(235.9676196268762))
(np.float64(296.02252536275313), np.float64(242.9974852333057))
(np.float64(296.0107159962625), np.float64(243.41608097035524))
(np.float64(293.8499724604755), np.float64(241.08385603661085))
(np.float64(294.0613833375482), np.float64(241.58323618971977))
(np.float64(297.0969266461921), np.float64(239.471922539618))
(np.float64(295.2220407304453), np.float64(238.7734148282611))
(np.float64(297.0263854954375), np.float64(236.79144630532315))
(np.float64(296.2622779218316), np.float64(235.57168083576772))
(np.float64(296.20663471977093), np.float64(233.6382177506775))
(np.float64(299.5864997197632), np.float64(245.44794361121455))
(np.float64(301.4933723057248), np.float64(242.62725917521524))
(np.float64(298.8690062778825), np.float64(239.83363087913546))
(np.float64(298.79728608042075), np.float64(237.31004543180117))
(np.float64(301.1287798538695), np.float64(237.9517065338968))
(np.float64(299.0383179051675), np.float64(234.43220389869498))
(np.float64(299.4170121024154), np.float64(233.5359094905205))
(np.float64(302.4663195676434), np.float64(232.66933682375068))
(np.float64(303.2515754246098), np.float64(245.97492530344553))
(np.float64(306.5738365372325), np.float64(246.26081679000418))
(np.float64(304.8308609799561), np.float64(240.8641724011771))
(np.float64(303.8914777099908), np.float64(239.4570431232797))
(np.float64(306.0705280265759), np.float64(238.23819608682987))
(np.float64(306.7836761611796), np.float64(238.00580196508741))
(np.float64(305.55671594366186), np.float64(238.12988722330454))
(np.float64(302.92877896479877), np.float64(235.17942565597235))
(np.float64(303.09511679354364), np.float64(232.36136760895724))
(np.float64(304.36189671275923), np.float64(231.78886784104503))
(np.float64(316.74295538691365), np.float64(240.32124588838812))
(np.float64(312.7736136751475), np.float64(239.85322628038176))
(np.float64(309.1255167630387), np.float64(245.86455945037048))
(np.float64(310.22148714547507), np.float64(245.67600023654754))
(np.float64(309.3700373523207), np.float64(239.0336291579054))
(np.float64(310.32572909229435), np.float64(239.05643404467386))
(np.float64(310.1585789350425), np.float64(239.68322476082324))
(np.float64(308.4299926024836), np.float64(237.80441753657556))
(np.float64(309.57970358704534), np.float64(235.28705336140905))
(np.float64(309.6065069598716), np.float64(235.7022314291144))
(np.float64(310.9640613382688), np.float64(234.35982610923173))
(np.float64(313.1482819480553), np.float64(245.40476543690374))
(np.float64(314.1749535135098), np.float64(236.62481530314201))
(np.float64(315.7592869492619), np.float64(237.1532026453053))
(np.float64(312.12989873417183), np.float64(234.8580080689558))
(np.float64(313.707387803778), np.float64(235.16412847802766))
(np.float64(315.6972181160436), np.float64(235.73002369735184))
(np.float64(315.7269704927474), np.float64(244.55517135824553))
(np.float64(293.47433268775075), np.float64(243.29671048491662))
(np.float64(294.3618576689724), np.float64(243.32474499791678))
(np.float64(311.26935849089506), np.float64(246.75587399229977))
(np.float64(304.75689227106477), np.float64(237.70265879687423))
(np.float64(303.4306403690103), np.float64(243.88511210327994))
(np.float64(307.7817457874179), np.float64(237.92824497412397))
(np.float64(304.48620152639825), np.float64(237.96380846887942))
(np.float64(292.5184287193683), np.float64(246.5296973245046))
(np.float64(341.4939153122186), np.float64(237.7849961370073))
(np.float64(327.7130001444768), np.float64(236.58281671597368))
(np.float64(319.179742192634), np.float64(237.66732778920883))
(np.float64(318.0348973765834), np.float64(236.06825041629534))
(np.float64(326.3207746839305), np.float64(237.93168270427017))
(np.float64(332.0874990632771), np.float64(237.63037070524433))
(np.float64(317.5198518027322), np.float64(237.3157356685419))
(np.float64(330.32292250337537), np.float64(238.4896140891533))
(np.float64(324.41299908690445), np.float64(242.95015338254132))
(np.float64(323.97464824728803), np.float64(243.39076375630998))
(np.float64(323.85392773563905), np.float64(242.67700050377974))
(np.float64(324.3504425098116), np.float64(243.02700000301442))
(np.float64(317.0424391457246), np.float64(240.67787763345643))
(np.float64(324.1568633270662), np.float64(242.8322619416791))
(np.float64(324.476624955336), np.float64(242.85420124433514))
(np.float64(324.5332202376069), np.float64(242.8540900917488))
(np.float64(324.1101429077375), np.float64(242.85427785113717))
(np.float64(324.16275075808477), np.float64(242.55531969301097))
(np.float64(323.9837901939957), np.float64(242.74991108626486))
(np.float64(323.85392773563905), np.float64(242.67700050377974))
(np.float64(324.4482690554178), np.float64(242.93894339556206))
(np.float64(323.62619833196874), np.float64(243.44168079319127))
(np.float64(324.46713466967975), np.float64(242.96176107033014))
(np.float64(323.9934365299581), np.float64(243.4305188672827))
(np.float64(326.0326586692725), np.float64(242.4833978473401))
(np.float64(322.9852402796169), np.float64(242.44961315763015))
(np.float64(323.4151337131676), np.float64(243.53262051938322))
(np.float64(326.5834362939023), np.float64(243.76249570772453))
(np.float64(326.28168980575924), np.float64(243.55546413379685))
(np.float64(324.276461663675), np.float64(242.92440392189948))
(np.float64(324.08175285015034), np.float64(243.2920772886851))
(np.float64(323.33807382124127), np.float64(242.40235573182838))
(np.float64(332.79840319457134), np.float64(245.0235304240744))
(np.float64(317.18673348256067), np.float64(244.84178697300575))
(np.float64(317.9590598786634), np.float64(243.518698930473))
(np.float64(318.1835746461577), np.float64(240.8917178185515))
(np.float64(321.3657029366485), np.float64(242.2999197128632))
(np.float64(318.8185015278299), np.float64(241.3245666022568))
(np.float64(317.1852894971182), np.float64(240.62767260344657))
(np.float64(319.70247480423535), np.float64(239.26878306386243))
(np.float64(317.30884509593955), np.float64(239.90691358642405))
(np.float64(323.64763132042634), np.float64(244.70929436091797))
(np.float64(322.8681486309787), np.float64(245.56821149925557))
(np.float64(324.24376617832144), np.float64(245.62157534763114))
(np.float64(325.85816062358896), np.float64(245.08099661507245))
(np.float64(324.397245982564), np.float64(243.05534500386023))
(np.float64(323.96361323706236), np.float64(243.02585526469326))
(np.float64(323.216530924507), np.float64(242.9385760586812))
(np.float64(324.29582559855174), np.float64(242.89712784046037))
(np.float64(323.0251045423379), np.float64(243.32989032030727))
(np.float64(323.382236229377), np.float64(243.34371021126603))
(np.float64(324.8734723105276), np.float64(242.75598047817624))
(np.float64(323.49019408059365), np.float64(243.3272118702139))
(np.float64(324.64221894432137), np.float64(243.2887882872469))
(np.float64(324.37394663251837), np.float64(243.00352365522053))
(np.float64(324.1216608069588), np.float64(243.25142556300094))
(np.float64(324.23968979771917), np.float64(243.23672675446932))
(np.float64(324.4699142722867), np.float64(242.90632768682926))
(np.float64(324.41299908690445), np.float64(242.95015338254132))
(np.float64(324.4061007967204), np.float64(243.0083105499067))
(np.float64(322.01619843653), np.float64(241.7944003489849))
(np.float64(322.6580314108876), np.float64(242.18673298407413))
(np.float64(322.50212103653496), np.float64(242.3219996835434))
(np.float64(326.4826994102101), np.float64(240.73234452278018))
(np.float64(326.05080766588065), np.float64(242.22894120963193))
(np.float64(324.1290111228422), np.float64(240.1541627606334))
(np.float64(329.28719828665675), np.float64(245.15646134342464))
(np.float64(328.3586802788939), np.float64(244.60363346234095))
(np.float64(329.928565884358), np.float64(246.17074634493306))
(np.float64(330.9338953172986), np.float64(245.4982665817539))
(np.float64(329.9087223548891), np.float64(245.7360389372241))
(np.float64(327.7128969778857), np.float64(244.30758381713645))
(np.float64(326.99906829058943), np.float64(243.99296932608488))
(np.float64(327.6691744582151), np.float64(241.2568406758734))
(np.float64(330.2351405687603), np.float64(241.7414248073883))
(np.float64(330.3864022046927), np.float64(240.77477529593818))
(np.float64(329.5098616040484), np.float64(240.10023405831762))
(np.float64(332.0715784649533), np.float64(246.48007217887826))
(np.float64(332.17621123106613), np.float64(242.55989876750763))
(np.float64(320.4314528546004), np.float64(242.40668922819674))
(np.float64(323.62299531287715), np.float64(243.08984012466993))
(np.float64(322.4551103636659), np.float64(245.07874726003237))
(np.float64(332.62826224663786), np.float64(242.55144056466162))
(np.float64(323.26336630088383), np.float64(243.12591998804518))
(np.float64(319.3379482402774), np.float64(241.43319704464463))
(np.float64(327.6173593433955), np.float64(239.52958497493293))
(np.float64(335.80406703221684), np.float64(242.73620089333198))
(np.float64(342.28995701910515), np.float64(243.39580628982714))
(np.float64(345.2645238466286), np.float64(243.42430832249144))
(np.float64(342.02286670163437), np.float64(240.91033357397902))
(np.float64(333.50197989736495), np.float64(246.65688643085642))
(np.float64(333.2661339708521), np.float64(245.00377641523542))
(np.float64(334.34543662079545), np.float64(245.93418006170668))
(np.float64(332.8612956265951), np.float64(242.82373428361797))
(np.float64(334.4877775546619), np.float64(243.38175415420233))
(np.float64(333.0430361400634), np.float64(241.95811435331757))
(np.float64(333.1626771304341), np.float64(241.40097012754484))
(np.float64(339.0494997275191), np.float64(244.98997179715172))
(np.float64(339.2348444827464), np.float64(244.88830111890528))
(np.float64(339.1773222616927), np.float64(244.56409865652816))
(np.float64(337.5684258152604), np.float64(246.27196362486345))
(np.float64(339.3216589054962), np.float64(245.2404723966828))
(np.float64(339.99867948850056), np.float64(244.93362804123))
(np.float64(339.1527864731071), np.float64(245.04381546833957))
(np.float64(337.9451430285964), np.float64(244.02257815730837))
(np.float64(338.91798521665527), np.float64(244.15964632870669))
(np.float64(336.6302477737837), np.float64(243.36214329826294))
(np.float64(336.3560509256682), np.float64(243.22646992820324))
(np.float64(337.69490770396635), np.float64(240.8341257475469))
(np.float64(342.1716939528824), np.float64(245.13174013512804))
(np.float64(341.84138852605116), np.float64(244.84011265381372))
(np.float64(338.86377091516925), np.float64(245.38317062241933))
(np.float64(339.80161691628814), np.float64(246.20401490844722))
(np.float64(292.3718009103832), np.float64(247.15962728307179))
(np.float64(297.93041643700303), np.float64(248.10728642941632))
