(np.float64(124.69912067470166), np.float64(379.7066111683538))
(np.float64(124.99539049089479), np.float64(379.7530234950907))
(np.float64(125.45209041827427), np.float64(380.4080993933246))
(np.float64(125.72561833077164), np.float64(380.42516670956314))
(np.float64(125.54606425538644), np.float64(380.4293529317866))
(np.float64(125.75897252178017), np.float64(380.3875366494076))
(np.float64(125.54798003288886), np.float64(380.46139754409523))
(np.float64(125.53713436369158), np.float64(380.4137005382937))
(np.float64(125.87490194245541), np.float64(380.3235899716186))
(np.float64(125.77555685404013), np.float64(380.29467441981393))
(np.float64(125.79591205510313), np.float64(380.3355350566051))
(np.float64(126.70210117231298), np.float64(379.7441923189477))
(np.float64(126.63483239633334), np.float64(379.77483122071897))
(np.float64(126.84139825839405), np.float64(379.72979848305584))
(np.float64(126.9106128082084), np.float64(379.77731506287483))
(np.float64(126.97376861845389), np.float64(379.7587538534302))
(np.float64(126.8393167207833), np.float64(379.80466635715806))
(np.float64(126.76664374955187), np.float64(379.8199985657463))
(np.float64(126.69681436155241), np.float64(379.83604199331415))
(np.float64(126.63044183446381), np.float64(379.8661125865711))
(np.float64(126.90868628056967), np.float64(379.80740814119804))
(np.float64(126.56777584876494), np.float64(379.81914461810743))
(np.float64(126.50138234158555), np.float64(379.8807259397353))
(np.float64(126.43129772465295), np.float64(379.9109161099046))
(np.float64(126.50475736277956), np.float64(379.77410939557313))
(np.float64(126.65592970326092), np.float64(379.6397113105466))
(np.float64(126.79200643133542), np.float64(379.6391034865012))
(np.float64(126.36820537486166), np.float64(379.72356508956227))
(np.float64(126.3802370263405), np.float64(379.7769109377641))
(np.float64(126.31002704899458), np.float64(379.7780962219296))
(np.float64(126.30091978013041), np.float64(379.68799020075477))
(np.float64(126.24003450174071), np.float64(379.74282806335583))
(np.float64(126.16527635173381), np.float64(379.7713997330567))
(np.float64(126.14531578453614), np.float64(379.80176287459153))
(np.float64(126.12299434969754), np.float64(379.86162636145707))
(np.float64(126.16721206900388), np.float64(379.8805249074933))
(np.float64(126.23653966858775), np.float64(379.8462388190044))
(np.float64(126.3039254822863), np.float64(379.8526538506153))
(np.float64(126.37348282259487), np.float64(379.8625057032754))
(np.float64(126.26613270059912), np.float64(379.8287163468558))
(np.float64(126.2746338007498), np.float64(379.7976014404876))
(np.float64(126.76143617766658), np.float64(379.9474379169413))
(np.float64(126.93361306184481), np.float64(380.018093144323))
(np.float64(126.85234275944721), np.float64(380.05803025704904))
(np.float64(126.69360891501641), np.float64(379.9436390317887))
(np.float64(127.01290291255313), np.float64(380.08665616969506))
(np.float64(126.4018472185837), np.float64(379.9573266790467))
(np.float64(126.48745519913324), np.float64(380.00405264517514))
(np.float64(126.6648524859928), np.float64(380.0334743836849))
(np.float64(126.70090253262522), np.float64(380.09355217564786))
(np.float64(126.49568841293221), np.float64(380.4568362273431))
(np.float64(125.23153135248016), np.float64(379.7594859211002))
(np.float64(126.45936857268933), np.float64(380.3509422962143))
(np.float64(126.56333743147368), np.float64(380.40868030802136))
(np.float64(126.65852481974547), np.float64(380.4541598378789))
(np.float64(126.69777251039146), np.float64(380.1985600982237))
(np.float64(126.42627515907195), np.float64(380.1314809659601))
(np.float64(126.15198138638156), np.float64(380.4299631194928))
(np.float64(126.02434854001976), np.float64(380.43717906792784))
(np.float64(126.10084907832142), np.float64(380.46771639296054))
(np.float64(125.98577706733485), np.float64(380.4192959862364))
(np.float64(125.98877028546946), np.float64(380.42405803219714))
(np.float64(125.77474573926578), np.float64(380.1137687950112))
(np.float64(125.75426725846894), np.float64(380.26862580476813))
(np.float64(125.71828361991946), np.float64(380.26092827592856))
(np.float64(126.9242505640438), np.float64(380.3720172268945))
(np.float64(126.81135389423045), np.float64(380.2794413637008))
(np.float64(126.84581864320971), np.float64(380.28743459236324))
(np.float64(130.6015346039915), np.float64(379.46798831982835))
(np.float64(130.7437617945277), np.float64(379.5095874485966))
(np.float64(127.04100288997743), np.float64(379.8114223011519))
(np.float64(127.04834401623197), np.float64(379.68693982698096))
(np.float64(127.16684739990372), np.float64(379.7005687464004))
(np.float64(127.35324670837048), np.float64(379.7329473013248))
(np.float64(127.13540326456574), np.float64(379.644757238037))
(np.float64(127.36358382698856), np.float64(379.6467074386757))
(np.float64(127.27462787394985), np.float64(379.78684588213514))
(np.float64(127.12266661251631), np.float64(379.8828744453192))
(np.float64(127.54431729586435), np.float64(379.7456105750624))
(np.float64(127.47218061749233), np.float64(379.819537955239))
(np.float64(127.29576523379896), np.float64(379.826612387153))
(np.float64(127.08396925925722), np.float64(379.9813229712551))
(np.float64(127.07846900637612), np.float64(380.09662844776193))
(np.float64(127.37140229376965), np.float64(379.9901076014939))
(np.float64(127.27202946307537), np.float64(379.9329511710617))
(np.float64(127.55301796699788), np.float64(379.91828945379586))
(np.float64(127.62686426310343), np.float64(379.6671457571501))
(np.float64(128.53631171055332), np.float64(379.9948738899197))
(np.float64(128.4294952805741), np.float64(379.9822418892156))
(np.float64(128.41722712620825), np.float64(379.79824023453114))
(np.float64(128.4147795639567), np.float64(379.8316219506548))
(np.float64(128.51177193401836), np.float64(379.95787844194865))
(np.float64(128.4766080797112), np.float64(379.87501849071015))
(np.float64(128.432508958641), np.float64(379.9142251721413))
(np.float64(128.63119185311993), np.float64(379.83652048278145))
(np.float64(128.61694948906742), np.float64(379.77199258726387))
(np.float64(128.75689487745308), np.float64(379.813599413074))
(np.float64(128.6939474810458), np.float64(379.96386601488905))
(np.float64(128.89267129538567), np.float64(379.99604808307265))
(np.float64(127.2998627678782), np.float64(380.0767293466157))
(np.float64(128.06149607729895), np.float64(380.4481512344301))
(np.float64(128.7785026422519), np.float64(380.3739815488821))
(np.float64(127.76375834795614), np.float64(380.0946159434925))
(np.float64(128.99046559060142), np.float64(379.7568127437844))
(np.float64(127.087286541851), np.float64(380.1706909807594))
(np.float64(127.13531327556643), np.float64(380.23981982977466))
(np.float64(128.51567717946386), np.float64(380.1263550983055))
(np.float64(128.75289357438933), np.float64(380.330636160839))
(np.float64(128.37661520916458), np.float64(380.34250748753493))
(np.float64(128.5283552259552), np.float64(379.65226749233966))
(np.float64(128.91342095692286), np.float64(380.2800554302335))
(np.float64(128.7288092913409), np.float64(380.3036780218625))
(np.float64(128.65351103389295), np.float64(380.2309546533056))
(np.float64(128.5470582011212), np.float64(380.2960940092702))
(np.float64(128.31751289213855), np.float64(380.30071150838376))
(np.float64(128.24045161309337), np.float64(380.2990205829716))
(np.float64(128.51177280096516), np.float64(380.22458144027803))
(np.float64(128.20203254953884), np.float64(380.37454052397527))
(np.float64(128.16968887091002), np.float64(380.22809977726564))
(np.float64(128.08703405558342), np.float64(380.24429617601265))
(np.float64(127.88705108871795), np.float64(380.2696920574822))
(np.float64(128.1033903810258), np.float64(380.38503304948586))
(np.float64(128.77865678526481), np.float64(380.42422124589353))
(np.float64(128.7310938677229), np.float64(380.42585841321204))
(np.float64(128.90617450118748), np.float64(380.4615360302791))
(np.float64(128.42760776551285), np.float64(380.490437036492))
(np.float64(127.99538675505576), np.float64(380.3424287595013))
(np.float64(127.80149616525863), np.float64(380.34871791111163))
(np.float64(127.55973593239628), np.float64(380.3522219449314))
(np.float64(127.69608418798842), np.float64(380.1628690264781))
(np.float64(127.22948824416646), np.float64(380.1379874530009))
(np.float64(127.3527858398244), np.float64(380.2281877175085))
(np.float64(127.46653662493767), np.float64(380.17152123119814))
(np.float64(127.65012720140089), np.float64(380.31393854513533))
(np.float64(127.4024573436991), np.float64(380.24666086549905))
(np.float64(127.41239115898514), np.float64(380.3047386987655))
(np.float64(127.76014474319197), np.float64(380.49262796672696))
(np.float64(127.58760148758839), np.float64(380.2169900942834))
(np.float64(127.99269610111513), np.float64(380.48346278736136))
(np.float64(128.37115223495505), np.float64(380.13097205195817))
(np.float64(128.39051010121656), np.float64(380.16212453444456))
(np.float64(128.3786990008311), np.float64(380.1873296261971))
(np.float64(128.25677620830743), np.float64(380.1898580748451))
(np.float64(128.27662910079385), np.float64(380.13654610575725))
(np.float64(128.29350039222885), np.float64(380.0915253682054))
(np.float64(128.20238452966197), np.float64(380.1199509152823))
(np.float64(128.20725676678097), np.float64(380.18827605957307))
(np.float64(128.11981086048056), np.float64(380.1529987493996))
(np.float64(128.20457547585784), np.float64(380.1678756808616))
(np.float64(128.1180870248359), np.float64(380.1094916022128))
(np.float64(128.12515818407894), np.float64(380.0905729953789))
(np.float64(128.76684672521475), np.float64(379.95703164589844))
(np.float64(127.31701286917874), np.float64(380.4705641780205))
(np.float64(127.31776745907572), np.float64(380.39437453358704))
(np.float64(127.42318221057494), np.float64(380.4336035182656))
(np.float64(127.57353025869881), np.float64(380.4908943136337))
(np.float64(128.95420539625076), np.float64(379.6473093838801))
(np.float64(128.86130674570637), np.float64(379.56973493820215))
(np.float64(128.7577264521548), np.float64(380.0077092259225))
(np.float64(128.48523349992988), np.float64(379.65962859369057))
(np.float64(128.69030335977732), np.float64(380.0310782999539))
(np.float64(128.41961365545484), np.float64(379.6353373895468))
(np.float64(128.1099996313788), np.float64(379.5606741234788))
(np.float64(128.18353798820863), np.float64(379.6897707027883))
(np.float64(128.23973759628126), np.float64(379.6521440366026))
(np.float64(128.17468213371814), np.float64(379.5288579982226))
(np.float64(127.06574587867972), np.float64(380.44980088671554))
(np.float64(127.14057979978458), np.float64(380.4579666018896))
(np.float64(130.7896615626649), np.float64(379.57662700471803))
(np.float64(130.5497156746087), np.float64(379.5807287412754))
(np.float64(130.38866621711958), np.float64(379.54189860892996))
(np.float64(130.3264827736268), np.float64(379.65975689795624))
(np.float64(130.60059882236203), np.float64(379.6747037694908))
(np.float64(130.27098071040052), np.float64(379.8134927453785))
(np.float64(130.02633406715697), np.float64(379.8499250363981))
(np.float64(129.98061514397872), np.float64(379.823167323601))
(np.float64(130.22952126683435), np.float64(379.75371228961944))
(np.float64(130.15849115848243), np.float64(379.69758441456685))
(np.float64(129.97903886256827), np.float64(379.6012864548397))
(np.float64(130.23957003917215), np.float64(379.6922153930483))
(np.float64(130.073420164348), np.float64(379.7557674003615))
(np.float64(130.02370253893534), np.float64(379.7067736547712))
(np.float64(129.8819327491666), np.float64(379.7117519452448))
(np.float64(130.51447587581742), np.float64(380.3695857488804))
(np.float64(130.84048489112627), np.float64(380.35730950918537))
(np.float64(130.64111329465752), np.float64(380.33123762118754))
(np.float64(130.72812191334302), np.float64(379.73308360567273))
(np.float64(129.88131652387622), np.float64(379.7793256277349))
(np.float64(129.69056670644912), np.float64(379.6823908133796))
(np.float64(129.81692791626406), np.float64(379.7730248396485))
(np.float64(129.60040205714574), np.float64(379.778891623547))
(np.float64(129.45849841090535), np.float64(379.74711574110154))
(np.float64(129.5397486001491), np.float64(379.8197366238245))
